Plant	Latitude	Longitude	ID	Capacity (MW)	WRI ID
5 MW Solar Photovoltaic Power Project by Backbone Enterprises Limited in Gujarat  India	23.3585	70.6211	CDMDB0009961	5	
5 MW Solar Photovoltaic at Rapar Khokhara  Anjar  District Kutch of Gujarat	23.26104	70.00146	CDMDB0008375	5	
5 MW Solar Photovoltaic based Power Generation in Jodhpur  Rajasthan	27.386	72.317	CDMDB0009630	5	
5 MW Solar Power Project by Baba Group (EKIESL-CDM-May-16-03)			CDMDB0010360	5	
5 MWp bundled solar power project in Gujarat			CDMDB0006925	5	
5MW Solar PV Power Plant by AEPL	25.8599	74.6571	CDMDB0009610	5	
5MW Solar PV Power Plant by GMPL			CDMDB0009527	5	
5MW Solar PV Power Project in Jodhpur District  Rajasthan	26.52	72.8497	CDMDB0009404	5	
Aftaab 5MW Solar PV Power Plant	20.7328	83.4632	CDMDB0009859	5	
GHG abatement through Solar Power Generation at Jaisalmer  Rajasthan  India	26.91575	70.90834	CDMDB0007461	5	
Grid Connected Solar PV Plant in Rajasthan	27.4056	72.1648	CDMDB0006883	5	
Grid Connected Solar Photovoltaic Power Project by M/s EMCO Limited	23.3992	71.6389	CDMDB0007819	5	
Grid Connected Solar Photovoltaic Power Project by M/s. ZF Steering Gear (India) Ltd	23.9192	71.224	CDMDB0007838	5	
Grid Connected Solar Power Project by M/s. GSPC Pipavav Power Company Ltd. in Gujarat	23.90389	71.20833	CDMDB0008165	5	
Grid Connected Solar Power Project in Bikaner	27.84211	72.95265	CDMDB0009531	5	
Grid connected Solar PV Project in Rajasthan by GAIL (India) Ltd.	26.916	70.9	CDMDB0009718	5	
Grid connected solar PV based power generation at Naini  Allahabad  India	25.36667	81.85	CDMDB0007899	5	
Grid connected solar PV based power generation at Shivlakha  Kutch  India	23.36706	70.61672	CDMDB0008749	5	
Grid connected solar PV power plant in Jodhpur  Rajasthan	27.412	72.212	CDMDB0006909	5	
Grid connected solar PV power plant in Kutchh district of Gujarat	23.358	70.054	CDMDB0006870	5	
Solar PV Power project at Jaisalmer District in Rajasthan	27.3805	71.7247	CDMDB0009249	5	
Solar PV Power project at Nachna  Jaisalmer District in Rajasthan	27.3871	71.7248	CDMDB0009106	5	
Solar PV Power project at Nachna-2  Jaisalmer District in Rajasthan	27.3774	71.7248	CDMDB0008995	5	
Solar PV power project at Bikaner  India	28.1379	72.9636	CDMDB0006149	5	
Solar PV power project based on polycrystalline technology by Aravali Infrapower Limited	21.77642	70.07965	CDMDB0008379	5	
Solar PV power project by Moser Baer Photo Voltaic Limited	26.7	72.9	CDMDB0009919	5	
Solar Photovoltaic Based Power Plant  India	23.37614	71.65058	CDMDB0009021	5	
Solar Photovoltaic Power Plant in Andhra Pradesh	14.4633	78.2353	CDMDB0006865	5	
Solar Photovoltaic Power project at Askandra Village  Jaisalmer District in Rajasthan	27.38534	71.72479	CDMDB0009189	5	
Solar Photovoltaic Power project at Jaisalmer District in Rajasthan.	27.38874	71.72474	CDMDB0009175	5	
Solar Photovoltaic based Power Plant  India	27.39566	72.15411	CDMDB0006325	5	
Solar Photovoltaic based Power Plant  India 3	23.4	71.7	CDMDB0008161	5	
Solar Power Generation Project	26.9753	73.3953	CDMDB0005129	5	
Solar Power Project by NarasimhaSwamy Solar Generations (EKIESL-CDM.February-15-05)	17.033	82.54	CDMDB0010250	5	
Solar Power Project in Jaisalmer District in Rajasthan	27.383	71.7246	CDMDB0009097	5	
Solar Power project at Jaisalmer District in Rajasthan	27.39	71.72	CDMDB0008298	5	
Solar Power project at Patan District in Gujarat	23.66611	71.57972	CDMDB0008448	5	
Solar Power project by Sai Sudhir Energy Limited	14.76166	76.95107	CDMDB0006317	5	
Solar power project at Jodhpur  Rajasthan			CDMDB0009266	5	
Solar power project in Gujarat by APCA Power	21.8228	70.0684	CDMDB0006612	5	
Solar Energy Project by EnvironmentFirst Energy Services  India			CDMDB0010253	4.8	
4 MW Solar Energy based Power Plant	20.00241	79.29124	CDMDB0008923	4	
3 MW solar PV power project by Par Solar Private Limited at village Gadna Dist- Jodhpur in Rajasthan  INDIA	27.4275	72.38861	CDMDB0009424	3	
3MWp Grid Connected Solar Power Project at Yalesandra Village  Kolar District  Karnataka  India	12.9133	78.1534	CDMDB0005560	3	
Grid connected 3MWp Solar PV power plant at Raichur District of Karnataka State  India			CDMDB0009100	3	
Grid connected 3MWp Solar PV power plant in Belgum District of Karnataka State  India	16.4348	74.6749	CDMDB0005906	3	
Solar PV Power project by Sovox Renewables Pvt. Ltd.			CDMDB0009026	3	
Solar Thermal Power Project by APCL	14.533	75.766	CDMDB0009776	3	
Solar Power Project by Clover Solar Private Limited	18.3	74.4	CDMDB0006923	2.189	
2 MW Bundled Solar Power Project Orissa			CDMDB0008094	2	
2 MW Bundled Solar Power Project in Gujarat  India			CDMDB0009542	2	
2 MWp grid connected bundled solar power project in Orissa			CDMDB0008597	2	
CIL SOLAR CDM Project			CDMDB0008447	2	
SFPL Solar Power CDM Project	21.408	83.0675	CDMDB0007088	2	
Rural Education for Development Society (REDS) CDM Photovoltaic Lighting Project			CDMDB0002279	0.54	
