name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,
10 MW biomass based renewable energy generation for the grid in Amaravathi District of Maharashtra,CDMDB0001196,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,20.563,77.31,,Biomass,
10 MW biomass based renewable energy generation for the grid in Parbhani District of Maharashtra  India,CDMDB0001110,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,19.1528,76.4625,,Biomass,
10.0 MW Biomass based independent power project of Jalkheri Power Private Limited  Jalkheri  Punjab.,CDMDB0000524,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,30.3743,76.2304,,Biomass,
10.0 MW Biomass based power plant project at Bankura  India,CDMDB0003563,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,23.2333,87.1167,,Biomass,
10MW biomass power plant at Sangli by Sinewave Power,CDMDB0004063,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.9267,74.48,,Biomass,
Biomass Power Project in Haveri District of Karnataka State  India,CDMDB0009471,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Biomass based Power Generation near Bargur  Tamil Nadu,CDMDB0003173,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,12.29371,78.39746,,Biomass,
Biomass based Power Project in West Bengal,CDMDB0006330,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,87.383,23.483,,Biomass,
Biomass based power generation by Dharwad Bioenergy Private Limited,CDMDB0007445,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,15.50869,75.37824,,Biomass,
Biomass based power generation by Haveri Bioenergy Private Limited,CDMDB0007443,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,14.80994,75.61666,,Biomass,
Biomass based power generation project by Maharashtra Vidhyut Nigam Limited,CDMDB0005542,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,20.6594,78.489,,Biomass,
Biomass based power generation project in Maharashtra  India,CDMDB0004078,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,20.62278,79.95889,,Biomass,
Biomass based power project at T-Kallupatti village  Madurai District  Tamil Nadu  India,CDMDB0002941,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Biomass based power project by Shri Shyam Warehousing and Power Pvt. Ltd.,CDMDB0007261,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.99773,82.51794,,Biomass,
Biomass based power project in Punjab,CDMDB0008892,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.98417,75.34056,,Biomass,
Biomass based power project of VPL,CDMDB0010233,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,20.13321,79.94315,,Biomass,
Empee Distilleries 10 MW Woody Biomass-Based Power Project  Tamil Nadu,CDMDB0001548,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Grid Connected Biomass Based Power Plant at Merta  Dist. Nagaur  Rajasthan  India,CDMDB0005589,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,26.65278,74.03,,Biomass,
9.9 MW Biomass based power plant at Khas  Gujarat,CDMDB0009108,9.9,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Biomass based power plant in Mahendargarh  Haryana,CDMDB0009973,9.9,,India,,Clean Development Mechanism,https://cdm.unfccc.int,28.31083,76.08972,,Biomass,
9.8 MW Biomass Based Power Plant at Lahari Power & Steels Limited in Champa-Janjgir District  Chattisgarh,CDMDB0001199,9.8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,22.02,82.38,,Biomass,
9.8 MW Renewable Energy Generation for the grid at South Asian Agro Industries Limited in Raipur District  Chattisgarh.,CDMDB0001175,9.8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.143,81.3824,,Biomass,
SRS Bagasse Cogeneration Project,CDMDB0000080,9.3,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.33,74.75,,Biomass,
9 MW Renewable Energy Grid Connected Biomass Power Project,CDMDB0001260,9,,India,,Clean Development Mechanism,https://cdm.unfccc.int,10.09,79.21,,Biomass,
9MW Biomass Power Project at Yedlapur Village in Raichur District  Karnataka  India,CDMDB0009430,9,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.21,77.19,,Biomass,
Nava Bharat RE Bagasse Project,CDMDB0001288,9,,India,,Clean Development Mechanism,https://cdm.unfccc.int,17.03,82.13,,Biomass,
Pandurang SSK RE Project,CDMDB0000313,9,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.35,74.88333,,Biomass,
Switching of fossil fuel from Naptha & Diesel to Biomass (agricultural residue) for 9 MW Power Generation Unit of M/s. My Home Power limited (MHPL) and Supply to APTRANSCO Grid.,CDMDB0000476,9,,India,,Clean Development Mechanism,https://cdm.unfccc.int,17.314,78.1657,,Biomass,
8.5 MW Biomass based Power Project,CDMDB0000369,8.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.13333,82.03333,,Biomass,
Agrawal RE Project,CDMDB0000507,8.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.1431,81.3826,,Biomass,
8 MW Biomass based Power Plant at Kishanganj  Baran District  Rajasthan,CDMDB0008984,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,25.09163,76.7875,,Biomass,
8 MW OGPL Chipa power plant,CDMDB0006302,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,24.6483,76.7317,,Biomass,
8 MW biomass based renewable energy generation for the grid  Gondia District  Maharashtra India,CDMDB0001530,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
8 MW biomass power project at Hassan  India,CDMDB0000718,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,12.13,75.33,,Biomass,
8.0 MW Biomass Based Power Project at Mahasamund  India,CDMDB0000934,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.625,82.5,,Biomass,
8MW biomass based power plant at Phagwara,CDMDB0002998,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,31.2197,75.76,,Biomass,
Biomass Power Project at Kalpataru Energy Venture Private Limited  Bayana Tehsil  Bharatpur District  Rajasthan,CDMDB0000375,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,28.5,78.71667,,Biomass,
Biomass based power project in Punjab  India,CDMDB0003232,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,30.233,74.3522,,Biomass,
Ecofren Power 8 MW Renewable Sources Biomass Power Project,CDMDB0000726,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,22.23,80.46,,Biomass,
ISA Power 8 MW (Gross) Renewable Sources Biomass Power Project,CDMDB0000725,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,20.42,81.33,,Biomass,
Installation of co-generation project at sugar manufacturing unit of Mawana Sugars Limited,CDMDB0000813,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,36.3981,116.58,,Biomass,
Shri Bajrang RE Project,CDMDB0002128,8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Biomass in Rajasthan - Electricity generation from mustard crop residues,CDMDB0000058,7.8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.68,73.61,,Biomass,
Electricity generation from mustard crop residues: Tonk  India,CDMDB0001774,7.8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Rice Husk Based Power Project,CDMDB0000186,7.7,,India,,Clean Development Mechanism,https://cdm.unfccc.int,31.33,76.75,,Biomass,
7.5 MW Biomass (Mustard crop residue) based Power Project at RIICO Industrial area  Rajasthan by M/s Amrit Environmental Technologies Pvt. Ltd.,CDMDB0000372,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,26.91667,75.81667,,Biomass,
7.5 MW Biomass Based Power Plant,CDMDB0005040,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.94139,81.98944,,Biomass,
7.5 MW Grid Connected Biomass Power Project,CDMDB0000736,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,10.2255,78.4943,,Biomass,
7.5 MW Grid connected biomass power project in Katni District  Madhya Pradesh.,CDMDB0004107,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,23.7306,80.6861,,Biomass,
7.5 MW Grid connected renewable electricity generation in Tiruvannamalai District  India,CDMDB0004472,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,12.489,79.612,,Biomass,
7.5 MW Grid-Connected Biomass Power Project  by Ravi Kiran Power Projects Private Limited,CDMDB0000971,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,15.2,76.9,,Biomass,
7.5 MW Non-Conventional Renewable Sources Biomass Power Project,CDMDB0000914,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,13.2358,77.0212,,Biomass,
7.5 MW Poultry Litter Project by Redan Infrastructure Private limited,CDMDB0007018,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,13.23222,78.72333,,Biomass,
7.5 MW Poultry litter based grid connected power plant in Andhra Pradesh  India,CDMDB0008171,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.602,77.725,,Biomass,
7.5 MW biomass plants using agricultural waste Limited,CDMDB0001126,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,10.2124,77.5833,,Biomass,
7.5MW Biomass based power project by Circars Power Industries Ltd.,CDMDB0009109,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,17.60369,82.83941,,Biomass,
APCL proposed 7.5 MW Mustard Crop Residue based Power Project,CDMDB0000082,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,27.3337,76.36,,Biomass,
Ajbapur Sugar Complex Cogeneration Project,CDMDB0000332,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.57528,77.43028,,Biomass,
Biomass Based Cogeneration Units at Uttar Pradesh,CDMDB0000947,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.28,77.4059,,Biomass,
Biomass based independent power project at Malwa Power Private Limited  Mukatsar  Punjab,CDMDB0000331,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,30.48333,74.51667,,Biomass,
Biomass based power plant at Siltara  Raipur  Chhattisgarh  India.,CDMDB0000926,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.1431,81.3827,,Biomass,
Biomass based power project of Rayapati Power Generation Private Limited,CDMDB0004532,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.09333,81.02798,,Biomass,
Biomass power project by Sri Jyoti Renewable Energy Pvt Ltd,CDMDB0003441,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,28.78,76.13,,Biomass,
Chambal Power Limited's (CPL) proposed 7.5 MW biomass based power project at Rangpur   Kota District  Rajasthan  India,CDMDB0000347,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,25.18333,75.83333,,Biomass,
Indur 7.5 MW Non-Conventional Renewable Sources Biomass Power Project,CDMDB0000391,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,18.4,78.05,,Biomass,
Perpetual 7.5 MW Non-Conventional Renewable Sources Biomass Power Project,CDMDB0000390,7.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,18.11667,83.41667,,Biomass,
"""Forced Methane extraction from Organic wastewater""  at Mandya District  Karnataka by M/s Sri Chamundeswari Sugars Ltd.",CDMDB0001088,7,,India,,Clean Development Mechanism,https://cdm.unfccc.int,12.23,77.01,,Biomass,
Renewable energy generation at Hamira,CDMDB0009771,6.94,,India,,Clean Development Mechanism,https://cdm.unfccc.int,31.45735,75.43253,,Biomass,
6.5 MW biomass based (rice husk) power generation by M/s Indian Acrylics Ltd. and replacement of electrical power being imported from state electricity grid/ surplus power supply to grid.,CDMDB0000341,6.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,30.23333,75.83333,,Biomass,
6.5 MW cogeneration project in Akbarpur  Punjab.,CDMDB0004886,6.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,31.4991,75.3675,,Biomass,
Integrated biomass power project at Perundurai  Erode district  Tamil Nadu  India,CDMDB0009368,6.4,,India,,Clean Development Mechanism,https://cdm.unfccc.int,11.26667,77.58333,,Biomass,
Rice husk based Cogeneration Projects at a cluster of rice mills  India,CDMDB0005167,6.375,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.8118,85.9366,,Biomass,
LHSF Bagasse Project,CDMDB0000334,6.2,,India,,Clean Development Mechanism,https://cdm.unfccc.int,28.63333,79.8,,Biomass,
'6 MW bagasse based cogeneration plant for electricity generation for grid supply at Mawana Sugars Limited (MSL) at Mawana in Uttar Pradesh'.,CDMDB0001233,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.06,77.58,,Biomass,
6 MW Biomass residue based cogeneration unit by MPML at Village Heti (Surla)  District Nagpur in Maharashtra  India,CDMDB0001568,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.23,79.1,,Biomass,
6 MW Renewable energy generation project by Varam Power Projects in India,CDMDB0000697,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,18.173,83.5414,,Biomass,
6 MW Rice Husk based cogeneration plant at Bhageshwari Papers Private Limited,CDMDB0001379,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.47,77.73,,Biomass,
6 MW biomass based grid connected power generation by M/s Armstrong Energy Pvt. Ltd at Nashik,CDMDB0004617,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,19.86443,73.88713,,Biomass,
6 MW biomass based grid connected power project  Andhra Pradesh  India,CDMDB0000722,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.1347,77.5945,,Biomass,
6 MW renewable energy project for a grid system by Gayatri Agro Industrial Power Limited  India,CDMDB0000797,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,17.0822,79.3725,,Biomass,
6 MW renewable energy project for a grid system by Ind-Barath Energies Limited,CDMDB0000970,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.52,79.33,,Biomass,
6 MW renewable energy project for a grid system by Sri Indra Power Energies Limited  India,CDMDB0000849,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,15.2022,76.0912,,Biomass,
6.0 MW Biomass based cogeneration power plant of Rama Paper Mills Limited  Kiratpur  Uttar Pradesh.,CDMDB0001181,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.3029,78.1217,,Biomass,
6.0 MW Biomass based power project of Agri Gold Projects Limited (AGPL)  Prakasham District  Andhra Pradesh.,CDMDB0000534,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,15.5,79.5,,Biomass,
6MW Biomass based Power Plant at Nellore.,CDMDB0000881,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,14.475,79.97166,,Biomass,
Biomass based Cogeneration Power Project in Uttar Pradesh,CDMDB0000827,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,26.47,82.12,,Biomass,
Biomass based Power Plant in Polakpalli Village  Gulbarga District  Karnataka,CDMDB0002895,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Biomass based power project at Jammala Madugu  Andhra Pradesh,CDMDB0006372,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,14.8773,78.3649,,Biomass,
JCT Hoshiarpur Small Scale Biomass Project,CDMDB0000333,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,31.58333,75.98333,,Biomass,
KMS Power 6 MW Renewable Sources Biomass Power Project.,CDMDB0000374,6,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.1801,80.2556,,Biomass,
