name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,
Greenfield power project at Dwarikesh Dham,CDMDB0001339,36,,India,,Clean Development Mechanism,https://cdm.unfccc.int,28.13,79.32,,Biomass,
Bagasse based Cogeneration Project - Satish Sugar Limited,CDMDB0004057,31,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.2422,74.8939,,Biomass,
Gangakhed Sugar & Energy Private Ltd (GSEPL) 30 MW Bagasse Based Co-generation Power Project,CDMDB0004816,30,,India,,Clean Development Mechanism,https://cdm.unfccc.int,18.90083,76.715,,Biomass,
Bagasse based Co-generation Project at Mawana Sugar Works,CDMDB0000805,27.1,,India,,Clean Development Mechanism,https://cdm.unfccc.int,23.6833,76.3666,,Biomass,
Dalmia Chini Mills Jawaharpur Project,CDMDB0004332,27,,India,,Clean Development Mechanism,https://cdm.unfccc.int,27.5264,80.5583,,Biomass,
Dalmia Chini Mills Nigohi Project,CDMDB0004608,27,,India,,Clean Development Mechanism,https://cdm.unfccc.int,28.0582,79.869,,Biomass,
26 MW Biomass (Cogeneration) based Power generation Project activity,CDMDB0000865,26,,India,,Clean Development Mechanism,https://cdm.unfccc.int,13.3138,75.2124,,Biomass,
KM RE project,CDMDB0000915,25,,India,,Clean Development Mechanism,https://cdm.unfccc.int,26.47,82.8,,Biomass,
Ramgarh Chini Mills RE project,CDMDB0001003,25,,India,,Clean Development Mechanism,https://cdm.unfccc.int,25.1,80.5,,Biomass,
24 MW Biomass Based Renewable Electricity Generation & Consumption in Ropar  Punjab  India,CDMDB0000109,24,,India,,Clean Development Mechanism,https://cdm.unfccc.int,30,74,,Biomass,
Bagasse based Cogeneration Plant at Seohara  Uttar Pradesh.,CDMDB0000810,24,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.23,79.11,,Biomass,
Power capacity expansion project at Dwarikesh Puram,CDMDB0001257,24,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.19,78.31,,Biomass,
The Godavari Sugar Mills Ltd (TGSML)'s 24 MW Bagasse Based Co-generation Power Project at Sameerwadi,CDMDB0000577,24,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Bagasse based Co-generation Power Project at Khatauli,CDMDB0000826,23,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.1628,77.4354,,Biomass,
Deoband Bagasse based Co-generation Power Project,CDMDB0000578,22,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.41359,77.40224,,Biomass,
RSCL cogeneration expansion project,CDMDB0000127,22,,India,,Clean Development Mechanism,https://cdm.unfccc.int,11,78,,Biomass,
SSML - Simbhaoli Biomass Power Project,CDMDB0001112,22,,India,,Clean Development Mechanism,https://cdm.unfccc.int,28.48,78,,Biomass,
20 MW Bagasse Based Co-generation Power Project at Bannari Amman Sugars Limited  Nanjangud  Karnataka,CDMDB0001574,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,12.12,76.73,,Biomass,
20 MW Biomass Power Project in Tamilnadu,CDMDB0002920,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
20 MW Capacity Biomass based Power Project of M/s. SHALIVAHANA GREEN ENERGY LIMITED,CDMDB0005905,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,20.7765,85.3189,,Biomass,
20 MW biomass based power project in Maharashtra  India,CDMDB0003083,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
20MW Bagasse based Cogeneration power project at Bannari Amman Sugars Limited  Sathyamangalam  Tamil Nadu by Bannari Amman Sugars Limited,CDMDB0003822,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,11.3,77.17,,Biomass,
Bagasse based Co-generation Project at Nanglamal Sugar Complex.,CDMDB0000804,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,28.5928,77.4213,,Biomass,
Bagasse based Co-generation Project at Titawi Sugar Complex,CDMDB0000803,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.2839,77.4155,,Biomass,
Bagasse based cogeneration project of Nizam Deccan Sugars Limited (NDSL),CDMDB0002713,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,18.6519,77.8908,,Biomass,
DSCL Sugar Ajbapur Cogeneration Project Phase II,CDMDB0000982,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,27.54,79.57,,Biomass,
R K Powergen 20MW grid connected renewable energy biomass power project,CDMDB0000694,20,,India,,Clean Development Mechanism,https://cdm.unfccc.int,14.1319,76.2401,,Biomass,
Bagasse based Cogeneration Project at Pudukkottai Tamil Nadu  India,CDMDB0001139,18.55,,India,,Clean Development Mechanism,https://cdm.unfccc.int,9.83333,78.41667,,Biomass,
18 MW Biomass Power Project in Tamilnadu  India,CDMDB0000111,18,,India,,Clean Development Mechanism,https://cdm.unfccc.int,9.5,78.5,,Biomass,
Energy Efficiency Improvement at Tamil Nadu Newsprint and Papers Limited,CDMDB0004438,16,,India,,Clean Development Mechanism,https://cdm.unfccc.int,11.0595,77.9938,,Biomass,
Grid connected bagasse based cogeneration project of Ugar Sugar Works Limited (USWL).,CDMDB0000189,16,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.33,74.75,,Biomass,
Rice Husk based Co-generation Power Project at Usher Eco Power Limited  Chhata  Uttar Pradesh  India,CDMDB0009365,16,,India,,Clean Development Mechanism,https://cdm.unfccc.int,27.79784,77.43271,,Biomass,
Shri Chamundi Captive Energy Private Limited'  16MW biomass fired cogeneration plant for supply of power and steam to an industrial facility in Karnataka.,CDMDB0001350,16,,India,,Clean Development Mechanism,https://cdm.unfccc.int,12.3,76.7,,Biomass,
Biomass based Cogeneration Project activity taken up by India Glycols Limited at Gorakhpur  U.P.,CDMDB0003763,15.8,,India,,Clean Development Mechanism,https://cdm.unfccc.int,26.77,83.37,,Biomass,
15 MW Biomass Power Project by Shalivahana Green Energy Limited,CDMDB0007098,15,,India,,Clean Development Mechanism,https://cdm.unfccc.int,22.02094,79.0126,,Biomass,
15 MW Biomass Residue Based Power Project at Ghazipur  India,CDMDB0002708,15,,India,,Clean Development Mechanism,https://cdm.unfccc.int,25.5808,83.4851,,Biomass,
Biomass based Cogeneration unit at Co-operative Sugar mills in Fazilka  Punjab  India,CDMDB0006072,15,,India,,Clean Development Mechanism,https://cdm.unfccc.int,30.28833,74.10139,,Biomass,
Biomass based Cogeneration unit at Co-operative Sugar mills in Morinda  Punjab  India,CDMDB0005728,15,,India,,Clean Development Mechanism,https://cdm.unfccc.int,30.8,76.5,,Biomass,
Biomass based Cogeneration unit at Co-operative Sugar mills in Nakodar  Punjab  India,CDMDB0005980,15,,India,,Clean Development Mechanism,https://cdm.unfccc.int,31.08117,75.47729,,Biomass,
Biomass based power generation plant at village Channu  Punjab,CDMDB0004488,14.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Biomass based power project by Harinagar Sugar Mills Ltd,CDMDB0006315,14.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,27.14833,84.33167,,Biomass,
RREPL-14MW Rice Husk Power Project,CDMDB0000598,14,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.5234,83.1548,,Biomass,
BHL Thanabhawan Project,CDMDB0001180,13,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
Grid connected 13MW biomass power project in Maharashtra,CDMDB0000936,13,,India,,Clean Development Mechanism,https://cdm.unfccc.int,19.5216,75.2921,,Biomass,
NSSM - Narkatiaganj Biomass Power Project,CDMDB0001294,13,,India,,Clean Development Mechanism,https://cdm.unfccc.int,27.38,80.45,,Biomass,
Bagasse based power project at Jamkhandi Sugars Limited  Bagalkot  Karnataka,CDMDB0000282,12.3,,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.18333,75.7,,Biomass,
12 MW biomass based renewable power generation in Rajasthan  India,CDMDB0006878,12,,India,,Clean Development Mechanism,https://cdm.unfccc.int,24.8044,71.6025,,Biomass,
12.0 MW Biomass based power plant project at Baghaura  Punjab  India.,CDMDB0005867,12,,India,,Clean Development Mechanism,https://cdm.unfccc.int,30.3319,76.6069,,Biomass,
Bagasse Based cogeneration power project of Rana Sugars Limited  Amritsar District  Punjab;,CDMDB0000355,12,,India,,Clean Development Mechanism,https://cdm.unfccc.int,31.58333,74.98333,,Biomass,
Clarion 12MW (Gross) Renewable Sources Biomass Power Project,CDMDB0000075,12,,India,,Clean Development Mechanism,https://cdm.unfccc.int,15.5,79.5,,Biomass,
Energy efficiency improvement project at ISL,CDMDB0000793,12,,India,,Clean Development Mechanism,https://cdm.unfccc.int,31.9505,75.61583,,Biomass,
Rice husk based power generation project by MECBL at Raigarh,CDMDB0003591,12,,India,,Clean Development Mechanism,https://cdm.unfccc.int,22.23,83.42,,Biomass,
Shree Nakoda Ispat Ltd 12 MW Biomass power generation project,CDMDB0003148,12,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.36,81.6517,,Biomass,
Ganpati co-generation project at Medak  Andhra Pradesh,CDMDB0000370,10.5,,India,,Clean Development Mechanism,https://cdm.unfccc.int,17.3817,78.0717,,Biomass,
10 MW Biomass (Rice Husk) Based Power Generation Unit of M/s Rukmani Power and Steel Ltd.(RPSL),CDMDB0000532,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.58,83.07,,Biomass,
10 MW Biomass Based Renewable Energy Generation for the Grid at Saradambika Power Plant Private Limited at Chandrapur District  Maharashtra,CDMDB0001541,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
10 MW Biomass Power Project by Shalivahana (Biomass) Power Projects Limited,CDMDB0005803,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,23.5426,80.8211,,Biomass,
10 MW Biomass Power Project in Amreli District  Gujarat  India,CDMDB0004464,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.3739,71.325,,Biomass,
10 MW Biomass based Power Plant at Narsimhapur  Madhya Pradesh,CDMDB0005328,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,22.94444,79.19389,,Biomass,
10 MW Biomass based Power Plant by Sanjog Sugars & Eco-Power Private Limited,CDMDB0005723,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.75468,74.46686,,Biomass,
10 MW Biomass based Power Project in Powayan  District Shahjahanpur  Uttar Pradesh,CDMDB0009464,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,28.11334,80.15148,,Biomass,
10 MW Biomass based power Plant at Pollachi Coimbatore district  Tamil Nadu,CDMDB0005313,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,10.571,77.007,,Biomass,
10 MW Biomass based power generation project by Rake Power Limited at Ramtek  Nagpur,CDMDB0004319,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.3975,79.2517,,Biomass,
10 MW Biomass based renewable energy generation for the grid  Jalagon District  Maharashtra  India,CDMDB0002119,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
10 MW Biomass based renewable energy generation for the grid at ASN Power Projects (P) Limited in Chandrapur District Maharashtra,CDMDB0002129,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
10 MW Biomass based renewable energy generation for the grid at Sri Panchajanya Power Pvt. Limited in Hingoli District  Maharashtra,CDMDB0004333,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,19.6794,77.0939,,Biomass,
10 MW Biomass based renewable energy generation for the grid at Varam Bio Energy (P) Limited in Bhandara District  Maharashtra,CDMDB0002115,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
10 MW Biomass based renewable energy generation for the grid by Bhavnagar Biomass Power Projects Pvt Ltd,CDMDB0008317,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.8,71.733,,Biomass,
10 MW Biomass based renewable energy generation for the grid by Junagadh Power Projects (P) Ltd in Junagadh District  Gujarat,CDMDB0008258,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.421,70.32,,Biomass,
10 MW biomass based power generation project at Wani  Yavatmal by Shalivahana Projects Limited,CDMDB0001473,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,,,,Biomass,
10 MW biomass based power project of Ind Power limited,CDMDB0001295,10,,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.9292,83.5003,,Biomass,
