Plant,Latitude,Longitude,Capacity (MW),ID
ASHOKNAGAR MILL,19.586682,74.706067,17,1019939
KOLLEGAL SUGAR,12.10561,76.76056,16,1019922
CORE GREEN SUGAR,16.547136,77.082515,24,1019911
SHIROL MILL,16.749338,74.58537,36,1019985
DAUND SUGAR,18.427097,74.63385,30,1019950
DAVANGERE MILL,14.327699,75.880828,24,1019914
ARVINDNAGAR SUGAR,18.084452,76.185138,10,1019938
PARBHANI GANGAKHED,18.905653,76.728229,30,1019954
KUNDARGI MILL,16.265119,75.530243,16.5,1019925
KCSF SANGUR,14.775317,75.313131,18,1019920
NAGPUR GMT,21.058185,79.484983,10,1019974
SAMEERWADI MILL,16.391758,75.04106,24,1019932
JAISALMER GODAWARI,27.600954,72.22418,50,1019903
KOLHAPUR HEMARUS,16.032741,74.458331,20,1019961
BAGALKOT ICP,16.280441,75.225002,28,1019905
HAPURI MILL,16.603779,74.404456,24,1019958
SANGLI KRANTI,17.135394,74.427182,19.7,1019981
KOLHAPUR KUMBHI,16.688979,74.120148,17.5,1019963
LOKMANGAL SUGAR ETHANOL,17.44618,75.716138,31.5,1019965
MAHATMA SUGAR,20.855794,78.581434,15,1019966
SONAI MILL,19.38036,74.839714,16,1019987
RANJANI MILL,18.535429,76.245004,12.5,1019979
KOPPA SUGAR,12.70201,76.97874,26,1019923
TUNGABHADRA SUGAR,15.660921,76.875631,28,1019935
NARASINGPUR,22.964874,78.813218,10,1020007
HINGOLI MILL,19.282857,77.138422,18.9,1019957
NAGPUR MILL,20.806182,79.054762,,1019975
HIRIYUR BIOMASS,13.98079,76.627896,25,1019918
SAHAKAR SHIROMANI,17.707986,75.136063,18,1019980
SBT SUGAR,19.612459,74.192369,16,1019984
BILIYAKALAN PLANT,25.226697,74.621565,10,1019884
DUGGAVATHI MILL,14.628424,75.844762,22,1019915
HAVALGA SUGAR,17.12016,76.400355,25.5,1019917
MUNOLI DISTILLERY,15.855548,75.100248,11.2,1019928
ATHANI SUGAR,16.770815,74.919117,24,1019904
SANKESHWAR MILL,16.247807,74.500258,26,1019933
SHRI MALAPRABHA,15.693334,74.716162,22,1019934
VENUNAGAR SUGAR,17.738206,75.321818,19.8,1019993
SHRI SHANKAR,17.867644,74.840459,20,1019986
DNYANESHWAR MILL,19.449584,75.038185,12.96,1019952
KOLHAPUR KAGAL,16.589048,74.299261,20,1019962
SANGLI MIRAJ BIOMASS,16.917136,74.482116,10,1019982
RAMANAGARAM MILL,12.714481,77.45237,11,1019931
KM DODDI SUGAR,12.480627,77.041068,26,1019921
BELGAUM UGAR,16.650534,74.820945,22.8,1019906
BHANDARA VARAM,21.081325,79.770772,10,1019944
SANGLI VASANTDADA,16.880968,74.589755,12.5,1019983
BELLAD-BAGEWADI,16.27737,74.711138,15,1019907
YASHWANTRAO MOHITE,17.165295,74.245615,16,1019995
KARAD MILL,17.165749,74.245905,5,1019959
