f,geo_id,carma_id,osm_id
1015815,1,,
1015830,780,,
1016121,1958,,
1004655,1972,,
1015692,1974,,
1000099,1976,,
1000077,1977,,
1000115,1978,,
1001628,1993,,
1001629,1995,,
1001060,2000,,
1016079,2007,,
1015693,2008,,
1001061,2012,,
1001684,2031,,
1005556,2069,,
1006358,2069,,
1001065,2070,,
1008363,2073,,
1016090,2077,,
1016144,2077,,
1016145,2078,,
1015725,2103,,
1000663,2107,,
1001068,2108,,
1000625,2117,,
1018124,2121,,
1000116,2129,,
1001072,2134,,
1001073,2137,,
1008675,2144,,
1000083,2160,,
1000117,2166,,
1015698,2167,,
1005557,2175,,
1006213,2175,,
1000104,2180,,
1015701,2189,,
1017651,2194,,
1001074,2202,,
1008685,2213,,
1008686,2215,,
1016078,2219,,
1001077,2220,,
1001079,2224,,
1004672,2231,,
1001081,2232,,
1004678,2233,,
1015706,2234,,
1001082,2236,,
1001084,2239,,
1001086,2243,,
1001087,2244,,
1001088,2246,,
1015707,2253,,
1004685,2256,,
1001092,2258,,
1001093,2259,,
1015708,2266,,
1015710,2281,,
1015713,2284,,
1015716,2292,,
1016067,2294,,
1001097,2295,,
1015717,2297,,
1002693,2300,,
1005524,2300,,
1004271,2329,,
1001099,2330,,
1001105,2332,,
1001109,2335,,
1015720,2343,,
1003671,2344,,
1001624,2345,,
1008671,2355,,
1002694,2366,,
1005525,2366,,
1005553,2385,,
1001113,2389,,
1005551,2401,,
1002696,2402,,
1015729,2418,,
1015728,2419,,
1002699,2426,,
1015732,2434,,
1015735,2435,,
1005543,2440,,
1005621,2440,,
1015736,2451,,
1015737,2463,,
1001117,2469,,
1002701,2471,,
1005526,2471,,
1000190,2474,,
1008652,2477,,
1015740,2486,,
1000201,2489,,
1015742,2512,,
1000070,2515,,
1000069,2517,,
1000118,2539,,
1015744,2542,,
1001769,2550,,
1015747,2560,,
1015749,2562,,
1016097,2565,,
1015751,2574,,
1001707,2588,,
1002703,2589,,
1005527,2589,,
1015755,2597,,
1017210,2597,,
1002739,2605,,
1005552,2609,,
1019093,2609,,
1016105,2614,,
1001708,2617,,
1001121,2620,,
1001124,2623,,
1001661,2636,,
1001626,2637,,
1015757,2639,,
1015758,2639,,
1015760,2642,,
1015761,2645,,
1000372,2655,,
1000627,2656,,
1001128,2657,,
1016148,2660,,
1001129,2662,,
1002706,2665,,
1005528,2665,,
1000378,2666,,
1002707,2670,,
1005529,2670,,
1015763,2677,,
1015764,2677,,
1015884,2677,,
1002708,2687,,
1005530,2687,,
1001712,2712,,
1005558,2715,,
1006359,2715,,
1015773,2727,,
1016139,2729,,
1002711,2746,,
1004752,2756,,
1004753,2762,,
1004754,2762,,
1004755,2770,,
1002713,2771,,
1015776,2780,,
1004757,2781,,
1015777,2786,,
1004758,2787,,
1004759,2788,,
1004761,2807,,
1004764,2824,,
1002716,2825,,
1005531,2825,,
1016120,2834,,
1017222,2846,,
1001134,2847,,
1000370,2850,,
1001139,2851,,
1001148,2855,,
1000096,2858,,
1004773,2860,,
1000075,2861,,
1002720,2862,,
1005532,2862,,
1000208,2865,,
1015781,2871,,
1004776,2889,,
1001135,2890,,
1015786,2906,,
1001142,2921,,
1008682,2922,,
1004779,2929,,
1004780,2929,,
1004781,2941,,
1002722,2947,,
1002223,2948,,
1005517,2948,,
1008689,2949,,
1008690,2952,,
1016113,2958,,
1001145,2963,,
1001146,2972,,
1000120,2974,,
1004785,2975,,
1005520,2983,,
1004792,2985,,
1005564,2985,,
1000119,2994,,
1015791,2998,,
1015793,3013,,
1015794,3013,,
1002736,3020,,
1002854,3023,,
1004800,3027,,
1000098,3036,,
1016114,3037,,
1000097,3042,,
1017769,3064,,
1002725,3067,,
1005544,3071,,
1005659,3071,,
1005857,3071,,
1001725,3072,,
1002855,3078,,
1002885,3079,,
1004803,3081,,
1001155,3086,,
1008360,3099,,
1000108,3102,,
1001156,3105,,
1001180,3105,,
1001159,3151,,
1001631,3155,,
1004813,3162,,
1016082,3169,,
1004814,3170,,
1002727,3171,,
1005533,3171,,
1004816,3173,,
