gppd_idnr,owner,lei
WRI1029353,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029357,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029354,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029362,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029340,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029367,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029351,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029352,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029360,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029355,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1029343,Empresa Nacional De Energia Electrica,549300PVHXUFEIE6LY50
WRI1002787,Orkuveita Reykjavíkur,5493004ARP9VPUIX5B73
WRI1002788,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002791,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002794,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002796,Orkuveita Reykjavíkur,5493004ARP9VPUIX5B73
WRI1002797,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002800,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002802,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002803,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002805,Orkuveita Reykjavíkur,5493004ARP9VPUIX5B73
WRI1002808,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002809,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002811,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1002799,Landsvirkjun,213800Z3CFZOLXPJWN61
WRI1019881,Ultratech Cement ltd,335800PC9O9B4BQHG814
WRI1026669,AES,2NUNNB7D43COUIRE5295
WRI1019940,Ultratech Cement ltd,335800PC9O9B4BQHG814
WRI1026104,Nav Bharat Buildcon Private Limited,335800KFLWFITQR6NO54
WRI1019941,Ballarpur Industries ltd,3358004SU97ZD4RPVH82
WRI1019909,Janki Corp ltd,213800CIYZ9LJWG2KR12
WRI1019943,Sunflag Co ltd,213800G3MKWL246Y1H14
WRI1019945,Ballarpur Industries ltd,3358004SU97ZD4RPVH82
WRI1026113,Dr Babasaheb Ambedkar SSK Limited,335800H5L9KWEZL59I36
WRI1026115,Green Infra Solar Farms Private Limited (GIS),3358007SK3GCDFQ47I10
WRI1026116,Green Infra Solar Farms Private Limited (GIS),3358007SK3GCDFQ47I10
WRI1026117,OPG Energy Private Limited,335800CC7GHHSMSSRR83
WRI1026118,Punj Lloyd Solar Private Limited,33580091ASSWGV9K9630
WRI1026119,Hiraco Renewable Energy Private Limited (HREPL),335800I6FG1V36IPE134
WRI1026124,Abellon CleanEnergy Limited,33580068AFOZ4TF63D39
WRI1026125,Adani Power Limited,33580074T4XKFXBDG813
WRI1019886,Birla Corp ltd,391200L7GXU5RQJLKN95
WRI1019887,Hindustan Zinc ltd,335800LB39TLJ8YTWM98
WRI1019911,Core Fuels ltd,2549005ZVVKYYC73GC52
WRI1026128,Maharashtra State Power Generation Co Ltd (MAHAGENCO),335800UG5B4HOGEZ2689
WRI1019902,Reliance Power ltd,335800D1QMGOF93XZU85
WRI1019953,Jsw Steel ltd,335800EK6HZSC4CVAJ09
WRI1019998,Jai Industries ltd,9845004G4B2AL144DD22
WRI1019913,West Coast Paper Mills Ltd.,335800L5PBYRF2OUG772
WRI1026133,Ujaas Energy Limited,335800PU1WHE6EAT2E23
WRI1026134,Sand Land Real Estates Pvt Ltd,254900TK4FVTFHZY3364
WRI1020240,Reliance Power,335800D1QMGOF93XZU85
WRI1026662,EMCO Limited,213800BIMEV8RMI9E234
WRI1026653,Frost International Limited,2138002HWEG9SUZ1D277
WRI1026793,GFL,254900YWFN7ZTR0D8S47
WRI1026658,Bangalore Electricity Supply Company Limited,335800JIZUJH3CDZLF85
WRI1019956,Grace Industries ltd,254900EIW2K3PN3OPT75
WRI1019916,Orient Cement ltd,335800GWMUH19K5PDZ48
WRI1026145,Solar Energy Centre,213800RXKSO4Z8RXT512
WRI1026795,Hindustan Zinc Ltd.,335800LB39TLJ8YTWM98
WRI1026794,Hindustan Zinc Ltd.,335800LB39TLJ8YTWM98
WRI1026661,Fortune Five Hydel Projects Limited,33580031SGDC8FPS2696
WRI1026147,Harsha Engineers Limited,335800TRAZXDE2HJZD65
WRI1026148,Karnataka Power Corporation Limited,335800EW7OAVVJ1JCG09
WRI1026339,K. N. Ram,2549005XQT5WRWXKXJ67
WRI1020003,Maral Overseas ltd,335800UPAKUVCQKWLD56
WRI1019923,Nsl Sugars ltd,3358003Y147NJQPFEV31
WRI1019925,Gem Sugars ltd,8945001RFMKJ1LHD2Q71
WRI1026151,Adani Power Limited,33580074T4XKFXBDG813
WRI1026153,Azure Power (Rajasthan) Private Limited,335800JYCT4CPSLUVY96
WRI1026154,Azure Power (Rajasthan) Private Limited,335800JYCT4CPSLUVY96
WRI1026157,Gujarat Urja Vikas Nigam Limited,33580041DM91UH5WHE21
WRI1026161,ACME Solar Energy,335800T64VN9NP4DEY04
WRI1026165,Tata Power Solar Systems Limited (TPREL),3358006244JXLKQ64V68
WRI1026343,Loyal Textile Mills Limited,335800KOAN91IHNU1475
WRI1026674,LNJ Power Ventures Limited,335800TM35ZROZLPK342
WRI1019964,Tata Co ltd,875500BNX24H52KIW121
WRI1026344,Loyal Textile Mills Limited,335800KOAN91IHNU1475
WRI1026346,Liberty Oil Mills Limited,3358002H1XE3O8R7FH88
WRI1019969,Ambuja Cements ltd,335800NT6LQHR1428E20
WRI1026348,Jodhpur Vidyut Vitran Nigam Limited,335800MERERDSPMJ2478
WRI1026070,MSPL,335800463DHVT8YRJ384
WRI1020014,Jsw Steel ltd,335800EK6HZSC4CVAJ09
WRI1026173,Tata Power Solar Systems Limited (TPREL),3358006244JXLKQ64V68
WRI1026174,Tata Power Solar Systems Limited (TPREL),3358006244JXLKQ64V68
WRI1020006,Grasim Industries ltd,335800WLY7FOIT3ERV21
WRI1019977,Rattanindia Power ltd,3358008RV9J223FDR402
WRI1019895,Nitin Spinners ltd,335800YE1INDT4ZCM355
WRI1026349,NMDC,335800IXHXOHQ7B2HP66
WRI1026176,EMC Limited,KDMDXRWU7UTJ30FC8R59
WRI1026351,Tadas Wind Energy,335800K5C8X137UIYG85
WRI1026352,Bhoruka Power,335800XGN5UKL6F92V36
WRI1026177,Godawari Green Energy Limited (GGEL),335800U3ZUGT6K6E7Z74
WRI1026180,Gujarat Mineral Development Corporation Limited (GMDC),335800B8OP5L7DH9VD35
WRI1026181,Vivek Pharmachem (India) Limited,3358006TBX636JQJFZ83
WRI1026183,Reliance Power Limited,335800D1QMGOF93XZU85
WRI1026184,Reliance Power Limited,335800D1QMGOF93XZU85
WRI1026673,Powerica Limited,335800SFYJBCC9IWRO48
WRI1026792,Powerica Limited,335800SFYJBCC9IWRO48
WRI1026791,Powerica Limited,335800SFYJBCC9IWRO48
WRI1026186,Precious Energy Services Pvt Ltd,335800YIN63TEV8WGK06
WRI1026187,Azure Urja Private Limited,335800YJ9QFM3WJ9Y695
WRI1019896,Ambuja Cements ltd,335800NT6LQHR1428E20
WRI1019929,Surana Industries ltd,335800RDVIVRUOZ41627
WRI1019897,Hindustan Zinc ltd,335800LB39TLJ8YTWM98
WRI1019898,Shree Cement ltd,335800W6FNBDUZ89L830
WRI1026189,Ujaas Energy Limited,335800PU1WHE6EAT2E23
WRI1026770,Ratedi Wind Power Private Limited,335800CBVQWM9XE7RY07
WRI1026195,Indian Oil Corporation (IOC),3358001OLFYZBYAU7642
WRI1026752,Relaxo Footwears Limited,335800WKVV9SXNBPBQ04
WRI1026199,Ujaas Energy Limited,335800PU1WHE6EAT2E23
WRI1020009,Birla Corp ltd,391200L7GXU5RQJLKN95
WRI1019899,Shree Cement ltd,335800W6FNBDUZ89L830
WRI1019900,Dcm Industries ltd,353800S1QF5V2DN70A36
WRI1026789,Serum Institute of India Limited,335800NQ978C5FRJ2C72
WRI1026200,Aftaab Solar Private Limited (ASPL),335800D2VI67QWHCL303
WRI1026202,Maharashtra State Power Generation Co Ltd (MAHAGENCO),335800UG5B4HOGEZ2689
WRI1026203,Maharashtra State Power Generation Co Ltd (MAHAGENCO),335800UG5B4HOGEZ2689
WRI1026204,Omega Solar Projects Private Limited,391200RSG0YBK5OJHZ05
WRI1026205,Mono Steel (India) Ltd,335800NQ9JOGO257GW15
WRI1026207,Karnataka Power Corporation Limited,335800EW7OAVVJ1JCG09
WRI1026209,S J Green Park Energy Private Limited,335800F86N8AKP5K8G16
WRI1026786,Shree Naman Developers Ltd.,335800G696I5IZ1VNZ21
WRI1026785,Shree Naman Developers Ltd.,335800G696I5IZ1VNZ21
WRI1026784,Shree Naman Developers Ltd.,335800G696I5IZ1VNZ21
WRI1026213,Solitaire Energies Pvt Ltd,335800RL8W9TU4WHD656
WRI1019935,Nsl Sugars ltd,3358003Y147NJQPFEV31
WRI1026660,Tadas Wind Energy Private Limited,335800K5C8X137UIYG85
WRI1026787,Tata Power,335800H5R3TGTJ7LQ663
WRI1026654,Green Infra Wind Power Projects Limited,3358004XLERO5HQHWH65
WRI1026765,Torrent Power Limited,335800DJYYJQGAH3OX89
WRI1026759,UPL,213800AQLATW4WEEH674
WRI1019936,Kesoram Industries ltd,335800QJ7TU251TYMJ66
WRI1026219,Gujarat Industries Power Company Limited (GIPCL),335800CV3K9PSMR28954
WRI1026220,ACME Cleantech Solutions Private Limited,335800Y9QOUKCKEBDN64
WRI1026753,Riddhi Siddhi Gluco Biols Limited,3358002YBSVGL3EE4A50
WRI1026769,Mytrah Energy (India) Limited,213800SKBR127G3IWK44
WRI1026222,Karnataka Power Corporation Limited,335800EW7OAVVJ1JCG09
WRI1019901,Hindustan Zinc ltd,335800LB39TLJ8YTWM98
WRI1000835,PT. Krakatau Posco Energy (JV : Korea Posco Energy (70%) + PT. Krakatau Daya Listrik (30%)),254900ZUSEE8VCY3IQ49
WRI1000990,PT. Central Java Power,254900335BYMCOSBGF57
WRI1000991,PT. Central Java Power (EPC : Korea Midland Power Co),254900335BYMCOSBGF57
WRI1000994,Indonesia Power,5299009SXQXULG50HM42
WRI1075814,PT Indah Kiat Pulp & Paper,529900F19DXXA9HNCB51
WRI1000803,INDONESIA POWER UNIT,5299009SXQXULG50HM42
WRI1001014,PT. Indonesia Asahan aluminium,2549008P48EB9SN2OI80
WRI1001024,PT. Indonesia Asahan aluminium,2549008P48EB9SN2OI80
WRI1022868,Castledockrell Wind Group Limited,635400DRV9DMQVE3F863
WRI1022869,Gaelectric,635400NDVFBUVITNKK21
WRI1022899,Gaelectric,635400NDVFBUVITNKK21
WRI1002824,Endesa,549300LHK07F2CHV4X31
WRI1002825,Viridian,254900BJFW8THGHN4U38
WRI1002826,Viridian,254900BJFW8THGHN4U38
WRI1022913,SWS,222100L8WO26GQ3ECH84
WRI1022915,Brookfield Renewable Energy,VA8DFMRI2GY8Y7V79H93
WRI1061481,Dead Sea Works,549300W229ZUOYC90S15
WRI1022920,Brookfield Renewable Energy,VA8DFMRI2GY8Y7V79H93
WRI1022932,SWS,222100L8WO26GQ3ECH84
WRI1002834,Electricity Supply Board,635400UFHDIQCDZ6JK11
WRI1002837,Endesa,549300LHK07F2CHV4X31
WRI1002839,Endesa,549300LHK07F2CHV4X31
WRI1002840,Endesa,549300LHK07F2CHV4X31
WRI1022979,Tullynamoyle Wind Farm Limited,6354009BLDVWNDTLOE43
WRI1008363,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1008374,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1026453,Belectric GmbH,5299004KJAFG8A43JF41
WRI1008373,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1008360,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1026456,Belectric GmbH,5299004KJAFG8A43JF41
WRI1008366,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1008370,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1008358,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1008368,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1061486,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1061488,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1026462,Belectric GmbH,5299004KJAFG8A43JF41
WRI1061482,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1026457,Belectric GmbH,5299004KJAFG8A43JF41
WRI1008361,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1008364,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1008359,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1008362,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1061483,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1026459,Belectric GmbH,5299004KJAFG8A43JF41
WRI1026460,Belectric GmbH,5299004KJAFG8A43JF41
WRI1026461,Belectric GmbH,5299004KJAFG8A43JF41
WRI1008365,Israel Electric corporation,254900JW7GE35YNJGJ55
WRI1061484,EDF,5493006P7AE08GBE3K26
WRI1002845,Edison,549300I7ROF15MAEVP56
WRI1002851,Edison,549300I7ROF15MAEVP56
WRI1026388,Envalue GmbH,5299009INYL5MJVTU208
WRI1002885,Enel SpA,WOCMU6HCI0OJWNPRZS33
WRI1002857,Edison,549300I7ROF15MAEVP56
WRI1002855,Enel SpA,WOCMU6HCI0OJWNPRZS33
WRI1002858,Edison,549300I7ROF15MAEVP56
WRI1002884,E.On Produzione SpA,549300BPB73CV5DPP388
WRI1026404,Enel Green Power SpA,549300VLR4TEG8VILM36
WRI1026408,Solar Asset Management,54930028N1Q0HOSUKD33
WRI1002896,Edison,549300I7ROF15MAEVP56
WRI1002900,Enel SpA,WOCMU6HCI0OJWNPRZS33
WRI1026412,Envalue GmbH,5299009INYL5MJVTU208
WRI1002911,A2A Spa,81560076E3944316DB24
WRI1026421,GP Joule GmbH,529900GX22K5X3QZ1H97
WRI1002923,Edison,549300I7ROF15MAEVP56
WRI1002928,Edison,549300I7ROF15MAEVP56
WRI1002853,Enel SpA,WOCMU6HCI0OJWNPRZS33
WRI1026428,Enel Green Power SpA,549300VLR4TEG8VILM36
WRI1026429,Carpevigo AG,391200SDCFZWSKNKUH06
WRI1002946,Edison,549300I7ROF15MAEVP56
WRI1002953,Edison,549300I7ROF15MAEVP56
WRI1026434,Solar Asset Management,54930028N1Q0HOSUKD33
WRI1021681,Enel Green Power SpA,549300VLR4TEG8VILM36
WRI1002959,Enel SpA,WOCMU6HCI0OJWNPRZS33
WRI1002966,GDF Suez,LAXUQCHT4FH58LRZDY46
WRI1002971,Edison,549300I7ROF15MAEVP56
WRI1026441,Enel Green Power SpA,549300VLR4TEG8VILM36
WRI1026450,Carpevigo AG,391200SDCFZWSKNKUH06
WRI1023919,Jamaica Public Service Company,549300TBZIX3OF2ZCE19
WRI1023918,Jamaica Public Service Company,549300TBZIX3OF2ZCE19
WRI1023925,Jamaica Public Service Company,549300TBZIX3OF2ZCE19
WRI1023924,Jamaica Public Service Company,549300TBZIX3OF2ZCE19
WRI1023917,Jamaica Public Service Company,549300TBZIX3OF2ZCE19
WRI1023927,Jamaica Public Service Company,549300TBZIX3OF2ZCE19
WRI1020222,CHUBU ELECTRIC POWER CO INC,529900A76GOP0PGNHT63
WRI1026471,GE Energy Financial Services,549300GU1M5DNJEQ1W35
WRI1020115,TOKYO ELECTRIC POWER CO,5299004EMJ3R4RVR5Y75
WRI1075842,Mitsubishi Paper Mills Ltd,353800NBZ0Q01KOK1B77
WRI1000618,Tohoku Electric Power Co,353800KTF7EYIIYHY088
WRI1020116,KYUSHU ELECTRIC POWER CO,549300BYNZPLKQVQH430
WRI1000637,Chubu Electric Power Co Inc,529900A76GOP0PGNHT63
WRI1020211,ECOPOWER CO LTD,549300Z62X8Z0HRA3Q17
WRI1000635,Tokyo Electric Power Company,5299004EMJ3R4RVR5Y75
WRI1020234,HOKKAIDO ELECTRIC POWER CO INC,353800XDXIIZDHUO0J51
WRI1020218,ECOPOWER CO LTD,549300Z62X8Z0HRA3Q17
WRI1026481,Orix Corporation,35380016EMHNBOVYE123
WRI1020201,ECOPOWER CO LTD,549300Z62X8Z0HRA3Q17
WRI1020117,KYUSHU ELECTRIC POWER CO,549300BYNZPLKQVQH430
WRI1026491,Sharp Corporation,353800YEPK9PD7QO3449
WRI1020086,Daio Paper Company,353800VL9DQ781ZR1G70
WRI1061348,Kansai Electric Power Co,353800PFUKP5ONPJNZ86
WRI1020203,CHUBU ELECTRIC POWER CO INC,529900A76GOP0PGNHT63
WRI1026501,Mitsui & Co Ltd,2NRSB4GOU9DD6CNW5R48
WRI1020065,Kobelco Power Kobe  Inc.,3538003D4CZW8YHNIR77
WRI1026507,Tokyo Electric Power Co Inc (TEPCO),5299004EMJ3R4RVR5Y75
WRI1000652,Kansai Electric Power Co,353800PFUKP5ONPJNZ86
WRI1020119,TOHOKU ELECTRIC POWER CO,353800KTF7EYIIYHY088
WRI1020037,Kyushu Electric Power Co,549300BYNZPLKQVQH430
WRI1020079,Daio Paper Company,353800VL9DQ781ZR1G70
WRI1000660,Chugoku Electric Power Co,353800MV866ELME96Q46
WRI1061346,Mitsubishi Corporation,ODK4BXEBUFQMZUHQLM70
WRI1020120,TOHOKU ELECTRIC POWER CO,353800KTF7EYIIYHY088
WRI1020194,ECOPOWER CO LTD,549300Z62X8Z0HRA3Q17
WRI1020155,Osaka Gas,353800024KMNOPQRWZ02
WRI1020030,Hokkaido Electric Power Co Inc,353800XDXIIZDHUO0J51
WRI1000646,Hokuriku Electric Power Co,353800Z4ZNGBULYR8W57
WRI1020080,Tosoh Corp,529900YSLFVJF2MDBX02
WRI1026532,SB Energy Corporation,9845000E995514DDRB96
WRI1000691,Hokkaido,213800YUAM3PG5C41X67
WRI1020227,HOKKAIDO ELECTRIC POWER CO INC,353800XDXIIZDHUO0J51
WRI1000620,Tohoku Electric Power Co,353800KTF7EYIIYHY088
WRI1020121,KYUSHU ELECTRIC POWER CO,549300BYNZPLKQVQH430
WRI1026535,Tokyo Electric Power Co Inc (TEPCO),5299004EMJ3R4RVR5Y75
WRI1020233,HOKKAIDO ELECTRIC POWER CO INC,353800XDXIIZDHUO0J51
WRI1026541,Onahama Solar LLC,353800914WD949JR9942
WRI1026542,Onahama Izumi Solar LLC,353800GL0ET68YYUUN96
WRI1020122,TOHOKU ELECTRIC POWER CO,353800KTF7EYIIYHY088
WRI1020123,HOKKAIDO ELECTRIC POWER CO INC,353800XDXIIZDHUO0J51
WRI1020124,KYUSHU ELECTRIC POWER CO,549300BYNZPLKQVQH430
WRI1000666,Kyushu Electric Power Co,549300BYNZPLKQVQH430
WRI1026551,Kansai Electric Power Co Inc,353800PFUKP5ONPJNZ86
WRI1000661,Chugoku Electric Power Co,353800MV866ELME96Q46
WRI1020031,Hokkaido Electric Power Co Inc,353800XDXIIZDHUO0J51
WRI1026565,Tahara Solar Co Ltd,353800HO64BMO0JB9S44
WRI1026566,Tahara Solar Co Ltd,353800HO64BMO0JB9S44
WRI1000692,Hokkaido,213800YUAM3PG5C41X67
WRI1020126,MITSUBISHI MATERIALS CORP,35380076QOBOSOUBRT89
WRI1020228,HOKKAIDO ELECTRIC POWER CO INC,353800XDXIIZDHUO0J51
WRI1020232,HOKKAIDO ELECTRIC POWER CO INC,353800XDXIIZDHUO0J51
WRI1026575,Japan Petroleum Exploration Company Limited (JAPEX),549300WXUNBZ356DMN17
WRI1026577,Mitsui Fudosan Tomakomai Solar Power Plant,353800ND4ZKNZDYKMF33
WRI1000674,Hokkaido,213800YUAM3PG5C41X67
WRI1000616,Hokkaido Electric Power Co Inc,353800XDXIIZDHUO0J51
WRI1020230,HOKKAIDO ELECTRIC POWER CO INC,353800XDXIIZDHUO0J51
WRI1000645,Hokuriku Electric Power Co,353800Z4ZNGBULYR8W57
WRI1000647,Hokuriku Electric Power Co,353800Z4ZNGBULYR8W57
WRI1020127,KYUSHU ELECTRIC POWER CO,549300BYNZPLKQVQH430
WRI1026589,Tokyo Electric Power Co Inc (TEPCO),5299004EMJ3R4RVR5Y75
WRI1020229,HOKKAIDO ELECTRIC POWER CO INC,353800XDXIIZDHUO0J51
WRI1020128,TOHOKU ELECTRIC POWER CO,353800KTF7EYIIYHY088
WRI1020129,KYUSHU ELECTRIC POWER CO,549300BYNZPLKQVQH430
WRI1000291,IPC,213800FHEVWY25Z4YW20
WRI1000299,IPC,213800FHEVWY25Z4YW20
WRI1023218,PetroKazakhstan,549300D14K01VCZ8RA32
WRI1000295,AES,2NUNNB7D43COUIRE5295
WRI1000298,AES,2NUNNB7D43COUIRE5295
WRI1061220,Ormat Technologies Inc,5493000TSHHWY24VHM09
WRI1001053,EDF,5493006P7AE08GBE3K26
WRI1026641,Petronas,5493000YQ5WVP65Z4249
MEX0001766,CFE,4469000001BFPONMPF32
MEX0001856,CFE,4469000001BFPONMPF32
MEX0001859,CFE,4469000001BFPONMPF32
MEX0001776,CFE,4469000001BFPONMPF32
MEX0001845,CFE,4469000001BFPONMPF32
MEX0001857,CFE,4469000001BFPONMPF32
MEX0001818,CFE,4469000001BFPONMPF32
MEX0001852,CFE,4469000001BFPONMPF32
MEX0001768,CFE,4469000001BFPONMPF32
MEX0001860,CFE,4469000001BFPONMPF32
MEX0001802,CFE,4469000001BFPONMPF32
MEX0001868,CFE,4469000001BFPONMPF32
MEX0001784,CFE,4469000001BFPONMPF32
MEX0001813,Compañía De Nitrógeno De Cantarell  S. A. De C. V.,549300D4LMSMW91H0U24
MEX0001805,CFE,4469000001BFPONMPF32
MEX0001804,CFE,4469000001BFPONMPF32
MEX0001833,CFE,4469000001BFPONMPF32
MEX0001820,CFE,4469000001BFPONMPF32
MEX0001871,Eoliatec Del Istmo  S. A. P. I. De C. V.,529900S8XNYWE74MDA06
MEX0001832,CFE,4469000001BFPONMPF32
MEX0001865,CFE,4469000001BFPONMPF32
MEX0001767,CFE,4469000001BFPONMPF32
MEX0001819,CFE,4469000001BFPONMPF32
MEX0001851,CFE,4469000001BFPONMPF32
MEX0001815,CFE,4469000001BFPONMPF32
MEX0001830,CFE,4469000001BFPONMPF32
MEX0001831,CFE,4469000001BFPONMPF32
MEX0001788,CFE,4469000001BFPONMPF32
MEX0001789,CFE,4469000001BFPONMPF32
MEX0001806,CFE,4469000001BFPONMPF32
MEX0001854,CFE,4469000001BFPONMPF32
MEX0001785,CFE,4469000001BFPONMPF32
MEX0001771,CFE,4469000001BFPONMPF32
MEX0001817,CFE,4469000001BFPONMPF32
MEX0001864,CFE,4469000001BFPONMPF32
MEX0001769,CFE,4469000001BFPONMPF32
MEX0001858,CFE,4469000001BFPONMPF32
MEX0001849,CFE,4469000001BFPONMPF32
MEX0001870,CFE,4469000001BFPONMPF32
MEX0001861,CFE,4469000001BFPONMPF32
MEX0001855,CFE,4469000001BFPONMPF32
MEX0001853,CFE,4469000001BFPONMPF32
MEX0001770,CFE,4469000001BFPONMPF32
MEX0001778,CFE,4469000001BFPONMPF32
MEX0001779,CFE,4469000001BFPONMPF32
MEX0001869,CFE,4469000001BFPONMPF32
MEX0001836,CFE,4469000001BFPONMPF32
MEX0001873,CFE,4469000001BFPONMPF32
MEX0001839,CFE,4469000001BFPONMPF32
MEX0001872,CFE,4469000001BFPONMPF32
MEX0001765,CFE,4469000001BFPONMPF32
MEX0001847,CFE,4469000001BFPONMPF32
MEX0001777,CFE,4469000001BFPONMPF32
MEX0001816,CFE,4469000001BFPONMPF32
MEX0001783,CFE,4469000001BFPONMPF32
MEX0001850,CFE,4469000001BFPONMPF32
MEX0001880,CFE,4469000001BFPONMPF32
MEX0001786,CFE,4469000001BFPONMPF32
MEX0001791,CFE,4469000001BFPONMPF32
MEX0001811,CFE,4469000001BFPONMPF32
MEX0001863,CFE,4469000001BFPONMPF32
MEX0001781,Termoelectrica De Mexicali  S. De R.l. De C. V.,549300E436KS01O64295
MEX0001838,CFE,4469000001BFPONMPF32
MEX0001801,CFE,4469000001BFPONMPF32
MEX0001867,CFE,4469000001BFPONMPF32
MEX0001787,CFE,4469000001BFPONMPF32
MEX0001808,CFE,4469000001BFPONMPF32
MEX0001780,CFE,4469000001BFPONMPF32
MEX0001862,CFE,4469000001BFPONMPF32
WRI1075838,Central Energy System,549300LSV37Y2PS1ZH91
WRI1023677,Energie Electrique de Tahaddart (EET),969500YHJ0AUCWRI1210
WRI1061380,Pacific Link Cement,549300KBZM9NUXUJN467
WRI1019310,Vattenfall,549300F7CPGDOX2FAU13
WRI1019288,Electrabel,5493005T5F2GEIXL1254
WRI1019305,GDF Suez,LAXUQCHT4FH58LRZDY46
WRI1019307,GDF Suez,LAXUQCHT4FH58LRZDY46
WRI1019306,GDF Suez,LAXUQCHT4FH58LRZDY46
WRI1019313,Vattenfall,549300F7CPGDOX2FAU13
WRI1019311,Vattenfall,549300F7CPGDOX2FAU13
WRI1019290,Electrabel,5493005T5F2GEIXL1254
WRI1000302,Meridian Energy,254900IFKXIGNCY3A092
WRI1000301,Meridian Energy,254900IFKXIGNCY3A092
WRI1000328,Contact Energy,549300FT5JOXS1PZ1I32
WRI1000343,Trustpower,254900BVQFBUCEDJWT59
WRI1000344,Trustpower,254900BVQFBUCEDJWT59
WRI1000314,Genesis Energy,549300VJ5D6MDK138782
WRI1000345,Trustpower,254900BVQFBUCEDJWT59
WRI1000305,Genesis Energy,549300VJ5D6MDK138782
WRI1000306,Genesis Energy,549300VJ5D6MDK138782
WRI1000307,Genesis Energy,549300VJ5D6MDK138782
WRI1000347,Trustpower,254900BVQFBUCEDJWT59
WRI1000304,Meridian Energy,254900IFKXIGNCY3A092
WRI1000339,Trustpower,254900BVQFBUCEDJWT59
WRI1022455,Meridian Energy,254900IFKXIGNCY3A092
WRI1000332,Contact Energy,549300FT5JOXS1PZ1I32
WRI1000300,Meridian Energy,254900IFKXIGNCY3A092
WRI1000346,Trustpower,254900BVQFBUCEDJWT59
WRI1000341,Trustpower,254900BVQFBUCEDJWT59
WRI1000311,Genesis Energy,549300VJ5D6MDK138782
WRI1022456,Meridian Energy,254900IFKXIGNCY3A092
WRI1000334,Contact Energy,549300FT5JOXS1PZ1I32
WRI1000336,Contact Energy,549300FT5JOXS1PZ1I32
WRI1022453,Meridian Energy,254900IFKXIGNCY3A092
WRI1000313,Genesis Energy,549300VJ5D6MDK138782
WRI1000312,Genesis Energy,549300VJ5D6MDK138782
WRI1000348,Trustpower,254900BVQFBUCEDJWT59
WRI1000331,Contact Energy,549300FT5JOXS1PZ1I32
WRI1000303,Meridian Energy,254900IFKXIGNCY3A092
WRI1022454,Meridian Energy,254900IFKXIGNCY3A092
WRI1000337,Contact Energy,549300FT5JOXS1PZ1I32
WRI1022457,Meridian Energy,254900IFKXIGNCY3A092
WRI1030458,Maple Leaf Power,549300UQYYJAY9MW1D97
WRI1030460,Korea Water Resource Corporation,98840035IHSMZZ2TP220
WRI1022071,Duke Energy Egenor S en C por A.,I1BZKREC126H0VB1BL91
WRI1022052,Kallpa Generación S.A,549300NG1PWEI5BZG095
WRI1022101,Panamericana Solar S.A.C.,9598002BC0WJRP49R469
WRI1022048,Empresa de Generación Eléctrica San Gabán S. A.,5493006U2LD0TLB5YJ45
WRI1022103,Tacna Solar S.A.C,959800SYBX6G2GFZ7954
WRI1029960,Prime Meridian PowerGen Corp.,254900WDU9TVJ8YB2L71
WRI1029969,SMC Global Power Holdings,549300HBCE80QXKII590
WRI1030471,Next Generation Power Technology Corporation,254900G64XFPPRS97K59
WRI1001871,SMC Global Power,549300HBCE80QXKII590
