gppd_idnr,owner,lei
ARG0000088,EPEC,969500Q0UAEOFOVKFF97
ARG0000112,NASA,549300KPBZCTMM3Y0061
ARG0000089,EPEC,969500Q0UAEOFOVKFF97
ARG0000090,EPEC,969500Q0UAEOFOVKFF97
ARG0000091,EPEC,969500Q0UAEOFOVKFF97
ARG0000164,LA PLATA COGENERACION,529900M5D4DEN0ZE9O81
ARG0000222,EMSA,529900RF3B86JJOUJD79
ARG0000094,EPEC,969500Q0UAEOFOVKFF97
ARG0000096,EPEC,969500Q0UAEOFOVKFF97
ARG0000097,EPEC,969500Q0UAEOFOVKFF97
ARG0000223,EMSA,529900RF3B86JJOUJD79
ARG0000305,MUNICIPAL,549300FJ5ABWZAUFZI81
ARG0000233,CENTRAL PUERTO S.A,2549005JLIWQ6B7VNR38
ARG0000099,EPEC,969500Q0UAEOFOVKFF97
ARG0000100,EPEC,969500Q0UAEOFOVKFF97
ARG0000101,EPEC,969500Q0UAEOFOVKFF97
ARG0000241,DUKE ENERGY CERROS COLORADOS SA,I1BZKREC126H0VB1BL91
ARG0000103,EPEC,969500Q0UAEOFOVKFF97
ARG0000104,EPEC,969500Q0UAEOFOVKFF97
ARG0000105,EPEC,969500Q0UAEOFOVKFF97
ARG0000227,EMSA,529900RF3B86JJOUJD79
ARG0000107,EPEC,969500Q0UAEOFOVKFF97
ARG0000181,APE,549300T6Z2L1S1VLZS54
ARG0000108,EPEC,969500Q0UAEOFOVKFF97
ARG0000228,EMSA,529900RF3B86JJOUJD79
ARG0000109,EPEC,969500Q0UAEOFOVKFF97
AUS0000114,Alcoa of Australia Ltd,213800ITOYEXT7GSDW08
AUS0000220,Rio Tinto - Argyle Diamond Mines,213800YOEO5OQ72G2R82
AUS0000014,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000151,Stanwell Corporation Ltd,254900AFLC58ODCNXV49
AUS0000137,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000139,Aurora Energy Tamar Valley Pty Ltd,549300F5KEDOXO4MIT14
AUS0000395,AGL Energy,549300QAZ8A74DEDXO80
AUS0000266,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000267,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000009,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000394,Boco Rock Wind Farm Pty Ltd,254900YO65RNQ32KG374
AUS0000102,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000342,AGL Energy,549300QAZ8A74DEDXO80
AUS0000256,Central Energy Power,549300LSV37Y2PS1ZH91
