Source Name,Country/Region,Link/File,Prioritization
WRI,global,https://drive.google.com/drive/folders/0B78TeVg1_hjYbnhHSHp2NlhaZEU,2
EIA-860,USA,,1
GEO,global,http://globalenergyobservatory.org/,3
CARMA,global,http://carma.org/,4
SOURCEWATCH,China,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,1
AREMI,Australia,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,1
ENERGIA ABIERTA,Chile,http://cne.cloudapi.junar.com/api/v2/datastreams/DATASET_NAME/data.csv/,1
ENTSOE,Europe,,1
ANEEL,Brazil,http://sigel.aneel.gov.br/kmz.html,1
MINEM,Argentina,http://datos.minem.gob.ar/reportes/geo_csv/electrica_generacion_visor_centrales.csv,1
MINEM - Biomass,Argentina,http://datos.minem.gob.ar/reportes/geo_csv/electrica_generacion_centrales_biomasa.csv,1
AUPTD,Yemen,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,1
WEPP,global,,5
