country,name,gppd_idnr,wepp_location_id
AUS,Argyle Diamond Mine,AUS0000220,1060612
AUS,Awaba,AUS0000049,1088658
AUS,Bairnsdale,AUS0000081,1049309
AUS,Ballarat Base Hospital,AUS0000113,1010684
AUS,Bamarang,AUS0000397,1062742
AUS,Bango Wind Farm,AUS0000398,1093151
AUS,Banimboola,AUS0000014,1060043
AUS,Bankstown Sports Club,AUS0000399,
AUS,Bannaby,AUS0000396,1096735
AUS,Barcaldine (Len Wishaw),AUS0000008,
AUS,Barron Gorge,AUS0000151,1010507
AUS,Bastyan,AUS0000137,1019006
AUS,Bayswater,AUS0000265,1014198
AUS,Belconnen,AUS0000400,1049385
AUS,Bell Bay (Bell Bay Three),AUS0000139,1019007
AUS,Ben Lomond,AUS0000395,
AUS,Bendeela (Shoalhaven Scheme),AUS0000266,1014214
AUS,Berrimah,AUS0000251,1024437
AUS,Berwick,AUS0000080,1016469
AUS,Bidyadanga,AUS0000382,1085158
AUS,Blayney Wind Farm,AUS0000027,1044068
AUS,Blowering,AUS0000267,1029076
AUS,Bluff Point (Woolnorth) Wind Farm,AUS0000009,
AUS,Boco Rock,AUS0000394,1083711
AUS,Bodangora Wind Farm,AUS0000422,1096627
AUS,Bogong (Mount Beauty Hydro Scheme),AUS0000102,1062864
AUS,Box Hill,AUS0000342,
AUS,Braemar 1,AUS0000152,1087315
AUS,Braemar 2,AUS0000153,1087314
AUS,Bremer Bay Diesel Backup,AUS0000349,1063752
AUS,Brewer,AUS0000256,
AUS,Broadmeadows,AUS0000082,1016470
AUS,Broadwater,AUS0000268,1077329
AUS,Broken Hill,AUS0000305,1014200
AUS,Broken Hill Solar Plant,AUS0000477,
AUS,Brooklyn,AUS0000079,1061555
AUS,Broome,AUS0000180,1030180
AUS,Brown Mountain,AUS0000269,1014201
AUS,Browns Plains,AUS0000078,1016471
AUS,Bulwer Island,AUS0000461,1044067
AUS,Buronga,AUS0000416,1084573
AUS,Burrendong,AUS0000300,1019040
AUS,Burrinjuck Power Station,AUS0000048,1014203
