country,name,gppd_idnr,wepp_location_id
AUS,Murray 1,AUS0000107,1029079
AUS,Murray 2,AUS0000106,1029080
AUS,Musselroe,AUS0000420,1057778
AUS,Narrogin Bioenergy Plant,AUS0000444,1055736
AUS,Neerabup,AUS0000198,1072791
AUS,Newman Iron Ore Mine,AUS0000199,
AUS,Newport,AUS0000094,1030172
AUS,Nieterana,AUS0000013,1106335
AUS,Nine Network,AUS0000316,
AUS,Noranda,AUS0000326,
AUS,Norseman Mine,AUS0000320,1055547
AUS,North Sydney,AUS0000314,
AUS,Northern,AUS0000248,1014355
AUS,Nymboida,AUS0000283,1061744
AUS,Nyngan Solar Plant,AUS0000476,1084785
AUS,Oakey,AUS0000166,1024617
AUS,Oakland Hills Wind Farm,AUS0000016,
AUS,Oaky,AUS0000284,1034599
AUS,Oaky Creek,AUS0000167,1053495
AUS,Onslow,AUS0000411,1030213
AUS,Ord River,AUS0000224,
AUS,Osborne,AUS0000235,1080968
AUS,Owen Springs,AUS0000255,1075622
AUS,Paloona,AUS0000130,1019024
AUS,Paraburdoo,AUS0000229,1034635
AUS,Paraburdoo (Standby),AUS0000228,
AUS,Pedler Creek,AUS0000236,1016479
AUS,Pelican Point,AUS0000237,1044465
AUS,Perth Zoo,AUS0000426,
AUS,Pindari,AUS0000012,1057530
AUS,Pine Creek,AUS0000258,1024450
AUS,Pinjar,AUS0000200,1030214
AUS,Pinjarra Bauxite Mine and Alumina Refinery,AUS0000201,
AUS,Pioneer Sugar Mill,AUS0000053,
AUS,Plane Creek Sugar Mill,AUS0000074,1040616
AUS,Playford,AUS0000247,1014360
AUS,Plutonic Gold Mine,AUS0000225,1039606
AUS,Poatina,AUS0000121,1019025
AUS,Port Hedland,AUS0000325,1025538
AUS,Port Hedland,AUS0000206,1104569
AUS,Port Lincoln,AUS0000238,1014358
AUS,Port Stanvac,AUS0000345,1099345
AUS,Proserpine Sugar Mill,AUS0000311,1040641
AUS,Quarantine,AUS0000239,1051507
AUS,Ravensthorpe,AUS0000202,
AUS,Red Hill,AUS0000327,1056666
AUS,Redbank,AUS0000285,1041782
AUS,Reece,AUS0000141,1019026
AUS,Remount,AUS0000115,1088650
AUS,Repulse,AUS0000120,1019027
AUS,Revesby Workers Club,AUS0000317,
AUS,Rochedale,AUS0000073,1067359
AUS,Rockingham,AUS0000358,
AUS,Rocky Point Sugar Sugar Mill,AUS0000060,
AUS,Roghan Road,AUS0000072,1067426
AUS,Roma,AUS0000147,1029598
AUS,Ron Goodin,AUS0000254,1024451
AUS,Rowallan,AUS0000129,1019028
AUS,Rubicon,AUS0000095,1030176
AUS,Savannah Nickel Mine,AUS0000407,
AUS,Shenton Park WMRC Project,AUS0000328,
AUS,Shepparton Biogas Generation Plant,AUS0000017,
AUS,Smithfield Energy,AUS0000286,1028917
AUS,Snowtown Wind Farm Stage 1,AUS0000005,1060113
AUS,Snowtown Wind Farm Stage 2,AUS0000456,1060113
AUS,Snuggery,AUS0000245,1014359
AUS,Solomon Iron Ore Mine,AUS0000458,
AUS,Somerton,AUS0000096,1055703
AUS,South Cardup (Shale Road Landfill),AUS0000359,
AUS,South Johnstone,AUS0000374,1029591
AUS,Springvale,AUS0000071,1016481
AUS,St George Leagues Club,AUS0000318,
AUS,Stanwell,AUS0000168,1010525
AUS,Stapylton Green Energy,AUS0000347,1049838
AUS,Starfish Hill Wind Farm,AUS0000052,1053885
AUS,Studland Bay (Woolnorth) Wind Farm,AUS0000010,
AUS,Summerhill,AUS0000033,
AUS,Suncoast Gold Macadamia,AUS0000059,
AUS,Sunrise Dam,AUS0000226,1100966
AUS,Swanbank B,AUS0000148,1010526
AUS,Swanbank E,AUS0000149,1010526
AUS,Symex Port Melbourne,AUS0000097,1032356
AUS,Tableland,AUS0000373,1050052
AUS,Tahmoor,AUS0000287,1061458
AUS,Tallawarra,AUS0000288,1014217
AUS,Tamala Park,AUS0000356,1067434
AUS,Tamar Valley,AUS0000138,1067600
AUS,Tarong,AUS0000169,
AUS,Tarong,AUS0000171,1010527
AUS,Tarong North,AUS0000170,1049886
AUS,Tarraleah,AUS0000119,1019029
AUS,Tatura Biogas Generation Plant,AUS0000018,
AUS,Tea Tree Gully,AUS0000344,1016482
AUS,Telfer Gold Mine,AUS0000230,1060613
AUS,Tennant Creek,AUS0000253,1024454
AUS,Teralba,AUS0000289,1024647
AUS,Terminal Storage,AUS0000058,1058811
AUS,The Drop,AUS0000011,1055740
AUS,Ti Tree Bioenergy,AUS0000070,1024455
AUS,Tods Corner,AUS0000118,1019030
AUS,Tomago Aluminium Smelter,AUS0000290,1053973
AUS,Toora Wind Farm,AUS0000069,1010536
AUS,Torrens Island A,AUS0000240,1014361
AUS,Torrens Island B,AUS0000241,1014361
AUS,Tower Mine,AUS0000291,
AUS,Trevallyn,AUS0000032,1019031
AUS,Tribute,AUS0000128,1019032
AUS,Tully Sugar Mill,AUS0000310,
AUS,Tumut 1 (Upper Tumut),AUS0000292,1029081
AUS,Tumut 2 (Upper Tumut),AUS0000293,1060516
AUS,Tumut 3,AUS0000031,1029082
AUS,Tungatinah,AUS0000117,1019033
AUS,University of Queensland (St Lucia Campus) Solar Array,AUS0000425,1085836
AUS,Upper Lake Margaret,AUS0000133,1023164
AUS,Uranquinty,AUS0000294,1063281
AUS,Uterne Solar,AUS0000470,1085078
AUS,Vales Point B,AUS0000295,1013604
AUS,Valley (Peaking Facility),AUS0000098,
AUS,Victoria Sugar Mill,AUS0000175,1040614
AUS,Visy Paper Gibson Island,AUS0000445,
AUS,Wagerup,AUS0000204,1010021
AUS,Wagerup Bauxite Mine and Alumina Refinery,AUS0000203,
AUS,Walkaway Wind Farm,AUS0000002,
AUS,Wallerawang C,AUS0000296,1013605
AUS,Warmun,AUS0000369,1085161
AUS,Warragamba,AUS0000297,1014219
AUS,Warrego,AUS0000262,1025368
AUS,Waterloo Wind Farm,AUS0000050,1078276
AUS,Wattle Point Wind Farm,AUS0000004,1058722
AUS,Waubra Wind Farm,AUS0000019,1063722
AUS,Wayatinah,AUS0000116,1019035
AUS,Weddell,AUS0000260,1079369
AUS,West Angelas Mine,AUS0000451,1100981
AUS,West Illawarra Leagues Club,AUS0000298,1020898
AUS,West Kalgoorlie,AUS0000205,1030200
AUS,West Kiewa (Mount Beauty Hydro Scheme),AUS0000105,1030179
AUS,West Nowra (Shoalhaven),AUS0000030,
AUS,Western Suburbs Leagues Club (Campbelltown),AUS0000299,
AUS,Whitwood Road,AUS0000068,1067358
AUS,Wilga Park,AUS0000302,1058845
AUS,Wilmot,AUS0000140,1019037
AUS,Wilpena Solar Farm,AUS0000447,
AUS,Wiluna,AUS0000384,1030221
AUS,Wiluna Gold Mine,AUS0000227,1061934
AUS,Windimurra Vanadium Mine,AUS0000322,1067476
AUS,Windy Hill Wind Farm,AUS0000051,
AUS,Wingfield I,AUS0000242,1016466
AUS,Wingfield II,AUS0000243,1016466
AUS,Wivenhoe,AUS0000057,
AUS,Wivenhoe Hydroelectric,AUS0000150,1010532
AUS,Wodgina,AUS0000406,1067479
AUS,Wollert,AUS0000067,1067425
AUS,Wonthaggi Wind Farm,AUS0000001,1061232
AUS,Woodlawn Bioreactor,AUS0000029,1061854
AUS,Woodlawn Wind Farm,AUS0000028,
AUS,Woodman Point,AUS0000354,1056664
AUS,Worsley,AUS0000389,1033497
AUS,Worsley Cogeneration,AUS0000217,
AUS,Wyangala A,AUS0000026,1019004
AUS,Wyndham,AUS0000066,
AUS,Yabulu,AUS0000172,1031996
AUS,Yallourn,AUS0000100,1033560
AUS,Yambuk Wind Farm,AUS0000020,1060724
AUS,Yarrawonga,AUS0000101,1020876
AUS,Yarwun,AUS0000173,
AUS,Yulara,AUS0000257,1024458
AUS,Yurralyi Maya (Karratha Seven Mile),AUS0000218,1074516
AUT,Abwinden-Asten,WRI1005149,1025003
AUT,Altenmarkt,WRI1005150,1041613
AUT,Arnstein,WRI1005153,1030361
AUT,Aschach,WRI1005154,1025005
AUT,Bischofshofen,WRI1005155,1031397
AUT,Braunau-Simbach,WRI1005159,
AUT,Dionysen,WRI1005160,1030365
AUT,Donaustadt,WRI1019146,1033341
AUT,Ering-Frauenstein,WRI1005164,
AUT,Erzbach,WRI1005165,1052507
AUT,Feistritz-Ludmannsdorf,WRI1005166,1025023
AUT,Feldkirchen,WRI1019130,
AUT,Ferlach Maria Rain,WRI1005167,1025024
AUT,Fisching,WRI1005168,1034180
AUT,Freudenau Danube,WRI1019128,1025006
AUT,Friesach,WRI1005169,1030364
AUT,Funsingau,WRI1005170,1031031
AUT,Gabersdorf,WRI1005171,1030366
AUT,Gaming,WRI1019129,1033342
AUT,Gerlos,WRI1005174,1031032
AUT,Gratkorn,WRI1005177,1107045
AUT,Greifenstein,WRI1005179,1025007
AUT,Hieflau,WRI1005185,1030369
AUT,Hieflau-Erzbach,WRI1005186,
AUT,Jochenstein,WRI1005188,
AUT,KW Amlach,WRI1005900,1046734
AUT,KW Imst,WRI1005905,
AUT,KW Jenbach,WRI1005907,
AUT,KW Kaunertal,WRI1005908,
AUT,KW KÃ¼htai,WRI1005910,
