name,fuel,match_name,match_id,,
14 DE JULHO,Hydro,14 de Julho,BRA0000012,,
AGUA VERMELHA,Hydro,Água Vermelha (Antiga José Ermírio de Moraes),BRA0000041,,
AIMORES,Hydro,Aimorés,BRA0000042,,
ALTO SUCURIU,Hydro,Alto Sucuriú,BRA0028817,,
AMADORAGUIAR1,Hydro,Amador Aguiar I (Antiga Capim Branco I),BRA0027483,,
CAPIM BRANCO I,Hydro,Amador Aguiar I (Antiga Capim Branco I),BRA0027483,,
AMADORAGUIAR2,Hydro,Amador Aguiar II (Antiga Capim Branco II),BRA0027484,,
CAPIMBRANCO II,Hydro,Amador Aguiar II (Antiga Capim Branco II),BRA0027484,,
PCH ANGELINA,Hydro,Angelina (Antiga Portobello - Corredeira do Encano),BRA0002133,,
U.A.SALES,Hydro,Apolônio Sales (Antiga Moxotó),BRA0001510,,
U.MIMOSO,Hydro,Assis Chateaubriand(Antiga Salto Mimoso),BRA0028012,,
BAGUARI,Hydro,Baguari,BRA0029453,,
UHE BALBINA,Hydro,Balbina,BRA0000190,,
BARIRI,Hydro,Bariri (Álvaro de Souza Lima),BRA0000203,,
BARRA BONITA,Hydro,Barra Bonita,BRA0000208,,
UH BCOQUEIROS,Hydro,Barra dos Coqueiros,BRA0030296,,
U.BARRAGRANDE,Hydro,Barra Grande,BRA0027556,,
BATALHA,Hydro,Batalha (Antiga Paulista),BRA0029454,,
UB.ESPERANCA,Hydro,Boa Esperança (Antiga Castelo Branco),BRA0000267,,
PCH BURITI,Hydro,Buriti,BRA0028753,,
C.DOURADA,Hydro,Cachoeira Dourada,BRA0030033,,
CACONDE,Hydro,Caconde,BRA0000588,,
CACU,Hydro,Caçu,BRA0028756,,
CAMARGOS,Hydro,Camargos,BRA0000608,,
U.C NOVOS,Hydro,Campos Novos,BRA0000625,,
CANA BRAVA,Hydro,Cana Brava,BRA0000630,,
PCH CANASTRA,Hydro,Canastra,BRA0000635,,
CANASTRA,Hydro,Canastra,BRA0000635,,
CANOAS I,Hydro,Canoas I,BRA0000647,,
CANOAS II,Hydro,Canoas II,BRA0027092,,
CAPIVARA,Hydro,Capivara (Escola de Engenharia Mackenzie),BRA0000657,,
CASTRO ALVES,Hydro,Castro Alves,BRA0000718,,
CHAVANTES,Hydro,Chavantes,BRA0000764,,
PCH CHOPIM,Hydro,Chopim I,BRA0000771,,
US.COA.NUNES,Hydro,Coaracy Nunes,BRA0000783,,
CORUMBA,Hydro,Corumbá I,BRA0000866,,
CORUMBA III,Hydro,Corumbá III,BRA0028352,,
CORUMBA IV,Hydro,Corumbá IV,BRA0027795,,
CURUA-UNA,Hydro,Curuá-Una,BRA0027130,,
DARDANELOS,Hydro,Dardanelos,BRA0029597,,
U.D.FRANCISCA,Hydro,Dona Francisca,BRA0027012,,
EMBORCACAO,Hydro,Emborcação,BRA0027115,,
J.GELASIO ROC,Hydro,Engenheiro José Gelásio da Rocha,BRA0028845,,
JLM.G.PEREIRA,Hydro,Engenheiro José Luiz Muller de Godoy Pereira (Antiga Foz do Rio Claro),BRA0029455,,
ESPORA,Hydro,Espora,BRA0000908,,
ESTREITO,Hydro,Estreito,BRA0035075,,
L.C.BARRETO,Hydro,Estreito (Luiz Carlos Barreto de Carvalho),BRA0000917,,
E.CUNHA,Hydro,Euclides da Cunha,BRA0000923,,
FERREI.GOMES,Hydro,Ferreira Gomes,BRA0030385,,
FONTES NOVA,Hydro,Fontes Nova,BRA0000973,,
U.FOZ CHAPECO,Hydro,Foz do Chapecó,BRA0028354,,
FUNDAO,Hydro,Fundão,BRA0028360,,
FURNAS,Hydro,Furnas,BRA0001007,,
UHE GARIBALDI,Hydro,Garibaldi,BRA0030415,,
BENTO MUNHOZ,Hydro,Governador Bento Munhoz da Rocha Neto (Foz do Areia),BRA0000984,,
UHE JAYME CANET,Hydro,Governador Jayme Canet Júnior - GJC (Antiga Mauá),BRA0029598,,
G.JOSE RICHA,Hydro,Governador José Richa (Salto Caxias),BRA0002591,,
SALTO CAXIAS,Hydro,Governador José Richa (Salto Caxias),BRA0002591,,
NEY BRAGA,Hydro,Governador Ney Aminthas de Barros Braga (Segredo),BRA0002715,,
USI PAR.SOUZA,Hydro,Governador Pedro Viriato Parigot de Souza (Capivari/Cachoeira),BRA0001042,,
GUAPORE,Hydro,Guaporé,BRA0001066,,
GUILMA AMORIM,Hydro,Guilman Amorim,BRA0001079,,
H.BORDEN SUB,Hydro,Henry Borden,BRA0001084,,
IBITINGA,Hydro,Ibitinga,BRA0001097,,
IGARAPAVA,Hydro,Igarapava,BRA0001098,,
ILHA POMBOS,Hydro,Ilha dos Pombos,BRA0001113,,
ILHA SOLTEIRA,Hydro,Ilha Solteira,BRA0001120,,
IRAPE-US,Hydro,Irapé,BRA0001146,,
ITAIPU 60 HZ,Hydro,Itaipu (Parte Brasileira),BRA0001161,,
ITAPEBI US,Hydro,Itapebi,BRA0001175,,
ITAUBA,Hydro,ITAUBÁ,BRA0035614,,
ITIQUIRA II,Hydro,Itiquira (Casas de Forças  I e  II),BRA0027244,,
ITIQUIRA I,Hydro,Itiquira (Casas de Forças  I e  II),BRA0027244,,
ITUMBIARA,Hydro,Itumbiara,BRA0001194,,
ITUTINGA-US,Hydro,Itutinga,BRA0001197,,
JACUI,Hydro,Jacuí,BRA0001217,,
JAGUARA-US,Hydro,Jaguara,BRA0001225,,
JAURU,Hydro,Jauru,BRA0001245,,
UHE JIRAU,Hydro,Jirau,BRA0029736,,
JUBA 2,Hydro,Juba I,BRA0001268,,
JUBA 1,Hydro,Juba II,BRA0001269,,
JUPIA,Hydro,Jupiá (Eng° Souza Dias),BRA0001282,,
JURUMIRIM,Hydro,Jurumirim (Armando Avellanal Laydner),BRA0001285,,
LASA,Hydro,Lasa,BRA0029107,,
LIMOEIRO,Hydro,Limoeiro (Armando Salles de Oliveira),BRA0001328,,
PCH LUDESA,Hydro,Ludesa,BRA0028801,,
LAJEADO,Hydro,Luís Eduardo Magalhães (Lajeado),BRA0001304,,
US.L.GONZAGA,Hydro,Luiz Gonzaga (Itaparica),BRA0001174,,
U.MACHADINHO,Hydro,Machadinho,BRA0001356,,
MANSO,Hydro,Manso,BRA0001401,,
M.MORAES,Hydro,Marechal Mascarenhas de Moraes (Antiga Peixoto),BRA0002038,,
MARIMBONDO,Hydro,Marimbondo,BRA0001417,,
U.MASCARENHAS,Hydro,Mascarenhas,BRA0001432,,
MIRANDA,Hydro,Miranda,BRA0030227,,
MONJOLINHO,Hydro,Monjolinho (Antiga Alzir dos Santos Antunes),BRA0028562,,
ALZIR SANTOS,Hydro,Monjolinho (Antiga Alzir dos Santos Antunes),BRA0028562,,
U.MONTE CLARO,Hydro,Monte Claro,BRA0027968,,
NILO PECANHA,Hydro,Nilo Peçanha,BRA0001536,,
N.AVANHANDAVA,Hydro,Nova Avanhandava (Rui Barbosa),BRA0001552,,
NOVA PONTE,Hydro,Nova Ponte,BRA0001574,,
OURINHOS,Hydro,Ourinhos,BRA0027872,,
PARAIBUNA,Hydro,Paraibuna,BRA0027122,,
CONJUNTO HIDRELETRICO PARECIS,Hydro,Parecis,BRA0028819,,
U.PASSO FUNDO,Hydro,Passo Fundo,BRA0002001,,
PASSO REAL,Hydro,Passo Real,BRA0002003,,
PASSO S JOAO,Hydro,Passo São João,BRA0029456,,
P.DO CAVALO,Hydro,Pedra do Cavalo,BRA0028565,,
PEIXE ANGICAL,Hydro,Peixe Angical,BRA0028353,,
PEREIRA PASSO,Hydro,Pereira Passos,BRA0002043,,
PICADA,Hydro,Picada,BRA0002053,,
PCH P.BUENO,Hydro,Pimenta Bueno,BRA0002060,,
PIRAJU,Hydro,Pirajú,BRA0002077,,
PONTE PEDRA,Hydro,Ponte de Pedra,BRA0002103,,
