source_name,master_name,plant_count,iso3
4C Offshore,,5,"BEL,DNK,KOR"
9ren,,8,ITA
A2A,,5,ITA
Abakus Solar AG,,2,DEU
Abengoa Solar,,2,ZAF
About Industry,,1,ZAF
Acc Acc ltd,,4,IND
Acciona,,4,ZAF
ACME Cleantech Solutions Private Limited,,1,IND
ACME Solar Energy,,1,IND
Activ Solar,,11,UKR
ACWA Power,,1,ZAF
Adani Power Limite r Er,,2,IND
AES Group,,3,KAZ
AES Winfra,,1,IND
Africa Hydropower Resources Database,,12,ETH
Africa's Power Journal,,1,ETH
African Clean Energy Developments,,1,ZAF
African Development Bank Group,,180,"AGO,NER,NAM,CPV,LBR,BWA,BFA,MRT,SLE,DJI,GIN,BEN,TGO,CMR,MAR,LSO,BDI,MUS,COD,COG,MDG,SEN,FRA,GMB,GNQ,GNB,SWZ,CAF,ERI,GAB,MWI,SDN,UGA"
African Hydropower Resources Database,,5,COD
Aftaab Solar Private Limited (ASPL),,1,IND
Agencia de Regulacion y Control de Electricidad,,43,ECU
Akiira One ; Centum Investments,,1,KEN
All Island project,All Island Project,28,IRL
Alpiq Group,,4,"CZE,ITA"
Alstom,,5,"CHN,THA,IRQ"
Aluminum Bahrain,,1,BHR
Ambed K Sugar,,1,IND
Ambuja Cements ltd,,2,IND
Amrit Energy Private Limited,,1,IND
Amu Power,,1,KEN
Ansaldo Energia,,2,ITA
Antarctica Australia,,1,ATA
Antaris Solar,,2,CZE
AR AMD Renewable Energy,,2,ZAF
Arab Union of Electricity,,283,"DZA,LBY,LBN,MAR,OMN,TUN,KWT,ARE,BHR"
Aravali Infrapower Private Limited (AIPL),,1,IND
Armenia Ministry of Energy and Natural Resources,,7,ARM
Ashok Ssk ltd,,1,IND
Asian Development Bank,,18,"CHN,MNG,UZB"
Association for the Study of the Cuban Economy,,1,CUB
Association of Carbon Italy,,6,ITA
Astana Energo Service OAO,,1,KAZ
Astonfield Management Limited,,1,IND
Astro Energy,Astronergy,1,ITA
AstroEnergy,Astronergy,1,CHN
Astroenergy Development,,2,THA
Atryau Heat and Power Station JSC,,1,KAZ
Aurora Power Solutions,,1,ZAF
Aviation Benefits,,1,GRC
Axpo,,2,ITA
AzerEnerji,,28,AZE
Azure Power (Rajasthan) Private Limited,,2,IND
B Grimm,,4,THA
Backbone Enterprises Limited,,1,IND
Baike,,25,CHN
Ballarpur Industries ltd,,2,IND
