source_name,master_name,plant_count,data_year,iso3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceylon Electricity Board,,15,,LKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conecon GmbH,,15,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Charter Secretariat,Energy Charter Secretariat,15,,MDA,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHNP,,15,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosenergo,,15,,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Utilities Commission of Sri Lanka,,15,,LKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEPR,,14,,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubu Electric Power Company,,14,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Regulation Board of Zambia,,14,,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEPCO,,14,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikkei Business Publications,,14,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfalzsolar GmbH,,14,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belectric GmbH,Belectric,13,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEL,,13,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonian Wind Energy Association,,13,,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Electric Corporation,,13,,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercury Energy,,13,,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian Energy,,13,,ATA,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoftBank,,13,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania Electric Supply Company,,13,,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Hydropower Resources Database,,12,,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biosar,,12,,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTEK,,12,,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSP,,12,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Dam Safety Supervision Center,Large Dam Safety Supervision Center,12,,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activ Solar,,11,,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnipro-SHEM PJSC,,11,,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOREX,ECOREX,11,,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irkutskenergo,,11,,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsui,,11,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGK-2,,11,,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREPA,,11,,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samruk Energy,,11,,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trustpower,,11,,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Public Power Corporation of Greece (capacity, fuel, location)""",,10,,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact Energy,,10,,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis Energy,,10,,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancosola,,10,,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPDE,,10,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Power Corporation of Greece,Public Power Corporation of Greece,10,,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGC-2,,10,,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vorarlberger Illwerke AG,,10,,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dong Energy,,9,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edison,,9,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy 21,,9,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.photonenergyoperations.cz/provoz-a-servis-fve,,9,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidel Power,,9,,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NREL CSP Database,National Renewable Energy Laboratory,9,,ZAF,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG Power Limited,,9,,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Cuba Power Sector Infrastructure Assesment,,9,,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ren,,8,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belectric,Belectric,8,,SAU,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDL- Generation Public Company,,8,,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F&S Solar Concept GmbH,,8,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortum,,8,,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana Power and Light,,8,,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,,8,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENER,,8,,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Global,,8,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solarpark Roden�s GmbH,,8,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solea AG,,8,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standby-Europe,,8,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taqa Way,,8,,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TenneT,,8,,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volta River Authority,,8,,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Bank,,8,,ETH,CHN,SUR,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia Ministry of Energy and Natural Resources,,7,,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China National Technical Import and Export Corporation,,7,,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcoPower,,7,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricité du Cambodge,,7,,KMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glow Group,,7,,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAEA,IAEA,7,,DEU,SWE,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMIPO,,7,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martifer Solar,,7,,GRC,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Electricity and Energy of Yemen,,7,,YEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy and Minerals,,7,,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M�hring Energie GmbH,,7,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobility,,7,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratchaburi,,7,,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewable Japan Co Ltd,,7,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWE,,7,,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Liglass,,7,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar-Konzept GmbH,,7,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-elio,,7,,ITA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Sweden,,6,,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpevigo AG,,6,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDF Guiana,,6,,GUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Envalue GmbH,,6,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Coal Plant Tracker,GCPPT,6,,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichigo ECO Energy Co Ltd,,6,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWP,,6,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulilo,,6,,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSCO,,6,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
