iso3,source_name,master_source_name
IND,Dr Ssk ltd,
ZAF,Droogfontein,
UKR,DTEK,
GTM,Duke Energy,
GTM,Duke Energy Energy,
ITA,E On,
NLD,E.On,
SWE,E.ON,
RUS,e·on Russia,
CHN,East China Hydropower Engineering,
JPN,EcoPower,
CPV,ECOREX,
GMB,EcoRex,
SAU,ECRA,
NGA,ECREE,
FRA,EDF,
GUF,EDF Guiana,
ITA,Edipower,
ITA,Edison,
LAO,EDL- Generation Public Company,
THA,EGAT,
THA,EGCO,
EGY,Egyptian Electricity Holding Company,Egyptian Electricity Holding Company
ITA,Electrabel,
KMH,Electricité du Cambodge,
THA,Electricity Generating Authority of Thailand,
CZE,Elektarny,
CZE,Elektrarny,
BEL,ELIA Belgian Grid Operator,
HND,EM-Power Corporation,
IND,EMC Limited,
HND,Empresa Nacional De Energia Electrica,
ITA,En Value,
DEU,EnBW Energie Baden-W�rttemberg AG,
ITA,ENEL,
ZAF,Enel Green Power,
ROU,Enel Green power,
PRT,Energias Endogenas de Portugal,
AUT,Energie AG,
ISR,Energix,
UKR,Energoatom,
CZE,Energy 21,
THA,Energy Absolute,
IRQ,Energy and Hydroelectric Power,
ZAF,Energy blog,
MDA,Energy Charter Secretariat,
TJK,Energy Charter Secretaruat,
ZAF,Energy Department - Republic of South Africa,
ZMB,Energy Regulation Board of Zambia,
TUR,Enerji Atlasi,
DEU,Enerparc AG,
ZAF,Engie,
ZAF,Engineering News,
ITA,Eni Power,
ITA,Enipower,
IRQ,Enka Teknik,
BGR,ENTSOE,ENTSOE
DNK,ENTSOE (capacity and generation),
ITA,ENTSOE (For generation and capacity),
DEU,Envalue GmbH,
CHN,Environmental Assessment,
CZE,EP Energy,
CHN,Ereader Chinese,
ITA,Ergosud,
ZAF,Erika Energy,
CHN,Ertan Hydropower Development Company,
ZAF,Eskom,
IND,Essel MP Energy Limited,
IND,Est vt Arind,
EST,Estonian Wind Energy Association,
CHN,et97,
ZAF,Ethekwini Municipality,
ROU,European Investment Bank,
JPN,Eurus Energy,
KOR,Eurus Energy Holdings,
ROU,EV Wind,
RUS,EvroSibEnergo,
GRC,Exenewable,
DEU,F&S Solar Concept GmbH,
IRN,Farab,
FIN,Finnish Energy Authority,
IND,Firestone Trading Private Limited,
HND,First Solar,
IRQ,FLOUR engineering,
PRI,Fluor; PREPA,
RUS,Fortum,
FIN,Fortum Refurbishing 2014,
SWE,Fortum Sweden,
DEU,Franken Solar,
JPN,FRPC,
JPN,Fuji Electric,
CZE,FVK,
MYS,Gading Kencana,
IND,Gangakhed Energy ltd,
CZE,GBC Renesys,
NLD,GDF Suez,
ZAF,GEF-6 REQUEST FOR PROJECT ENDORSEMENT/APPROVAL,
DEU,Gehrlicher Solar AG,
IND,Gem Sugars ltd,
NZL,Genesis Energy,
GTM,GENOR,
COD,GEODB,
GRC,Geological Society of Greece,
ZAF,George Herald,
DNK,Geothermal Denmark,
ITA,Gestamp Solar,
PRI,Gestamp Wind,
CHN,Ghangzhou China Resources Thermal power Company,
MMR,Global Cement,
PAK,Global Coal Plant Tracker,GCPPT
MAR,Global Energy Observatory,
MNG,Global Engineering Management and Development Consultants,
RWA,Global Power Systems,
CHN,Global Reservoir and Dam,
GRC,Global Reservoir and Dam Database,
ZAF,Globeleq,
THA,Glow Group,
IND,Gm Energy ltd,
IND,Gmt Pvt ltd,
IND,Godavari Mills ltd,
IND,Godawari Energy ltd,
DEU,Goodyear Dunlop Tires Germany Gmbh,
SWE,Goteborg Energi,
ITA,GP Joule,
DEU,GP Joule GmbH,
KEN,GPG ; Kenya Power,
THA,GPSC,
IND,Grace Industries ltd,
IND,Grasim Cement ltd,
IND,Grasim Industries ltd,
IND,Greta Energy ltd,
JPN,Grid Hub,
DEU,Grid.Stromhaltig,
DEU,Gr�ne Energien Solar GmbH,
KOR,GS Energy,
GUM,Guam Power Authority,
CHN,Guangdong Huizhou LNG Power Co Ltd,
CHN,Guangdong Provincial Electric Power Survey,
CHN,Guangxi Fangyuan Electric Power Company,
CHN,Guangxi University,
HND,Guass Energia,
IND,Gujarat Industries Power Company Limited (GIPCL),
IND,Gujarat Mineral Development Corporation Limited (GMDC),
IND,Gujarat Urja Vikas Nigam Limited,
THA,Gunkul Chubu Powergen Company Limited,
IND,Gupta Ltd gepl),
DEU,Gut Erlasee Solarpark,
GUY,Guyana Power and Light,
JPN,Hanwha Solar Power Kitsuki,
IND,Hare Pvt ltd,
IND,Harsha Engineers Limited,
GRC,Heli SCSP,
GRC,Hellector,
GRC,Hellenic Association of Independent Power Producers,
IND,Hemarus Technologies ltd,
CHN,Heyuan Xinfeng Hydropower,
IND,Hindustan Pvt lt,
IND,Hindustan Zinc ltd,
IND,Hira Group,
IND,Hiraco India,
JPN,Hitachi,
JPN,Hokkaido,
CHN,Hongkong Electric Company (HKC),
IND,Hothur Pvt ltd,
SWE,http://www.fortum.com/en/corporation/fortumworldwide/sweden/pages/default.aspx,
COD,http://www.hydropower-dams.com/pdfs/2017_Africa_Map.pdf and http://enipedia.tudelft.nl/wiki/N%27zilo_Powerplant,
CZE,http://www.photonenergyoperations.cz/provoz-a-servis-fve,
CHN,Huadian Power International Company Limited,
CHN,Huang Longtan Hydropower Plant,
CHN,Huaxi,
CHN,Hydraulic Structures,
DEU,Hydrema Produktion Weimar GmbH,
ETH,Hydro World,
CHN,HydroChina Corporation,
CHN,HydroChina Zhongnan Engineering Company,
MOZ,Hydropower Resources Statistical Database in Africa,
COD,Hydroworld,
KOR,Hyundai Engineering Company,
DEU,IAEA,
CHN,IAEA PRIS,
TWN,IAEA PRIS Taiwan,
DEU,IB Vogt GmbH,
GTM,IC Power,
ISL,Iceland Energy Portal,
JPN,Ichigo ECO Energy Co Ltd,
IND,Ideal Projects ltd,
JPN,Idemitsu,
ROU,IFC,
ITA,IGCC,
ITA,Immpex,
JPN,Impact Electrons,
IND,India Ltd icl),
IND,Indian Oil Corporation (IOC),
IND,Indian Power ltd,
IND,Indo Synthetics ltd,
IDN,Indonesia Power Generation,
CHN,Industry About,
MNG,Info Mongolia,
IND,Infratech e M/Pdf,
GTM,Ingenio La Union,
GTM,Ingenio Magdalena,
GTM,Ingenio Palo Gordo,
ZAF,InnoWind,
RUS,Inter RAO,
COD,International Journal on Hydropower and Dams,
KAZ,Invest KZ,
ZAF,IPP Project South Africa,
IRN,Iran Power Plant Investment Company,
IRN,Iran Water and Power Resources Development Company,
IRQ,Iraq Business News,
IRQ,Iraq Coalition,
ITA,Iren Energia,
ITA,Iren Energy,
IRL,Irish Wind Energy Association,
RUS,Irkutskenergo,
CHN,Irtysh River Basin Development and Construction Authority,
PAK,Islamabad Chamber of Commerce and Industry,Islamabad Chamber of Commerce and Industry
ISR,Israel Electric Corporation,
JPN,Itochu,
THA,J-Power,
GTM,Jaguar Energy Guatemala,
IND,Jai Industries ltd,
IND,Jain Solar,
JAM,Jamaica Energy Partners,
JAM,Jamaica Public Service Company,
IND,Janki Corp ltd,
JPN,Japan Asia Group,
JPN,Japan Coal Plant Tracker,
JPN,Japan Wind Development Company,
JPN,Japanese Electric Power Information Center,
JPN,JAPEX,
IND,Jawahar Ssk ltd,
