,country_code,company,name,postcode,city,street,state,block,commissioned_original,commissioned,retrofit,shutdown,status,fuel,technology,type,eeg,chp,capacity,capacity_uba,chp_capacity_uba,merge_comment,efficiency_data,efficiency_estimate,efficiency_source,network_node,voltage,network_operator,name_uba,lat,lon,comment
BNA0005,DE,Vattenfall Europe Generation AG,Ahrensfelde,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT A,1990,1990.0,,,operating,gas,GT,,no,no,37.5,38.0,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,0.31,0.3539999999999992,https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191),Malchow,110,50 Hertz Transmission GmbH,Ahrensfelde A bis D,52.58950001,13.5586524,
BNA0006,DE,Vattenfall Europe Generation AG,Ahrensfelde,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT B,1990,1990.0,,,operating,gas,GT,,no,no,37.5,38.0,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,0.31,0.3539999999999992,https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191),Malchow,110,50 Hertz Transmission GmbH,Ahrensfelde A bis D,52.58950001,13.5586524,
BNA0007,DE,Vattenfall Europe Generation AG,Ahrensfelde,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT C,1990,1990.0,,,operating,gas,GT,,no,no,37.5,38.0,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,0.31,0.3539999999999992,https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191),Malchow,110,50 Hertz Transmission GmbH,Ahrensfelde A bis D,52.58950001,13.5586524,
BNA0008,DE,Vattenfall Europe Generation AG,Ahrensfelde,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT D,1990,1990.0,,,operating,gas,GT,,no,no,37.5,38.0,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,0.31,0.3539999999999992,https://www.ffe.de/download/berichte/Endbericht_Energiezukunft_2050_Teil_II.pdf (S.191),Malchow,110,50 Hertz Transmission GmbH,Ahrensfelde A bis D,52.58950001,13.5586524,
BNA0010a,DE,Rheinkraftwerk Albbruck- Dogern AG,RADAG,79774,Albbruck,Kraftwerkstrasse 34,Baden-Württemberg,,1933,1933.0,,,operating,run_of_river,ROR,,no,no,79.5,83.64782608695653,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,,,Tiengen,110,Amprion GmbH,Albbruck-Dogern,47.586290000000005,8.13207,
BNA0010b,DE,Rheinkraftwerk Albbruck- Dogern AG,WKW,79804,Dogern,Zollstrasse,Baden-Württemberg,,2009,2009.0,,,operating,run_of_river,ROR,,yes,no,24.0,25.25217391304348,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,,,Tiengen,110,Amprion GmbH,Albbruck-Dogern,47.598482000000004,8.170982,
BNA0011,DE,Papierfabrik Albbruck GmbH,Papierfabrik Albbruck,79774,Albbruck,,Baden-Württemberg,,2009,2009.0,,2012.0,shutdown,coal,ST,,no,yes,28.0,,,,,0.4474999999999998,,Albbruck,110,ED Netze GmbH,,47.58931,8.132610000000001,
BNA0012a,DE,Sappi Alfeld GmbH,Werkskraftwerk Sappi Alfeld,31061,Alfeld,Mühlenmasch 1,Niedersachsen,Turbine 5,1988,1988.0,,,operating,biomass,ST,,yes,yes,16.8,,,,,0.38,,,6,Überlandwerk Leinetal GmbH,,51.984761,9.822830999999999,
BNA0012b,DE,Sappi Alfeld GmbH,Werkskraftwerk Sappi Alfeld,31061,Alfeld,Mühlenmarsch 1,Niedersachsen,Gaskraftwerk,1947,1947.0,,,operating,gas,ST,,no,yes,20.0,,,,,0.3267000000000002,,,6,Überlandwerk Leinetal GmbH,,51.98513,9.822460000000001,
BNA0012c,DE,Sappi Alfeld GmbH,Werkskraftwerk Sappi Alfeld,31061,Alfeld,Mühlenmarsch 1,Niedersachsen,Wasserturbine,1912,1912.0,,,operating,run_of_river,ROR,,yes,no,0.1,,,,,,,,,,,51.98513,9.822460000000001,
