PowerWatch ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language
1030729,Bac Lieu Wind power,Wind,,Offshore Wind,,99,2016,Cong Ly Construction-Trade-Tourism,Operational,,,,,,,,,,2,105.64,,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,CDM,https://cdm.unfccc.int/Projects/DB/BVQI1347365592.64/view,,,,,,,,,,,
1030730,Ca Mau 1,Gas,,CCGT,,771,,Petrovietnam,Operational,,,2008,Once Through Cooling,Song Ong Doc,,,,,9.242,105.06,,,,,,,,,,,,,,,,
1030730,Ca Mau 2,Gas,,CCGT,,771,,Petrovietnam,Operational,,,2008,Once Through Cooling,Song Ong Doc,,,,,9.242,105.06,,,,,,,,,,,,,,,,
1030731,Duyen Hai 1,Coal,,Sub-critical Thermal,,"1,244",,Vietnam Electricity (EVN),Operational,,,2016,Once Through Cooling,East Vietnam Sea,,,,,9.58297,106.52,,,,,,,,,,,,,,,,
1030732,Duyen Hai 3,Coal,,Super-critical Thermal,,622,,Vietnam Electricity (EVN),Operational,,,2016,Once Through Cooling,East Vietnam Sea,,,,,9.58667,106.53,,,,,,,,,,,,,,,,
1030733,Can Tho,Oil,,Sub-critical Thermal,,35,,Vietnam Electricity (EVN),Operational,,,,Once Through,Song Hau,,,,,10.1,105.72,,,,,,,,,,,,,,,,
1030733,Can Tho,Oil,,OCGT,,150,,Vietnam Electricity (EVN),Operational,,,,,,,,,,10.1,105.72,,,,,,,,,,,,,,,,
1030734,O Mon 1,Gas,,Sub-critical Thermal,,660,,Vietnam Electricity (EVN),Operational,,,,Once Through Cooling,Song Hau,,,,,10.1332,105.67,,,,,,,,,,,,,,,,
1030735,Lap Vo Rice Husk Power Plant,Biomass,,,,10,,,Operational,,,,,,,,,,10.3492,105.57,,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1268324091.74/view,,,,,,,,,,,,,
1030736,Ba Ria,Gas,,OCGT,,389,,Vietnam Electricity (EVN),Operational,,,,,,,,,,10.4891,107.17,,,,,,,,,,,,,,,,
