wri_id,coord_source,latitude,longitude
WRI1000068,CARMA,30.008079,31.210931
WRI1000076,CARMA,29.973714,32.526267
WRI1000101,CARMA,31.352539,27.245275
WRI1000148,CARMA,41.558056,69.770833
WRI1000149,CARMA,41.5541667,69.6811111
WRI1000154,CARMA,39.2552778,65.1527778
WRI1000166,CARMA,9.140109,99.333114
WRI1000168,CARMA,16.600028,99.848889
WRI1000221,CARMA,37.874722,127.734167
WRI1000226,CARMA,36.8108333,127.7947222
WRI1000235,CARMA,4.3945,101.1947
WRI1000245,CARMA,3.1333333,101.3833333
WRI1000266,CARMA,5.8402,118.1179
WRI1000273,CARMA,5.1333333,115.95
WRI1000276,CARMA,4.4148,114.0089
WRI1000279,CARMA,1.55,110.3333333
WRI1000289,CARMA,42.9,71.3666667
WRI1000294,CARMA,54.8752778,69.1627778
WRI1000296,CARMA,49.6925,83.2891667
WRI1000311,CARMA,-39.0333333,177.3666667
WRI1000336,CARMA,-37.75,175.2166667
WRI1000341,CARMA,-39.7583333,174.4833333
WRI1000345,CARMA,-43.6333333,171.65
WRI1000346,CARMA,-45.4166667,169.95
WRI1000358,CARMA,37.489744,71.553045
WRI1000360,CARMA,38.53574588,68.77904892
WRI1000389,CARMA,24.20334,121.007149
WRI1000390,CARMA,23.316651,121.456632
WRI1000391,CARMA,23.397869,121.360305
WRI1000396,CARMA,24.614039,120.787432
WRI1000397,CARMA,24.44084,120.812377
WRI1000412,CARMA,23.811742,120.853947
WRI1000414,CARMA,24.885833,120.996389
WRI1000423,CARMA,24.310833,120.721389
WRI1000431,CARMA,23.869343,121.509715
WRI1000435,CARMA,22.855367,120.534971
WRI1000444,CARMA,23.136277,120.488265
WRI1000445,CARMA,24.757222,121.191111
WRI1000447,CARMA,23.397869,121.360305
WRI1000455,CARMA,25.02722222,107.0475
WRI1000460,CARMA,36.07166667,101.1872222
WRI1000461,CARMA,24.70305556,100.0919444
WRI1000463,CARMA,26.82083333,101.7811111
WRI1000476,CARMA,29.20055556,108.1972222
WRI1000477,CARMA,24.62222222,100.4488889
WRI1000482,CARMA,26.30305556,118.8119444
WRI1000484,CARMA,36.12222222,100.9183333
WRI1000485,CARMA,27.6866667,106.9072222
WRI1000486,CARMA,35.93388889,103.3427778
WRI1000488,CARMA,28.77583333,110.9236111
WRI1000489,CARMA,24.94138889,105.1069444
WRI1000491,CARMA,27.7172222,109.1852778
WRI1000494,CARMA,43.8508333,126.5602778
WRI1000497,CARMA,31.016667,103.633333
WRI1000499,CARMA,32.442015,105.822996
WRI1000501,CARMA,32.3219444,118.2977778
WRI1000502,CARMA,28.384554,105.570916
WRI1000503,CARMA,27.0380556,106.0255556
WRI1000505,CARMA,27.0380556,106.0255556
WRI1000506,CARMA,45.3,130.2833333
WRI1000510,CARMA,24.885584,104.292254
WRI1000511,CARMA,35.9408333,103.3127778
WRI1000512,CARMA,26.900532,117.163115
WRI1000513,CARMA,41.123485,126.176307
WRI1000514,CARMA,41.123485,126.176307
WRI1000516,CARMA,32.946621,104.679389
WRI1000520,CARMA,29.8547635,104.2163095
WRI1000525,CARMA,18.5863889,110.1711111
WRI1000527,CARMA,23.543706,113.580394
WRI1000529,CARMA,24.04055556,107.5119444
WRI1000530,CARMA,42.5775,128.334167
WRI1000533,CARMA,29.136327,121.02958
WRI1000534,CARMA,37.9980556,114.0155556
WRI1000535,CARMA,23.0833333,114.4
WRI1000539,CARMA,32.015479,121.440283
WRI1000542,CARMA,43.7166667,91.8333333
WRI1000543,CARMA,43.7166667,91.8333333
WRI1000544,CARMA,23.36814,116.71479
WRI1000546,CARMA,37.5333333,121.4
WRI1000550,CARMA,28.1108333,119.5638889
WRI1000551,CARMA,29.045323,115.812674
WRI1000552,CARMA,24.8215425,102.536964
WRI1000553,CARMA,25.9704792,113.2459944
WRI1000556,CARMA,37.8833333,105.9
WRI1000557,CARMA,37.5,104.9666667
WRI1000559,CARMA,35.4586111,113.7977778
WRI1000566,CARMA,29.83774028,91.72888756
WRI1000569,CARMA,18.41451,109.623964
WRI1000570,CARMA,18.41451,109.623964
WRI1000573,CARMA,23.454118,113.271928
WRI1000575,CARMA,31.64614794,120.7422137
WRI1000576,CARMA,23.7,109.0833333
WRI1000577,CARMA,22.7786111,110.0677778
WRI1000578,CARMA,23.730998,108.157889
WRI1000579,CARMA,23.767981,107.984101
WRI1000580,CARMA,23.7172222,106.1741667
WRI1000581,CARMA,24.320475,102.173804
WRI1000582,CARMA,22.707268,109.257492
WRI1000584,CARMA,23.899722,106.613333
WRI1000586,CARMA,26.645,118.1736111
WRI1000587,CARMA,28.448611,110.402222
WRI1000588,CARMA,28.9594444,118.8686111
WRI1000589,CARMA,28.380172,111.205859
WRI1000592,CARMA,25.9188889,118.0480556
WRI1000594,CARMA,34.258229,104.183202
WRI1000596,CARMA,35.078369,105.299937
WRI1000598,CARMA,32.946621,104.679389
WRI1000603,CARMA,36.0447222,101.4241667
WRI1000605,CARMA,30.080525,121.156091
WRI1000607,CARMA,40.2186111,116.2197222
WRI1000610,CARMA,39.01732,111.126737
WRI1000611,CARMA,28.716667,109.616667
WRI1000612,CARMA,28.015815,110.172982
WRI1000614,CARMA,27.11,109.9955556
WRI1000649,CARMA,34.5833333,135.4666667
WRI1000669,CARMA,33.9166667,134.65
WRI1000673,CARMA,32.925,129.6141667
WRI1000736,CARMA,-8.5666667,116.0666667
WRI1000738,CARMA,-3.1141,119.6042
WRI1000739,CARMA,-2.5213,121.357
WRI1000743,CARMA,-6.6247222,107.5563889
WRI1000746,CARMA,1.4451,125.1824
WRI1000747,CARMA,-6.903889,107.618611
WRI1000752,CARMA,-7.2061111,109.9119444
WRI1000755,CARMA,-7.7201,111.6715
WRI1000756,CARMA,-8.1408333,111.1316667
WRI1000758,CARMA,-7.9797,112.6304
WRI1000759,CARMA,-6.8525,106.7594444
WRI1000764,CARMA,-6.4238889,107.4552778
WRI1000765,CARMA,-6.4238889,107.4552778
WRI1000769,CARMA,0.8,127.4
WRI1000771,CARMA,1.0591,120.798
WRI1000772,CARMA,-7.5097222,109.2777778
WRI1000773,CARMA,-7.0069,110.7964
WRI1000776,CARMA,-6.903889,107.618611
WRI1000777,CARMA,1.3346,124.8392
WRI1000779,CARMA,-6.903889,107.618611
WRI1000780,CARMA,-2.8194,121.5783
WRI1000781,CARMA,3.0824,98.065
WRI1000783,CARMA,-8.1613,112.2173
WRI1000785,CARMA,-0.300591,100.226711
WRI1000788,CARMA,-7.854,112.3316
WRI1000791,CARMA,-1.4788889,122.3858333
WRI1000793,CARMA,-7.7891,111.6167
WRI1000801,CARMA,-7.5694444,109.8005556
WRI1000802,CARMA,-8.1189,115.0887
WRI1000803,CARMA,-8.7157,115.214
WRI1000804,CARMA,-8.7157,115.214
WRI1000805,CARMA,-8.7157,115.214
WRI1000806,CARMA,-6.903889,107.618611
WRI1000809,CARMA,-7.4063889,109.5841667
WRI1000817,CARMA,3.5833333,98.6666667
WRI1000818,CARMA,3.5833333,98.6666667
WRI1000821,CARMA,-6.1133,106.7788
WRI1000822,CARMA,-7.7263889,109.0094444
WRI1000824,CARMA,-7.4063889,109.5841667
WRI1000825,CARMA,-8.1716,114.4344
WRI1000833,CARMA,-2.916725333,104.7457981
WRI1000834,CARMA,-2.916725333,104.7457981
WRI1000844,CARMA,-8.1189,115.0887
WRI1000845,CARMA,-8.7157,115.214
WRI1000849,CARMA,-5.14,119.4221
WRI1000855,CARMA,-7.4063889,109.5841667
WRI1000858,CARMA,3.3,117.6333333
WRI1000859,CARMA,-5.14,119.4221
WRI1000867,CARMA,0.9,109
WRI1000868,CARMA,-0.5,117.15
WRI1000870,CARMA,-6.261111,107.152778
WRI1000874,CARMA,-6.0144,106.0542
WRI1000885,CARMA,-6.1136111,106.8908333
WRI1000886,CARMA,-5.14,119.4221
WRI1000894,CARMA,0.1807,101.8444
WRI1000898,CARMA,3.5,117.8333333
WRI1000904,CARMA,-1.0166667,104.3666667
WRI1000906,CARMA,-0.8917,119.8707
WRI1000910,CARMA,-3.324415627,114.5909965
WRI1000911,CARMA,-3.324415627,114.5909965
WRI1000918,CARMA,-2.5213,121.357
WRI1000925,CARMA,-0.5,117.15
WRI1000929,CARMA,-2.5213,121.357
WRI1000932,CARMA,-2.5213,121.357
WRI1000943,CARMA,-2.5213,121.357
WRI1000945,CARMA,-2.5213,121.357
WRI1000947,CARMA,-2.5213,121.357
WRI1000948,CARMA,1.7176,98.7265
WRI1000949,CARMA,-2.5213,121.357
WRI1000950,CARMA,-2.5213,121.357
