wri_id,coord_source,latitude,longitude
WRI1000003,GEO,-5.52665,13.62064
WRI1000004,GEO,-10.7184,27.2839
WRI1000005,GEO,-10.7452,27.2447
WRI1000007,GEO,-10.5024,25.4458
WRI1000009,GEO,-2.63344,28.90266
WRI1000011,GEO,6.3,0.06
WRI1000012,GEO,8.2789,-2.2354
WRI1000014,GEO,6.12,0.126
WRI1000015,GEO,4.97184,-1.6584
WRI1000016,GEO,5.6741,0.01266
WRI1000020,GEO,-15.7688,26.02026
WRI1000021,GEO,-16.5222,28.7619
WRI1000022,GEO,-15.80889497,28.41989279
WRI1000023,GEO,-12.9884,30.8649
WRI1000025,GEO,5.0694,8.3403
WRI1000026,GEO,6.40646,5.68276
WRI1000027,GEO,4.798,5.897
WRI1000028,GEO,5.9254,5.645
WRI1000029,GEO,5.39,6.6632
WRI1000030,GEO,5.06697,7.321638
WRI1000031,GEO,6.8976,3.2071
WRI1000032,GEO,6.7357,4.7106
WRI1000034,GEO,4.5644,7.568
WRI1000035,GEO,9.9724,6.83532
WRI1000036,GEO,9.86409,4.61241
WRI1000037,GEO,9.138,4.7883
WRI1000039,GEO,-0.79665478,37.74971008
WRI1000040,GEO,-0.80927,37.68671
WRI1000041,GEO,-0.64,37.91
WRI1000042,GEO,-0.806,37.811
WRI1000043,GEO,-0.879,37.588
WRI1000046,GEO,-0.78543,37.2654
WRI1000047,GEO,1.913754239,35.34430504
WRI1000048,GEO,-0.88934188,36.25565529
WRI1000050,GEO,-4.04,39.638
WRI1000051,GEO,-4.03787,39.6333
WRI1000052,GEO,-4.03787,39.6333
WRI1000055,GEO,8.3932,39.352
WRI1000056,GEO,11.8196,36.9181
WRI1000057,GEO,9.558,37.3663
WRI1000058,GEO,9.558,37.3663
WRI1000059,GEO,7.83487,37.3236
WRI1000060,GEO,7.75712,37.5624
WRI1000061,GEO,8.4684,39.1588
WRI1000062,GEO,7.1761,39.4311
WRI1000063,GEO,13.3492,38.74049
WRI1000064,GEO,11.4887,37.5999
