plant_name,2009-05-30_to_2009-06-05,2009-07-11_to_2009-07-17,2009-07-18_to_2009-07-24,2009-07-25_to_2009-07-31,2009-08-01_to_2009-08-07,2009-08-08_to_2009-08-14,2009-08-15_to_2009-08-21,2009-08-22_to_2009-08-28,2009-08-29_to_2009-09-04,2009-09-05_to_2009-09-11,2009-09-12_to_2009-09-18,2009-09-19_to_2009-09-25,2009-09-26_to_2009-10-02,2009-10-03_to_2009-10-09,2009-10-10_to_2009-10-16,2009-10-17_to_2009-10-23,2009-10-24_to_2009-10-30,2009-10-31_to_2009-11-06,2009-11-07_to_2009-11-13,2009-11-14_to_2009-11-20,2009-11-21_to_2009-11-27,2009-11-28_to_2009-12-04,2009-12-05_to_2009-12-11,2009-12-12_to_2009-12-18,2009-12-19_to_2009-12-25,2009-12-26_to_2010-01-01,2010-01-02_to_2010-01-08,2010-01-09_to_2010-01-15,2010-01-16_to_2010-01-22,2010-01-23_to_2010-01-29,2010-01-30_to_2010-02-05,2010-02-06_to_2010-02-12,2010-02-13_to_2010-02-19,2010-02-20_to_2010-02-26,2010-02-27_to_2010-03-05,2010-03-06_to_2010-03-12,2010-03-13_to_2010-03-19,2010-03-20_to_2010-03-26,2010-03-27_to_2010-04-02,2010-04-03_to_2010-04-09,2010-04-10_to_2010-04-16,2010-04-17_to_2010-04-23,2010-04-24_to_2010-04-30,2010-05-01_to_2010-05-07,2010-05-08_to_2010-05-14,2010-05-15_to_2010-05-21,2010-05-22_to_2010-05-28,2010-05-29_to_2010-06-04,2010-06-05_to_2010-06-11,2010-06-12_to_2010-06-18,2010-06-19_to_2010-06-25,2010-06-26_to_2010-07-02,2010-07-03_to_2010-07-09,2010-07-10_to_2010-07-16,2010-07-17_to_2010-07-23,2010-07-24_to_2010-07-30,2010-07-31_to_2010-08-06,2010-08-07_to_2010-08-13,2010-08-14_to_2010-08-20,2010-08-21_to_2010-08-27,2010-08-28_to_2010-09-03,2010-09-04_to_2010-09-10,2010-09-11_to_2010-09-17,2010-09-18_to_2010-09-24,2010-09-25_to_2010-10-01,2010-10-02_to_2010-10-08,2010-10-09_to_2010-10-15,2010-10-16_to_2010-10-22,2010-10-23_to_2010-10-29,2010-10-30_to_2010-11-05,2010-11-06_to_2010-11-12,2010-11-13_to_2010-11-19,2010-11-20_to_2010-11-26,2010-11-27_to_2010-12-03,2010-12-04_to_2010-12-10,2010-12-11_to_2010-12-17,2010-12-18_to_2010-12-24,2010-12-25_to_2010-12-31,2011-01-01_to_2011-01-07,2011-01-08_to_2011-01-14,2011-01-15_to_2011-01-21,2011-01-22_to_2011-01-28,2011-01-29_to_2011-02-04,2011-02-05_to_2011-02-11,2011-02-12_to_2011-02-18,2011-02-19_to_2011-02-25,2011-02-26_to_2011-03-04,2011-03-05_to_2011-03-11,2011-03-12_to_2011-03-18,2011-03-19_to_2011-03-25,2011-03-26_to_2011-04-01,2011-04-02_to_2011-04-08,2011-04-09_to_2011-04-15,2011-04-16_to_2011-04-22,2011-04-23_to_2011-04-29,2011-04-30_to_2011-05-06,2011-05-07_to_2011-05-13,2011-05-14_to_2011-05-20,2011-05-21_to_2011-05-27,2011-05-28_to_2011-06-03,2011-06-04_to_2011-06-10,2011-06-11_to_2011-06-17,2011-06-18_to_2011-06-24,2011-06-25_to_2011-07-01,2011-07-02_to_2011-07-08,2011-07-09_to_2011-07-15,2011-07-16_to_2011-07-22,2011-07-23_to_2011-07-29,2011-07-30_to_2011-08-05,2011-08-06_to_2011-08-12,2011-08-13_to_2011-08-19,2011-08-20_to_2011-08-26,2011-08-27_to_2011-09-02,2011-09-03_to_2011-09-09,2011-09-10_to_2011-09-16,2011-09-17_to_2011-09-23,2011-09-24_to_2011-09-30,2011-10-01_to_2011-10-07,2011-10-08_to_2011-10-14,2011-10-15_to_2011-10-21,2011-10-22_to_2011-10-28,2011-10-29_to_2011-11-04,2011-11-05_to_2011-11-11,2011-11-12_to_2011-11-18,2011-11-19_to_2011-11-25,2011-11-26_to_2011-12-02,2011-12-03_to_2011-12-09,2011-12-10_to_2011-12-16,2011-12-17_to_2011-12-23,2011-12-24_to_2011-12-30,2011-12-31_to_2012-01-06,2012-01-07_to_2012-01-13,2012-01-14_to_2012-01-20,2012-01-21_to_2012-01-27,2012-01-28_to_2012-02-03,2012-02-04_to_2012-02-10,2012-02-11_to_2012-02-17,2012-02-18_to_2012-02-24,2012-02-25_to_2012-03-02,2012-03-03_to_2012-03-09,2012-03-10_to_2012-03-16,2012-03-17_to_2012-03-23,2012-03-24_to_2012-03-30,2012-03-31_to_2012-04-06,2012-04-07_to_2012-04-13,2012-04-14_to_2012-04-20,2012-04-21_to_2012-04-27,2012-04-28_to_2012-05-04,2012-05-05_to_2012-05-11,2012-05-12_to_2012-05-18,2012-05-19_to_2012-05-25,2012-05-26_to_2012-06-01,2012-06-02_to_2012-06-08,2012-06-09_to_2012-06-15,2012-06-16_to_2012-06-22,2012-06-23_to_2012-06-29,2012-06-30_to_2012-07-06,2012-07-07_to_2012-07-13,2012-07-14_to_2012-07-20,2012-07-21_to_2012-07-27,2012-07-28_to_2012-08-03,2012-08-04_to_2012-08-10,2012-08-11_to_2012-08-17,2012-08-18_to_2012-08-24,2012-08-25_to_2012-08-31,2012-09-01_to_2012-09-07,2012-09-08_to_2012-09-14,2012-09-15_to_2012-09-21,2012-09-22_to_2012-09-28,2012-09-29_to_2012-10-05,2012-10-06_to_2012-10-12,2012-10-20_to_2012-10-26,2012-10-27_to_2012-11-02,2012-11-03_to_2012-11-09,2012-11-10_to_2012-11-16,2012-11-17_to_2012-11-23,2012-11-24_to_2012-11-30,2012-12-01_to_2012-12-07,2012-12-08_to_2012-12-14,2012-12-15_to_2012-12-21,2012-12-22_to_2012-12-28,2012-12-29_to_2013-01-04,2013-01-05_to_2013-01-11,2013-01-12_to_2013-01-18,2013-01-19_to_2013-01-25,2013-01-26_to_2013-02-01,2013-02-02_to_2013-02-08,2013-02-09_to_2013-02-15,2013-02-16_to_2013-02-22,2013-02-23_to_2013-03-01,2013-03-09_to_2013-03-15,2013-03-16_to_2013-03-22,2013-03-23_to_2013-03-29,2013-03-30_to_2013-04-05,2013-04-06_to_2013-04-12,2013-04-13_to_2013-04-19,2013-04-20_to_2013-04-26,2013-04-27_to_2013-05-03,2013-05-04_to_2013-05-10,2013-05-11_to_2013-05-17,2013-05-18_to_2013-05-24,2013-05-25_to_2013-05-31,2013-06-01_to_2013-06-07,2013-06-08_to_2013-06-14,2013-06-15_to_2013-06-21,2013-06-22_to_2013-06-28,2013-06-29_to_2013-07-05,2013-07-06_to_2013-07-12,2013-07-13_to_2013-07-19,2013-07-20_to_2013-07-26,2013-07-27_to_2013-08-02,2013-08-03_to_2013-08-09,2013-08-10_to_2013-08-16,2013-08-17_to_2013-08-23,2013-08-24_to_2013-08-30,2013-08-31_to_2013-09-06,2013-09-07_to_2013-09-13,2013-09-14_to_2013-09-20,2013-09-21_to_2013-09-27,2013-09-28_to_2013-10-04,2013-10-05_to_2013-10-11,2013-10-12_to_2013-10-18,2013-10-19_to_2013-10-25,2013-10-26_to_2013-11-01,2013-11-02_to_2013-11-08,2013-11-09_to_2013-11-15,2013-11-16_to_2013-11-22,2013-11-23_to_2013-11-29,2013-11-30_to_2013-12-06,2013-12-07_to_2013-12-13,2013-12-14_to_2013-12-20,2013-12-21_to_2013-12-27,2013-12-28_to_2014-01-03,2014-01-04_to_2014-01-10,2014-01-11_to_2014-01-17,2014-01-18_to_2014-01-24,2014-01-25_to_2014-01-31,2014-02-01_to_2014-02-07,2014-02-08_to_2014-02-14,2014-02-15_to_2014-02-21,2014-02-22_to_2014-02-28,2014-03-01_to_2014-03-07,2014-03-08_to_2014-03-14,2014-03-15_to_2014-03-21,2014-03-22_to_2014-03-28,2014-03-29_to_2014-04-04,2014-04-05_to_2014-04-11,2014-04-12_to_2014-04-18,2014-04-19_to_2014-04-25,2014-04-26_to_2014-05-02,2014-05-03_to_2014-05-09,2014-05-10_to_2014-05-16,2014-05-17_to_2014-05-23,2014-05-24_to_2014-05-30,2014-05-31_to_2014-06-06,2014-06-07_to_2014-06-13,2014-06-14_to_2014-06-20,2014-06-21_to_2014-06-27,2014-06-28_to_2014-07-04,2014-07-05_to_2014-07-11,2014-07-12_to_2014-07-18,2014-07-19_to_2014-07-25,2014-07-26_to_2014-08-01,2014-08-02_to_2014-08-08,2014-08-09_to_2014-08-15,2014-08-16_to_2014-08-22,2014-08-23_to_2014-08-29,2014-08-30_to_2014-09-05,2014-09-06_to_2014-09-12,2014-09-13_to_2014-09-19,2014-09-20_to_2014-09-26,2014-09-27_to_2014-10-03,2014-10-04_to_2014-10-10,2014-10-11_to_2014-10-17,2014-10-18_to_2014-10-24,2014-10-25_to_2014-10-31,2014-11-01_to_2014-11-07,2014-11-08_to_2014-11-14,2014-11-15_to_2014-11-21,2014-11-22_to_2014-11-28,2014-11-29_to_2014-12-05,2014-12-06_to_2014-12-12,2014-12-13_to_2014-12-19,2014-12-20_to_2014-12-26,2014-12-27_to_2015-01-02,2015-01-03_to_2015-01-09,2015-01-10_to_2015-01-16,2015-01-17_to_2015-01-23,2015-01-24_to_2015-01-30,2015-01-31_to_2015-02-06,2015-02-07_to_2015-02-13,2015-02-14_to_2015-02-20,2015-02-21_to_2015-02-27,2015-02-28_to_2015-03-06,2015-03-07_to_2015-03-13,2015-03-14_to_2015-03-20,2015-03-21_to_2015-03-27,2015-03-28_to_2015-04-03,2015-04-04_to_2015-04-10,2015-04-11_to_2015-04-17,2015-04-18_to_2015-04-24,2015-04-25_to_2015-05-01,2015-05-02_to_2015-05-08,2015-05-09_to_2015-05-15,2015-05-16_to_2015-05-22,2015-05-23_to_2015-05-29,2015-05-30_to_2015-06-05,2015-06-06_to_2015-06-12,2015-06-13_to_2015-06-19,2015-06-20_to_2015-06-26,2015-06-27_to_2015-07-03,2015-07-04_to_2015-07-10,2015-07-11_to_2015-07-17,2015-07-18_to_2015-07-24,2015-07-25_to_2015-07-31,2015-08-01_to_2015-08-07,2015-08-08_to_2015-08-14,2015-08-15_to_2015-08-21,2015-08-22_to_2015-08-28,2015-08-29_to_2015-09-04,2015-09-05_to_2015-09-11,2015-09-12_to_2015-09-18,2015-09-19_to_2015-09-25,2015-09-26_to_2015-10-02,2015-10-03_to_2015-10-09,2015-10-10_to_2015-10-16,2015-10-17_to_2015-10-23,2015-10-24_to_2015-10-30,2015-10-31_to_2015-11-06,2015-11-07_to_2015-11-13,2015-11-14_to_2015-11-20,2015-11-21_to_2015-11-27,2015-11-28_to_2015-12-04,2015-12-05_to_2015-12-11,2015-12-12_to_2015-12-18,2015-12-19_to_2015-12-25,2015-12-26_to_2016-01-01,2016-01-02_to_2016-01-08,2016-01-09_to_2016-01-15,2016-01-16_to_2016-01-22,2016-01-23_to_2016-01-29,2016-01-30_to_2016-02-05,2016-02-06_to_2016-02-12,2016-02-13_to_2016-02-19,2016-02-20_to_2016-02-26,2016-02-27_to_2016-03-04,2016-03-05_to_2016-03-11,2016-03-12_to_2016-03-18,2016-03-19_to_2016-03-25,2016-03-26_to_2016-04-01,2016-04-02_to_2016-04-08,2016-04-09_to_2016-04-15,2016-04-16_to_2016-04-22,2016-04-23_to_2016-04-29,2016-04-30_to_2016-05-06,2016-05-07_to_2016-05-13,2016-05-14_to_2016-05-20,2016-05-21_to_2016-05-27,2016-05-28_to_2016-06-03,2016-06-04_to_2016-06-10,2016-06-11_to_2016-06-17,2016-06-18_to_2016-06-24,2016-06-25_to_2016-07-01,2016-07-02_to_2016-07-08,2016-07-09_to_2016-07-15,2016-07-16_to_2016-07-22,2016-07-23_to_2016-07-29,2016-07-30_to_2016-08-05,2016-08-06_to_2016-08-12,2016-08-13_to_2016-08-19,2016-08-20_to_2016-08-26,2016-08-27_to_2016-09-02,2016-09-03_to_2016-09-09,2016-09-10_to_2016-09-16,2016-09-17_to_2016-09-23,2016-09-24_to_2016-09-30,2016-10-01_to_2016-10-07,2016-10-08_to_2016-10-14,2016-10-15_to_2016-10-21,2016-10-22_to_2016-10-28,2016-10-29_to_2016-11-04,2016-11-05_to_2016-11-11,2016-11-12_to_2016-11-18,2016-11-19_to_2016-11-25,2016-11-26_to_2016-12-02,2016-12-03_to_2016-12-09,2016-12-10_to_2016-12-16,2016-12-17_to_2016-12-23,2016-12-24_to_2016-12-30,2016-12-31_to_2017-01-06,2017-01-07_to_2017-01-13,2017-01-14_to_2017-01-20,2017-01-21_to_2017-01-27
CJU_BAIGGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_BAIGLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344,2620.8,655.2,1344,5392.8,4267.2,4065.6,7123.2,4771.2,3628.8,5594.4,4956,6350.4,5174.4,6014.4,7341.6,5678.4,4586.4,4401.6,5678.4,5695.2,4116,2352,4989.6,6787.2,6350.4,5947.2,5476.8,5376,5409.6,7862.4,5359.2,5930.4,6820.8,8752.8,7828.8,7207.2,6283.2,4502.4,4687.2,7476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_BAIGNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1797.6,3259.2,1495.2,1831.2,7240.8,3998.4,4872,7879.2,5292,3981.6,6384,5224.8,6921.6,6081.6,6753.6,8937.6,5443.2,4905.6,5863.2,6316.8,6014.4,3679.2,1898.4,5964,7812,9374.4,7408.8,5342.4,5292,8702.4,8887.2,4670.4,5292,5964,9004.8,9038.4,8248.8,7761.6,4888.8,4788,8652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_BAMORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2234.4,3914.4,873.6,1814.4,6619.2,6031.2,6266.4,8584.8,6720,4922.4,7862.4,7711.2,8719.2,6888,8349.6,10147.2,7795.2,6871.2,8467.2,7257.6,5493.6,5342.4,3628.8,4569.6,7509.6,7694.4,6350.4,8584.8,7308,8584.8,10819.2,7929.6,7324.8,7644,9828,8870.4,9172.8,8433.6,5493.6,5308.8,5745.6,7929.6,7324.8,9122.4,7845.6,2032.8,6081.6,8080.8,2587.2,3108,0,0,0,0,0,0
CJU_BAMRRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_BAPND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411.2,1696.8,772.8,1780.8,4905.6,4048.8,4956,8265.6,5678.4,4804.8,6232.8,5812.8,6400.8,6921.6,8400,8685.6,4368,6720,6384,7778.4,6417.6,6064.8,4569.6,8114.4,11608.8,11995.2,9962.4,8954.4,6888,9861.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_BASESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_BAWND1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,201.6,705.6,386.4,2032.8,1831.2,2133.6,2318.4,2486.4,2788.8,3057.6,4183.2,5023.2,5493.6,5762.4,7039.2,4670.4,3897.6,3528,4317.6,3612,4032,4183.2,4132.8,4552.8,3813.6,6988.8,5846.4,4015.2,4804.8,6384,6048,5241.6,6098.4,6182.4,6535.2,6048,5023.2,5308.8,5913.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_BAWND2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2049.6,4267.2,5174.4,5342.4,5678.4,4485.6,4939.2,4099.2,4351.2,3192,3544.8,4233.6,3796.8,3931.2,3225.6,6165.6,5443.2,4015.2,4368,5762.4,5359.2,4989.6,5594.4,5140.8,5796,5073.6,4586.4,4972.8,4603.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_CECEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_CEITRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
CJU_PEEBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_PEFNVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3057.6,3578.4,2234.4,2872.8,6837.6,5661.6,6350.4,9088.8,8080.8,6350.4,8080.8,6518.4,9055.2,7828.8,5611.2,9223.2,7476,8803.2,7610.4,7828.8,6148.8,6770.4,3292.8,7140,9088.8,11844,10584,9710.4,8013.6,11239.2,11356.8,7173.6,6501.6,9223.2,10970.4,11776.8,9525.6,7308,7660.8,7274.4,9424.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJU_PEPARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3763.2,6199.2,4132.8,7341.6,5594.4,5728.8,8668.8,6988.8,6552,6854.4,7308,5880,6787.2,5443.2,6972,8299.2,7812,7308,4788,5796,4250.4,3679.2,4737.6,4468.8,6988.8,10197.6,7980,7190.4,4771.2,7677.6,7476,6384,7442.4,7492.8,9828,9861.6,9122.4,8568,8803.2,8299.2,10231.2,9256.8,11071.2,10701.6,11407.2,11071.2,9307.2,8467.2,8870.4,9424.8,8685.6,10063.2,0,0,0,0
CJU_PICHP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6031.2,7912.8,4821.6,8232,13255.2,11306.4,11222.4,15422.4,13255.2,7576.8,11911.2,7879.2,13423.2,12247.2,12852,20529.6,15943.2,15136.8,16077.6,17472,16044,15943.2,12633.6,18967.2,21974.4,25603.2,21924,21739.2,17152.8,14212.8,25284,19135.2,19723.2,16329.6,23184,22495.2,21436.8,16128,13305.6,13137.6,19454.4,14414.4,17337.6,21991.2,15472.8,8282.4,11424,11928,8635.2,8080.8,17589.6,16296,0,0,0,0
