Controlling corporation,Facility Name,Type,State,Electricity Production (GJ),Electricity Production (Mwh),Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Total Emissions (t CO2-e),Emission Intensity (t/Mwh),Grid Connected,Grid,Primary Fuel,Important Notes
ACCIONA ENERGY OCEANIA PTY. LTD.,Gunning Wind Farm,F,NSW,"595,234","165,343",22,283,305,0.00,On,NEM,Wind,
ACCIONA ENERGY OCEANIA PTY. LTD.,Waubra Wind Farm,F,VIC,"2,352,139","653,372",93,950,"1,043",0.00,On,NEM,Wind,
ACCIONA ENERGY OCEANIA PTY. LTD.,Corporate Total,C,,"2,947,373","818,715",115,"1,233","1,348"
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,"170,057","47,238",0,5,5,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,"64,493,748","17,914,930","15,912,788","6,252","15,919,040",0.89,On,NEM,Black Coal,
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,"263,335","73,149",83,873,956,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,"331,577","92,105",3,254,257,0.00,On,NEM,Solar,
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,"24,438","6,788",1,48,49,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Clover Hydro,F,VIC,"164,536","45,704",3,207,210,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,"91,410","25,392","18,881",77,"18,958",0.74,On,NEM,Gas,
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,"45,682","12,689",1,58,59,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,"1,829,104","508,084",0,183,183,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,"551,464","153,184",27,998,"1,025",0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,"32,673","9,076",0,7,7,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,"39,788","11,052",638,2,640,0.06,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,"1,160,705","322,418",81,196,277,0.00,On,NEM,Wind,
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,"896,973","249,159",69,155,224,0.00,On,NEM,Wind,
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,"1,646,119","457,255",104,415,519,0.00,On,NEM,Wind,
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,"540,044","150,012",81,194,275,0.00,On,NEM,Wind,
AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,"14,083","3,912",383,0,383,0.10,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,"4,078","1,133","1,332","1,037","2,369",1.18,On,NEM,Gas,
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,"13,749","3,819",221,2,223,0.06,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,"28,639,532","7,955,426","7,585,578","62,013","7,647,591",0.95,On,NEM,Black Coal,
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,"56,575,968","15,715,547","18,141,716","259,700","18,401,416",1.15,On,NEM,Brown Coal,
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,"3,624,124","1,006,701",348,"2,612","2,960",0.00,On,NEM,Wind,
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,"315,917","87,755",0,"5,308","5,308",0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,"130,693","36,304","20,231","2,448","22,679",0.56,On,NEM,Coal Seam Methane,
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,"826,348","229,541",159,777,936,0.00,On,NEM,Solar,
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,"604,314","167,865",68,710,778,0.00,On,NEM,Wind,
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,"4,151","1,153",0,24,24,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,"75,943","21,095","1,255",3,"1,258",0.06,On,SWIS,Landfill Gas,
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,"165,761","46,045",0,53,53,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,"16,451","4,570",259,12,271,0.06,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,"41,928","11,647","10,149","1,952","12,101",0.87,On,NEM,Gas,
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,"9,462,551","2,628,486","1,514,334","13,412","1,527,746",0.58,On,NEM,Gas/Diesel,
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,"963,022","267,506",45,195,240,0.00,On,NEM,Wind,
AGL ENERGY LIMITED,Werribee Biogas Generator,F,VIC,"177,210","49,225","2,468","1,286","3,754",0.05,On,NEM,Biogas,
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,"465,756","129,377",0,"1,418","1,418",0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,SA,"3,443",956,617,0,617,0.65,Off,Off-grid,Solar,
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,"29,824","8,284",451,3,454,0.05,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,"165,727","46,035",0,43,43,0.00,On,NEM,Hydro,
AGL ENERGY LIMITED,Corporate Total,C,,"174,602,226","48,500,618","43,212,374","362,932","43,575,306"
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,"7,406,121","2,057,256","1,401,162",372,"1,401,534",0.68,On,SWIS,Gas,"The electricity production data is unavailable for this facility, due to issues with the accuracy of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications. "
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Wagerup Generation Facility,F,WA,"805,895","223,860","142,586","5,673","148,259",0.64,On,SWIS,Gas/Diesel,
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,F,VIC,"604,368","167,880","184,958","17,597","202,555",1.10,On,NEM,Brown Coal,
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,,"8,816,384","2,448,996","1,728,706","23,642","1,752,348"
ALINTA ENERGY FINANCE PTY LTD,Augusta Power Stations,F,SA,"9,364,212","2,601,170","2,630,792","8,952","2,639,744",1.01,On,NEM,Brown Coal,
ALINTA ENERGY FINANCE PTY LTD,Bairnsdale Power Station,F,VIC,"711,146","197,541","107,099",910,"108,009",0.54,On,NEM,Gas,
ALINTA ENERGY FINANCE PTY LTD,Braemar Power Station,F,QLD,"4,550,759","1,264,100","715,070","1,522","716,592",0.57,On,NEM,Coal Seam Methane,
ALINTA ENERGY FINANCE PTY LTD,Newman Power Station,F,WA,"439,162","121,989","118,285",0,"118,285",0.97,Off,Off-grid,Gas,
ALINTA ENERGY FINANCE PTY LTD,Port Hedland Power Station,F,WA,"1,779,045","494,179","386,071",0,"386,071",0.78,On,NWIS,Gas,
ALINTA ENERGY FINANCE PTY LTD,Corporate Total,C,,"16,844,324","4,678,979","3,957,317","11,384","3,968,701"
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,"815,306","226,474",90,454,544,0.00,On,SWIS,Wind,
APT PIPELINES LIMITED,Corporate Total,C,,"815,306","226,474",90,454,544
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,"4,180,327","1,161,202","695,330","2,911","698,241",0.60,On,NEM,Coal Seam Methane,
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,,"4,180,327","1,161,202","695,330","2,911","698,241"
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,"1,627,387","452,052","239,663",0,"239,663",0.53,On,NWIS,Gas,
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,"4,262,553","1,184,043","492,160",784,"492,944",0.42,On,NEM,Gas,
ATCO AUSTRALIA PTY LTD,Corporate Total,C,,"5,889,940","1,636,094","731,823",784,"732,607"
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,NSW,"3,495,583","970,995","458,892",0,"458,892",0.47,On,NEM,Gas,
AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,,"3,495,583","970,995","458,892",0,"458,892"
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Condamine Power Station,F,QLD,"2,604,882","723,578","312,379","1,658","314,037",0.43,On,NEM,Gas,
