Reporting Entity,Facility Name,Type,State,Electricity Production (GJ),Electricity Production (Mwh),Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e)2,Total Emissions (t CO2-e),Emission Intensity (t/Mwh),Grid Connected2,Grid,Primary Fuel,Important Notes
ENERGYAUSTRALIA HOLDINGS LIMITED,Cathedral Rocks Wind Farm,F,SA,"551,476","153,188",53,121,174,0.00,On,NEM,Wind,-
ENERGYAUSTRALIA HOLDINGS LIMITED,Hallett Power Station,F,SA,"166,512","46,253","48,116","2,030","50,146",1.04,On,NEM,Gas,-
ENERGYAUSTRALIA HOLDINGS LIMITED,Mt Piper Power Station,F,NSW,"27,207,372","7,557,603","6,576,290","18,530","6,594,820",0.87,On,NEM,Black Coal,-
ENERGYAUSTRALIA HOLDINGS LIMITED,Tallawarra Power Station,F,NSW,"2,890,911","803,031","309,255","6,808","316,063",0.39,On,NEM,Gas,-
ENERGYAUSTRALIA HOLDINGS LIMITED,Waterloo Wind Farm,F,SA,"1,113,109","309,197",57,263,320,0.00,On,NEM,Wind,-
ENERGYAUSTRALIA HOLDINGS LIMITED,Yallourn Power Station,F,VIC,"41,305,814","11,473,837","14,813,624","172,128","14,985,752",1.29,On,NEM,Brown Coal,-
ENERGYAUSTRALIA HOLDINGS LIMITED,Corporate Total,C,-,"73,235,194","20,343,109","21,747,395","199,880","21,947,275",-,-,-,-,-
ERM POWER LIMITED,Newgen Neerabup Power Station,F,WA,"598,466","166,241","102,273","3,011","105,284",0.62,On,SWIS,Gas,-
ERM POWER LIMITED,Oakey Power Station,F,QLD,"479,538","133,205","88,678","2,076","90,754",0.67,On,NEM,Gas,-
ERM POWER LIMITED,Corporate Total,C,-,"1,078,004","299,446","190,951","5,087","196,038",-,-,-,-,-
ESPERANCE POWER STATION PTY LTD,Esperance Power Station,F,WA,"277,401","77,056","61,447",-,"61,447",0.80,Off,Off-grid,Gas,-
ESPERANCE POWER STATION PTY LTD,Corporate Total,C,-,"277,401","77,056","61,447",-,"61,447",-,-,-,-,-
ESSENTIAL ENERGY,Essential Energy Generation Facilities,FA,NSW,75,21,-,123,123,-,On,NEM,Solar,-
ESSENTIAL ENERGY,Corporate Total,C,-,75,21,-,123,123,-,-,-,-,-
FENGATE EXMOUTH ENERGY SPV PTY LTD,Exmouth Power Station Pty Ltd,F,WA,"85,648","23,791","16,793",-,"16,793",0.71,Off,Off-grid,Gas,-
FENGATE EXMOUTH ENERGY SPV PTY LTD,Corporate Total,C,-,"85,648","23,791","16,793",-,"16,793",-,-,-,-,-
GOLDFIELDS POWER PTY LTD,Parkeston Power Station,F,WA,"705,838","196,066","114,018",-,"114,018",0.58,On,SWIS,Gas,-
GOLDFIELDS POWER PTY LTD,Corporate Total,C,-,"705,838","196,066","114,018",-,"114,018",-,-,-,-,-
GSP ENERGY PTY LTD,Burrinjuck Power Station,F,NSW,"385,089","106,969",12,2,14,0.00,On,NEM,Hydro,-
GSP ENERGY PTY LTD,Hume Power Station,F,NSW,"920,437","255,677",23,205,228,0.00,On,NEM,Hydro,-
GSP ENERGY PTY LTD,Keepit Power Station,F,NSW,"21,499","5,972",7,0,7,0.00,On,NEM,Hydro,-
GSP ENERGY PTY LTD,Corporate Total,C,-,"1,327,025","368,618",42,207,249,-,-,-,-,-
HWF HOLDCO 1 PTY LTD,HWF1 Pty Ltd,F,SA,"1,101,682","306,023",-,169,169,-,On,NEM,Wind,-
HWF HOLDCO 1 PTY LTD,Corporate Total,C,-,"1,101,682","306,023",-,169,169,-,-,-,-,-
HWF HOLDCO 2 PTY LTD,HWF2 Pty Ltd,F,SA,"290,242","80,623",-,193,193,-,On,NEM,Wind,-
HWF HOLDCO 2 PTY LTD,Corporate Total,C,-,"290,242","80,623",-,193,193,-,-,-,-,-
HYDRO POWER PTY LIMITED,Wyangala A,F,NSW,"255,473","70,965",-,4,4,-,On,NEM,Hydro,-
HYDRO POWER PTY LIMITED,Wyangala B,F,NSW,"40,485","11,246",-,1,1,-,On,NEM,Hydro,-
HYDRO POWER PTY LIMITED,Corporate Total,C,-,"295,958","82,211",-,5,5,-,-,-,-,-
HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,F,TAS,"1,385,273","384,798",-,13,13,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,F,TAS,"335,625","93,229",-,-,0,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,F,TAS,"807,916","224,421",-,17,17,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,F,TAS,"1,490,365","413,990",-,289,289,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Cluny Hydro Power Station,F,TAS,"224,824","62,451",-,16,16,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Devils Gate Hydro Power Station,F,TAS,"1,033,979","287,216",-,15,15,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Fisher Hydro Power Station,F,TAS,"855,250","237,569",-,2,2,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Flinders Island Power Station,F,TAS,"18,871","5,242","2,875",2,"2,877",0.55,Off,Off-grid,Wind,-
HYDRO-ELECTRIC CORPORATION,Gordon Hydro Power Station,F,TAS,"1,452,235","403,399",-,42,42,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,John Butters Hydro Power Station,F,TAS,"2,655,511","737,642",-,306,306,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,King Island Power Station,F,TAS,"48,448","13,458","4,969",3,"4,972",0.37,Off,Off-grid,Wind,-
HYDRO-ELECTRIC CORPORATION,Lake Echo Hydro Power Station,F,TAS,"193,964","53,879",-,15,15,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Lake Margaret Lower Hydro Power station,F,TAS,"52,882","14,689",-,1,1,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Lake Margaret Upper Hydro Power Station,F,TAS,"173,263","48,129",-,3,3,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Lemonthyme Hydro Power Station,F,TAS,"1,031,538","286,538",-,31,31,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Liapootah Hydro Power Station,F,TAS,"1,566,498","435,138",-,141,141,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Mackintosh Hydro Power Station,F,TAS,"1,451,576","403,216",-,110,110,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Meadowbank Hydro Power Station,F,TAS,"663,229","184,230",-,15,15,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Paloona Hydro Power Station,F,TAS,"159,861","44,406",-,17,17,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Parangana Hydro Power Station,F,TAS,"12,237","3,399",-,0,0,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Poatina Hydro Power Station,F,TAS,"2,714,509","754,030",-,"1,202","1,202",-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Reece Hydro Power Station,F,TAS,"3,712,991","1,031,386",-,"1,209","1,209",-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Repulse Hydro Power Station,F,TAS,"519,283","144,245",-,7,7,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Rowallan Hydro Power Station,F,TAS,"179,703","49,918",-,0,0,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Tamar Valley Power Station,F,TAS,"2,857,809","793,836","328,637",914,"329,551",0.41,On,NEM,Gas,-
HYDRO-ELECTRIC CORPORATION,Tarraleah Hydro Power Station,F,TAS,"1,983,754","551,043",-,73,73,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Tods Corner Hydro Power Station,F,TAS,"4,551","1,264",-,6,6,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Trevallyn Hydro Power Station,F,TAS,"1,582,470","439,575",-,36,36,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Tribute Hydro Power Station,F,TAS,"884,013","245,559",-,37,37,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Tungatinah Hydro Power Station,F,TAS,"1,914,728","531,869",-,90,90,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Wayatinah Hydro Power Station,F,TAS,"836,056","232,238",-,26,26,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Wilmot Hydro Power Station,F,TAS,"479,617","133,227",-,32,32,-,On,NEM,Hydro,-
HYDRO-ELECTRIC CORPORATION,Corporate Total,C,-,"33,282,829","9,245,230","336,481","4,670","341,151",-,-,-,-,-
INFIGEN ENERGY LIMITED,Alinta Wind Farm,F,WA,"1,244,260","345,628",65,472,537,0.00,On,SWIS,Wind,-
INFIGEN ENERGY LIMITED,Capital East Solar Farm,F,NSW,350,97,-,6,6,-,On,NEM,Solar,-
INFIGEN ENERGY LIMITED,Capital Wind Farm,F,NSW,"1,276,714","354,643",168,901,"1,069",0.00,On,NEM,Wind,-
INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",F,SA,"2,400,179","666,716",115,793,908,0.00,On,NEM,Wind,-
INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,F,NSW,"528,884","146,912",42,404,446,0.00,On,NEM,Wind,-
INFIGEN ENERGY LIMITED,Corporate Total,C,-,"5,450,387","1,513,996",390,"2,576","2,966",-,-,-,-,-
IPM (KWINANA) PTY LTD,Kwinana Cogeneration Plant,F,WA,"3,076,434","854,565","471,033",0,"471,033",0.55,On,SWIS,Gas,-
IPM (KWINANA) PTY LTD,Corporate Total,C,-,"3,076,434","854,565","471,033",0,"471,033",-,-,-,-,-
IPM AUSTRALIA LIMITED,Loy Yang B Power Station,F,VIC,"30,860,120","8,572,256","9,631,697","2,440","9,634,137",1.12,On,NEM,Brown Coal,-
IPM AUSTRALIA LIMITED,Corporate Total,C,-,"30,860,120","8,572,256","9,631,697","2,440","9,634,137",-,-,-,-,-
KIAMCO FORESIGHT HANWHA BARCALDINE 1 PTY LTD,Barcaldine Remote Community Solar Farm Pty Ltd,F,QLD,"19,343","5,373",0,0,0.00,0.00,On,NEM,Solar,-
KIAMCO FORESIGHT HANWHA BARCALDINE 1 PTY LTD,Corporate Total,C,,"19,343","5,373",0,0,0.00,,,,,-
LMS ENERGY PTY LTD,Albury Renewable Energy Facility,F,NSW,"30,891","8,581",467,-,467,0.05,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Atlas Renewable Energy Facility,F,WA,"12,216","3,393",201,-,201,0.06,On,SWIS,Landfill Gas,-
LMS ENERGY PTY LTD,Awaba Renewable Energy Facility,F,NSW,"29,108","8,086",441,-,441,0.05,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Ballarat Renewable Energy Facility,F,VIC,"23,988","6,663",370,-,370,0.06,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Bendigo Renewable Energy Facility,F,VIC,"15,082","4,189",231,-,231,0.06,On,NEM,Solar,-
LMS ENERGY PTY LTD,Birkdale Renewable Energy Facility,F,QLD,"20,896","5,804",331,-,331,0.06,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Darwin Renewable Energy Facility,F,NT,"27,404","7,612",464,-,464,0.06,On,DKIS,Landfill Gas,-
LMS ENERGY PTY LTD,Eastern Creek 2 Renewable Energy Facility,F,NSW,"219,511","60,975","3,198",-,"3,198",0.05,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Hampton Park Renewable Energy Facility,F,VIC,"210,436","58,454","3,059",-,"3,059",0.05,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Ipswich Renewable Energy Facility,F,QLD,"22,832","6,342",351,-,351,0.06,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Mornington Peninsula Renewable Energy Facility,F,VIC,"22,817","6,338",359,-,359,0.06,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Newcastle Renewable Energy Facility,F,NSW,"61,185","16,996",912,-,912,0.05,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Remount Renewable Energy Facility,F,TAS,"45,194","12,554",695,-,695,0.06,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Rochedale Renewable Energy Facility,F,QLD,"128,337","35,649","1,932",-,"1,932",0.05,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Shepparton Renewable Energy Facility,F,VIC,"20,182","5,606",313,-,313,0.06,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,South Cardup Renewable Energy Facility,F,WA,"90,475","25,132","1,406",-,"1,406",0.06,On,SWIS,Landfill Gas,-
LMS ENERGY PTY LTD,Stapylton Renewable Energy Facility,F,QLD,"50,235","13,954",788,-,788,0.06,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Swanbank Renewable Energy Facility,F,QLD,"45,738","12,705",692,-,692,0.05,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Wollert Renewable Energy Facility,F,VIC,"198,207","55,058","3,041",-,"3,041",0.06,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Wyndham Renewable Energy Facility,F,VIC,"53,261","14,795",753,-,753,0.05,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Wyong Renewable Energy Facility,F,NSW,"65,422","18,173",999,-,999,0.05,On,NEM,Landfill Gas,-
LMS ENERGY PTY LTD,Corporate Total,C,-,"1,393,417","387,060","21,003",0,"21,003",-,-,-,-,-
MERIDIAN ENERGY AUSTRALIA PTY LTD,Mt Mercer Wind farm Pty Ltd,F,VIC,"1,304,419","362,339",87,-,87,0.00,On,NEM,Wind,-
MERIDIAN ENERGY AUSTRALIA PTY LTD,Mt Millar Wind Farm Pty Ltd,F,SA,"577,001","160,278",41,-,41,0.00,On,NEM,Wind,-
MERIDIAN ENERGY AUSTRALIA PTY LTD,Corporate Total,C,-,"1,881,420","522,617",128,-,128,-,-,-,-,-
MOMENTUM ENERGY PTY LIMITED,Alfred Hospital Cogeneration Plant,F,VIC,"50,502","14,028","13,692",531,"14,223",0.98,On,NEM,Gas,-
MOMENTUM ENERGY PTY LIMITED,Dandenong Hospital Cogeneration Plant,F,VIC,"45,092","12,526","11,019",369,"11,388",0.88,On,NEM,Gas,-
MOMENTUM ENERGY PTY LIMITED,Geelong Hospital Cogeneration Plant,F,VIC,"50,091","13,914","12,222",512,"12,734",0.88,On,NEM,Gas,-
MOMENTUM ENERGY PTY LIMITED,Royal Melbourne Hospital Cogeneration Plant,F,VIC,"110,483","30,690","26,308",536,"26,844",0.86,On,NEM,Gas,-
MOMENTUM ENERGY PTY LIMITED,ST. Vincent’s Hospital Cogeneration Plant,F,VIC,"46,606","12,946","13,144",512,"13,656",1.02,On,NEM,Gas,-
MOMENTUM ENERGY PTY LIMITED,Corporate Total,C,-,"302,774","84,104","76,385","2,460","78,845",-,-,-,-,-
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Mortons Lane Windfarm Pty Ltd,F,VIC,"219,403","60,945",-,49,49,-,On,NEM,Wind,-
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Corporate Total,C,-,"219,403","60,945",-,49,49,-,-,-,-,-
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Hazelwood Power Station,F,VIC,"27,720,747","7,700,208","10,820,998","148,389","10,969,387",1.41,On,NEM,Brown Coal,-
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Corporate Total,C,-,"27,720,747","7,700,208","10,820,998","148,389","10,969,387",-,-,-,-,-
NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,"1,704,291","473,414",-,453,453,-,On,NEM,Wind,-
NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,Corporate Total,C,-,"1,704,291","473,414",-,453,453,-,-,-,-,-
NEWGEN KWINANA HOLDINGS PTY LTD,Kwinana Gas Fired Power Station,F,WA,"7,774,909","2,159,697","845,847",260,"846,107",0.39,On,SWIS,Gas,-
NEWGEN KWINANA HOLDINGS PTY LTD,Corporate Total,C,-,"7,774,909","2,159,697","845,847",260,"846,107",-,-,-,-,-
NRG VICTORIA 1 PTY LTD,Gladstone Power Station,F,QLD,"23,985,396","6,662,610","6,393,361","49,533","6,442,894",0.96,On,NEM,Black Coal,-
NRG VICTORIA 1 PTY LTD,Corporate Total,C,-,"23,985,396","6,662,610","6,393,361","49,533","6,442,894",-,-,-,-,-
ONSLOW ELECTRIC POWER PTY LTD,Onslow Power Station,F,WA,"47,816","13,282","7,615",-,"7,615",0.57,Off,Off-grid,Gas,-
ONSLOW ELECTRIC POWER PTY LTD,Corporate Total,C,-,"47,816","13,282","7,615",-,"7,615",-,-,-,-,-
ORIGIN ENERGY LIMITED,Australand,F,NSW,"4,469","1,241",738,52,790,0.59,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Ballarat Solar Park,F,VIC,"1,589",441,-,2,2,-,On,NEM,Solar,-
ORIGIN ENERGY LIMITED,Bendigo Solar Park,F,VIC,"1,776",493,-,3,3,-,On,NEM,Solar,-
ORIGIN ENERGY LIMITED,Blackmores,F,NSW,"4,564","1,268",916,53,969,0.72,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Bond,F,NSW,"3,566",991,556,42,598,0.56,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Chifley Square,F,NSW,"3,168",880,472,37,509,0.54,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Cullerin Wind Farm,F,NSW,"16,723","4,645",8,2,10,0.00,On,NEM,Wind,-
ORIGIN ENERGY LIMITED,Dandenong,F,VIC,"10,577","2,938","1,801",183,"1,984",0.61,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Darling Downs Power Station,F,QLD,"12,034,608","3,342,947","1,389,019","8,731","1,397,750",0.42,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Drapac,F,VIC,"2,386",663,423,36,459,0.64,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Eraring Power Station,F,NSW,"53,976,488","14,993,469","12,895,988","22,981","12,918,969",0.86,On,NEM,Black Coal,-
ORIGIN ENERGY LIMITED,Exhibition Street,F,VIC,"7,923","2,201","1,228",120,"1,348",0.56,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Kent Street,F,NSW,"12,601","3,500","1,736",147,"1,883",0.50,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,La Trobe,F,VIC,"2,395",665,404,36,440,0.61,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Ladbroke Grove Power Station,F,SA,"760,128","211,147","109,849",433,"110,282",0.52,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Mirvac,F,NSW,"15,564","4,323","2,379",182,"2,561",0.55,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Mortlake Power Station,F,VIC,"3,970,503","1,102,918","609,582","5,285","614,867",0.55,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Mount,F,NSW,"6,896","1,916","1,074",80,"1,154",0.56,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Mt Stuart Power Station,F,QLD,"264,268","73,408","70,868","3,840","74,708",0.97,On,NEM,Kerosene,-
ORIGIN ENERGY LIMITED,Quarantine Power Station,F,SA,"950,501","264,028","172,014","1,582","173,596",0.65,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Roma Power Station,F,QLD,"150,261","41,739","27,146",883,"28,029",0.65,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Shoalhaven Scheme,F,NSW,"421,872","117,187",2,"124,407","124,409",0.00,On,NEM,Hydro,-
ORIGIN ENERGY LIMITED,Stockland Headquarters,F,NSW,"5,244","1,457",849,61,910,0.58,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,University of NSW,F,NSW,"8,388","2,330","1,458",98,"1,556",0.63,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Uranquinty Power Station,F,NSW,"2,291,037","636,399","388,201","5,306","393,507",0.61,On,NEM,Gas,-
ORIGIN ENERGY LIMITED,Corporate Total,C,-,"74,927,495","20,813,193","15,676,711","174,582","15,851,293",-,-,-,-,-
OZGEN HOLDINGS AUSTRALIA PTY LTD,Callide C Power Station (facility),F,QLD,"19,596,920","5,443,589","4,895,015","24,167","4,919,182",0.90,On,NEM,Black Coal,"Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made."
OZGEN HOLDINGS AUSTRALIA PTY LTD,Millmerran Power Station (facility),F,QLD,"23,790,805","6,608,557","5,409,970","3,039","5,413,009",0.82,On,NEM,Black Coal,-
OZGEN HOLDINGS AUSTRALIA PTY LTD,Corporate Total,C,-,"43,387,725","12,052,146","10,304,985","27,206","10,332,191",-,-,-,-,-
PELICAN POINT POWER LIMITED,Pelican Point Power Station,F,SA,"4,354,648","1,209,624","492,834","4,777","497,611",0.41,On,NEM,Gas,-
PELICAN POINT POWER LIMITED,Corporate Total,C,-,"4,354,648","1,209,624","492,834","4,777","497,611",-,-,-,-,-
PERTH ENERGY PTY LTD,Kwinana Swift Power Station,F,WA,"207,676","57,688","33,597",651,"34,248",0.58,On,SWIS,Gas,-
PERTH ENERGY PTY LTD,Merredin Energy Power Station,F,WA,"1,591",442,473,524,997,1.07,On,SWIS,Gas,-
PERTH ENERGY PTY LTD,Corporate Total,C,-,"209,267","58,130","34,070","1,175","35,245",-,-,-,-,-
PILBARA IRON PTY LTD,Paraburdoo Power Station,F,WA,"1,963,896","545,527","288,580",-,"288,580",0.53,On,NWIS,Gas,-
PILBARA IRON PTY LTD,West Angelas Power Station,F,WA,"1,368,795","380,221","205,655",-,"205,655",0.54,On,NWIS,Gas,-
PILBARA IRON PTY LTD,Yurralyi Maya Power Station,F,WA,"2,722,389","756,219","414,906",-,"414,906",0.55,On,NWIS,Gas,-
PILBARA IRON PTY LTD,Corporate Total,C,-,"6,055,080","1,681,967","909,141",-,"909,141",-,-,-,-,-
PIONEER SAIL HOLDINGS PTY LIMITED,Bairnsdale Power Station,F,VIC,"606,688","168,524","93,507",885,"94,392",0.55,On,NEM,Gas,-
PIONEER SAIL HOLDINGS PTY LIMITED,Braemar Power Station,F,QLD,"2,339,088","649,747","380,305","1,746","382,051",0.59,On,NEM,Coal Seam Methane,-
PIONEER SAIL HOLDINGS PTY LIMITED,Newman Power Station,F,WA,"673,735","187,149","159,852",-,"159,852",0.85,Off,Off-grid,Gas,-
PIONEER SAIL HOLDINGS PTY LIMITED,Port Hedland Power Station,F,WA,"1,731,988","481,108","375,138",-,"375,138",0.78,On,NWIS,Gas,-
PIONEER SAIL HOLDINGS PTY LIMITED,Wagerup Power Station,F,WA,"181,385","50,385","30,110",839,"30,949",0.60,On,SWIS,Gas,-
PIONEER SAIL HOLDINGS PTY LIMITED,Corporate Total,C,-,"5,532,884","1,536,912","1,038,912","3,470","1,042,382",-,-,-,-,-
POWER AND WATER CORPORATION,Alpurrurulam (Lake Nash),F,NT,"6,644","1,846","1,191",-,"1,191",0.65,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Amanbidgi (Kildurk),F,NT,973,270,256,-,256,0.95,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,"Ampilatwatja (Alparra, Ammaroo)",F,NT,"12,042","3,345","2,373",-,"2,373",0.71,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Amunturangu (Mount Liebig),F,NT,"2,732",759,604,-,604,0.80,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Aputula (Finke),F,NT,"3,616","1,004",720,-,720,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Areyonga (Utju),F,NT,"3,880","1,078",757,-,757,0.70,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Atitjere (Harts Range),F,NT,"3,124",868,649,-,649,0.75,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Borroloola Generation,F,NT,"22,837","6,344","4,358",-,"4,358",0.69,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Bulla Camp,F,NT,"1,521",423,398,-,398,0.94,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Bulman,F,NT,"4,397","1,221",934,-,934,0.76,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Daly Waters Generation,F,NT,"3,758","1,044",792,-,792,0.76,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Elliot Generation,F,NT,"9,731","2,703","1,927",-,"1,927",0.71,Off,Off-grid,Gas,-
POWER AND WATER CORPORATION,Engawala (Alcoota),F,NT,"1,971",548,435,-,435,0.79,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Epenarra (Wutunugurra),F,NT,"2,460",683,579,-,579,0.85,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Eva Valley,F,NT,"1,287",358,316,-,316,0.88,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Galiwinku (Elcho Island),F,NT,"25,276","7,021","4,994",-,"4,994",0.71,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Gapuwiyak (Lake Evella),F,NT,"10,460","2,906","2,107",-,"2,107",0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Gunbalanya (Oenpelli),F,NT,"17,934","4,982","3,557",-,"3,557",0.71,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Ikuntji (Haasts Bluff),F,NT,"2,613",726,579,-,579,0.80,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Imangara (Murray Downs),F,NT,"1,052",292,243,-,243,0.83,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Imanpa (Mount Ebenezer),F,NT,"2,088",580,457,-,457,0.79,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Kalkaringi (Wave Hill),F,NT,"10,820","3,006","1,727",-,"1,727",0.57,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Kaltukatjara (Docker River),F,NT,"5,227","1,452","1,042",-,"1,042",0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Lajamanu (Hooker Creek),F,NT,"10,601","2,945","2,112",-,"2,112",0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Laramba (Napperby),F,NT,"3,361",934,685,-,685,0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Maningrida,F,NT,"32,108","8,919","5,945",-,"5,945",0.67,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Milikapiti (Snake Bay),F,NT,"7,535","2,093","1,583",-,"1,583",0.76,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Milingimbi,F,NT,"13,208","3,669","2,724",-,"2,724",0.74,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Milyakburra (Bickerton Island),F,NT,"3,398",944,690,-,690,0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Minjilang (Croker Island),F,NT,"4,646","1,291",989,-,989,0.77,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Minyerri (Hodgson Downs),F,NT,"8,125","2,257","1,652",-,"1,652",0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Nauiyu Nambiyu (Daly River),F,NT,"11,173","3,104","2,178",-,"2,178",0.70,Off,Off-grid,Diesel,-
