Reporting Entity ,Facility Name,Type,State,Electricity Production (GJ),Electricity Production (Mwh),Scope 1 (t CO2-e),Scope 2 (t CO2-e),Total Emissions (t CO2-e),Emission  Intensity (t/Mwh),Grid Connected,Grid,Primary Fuel,Important Notes
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,567719,157700,19,293,312,0.00,On,NEM,Wind,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,213115,59199,0,15,15,0.00,On,NEM,Solar,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2461803,683834,77,1144,1221,0.00,On,NEM,Wind,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,N/A,3242637,900733,96,1452,1548,,N/A,N/A,N/A,N/A
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,137094,38082,5,17,22,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,50275548,13965430,12253123,8306,12261429,0.88,On,NEM,Black Coal,N/A
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,266917,74144,83,839,922,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,27428,7619,1,97,98,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Clover Hydro,F,VIC,151368,42047,3,51,54,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,91666,25463,19260,86,19346,0.76,On,NEM,Gas,N/A
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,139785,38829,1,75,76,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,1608089,446691,0,727,727,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,710341,197317,20,153,173,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,42254,11737,0,16,16,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,43117,11977,745,1,746,0.06,On,NEM,Landfill Gas,N/A
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1136668,315741,135,217,352,0.00,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,858516,238477,85,187,272,0.00,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1543714,428809,133,360,493,0.00,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,489049,135847,75,175,250,0.00,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,27374,7604,427,0,427,0.06,On,NEM,Landfill Gas,N/A
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,901,250,355,869,1224,1.42,On,NEM,Gas,N/A
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,14613,4059,238,5,243,0.06,On,NEM,Landfill Gas,N/A
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,24864251,6906736,6514993,46355,6561348,0.94,On,NEM,Black Coal,N/A
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,58415084,16226412,18508708,268516,18777224,1.14,On,NEM,Brown Coal,N/A
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,3589748,997152,371,2655,3026,0.00,On,NEM,Wind,N/A
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,317552,88209,0,6185,6185,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,82912,23031,12327,1142,13469,0.54,On,NEM,Coal Seam Methane,N/A
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,33769,9380,9,59,68,0.00,On,NEM,Solar,N/A
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,526539,146261,68,637,705,0.00,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,77364,21490,1320,6,1326,0.06,On,SWIS,Landfill Gas,N/A
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,167206,46446,0,47,47,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,19739,5483,356,8,364,0.06,On,NEM,Landfill Gas,N/A
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,37669,10464,8378,2036,10414,0.80,On,NEM,Gas,N/A
AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,F,QLD,3091,859,38,69,107,0.04,On,NEM,Macadamia Nut Shells,N/A
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,6057169,1682547,983263,15130,998393,0.58,On,NEM,Gas/Diesel,N/A
