company,locationid,plant,iso3,lon,lat,plant.id
"ALASKA VILLAGE ELEC COOP, INC",,SHUNGNAK,USA,-156.9889,66.71,72804
NAKNEK ELECTRIC ASSN,27063,NAKNEK,USA,-156.7319,58.8128,30268
NORTH SLOPE BOROUGH POWER & LIGHT,,NSB ATQUASUK UTILITY,USA,-157.3969,70.4808,71182
"ALASKA VILLAGE ELEC COOP, INC",,TOGIAK,USA,-160.385,59.2281,71074
ALASKA POWER CO,,FALSE ISLAND,USA,-133.1339,55.4889,72353
ALASKA ELECTRIC LIGHT&POWER CO,,LEMON CREEK,USA,-134.4986,58.3514,70360
"ALASKA VILLAGE ELEC COOP, INC",,KOTLIK,USA,-163.7614,62.9456,72805
KETCHIKAN PUB UTILS,24029,BEAVER FALLS,USA,-131.6778,55.3633,3750
KOTZEBUE ELECTRIC ASSN INC,,KOTZEBUE,USA,-160.2692,66.2053,71063
CHUGACH ELECTRIC ASSN INC,,BERNICE LAKE,USA,-151.3874,60.6935,71061
GALENA PUBLIC UTILITIES,20690,GALENA ELECTRIC UTILITY,USA,-156.9551,64.7407,14470
INSIDE PASSAGE ELECTRIC COOP,34703,HOONAH,USA,-135.7433,58.1833,18296
"ALASKA VILLAGE ELEC COOP, INC",,HOOPER BAY,USA,-166.1003,61.5208,71067
KETCHIKAN PUB UTILS,24031,KETCHIKAN,USA,-131.6778,55.3633,21900
"COPPER VALLEY ELEC ASSN, INC",,GLENNALLEN,USA,-146.5494,61.9769,71064
CORDOVA ELEC COOP INC,49270,POWER CREEK,USA,-145.5956,60.59,35590
ALASKA ELECTRIC LIGHT&POWER CO,,AUKE BAY,USA,-134.6389,58.3861,71150
TESORO ALASKA CO,,TESORO ALASKA PETROLEUM,USA,-151.3815,60.677,71862
"ALASKA VILLAGE ELEC COOP, INC",,KIANA,USA,-160.5053,67.5683,71068
"I-N-N ELECTRIC COOP, INC",,NEW HALEN,USA,-153.1217,60.065,71147
CITY OF WRANGELL,,WRANGELL,USA,-132.3683,56.4522,70368
WESTWARD SEAFOODS INC,,WESTWARD SEAFOODS,USA,-166.5539,53.8575,71911
ALASKA POWER & TELEPHONE,12641,GOAT LAKE HYDRO,USA,-135.3264,59.455,15336
"ALASKA VILLAGE ELEC COOP, INC",,ST MARYS (6338),USA,-163.2658,62.0636,71071
"ALASKA VILLAGE ELEC COOP, INC",,SAVOONGA,USA,-169.5889,63.25,72793
ALASKA ELECTRIC LIGHT&POWER CO,,GOLD CREEK,USA,-134.4061,58.3,70359
KODIAK ELECTRIC ASSN INC,,KODIAK,USA,-152.4247,57.785,71058
"ALASKA VILLAGE ELEC COOP, INC",,ALAKANUK,USA,-164.6544,62.6833,72794
KETCHIKAN PUB UTILS,24034,SWAN LAKE,USA,-131.6778,55.3633,43984
KETCHIKAN PUB UTILS,24032,SILVIS,USA,-131.6778,55.3633,41656
AURORA ENERGY LLC,,AURORA ENERGY LLC CHENA,USA,-147.7286,64.8461,70364
TANADGUSIX CORP,25538,INTERNATIONAL,USA,-149.9103,61.1703,27017
"ALASKA VILLAGE ELEC COOP, INC",,NOORVIK,USA,-160.4958,66.8553,71070
MTNT LTD,25866,MCGRATH,USA,-154.2194,63.2369,27747
GOLDEN VALLEY ELEC ASSN INC,21140,HEALY,USA,-148.95,63.8542,17251
ALASKA POWER & TELEPHONE,49376,SOUTH FORK,USA,-132.9,55.55,42588
CHUGACH ELECTRIC ASSN INC,,BELUGA,USA,-151.0356,61.1861,70369
KODIAK ELECTRIC ASSN INC,,PILLAR MOUNTAIN,USA,-152.4406,57.7869,72847
KODIAK ELECTRIC ASSOCIATION,24237,TERROR LAKE,USA,-152.4058,57.7911,45101
SHELL OFFSHORE INC,,SHELL OFFSHORE YELLOWHAMMER,USA,-88.1333,30.4067,72013
POWERSOUTH ENERGY COOP,12561,CHARLES R LOWMAN,USA,-87.9106,31.4858,9610
SOUTHERN CO,38581,THEODORE COGEN FACILITY,USA,-88.1289,30.5248,45233
EXXON MOBIL PRODUCTION CO,,EXXONMOBIL MOBILE BAY ONSHORE,USA,-88.1769,30.4278,71966
SOUTHERN CO,45690,WASHINGTON COUNTY COGENERATION FACILITY,USA,-88.0156,31.2504,48983
DTE ENERGY SERVICES,,MOBILE ENERGY SERVICES LLC,USA,-88.0769,30.7322,71669
CALPINE CORP,46019,HOG BAYOU ENERGY CENTER,USA,-88.0575,30.7478,18028
KOCH INDUSTRIES INC,46249,GEORGIA PACIFIC BREWTON MILL,USA,-87.1113,31.077,5745
EAGLE ROCK ENERGY PARTNERS,,BIG ESCAMBIA CREEK,USA,-87.4136,31.0108,71740
KOCH INDUSTRIES INC,12603,ALABAMA RIVER PULP,USA,-87.4889,31.5825,8774
KOCH INDUSTRIES INC,29723,ALABAMA PINE PULP,USA,-87.4889,31.5825,8775
SOUTHERN CO,45690,MCINTOSH (7063),USA,-88.0299,31.2546,71135
SOUTHERN CO,12578,BARRY,USA,-88.0103,31.0069,3427
MOBIL EXPLRTN & PRODG SE INC,,MARY ANN GAS PLANT,USA,-88.1633,30.395,72028
SOUTHERN CO,50795,E B HARRIS ELECTRIC GENERATING PLANT,USA,-86.5736,32.3814,12331
CRESTWOOD CORP,,CRESTWOOD DOTHAN,USA,-85.4027,31.2624,72082
SOUTHERN CO,12593,MARTIN DAM,USA,-85.9125,32.6797,27381
SOUTHERN CO,12597,WALTER BOULDIN DAM,USA,-86.2567,32.6184,48836
SOUTHERN CO,12589,JORDAN DAM,USA,-86.2548,32.6189,20522
POWERSOUTH ENERGY COOP,12570,POINT A,USA,-86.5183,31.3614,35068
INTERNATIONAL PAPER CO,35225,INTERNATIONAL PAPER PRATTVILLE MILL,USA,-86.4718,32.4187,35692
US DEPT OF DEFENSE,35602,JONES BLUFF,USA,-86.7872,32.3248,20508
ALABAMA POWER CO,,THURLOW DAM,USA,-85.8896,32.5349,70356
TENASKA INC,50241,TENASKA CENTRAL ALABAMA GENERATING STN,USA,-86.7386,32.6503,44962
SOUTHERN CO,45398,GENERAL ELECTRIC PLASTIC,USA,-86.5242,32.3102,6316
