Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1022993,Garden of Eden,Diesel,,Diesel Engine,,21.2,,Guyana Power & Light,Operational,,,,,,,,,,,,,Guyana Power and Light,http://www.gplinc.net/sites/default/files/Uploaded%20Files/D&E%20Programme%202013%20-%202017%20-%20F.pdf,,,,,,,,,,,,Guyana,,
1022997,Demerara Power 1,Diesel,,Diesel Engine,,2.2,,Guyana Power & Light,Operational,,,,,,,,,,,,,Guyana Power and Light,http://www.gplinc.net/sites/default/files/Uploaded%20Files/D&E%20Programme%202013%20-%202017%20-%20F.pdf,,,,,,,,,,,,Guyana,,
1022999,Mirrlees Blackstone,Diesel,,Diesel Engine,2 x 5,10,,Guyana Power & Light,Operational,,,,,,,,,,,,,Guyana Power and Light,http://www.gplinc.net/sites/default/files/Uploaded%20Files/D&E%20Programme%202013%20-%202017%20-%20F.pdf,,,,,,,,,,,,Guyana,,
1022994,Kingston 1,Diesel,,Diesel Engine,,22,,Guyana Power & Light,Operational,,,,,,,,,,6.813584,-58.164858,,Guyana Power and Light,http://www.gplinc.net/sites/default/files/Uploaded%20Files/D&E%20Programme%202013%20-%202017%20-%20F.pdf,,,,,,,,,,,,Guyana,,WRI
1022995,Kingston 11,Diesel,,Diesel Engine,,36.3,,Guyana Power & Light,Operational,,,,,,,,,,6.82282,-58.165407,,Guyana Power and Light,http://www.gplinc.net/sites/default/files/Uploaded%20Files/D&E%20Programme%202013%20-%202017%20-%20F.pdf,,,,,,,,,,,,Guyana,,WRI
1022996,Versailles Power Station,Diesel,,Diesel Engine,,22,,Guyana Power & Light,Operational,,,,,,,,,,6.789109,-58.189348,,Guyana Power and Light,http://www.gplinc.net/sites/default/files/Uploaded%20Files/D&E%20Programme%202013%20-%202017%20-%20F.pdf,,,,,,,,,,,,Guyana,,WRI
1022998,Vreed en Hoop,Diesel,,Diesel Engine,,26,,Guyana Power & Light,Operational,,,,,,,,,,6.808978,-58.17905,,Guyana Power and Light,http://www.gplinc.net/sites/default/files/Uploaded%20Files/D&E%20Programme%202013%20-%202017%20-%20F.pdf,,,,,,,,,,,,Guyana,,WRI
1023000,Skeldon,Bagasse,,Sub-critical Thermal,,30,2008,Guyana Power & Light,Operational,,,,,,,,,,5.880302,-57.149671,,Guyana Power and Light,http://www.gplinc.net/sites/default/files/Uploaded%20Files/D&E%20Programme%202013%20-%202017%20-%20F.pdf,,,,,,,,,,,,Guyana,,WRI
