Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1000183,2nd Thermal Power Plant,Coal,,,,18,1969,,,Ulaanbaatar,,,,,,,,,,,,CDM,http://www.adb.org/sites/default/files/project-document/63905/43357-01-mon-tar.pdf,,,,,,,,Central Energy System,,,,Mongolia,Mongolian,
1000184,Amgalan,Coal,,,3x38,116,2015,,,Ulaanbaatar,,,,,,,,,,,,Info Mongolia,http://www.infomongolia.com/ct/ci/10065/56/%E2%80%9CAmgalan%E2%80%9D%20thermal%20power%20plant%20officially%20opened,,,,,,,,Central Energy System,,,,Mongolia,Mongolian,
1000185,Salkhit,Wind,,,31 GE turbines,50,2013,,,Ulaanbaatar,,,,,,,,,47.162982,108.039127,,Global Engineering Management and Development Consultants,https://www.mottmac.com/article/2321/salkhit-wind-farm-mongolia,,,,,,,,,,,,Mongolia,Mongolian,WRI
1000182,Ulaanbaatar-3 Thermal Power Plant,Coal,,,,198,2014,Thermal Power Plant-3 SSH Co,,Ulaanbaatar,,2018.0,,,,,,,47.895556,106.865055," / No Units",GCPT,https://endcoal.org/global-coal-plant-tracker/,,,,,,,,Central Energy System,,,,Mongolia,Mongolian,GCPT
1000181,Ulaanbaatar-4 Thermal Power Plant,Coal,,,"3x80, 3x100",570,1984,Thermal Power Plant-4 SSH Co,,Ulaanbaatar,,2018.0,,,,,,,47.8938,106.8036," / GCPT_Plant_Units_Link: L103044=>G110443;G110444;G110445;G110446;G110447;G110448 / ",GCPT,https://endcoal.org/global-coal-plant-tracker/,,,,,,,,Central Energy System,,,,Mongolia,Mongolian,GCPT
1075838,Dornod power station,Coal,,,,36,1982,Central Energy System,,,,2018.0,,,,,,,48.079288,114.554981," / GCPT_Plant_Units_Link: L103033=>G101519;G101520 / ",GCPT,https://endcoal.org/global-coal-plant-tracker/,,,,,,,,,,,,Mongolia,,GCPT
