Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1023145,Imboulou,Hydro,,,,120,,,Operational,,,,,,,,,,-2.97000000000,16.08000000000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Congo,,Power Africa
1023146,Djeno Eni,Natural Gas,,,,36,,,Operational,,,,,,,,,,-4.89096200000,11.91544900000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Congo,,Power Africa
1023147,Djoue,Hydro,,,,15,,,Operational,,,,,,,,,,-4.30122000000,15.20673000000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Congo,,Power Africa
1023148,Loango,Oil,,,,45.3,,,Operational,,,,,,,,,,-2.98722220000,12.06083330000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Congo,,Power Africa
1023149,Moukoukoulou,Hydro,,,,74,,,Operational,,,,,,,,,,-3.89882500000,13.76537200000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Congo,,Power Africa
1023150,Pointe-Noire Sne,Natural Gas,,,,300,,,Operational,,,,,,,,,,-4.91540000000,11.93620000000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Congo,,Power Africa
1023151,Sounda Gorge,Hydro,,,,10,,,Operational,,,,,,,,,,-4.07666670000,12.15694440000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Congo,,Power Africa
1023152,Mpila,Diesel,,,,25.6,,,Operational,,,,,,,,,,-4.24956100000,15.30254900000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Congo,,Power Africa
