Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1023072,Kinguele,Hydro,,,,57.6,,,Operational,,,,,,,,,,0.45500000000,10.28100000000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Gabon,,Power Africa
1023073,Owendo,Natural Gas,,,,77,,,Operational,,,,,,,,,,0.34326500000,9.47837700000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Gabon,,Power Africa
1023074,Port-Gentil,Natural Gas,,,,68.3,,,Operational,,,,,,,,,,-0.75388400000,8.75363500000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Gabon,,Power Africa
1023075,Poubara,Hydro,,,,160,,,Operational,,,,,,,,,,-1.77328500000,13.55204800000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Gabon,,Power Africa
1023076,Rabi,Heavy Fuel Oil,,,,15.51,,,Operational,,,,,,,,,,-1.90000000000,9.48333330000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Gabon,,Power Africa
1023077,Tchimbele,Hydro,,,,68.4,,,Operational,,,,,,,,,,0.62100000000,10.40700000000,,African Development Bank Group,http://powerafrica.opendataforafrica.org,,,,,,,,,,,,Gabon,,Power Africa
