Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Generation Data Source,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1002081,Ogonfagnaden wind farm,Wind,,,,100,,100% Statkraft,Operational,"Ragunda, Sollefteå and Strömsund in the counties of Jämtland and Västernorrland",310,,,,,,,,,,,,Statkraft,,,,,,,,,,,,,Sweden,,
1002088,Stamasen Wind Farm,Wind,,,26 turbines,60,,60% Statkraft,Operational,Norrland County,200,,,,,,,,,,,,Statkraft,http://www.statkraft.com/energy-sources/Power-plants/Sweden/Stamasen/,,,,,,,,,,,,Sweden,,
1002149,Hjuleberg,Wind,,,12 Siemens turbines,36,2014,,Operational,north-east of the town of Falkenberg in the county of Halland,,,,,,,,,,,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Sweden/view=list/sort=elcap,,,,,,,,,,,,Sweden,,
1002160,Ostra Herrestad,Wind,,,6 Vestas,16.2,2010,100% Vattenfall,Operational,Onshore - south-eastern corner of the province of Skåne,,,,,,,,,,,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Sweden/view=list/sort=elcap,,,,,,,,,,,,Sweden,,
1002047,Em Wind Farm,Wind,,,4 turbines,9.2,,91.1% Statkraft,Operational,Mönsterås,22,,,,,,,,,,,,Statkraft,http://www.statkraft.com/energy-sources/Power-plants/Sweden/Em/,,,,,,,,,,,,Sweden,,
1002092,Tollarpabjar Wind farm,Wind,,,,2,,90% Statkraft,Operational,,7,,,,,,,,,,,,Statkraft,,,,,,,,,,,,,Sweden,,
1019439,​Högdalen,Waste,,,,44,1970,Fortum,Operational,Stockholm,197,,,,,,,,,,,,Fortum Sweden,http://www.fortum.com/en/corporation/fortumworldwide/sweden/pages/default.aspx,,,,,,,,,,,,Sweden,,
1002045,Dabbsjo,Hydro,,,Francis turbinie,26,1969,100% Statkraft,Operational,"Rajastrand, Dorotea Municipality, Västerbotten County",97,,,,,,,,,,,Drop Height 50 m,Statkraft,http://www.statkraft.com/energy-sources/Power-plants/Sweden/Dabbsjo/,,,,,,,,,,,,Sweden,,
1002035,Anundjso,Hydro,,,1 Francis turbine,5,1953,100% Statkraft,Operational,"Örnsköldsvik Municipality, Västernorrland County",26,,,,,,,,,,,Drop Height 61 m,Statkraft,http://www.statkraft.com/energy-sources/Power-plants/Sweden/Anundsjo/,,,,,,,,,,,,Sweden,,
1002043,Bro,Hydro,,,1 Kaplan turbine,1.8,1927,100% Statkraft,Operational,"Ljungby Municipality, Kronoberg County",8,,,,,,,,,,,Drop Height 8 m,Statkraft,http://www.statkraft.com/energy-sources/Power-plants/Sweden/Bro/,,,,,,,,,,,,Sweden,,
1002067,Krosselbranna,Hydro,,,Francis turbines,130,1961,100% Statkraft,Operational,"Norråker, Strömsund Municipality, Jämtland County",428,,,,,,,,,,,Drop height 113 m,Statkraft,http://www.statkraft.com/energy-sources/Power-plants/Sweden/Korsselbranna/,,,,,,,,,,,,Sweden,,
