Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Generation Data Source,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1000024,Mulingushi,Hydro,,Dam with Reservoir,,40,1925,ZESCO,Operational,Mulingushi River,,,,,,,,,,,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Southern Africa Grid,,,,Zambia,,
1000020,Itezhi- Tezhi,Hydro,,Dam with Reservoir,,120,1978,ZESCO,Operational,Kafue River,,,,,,,,,,-15.7688,26.02026,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Southern Africa Grid,,,,Zambia,,GEODB
1000021,Kariba,Hydro,,Dam with Reservoir,,930,1959-2013,ZESCO,Operational,Zambezi River,6161,,,,,,,,,-16.5222,28.7619,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Southern Africa Grid,,,,Zambia,,GEODB
1000022,Kafue Gorge,Hydro,,Dam with Reservoir,,990,1971,ZESCO,Operational,,6666,,,,,,,,,-15.80889497,28.41989279,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Southern Africa Grid,,,,Zambia,,GEODB
1000023,Lusiwasi,Hydro,,Dam with Reservoir,,12,,ZESCO,Operational,,,,,,,,,,,-12.9884,30.8649,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Southern Africa Grid,,,,Zambia,,GEODB
1022384,Nkana,Diesel,,,,20,,ZESCO,,,,,,,,,,,,-12.8166667,28.2,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,,,,,Zambia,,Power Africa
1022385,Lusaka,Diesel,,,,15,,ZESCO,,,,,,,,,,,,-15.4329996,28.3330002,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,,,,,Zambia,,Power Africa
1022386,Ndola,Heavy Fuel Oil,,,,50,,ZESCO,,,,,,,,,,,,-12.9666667,28.6333333,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,,,,,Zambia,,Power Africa
1022387,Bancroft Copperbelt,Diesel,,,,20,,ZESCO,,,,,,,,,,,,-12.378596,27.83168,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,,,,,Zambia,,Power Africa
1022388,Luano,Diesel,,,,40,,ZESCO,,,,,,,,,,,,-11.5666667,24.1333333,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,,,,,Zambia,,Power Africa
1022389,Luanshya Nchanga,Diesel,,,,14.6,,ZESCO,,,,,,,,,,,,-13.1333333,28.4,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,,,,,Zambia,,Power Africa
1022390,Mufulira Nchanga,Diesel,,,,10,,ZESCO,,,,,,,,,,,,-12.55,28.2333333,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,,,,,Zambia,,Power Africa
1022375,Nakambala Sugar,Biomass,,,,12.237,,Zambia Sugar,,,,,,,,,,,,-15.8333333,27.7666667,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,,,,,Zambia,,Power Africa
1022380,Victoria Falls,Hydro,,,,108,,ZESCO,,,811,,,,,,,,,-17.9166667,25.85,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,,,,,Zambia,,Power Africa
1022376,Maamba plant,Coal,,,,300,2016,Maamba Collieries,,,,2018.0,,,,,,,,-17.352897,27.1859398, / GCPT_Plant_Units_Link: L104354=>G106530;G106531;G106532;G106533 / ,GCPT,https://endcoal.org/global-coal-plant-tracker/,,,,,,,,,,,,Zambia,,GCPT
