Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Generation Data Source,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1023109,Nouakchott (Thermal),Oil,,,,51.804,,,Operational,,,,,,,,,,,18.046041,-15.974788,,African Development Bank Group,http://powerafrica.opendataforafrica.org,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,,,,Mauritania,,WRI [Colin]
1023108,Nouakchott (Solar),Solar,,,,30,,,Operational,,,,,,,,,,,18.152807,-15.984194,,African Development Bank Group,http://powerafrica.opendataforafrica.org,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,,,,Mauritania,,WRI [Colin]
1023106,Guelbs El Rhein,Oil,,,,66.6,,,Operational,,,,,,,,,,,22.876655,-12.302038,,African Development Bank Group,http://powerafrica.opendataforafrica.org,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,,,,Mauritania,,WRI [Colin]
1023107,Nouadhibou,Natural Gas,,,,120,,,Operational,,,,,,,,,,,20.895388,-17.057216,,African Development Bank Group,http://powerafrica.opendataforafrica.org,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,,,,Mauritania,,WRI [Colin]
1023110,Zouerate,Oil,,,,14.4,,,Operational,,,,,,,,,,,22.723062,-12.483970,,African Development Bank Group,http://powerafrica.opendataforafrica.org,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,,,,Mauritania,,WRI [Colin]
1023111,Nouakchott (Wind),Wind,,,,30,,,Operational,,,,,,,,,,,17.965053,-15.985122,,African Development Bank Group,http://powerafrica.opendataforafrica.org,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,,,,Mauritania,,WRI [Colin]
1063723,Zouerate (Solar),Solar,,,,3,2018,,Operational,,,,,,,,,,,22.724087,-12.457823,,SNIM,http://www.snim.com/e/index.php/recherche-a-developpement/development/projects/68-zouerates-solar-power-plant.html,Alerbey,https://alerbey.com/new-30-mw-power-plant-project-in-zouerate/?lang=en,,,,,,,,,,Mauritania,,WRI [Colin]
