Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1022458,Ross Island,Wind,,Onshore Wind,,1,,Meridian Energy,Operational,,,2016,,,,,,,-77.842804,166.727138,,Meridian Energy,https://www.meridianenergy.co.nz/about-us/our-power-stations/wind/ross-island,,,,,,,,,,,,Antarctica,,WRI
1023843,McMurdo Station Generator,Diesel,,Diesel Engine,6,6.6,1981,,Operational,McMurdo Station,,,,,,,,,-77.846983,166.660486,,Antarctica Australia,http://www.antarctica.gov.au/__data/assets/pdf_file/0007/21949/ml_385474997916667_atcm28_att067_rev1_e.pdf,,,,,,,,,,,,Antarctica,,WRI
