Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1029211,Brahmanbaria (Agrico) (Gas),Natural Gas,,OCGT,,85,,Aggreko,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=181,,,,,,,,,,,,Bangladesh,,
1029212,Chandpur,Natural Gas,,CCGT,,163,,,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=186,,,,,,,,,,,,Bangladesh,,
1029215,Dohazari Sangu,Natural Gas,,OCGT,,102,2012,,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=162,,,,,,,,,,,,Bangladesh,,
1029218,Gagnagar (Orion),Heavy Fuel Oil,,Sub-critical Thermal,,102,,Orion,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=142,,,,,,,,,,,,Bangladesh,,
1029235,"Malancha, Ctg.EPZ (United)",Natural Gas,,OCGT,,41,,United Group,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=165,,,,,,,,,,,,Bangladesh,,
1029242,Raj Lanka,Diesel,,Diesel Engine,,52,,Raj Lanka Power Company Limited,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=233,,,,,,,,,,,,Bangladesh,,
1029246,Shahjahanulla 25mw,Natural Gas,,,,25,,,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=206,,,,,,,,,,,,Bangladesh,,
1029252,Southern Power,Natural Gas,,OCGT,,55,,,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=150,,,,,,,,,,,,Bangladesh,,
1029259,Syedpur GT,Natural Gas,,OCGT,,20,,,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=237,,,,,,,,,,,,Bangladesh,,
1029261,Tangail (Doreen),Natural Gas,,OCGT,,22,1999,Doreen Power Company,Operational,,,,,,,,,,,,,Bangladesh Power Development Board,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=151&Itemid=191,,,,,,,,,,,,Bangladesh,,
