Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1070557,Hanchuan 1-4 Coal,Coal,,,,600,1991,China Guodian Group Corporation,,Xinhe Town  Hanchuan  Xiaogan City  Hubei Province,,,,,,,,,30.657611,113.917758,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25689-hanchuan-1-4-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070558,Duyun Coal,Coal,,,,1200,2012,China Guodian Corporation,,Fuquan City  Qiannan Buyei and Miao Autonomous City  Guizhou Province,,,,,,,,,26.63041,107.542903,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25516-duyun-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070559,Dalian - CPI Coal,Coal,,,,600,2010,CPI Northeast Power Co Ltd,,Yangjuan Village  Gezhenpu Town  Ganjingzi District  Dalian Prefecture  Liaoning Province,,,,,,,,,39.026153,121.549432,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33199-dalian-cpi-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070560,Huangjiaozhuang Coal,Coal,,,,400,1994,China Huadian Group Corporation,,Yibin County  Sichuan Province,,,,,,,,,28.716596,104.554279,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25498-huangjiaozhuang-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070561,Anwen Coal,Coal,,,,1620,2017,Chongqing Energy Investment Group,,Anwen Town  Qijiang District  Chongqing Province,,,,,,,,,28.641075,106.753085,,Sembcorp,http://www.sembcorp.com/en/media/media-releases/utilities/2017/january/sembcorp-s-1-320-megawatt-power-plant-in-chongqing-commences-full-commercial-operation/,,,,,,,,,,,,China,,Industry About
1070562,Tiandong Coal,Coal,,,,270,2011,Tiandong Kamshing Chemical Co Ltd,,Petrochemical Park  Bailin Village  Pingma  Tiandong  Baise City  Guangxi Zhuang Autonomous Region,,,,,,,,,23.648549,107.13105,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25684-tiandong-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070563,Tengzhou - Zaozhuang Coal,Coal,,,,48,2005,Tengzhou Fuyuan Co Ltd,,Zhangwang Town  Tengzhou Prefecture  Shandong Province,,,,,,,,,34.924956,117.115653,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33493-tengzhou-zaozhuang-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070564,Tengzhou - Huadian 3-4 Coal,Coal,,,,700,2005,Huadian Tengzhou Xinyuan Thermal Power Co Ltd,,Tengzhou City  Zaozhuang Prefecture  Shandong Province,,,,,,,,,35.067614,117.120359,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33492-tengzhou-huadian-3-4-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070565,Tengzhou - Huadian 1-2 Coal,Coal,,,,300,2005,Huadian Tengzhou Xinyuan Thermal Power Co Ltd,,Tengzhou City  Zaozhuang Prefecture  Shandong Province,,,,,,,,,35.069687,117.12606,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33491-tengzhou-huadian-1-2-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070566,Shiliquan Coal,Coal,,,,2060,1996,Huadian Power International Company Limited,,Shiliquan Village (Shiliquancun)  Shizhong District  Zaozhuang Prefecture  Shandong Province,,,,,,,,,34.81442,117.574307,,Huadian Power International Company Limited,http://en.hdpi.com.cn/webfront/webpage/web/contentPage/id/8bea35507ea34ff2938c318af3c56186,,,,,,,,,,,,China,,Industry About
