eic_p,eic_g,type_g,cyear,Generation,cf,time_coverage,co2emitted
18WABO1-12345-0X,18WABO1-12345-D7,"Fossil Hard coal",2015,1872563,0.626,1.000,1.94021e+09
18WABO2-12345-0N,18WABO2-12345-DY,"Fossil Hard coal",2015,4056615,0.864,1.000,3.84289e+09
48WSTN0000ABTHBN,48W0000000ABTH7Y,"Fossil Hard coal",2015,2216884,0.617,0.767,2.62568e+09
48WSTN000ABTHGTK,48W000000ABTH7G2,"Fossil Oil",2015,12,0.706,0.000,13092.9
48WSTN0000ABTHBN,48W0000000ABTH8W,"Fossil Hard coal",2015,2308023,0.622,0.791,2.73362e+09
48WSTN000ABTHGTK,48W100000ABTH8GN,"Fossil Oil",2015,17,0.500,0.000,18548.3
48WSTN0000ABTHBN,48W0000000ABTH9U,"Fossil Hard coal",2015,601024,0.475,0.278,7.11853e+08
48WSTN000ABTHGTK,48W000000ABTH9GX,"Fossil Oil",2015,15,0.441,0.000,16366.2
14W-BAA-KW-----D,14W-BAA-TU-----T,"Hydro Run-of-river and poundage",2015,940650,0.646,0.989,0
46WPU0000000063L,46WGU00000000127,Biomass,2015,0,0.000,0.869,
18WACE3-12345-00,18WACE3-12345-CD,"Fossil Gas",2015,485679,0.144,1.000,1.88294e+08
18WACE4-12345-0R,18WACE4-12345-C3,"Fossil Gas",2015,808554,0.248,1.000,3.1347e+08
19W000000000005K,19W000000000007G,"Fossil Brown coal/Lignite",2015,571838,0.545,0.997,7.52767e+08
19W000000000005K,19W000000000009C,"Fossil Brown coal/Lignite",2015,654867,0.625,0.997,8.62067e+08
19W000000000005K,19W000000000011P,"Fossil Brown coal/Lignite",2015,556651,0.531,0.997,7.32775e+08
19W000000000005K,19W000000000013L,"Fossil Brown coal/Lignite",2015,603293,0.575,0.997,7.94175e+08
19W000000000005K,19W000000000015H,"Fossil Brown coal/Lignite",2015,576153,0.550,0.997,7.58448e+08
47W000000000164J,47W0000000001796,"Fossil Gas",2015,2849,0.016,0.219,
47W000000000164J,47W000000000180L,"Fossil Gas",2015,1468,0.008,0.219,
47W000000000164J,47W000000000181J,"Fossil Gas",2015,792,0.005,0.219,
47W000000000164J,47W000000000087B,"Fossil Gas",2015,0,0.000,0.975,
47W000000000164J,47W0000000001032,"Fossil Gas",2015,907486,0.232,0.975,
16WAGUIE-------3,16WAGUIE1------O,"Hydro Pumped Storage",2015,86857,0.089,0.997,0
16WAGUIE-------3,16WAGUIE2------G,"Hydro Pumped Storage",2015,75702,0.077,0.997,0
16WAGUIE-------3,16WAGUIE3------8,"Hydro Pumped Storage",2015,79203,0.081,0.997,0
29WAISAGDIMI-I-M,29WGU-AGDIMI-I-8,"Fossil Brown coal/Lignite",2015,1494973,0.633,0.984,2.17429e+09
29WAISAGDIMI-IIL,29WGU-AGDIMI-II7,"Fossil Brown coal/Lignite",2015,1475062,0.625,0.984,2.14533e+09
29WAISAGDIMIIIIJ,29WGU-AGDIMIIII5,"Fossil Brown coal/Lignite",2015,1664481,0.683,0.984,2.42082e+09
29WAISAGDIMI-IVW,29WGU-AGDIMI-IVI,"Fossil Brown coal/Lignite",2015,1168985,0.479,0.984,1.70017e+09
29WAISAGDIMI-V-K,29WGU-AGDIMI-V-6,"Fossil Brown coal/Lignite",2015,1506082,0.511,0.984,2.19045e+09
29WAISAGGEORGI8V,29WGU-AISGEORG80,"Fossil Gas",2015,0,0.000,0.984,0
29WAISAGGEORGI9T,29WGU-AISGEORG9Z,"Fossil Gas",2015,0,0.000,0.984,0
17W100P100P0279Z,17W100P100P0051S,"Hydro Water Reservoir",2015,137395,0.107,1.000,0
18WDUER-12345-0N,18WAL11-12345-AZ,"Hydro Water Reservoir",2015,390238,0.335,1.000,0
18WDUER-12345-0N,18WAL12-12345-AP,"Hydro Water Reservoir",2015,189496,0.163,1.000,0
18WDUER-12345-0N,18WAL13-12345-AF,"Hydro Water Reservoir",2015,364066,0.312,1.000,0
18WDUER-12345-0N,18WAL14-12345-A5,"Hydro Water Reservoir",2015,449545,0.386,1.000,0
18WDUER-12345-0N,18WAL15-12345-AW,"Hydro Water Reservoir",2015,332340,0.288,1.000,0
18WDUER-12345-0N,18WAL16-12345-AM,"Hydro Water Reservoir",2015,376682,0.320,1.000,0
18WDUER-12345-0N,18WAL21-12345-AO,"Hydro Water Reservoir",2015,142333,0.075,1.000,0
18WDUER-12345-0N,18WAL22-12345-AE,"Hydro Water Reservoir",2015,6953,0.004,1.000,0
18WALG3-12345--K,18WALG3TG1-123-9,"Fossil Gas",2015,193622,0.078,1.000,7.22855e+07
18WALG3-12345--K,18WALG3TG2-123-2,"Fossil Gas",2015,76029,0.031,1.000,2.83842e+07
18WALG3-12345--K,18WALG3TV1-123-0,"Fossil Gas",2015,146299,0.065,1.000,5.46183e+07
44W-T-YT-000000S,44W-T-YT-100021D,"Fossil Peat",2015,604494,0.291,0.987,
29WAISALIVERI-37,29WGU-ALIVERI-3U,"Fossil Oil",2015,0,0.000,0.984,0
29WAISALIVERI-45,29WGU-ALIVERI-4S,"Fossil Oil",2015,47,0.000,0.984,34013.5
29WAISALIVERI-53,29WGU-ALIVERI-5Q,"Fossil Gas",2015,1772914,0.493,0.984,6.70764e+08
18WALZ1-12345-0E,18WALZ1-12345-BT,Nuclear,2015,8412832,0.950,1.000,0
18WALZ2-12345-04,18WALZ2-12345-BJ,Nuclear,2015,7614141,0.864,1.000,0
29WALOUMINIO---B,29WGU-ALOUMINIOF,"Fossil Gas",2015,1164976,0.405,0.984,5.07828e+08
16WALQUE-------F,16W-ALQUE1-----X,"Hydro Pumped Storage",2015,193632,0.175,0.997,0
16WALQUE-------F,16W-ALQUE2-----Q,"Hydro Pumped Storage",2015,171218,0.154,0.997,0
16WALQUE-------F,16W-ALQUE3-----J,"Hydro Pumped Storage",2015,0,0.000,0.003,0
16WALQUE-------F,16W-ALQUE4-----C,"Hydro Pumped Storage",2015,485,0.153,0.003,0
14W-BAW-KW-----F,14W-BAW-TU-----V,"Hydro Run-of-river and poundage",2015,1767716,0.622,0.989,0
16WALINDO------J,16WALINDO1-----5,"Hydro Water Reservoir",2015,228467,0.083,0.997,0
16WALINDO------J,16WALINDO2-----Z,"Hydro Water Reservoir",2015,202314,0.074,0.997,0
45W000000000013X,45W000000000034P,"Fossil Hard coal",2015,851267,0.389,1.000,8.74793e+08
18WAMBIETA-12-0S,18WAMBITG1-12--P,"Fossil Gas",2015,317759,0.144,1.000,1.23193e+08
18WAMBIETA-12-0S,18WAMBITG2-12-CT,"Fossil Gas",2015,175156,0.079,1.000,6.79066e+07
18WAMBIETA-12-0S,18WAMBITV-123-CK,"Fossil Gas",2015,278771,0.113,1.000,1.08077e+08
49W000000000070Z,49W000000000001H,"Fossil Hard coal",2015,2762000,0.526,0.981,2.47795e+09
49W000000000070Z,49W000000000002F,"Fossil Hard coal",2015,3679473,0.660,0.989,3.21643e+09
22WAMERCO000010Y,22WAMERCO000008L,"Fossil Gas",2015,1482959,0.586,1.000,5.41825e+08
22WAMERCO000010Y,22WAMERCO000009J,"Fossil Gas",2015,925064,0.652,1.000,3.44247e+08
17W100P100P03493,17W100P100P03477,"Fossil Gas",2015,641601,0.611,1.000,2.82695e+08
17W100P100P0353C,17W100P100P03485,"Fossil Gas",2015,749638,0.713,1.000,3.30297e+08
29WAISAMYNT-I--L,29WGU-AMYNT-I--7,"Fossil Brown coal/Lignite",2015,1104922,0.470,0.984,1.66241e+09
29WAISAMYNT-II-1,29WGU-AMYNT-II-O,"Fossil Brown coal/Lignite",2015,1338882,0.569,0.984,2.01442e+09
45W000000000022W,45W000000000046I,"Wind Offshore",2015,1630850,0.466,1.000,0
18WALL1-12345-0K,18WALL1-12345-DV,"Fossil Hard coal",2015,704347,0.232,1.000,7.29792e+08
48WSTN0000ANSUWY,48W00000ANSUW-1E,"Wind Onshore",2015,26739,0.244,0.659,0
17W100P100P0247B,17W100P100P0028N,"Fossil Oil",2015,33332,0.006,1.000,2.5799e+07
17W100P100P02489,17W100P100P0029L,"Fossil Oil",2015,30277,0.005,1.000,2.34344e+07
18WARCOS3-123-0Z,18WARC3TG1-12-C4,"Fossil Gas",2015,49453,0.022,1.000,1.81268e+07
18WARCOS3-123-0Z,18WARC3TG2-12-CY,"Fossil Gas",2015,74223,0.032,1.000,2.72061e+07
18WARCOS3-123-0Z,18WARC3TV-123-CP,"Fossil Gas",2015,74515,0.029,1.000,2.94553e+07
48WSTN0000ARCHW6,48W10000ARCHW-1N,"Wind Onshore",2015,194078,0.218,0.845,0
18WARCOS1-123-0E,18WARCOS1-123-CR,"Fossil Gas",2015,40,0.000,1.000,15507.7
18WARCOS2-123-06,18WARCOS2-123-CJ,"Fossil Gas",2015,1,0.000,1.000,387.692
47W000000000230W,47W000000000182H,"Hydro Run-of-river and poundage",2015,24629,0.611,0.219,0
47W000000000230W,47W000000000183F,"Hydro Run-of-river and poundage",2015,29733,0.704,0.219,0
47W000000000230W,47W000000000184D,"Hydro Run-of-river and poundage",2015,24041,0.659,0.219,0
47W000000000230W,47W000000000185B,"Hydro Run-of-river and poundage",2015,29458,0.639,0.219,0
17W100P100P0255C,17W100P100P0031Y,"Fossil Oil",2015,4989,0.005,1.000,4.08863e+06
17W100P100P0256A,17W100P100P0032W,"Fossil Oil",2015,4630,0.004,1.000,3.79442e+06
14W-BAS-KW-----I,14W-BAS-TU-----Y,"Hydro Run-of-river and poundage",2015,1475516,0.593,0.989,0
18WASC1-12345-0Z,18WASC1-12345-BD,Nuclear,2015,7380902,0.846,1.000,0
18WASC2-12345-0P,18WASC2-12345-B3,Nuclear,2015,8421280,0.969,1.000,0
45W000000000012Z,45W000000000032T,"Fossil Hard coal",2015,322602,0.251,1.000,4.37603e+08
45W000000000012Z,45W000000000033R,"Fossil Hard coal",2015,151186,0.027,1.000,1.55364e+08
29WYISASOMATON-H,29WGU-ASOMATON-J,"Hydro Water Reservoir",2015,216424,0.233,0.984,0
38W-KTJ-AUVERE-Z,38W-KTJ-AUV-G1-8,"Fossil Oil shale",2015,271317,0.457,0.251,2.7715e+08
45W0000000000102,45W000000000029I,"Fossil Gas",2015,673369,0.307,1.000,4.06042e+08
45W0000000000102,45W000000000030X,"Fossil Gas",2015,1440463,0.291,1.000,1.28402e+09
48WSTN1000BABAWQ,48W00000BABAW-13,"Wind Onshore",2015,109631,0.276,0.872,0
48WSTN00000BAGE8,48W000000BAGE-1L,"Fossil Gas",2015,874578,0.640,0.300,3.21033e+08
48WSTN00000BAGE8,48W000000BAGE-2J,"Fossil Gas",2015,835,0.401,0.007,440109
18WBAHIAB-123-0X,18WBAHITG1-12-CR,"Fossil Gas",2015,511811,0.228,1.000,1.98425e+08
18WBAHIAB-123-0X,18WBAHITG2-12-CK,"Fossil Gas",2015,501139,0.222,1.000,1.94288e+08
18WBAHIAB-123-0X,18WBAHITV-123-CB,"Fossil Gas",2015,674597,0.284,1.000,2.61536e+08
16WBASBM-------8,16WBASBM1------T,"Hydro Pumped Storage",2015,1009,0.003,0.562,0
16WBASBM-------8,16WBASBM2------L,"Hydro Pumped Storage",2015,425,0.001,0.562,0
47W000000000154M,47W000000000106X,"Fossil Gas",2015,326110,0.153,0.983,1.28914e+08
47W000000000154M,47W000000000107V,"Fossil Gas",2015,236127,0.111,0.983,9.33428e+07
47W000000000153O,47W000000000220Z,"Fossil Oil",2015,173,0.002,0.217,169230
47W000000000153O,47W000000000221X,"Fossil Oil",2015,137,0.001,0.217,134014
47W000000000153O,47W000000000108T,"Fossil Oil",2015,143714,0.165,0.983,8.32016e+07
47W000000000153O,47W0000000001113,"Fossil Oil",2015,6638,0.005,0.983,5.23074e+06
47W000000000153O,47W0000000001105,"Fossil Oil",2015,29776,0.020,0.983,2.34635e+07
47W000000000153O,47W000000000109R,"Fossil Oil",2015,30829,0.021,0.983,2.42933e+07
38W-MT--BEJ----R,38W-MT--BEJG10-5,"Fossil Oil shale",2015,1152,0.001,0.996,1.17677e+06
38W-MT--BEJ----R,38W-MT--BEJG11-2,"Fossil Oil shale",2015,1247202,0.745,0.996,1.10185e+09
38W-MT--BEJ----R,38W-MT--BEJG1Q-1,"Fossil Oil shale",2015,127702,0.105,0.996,1.30448e+08
38W-MT--BEJ----R,38W-MT--BEJG09-J,"Fossil Oil shale",2015,4181,0.003,0.996,4.27089e+06
18WBRR1-12345-0H,18WBRR1-12345-DS,"Fossil Hard coal",2015,3821551,0.765,1.000,3.51965e+09
46WPU0000000038K,46WGU0000000039O,"Hydro Water Reservoir",2015,546959,0.718,0.869,0
18WUFMI-12345-0L,18WBEL1-12345-AY,"Hydro Water Reservoir",2015,163120,0.182,1.000,0
18WUFMI-12345-0L,18WBEL2-12345-AO,"Hydro Water Reservoir",2015,140719,0.153,1.000,0
18WUFMI-12345-0L,18WBEL3-12345-AE,"Hydro Water Reservoir",2015,159412,0.177,1.000,0
17W100P100P01857,17W100P100P0090I,Nuclear,2015,10356246,0.903,1.000,0
17W100P100P01865,17W100P100P0091G,Nuclear,2015,9199008,0.802,1.000,0
22WBELWIN0000271,22WBELWIN1500271,"Wind Offshore",2015,588165,0.395,0.995,0
16WBEMPOS------6,16WBEMPOS1-----T,"Hydro Run-of-river and poundage",2015,136012,0.195,0.997,0
16WBEMPOS------6,16WBEMPOS2-----M,"Hydro Run-of-river and poundage",2015,109314,0.156,0.997,0
16WBEMPOS------6,16WBEMPOS3-----F,"Hydro Run-of-river and poundage",2015,64256,0.092,0.997,0
16WBEMPOII-----R,16WBEMPOS4-----8,"Hydro Run-of-river and poundage",2015,632237,0.379,0.997,0
11WD7BERG1S--KWB,11WD7BERG1S--A-X,"Fossil Hard coal",2015,2753651,0.488,0.899,2.73886e+09
18WBES5-123456-T,18WBES5TG1-123-2,"Fossil Gas",2015,195913,0.081,1.000,7.1811e+07
18WBES5-123456-T,18WBES5TG2-123-W,"Fossil Gas",2015,235401,0.097,1.000,8.62852e+07
18WBES5-123456-T,18WBES5TV-1234-K,"Fossil Gas",2015,312816,0.116,1.000,1.14661e+08
18WBES3-12345-0V,18WBES3-12345-C7,"Fossil Gas",2015,836615,0.232,1.000,3.18229e+08
18WBES4-12345-0L,18WBES4-12345-CY,"Fossil Gas",2015,2153538,0.615,1.000,8.19157e+08
11WD7MITB1C----N,11WD7MITB1C---A1,"Fossil Hard coal",2015,2266866,0.394,0.904,2.25469e+09
19W000000000016F,19W000000000017D,"Fossil Brown coal/Lignite",2015,2440922,0.755,0.997,2.8352e+09
19W000000000016F,19W000000000020O,"Fossil Brown coal/Lignite",2015,2359493,0.730,0.997,2.74062e+09
19W000000000016F,19W000000000021M,"Fossil Brown coal/Lignite",2015,2582847,0.778,0.997,3.00005e+09
19W000000000016F,19W000000000022K,"Fossil Brown coal/Lignite",2015,2164591,0.652,0.997,2.51424e+09
19W000000000016F,19W000000000023I,"Fossil Brown coal/Lignite",2015,2510694,0.756,0.997,2.91624e+09
19W000000000016F,19W000000000024G,"Fossil Brown coal/Lignite",2015,2618744,0.761,0.997,3.04175e+09
19W000000000016F,19W000000000025E,"Fossil Brown coal/Lignite",2015,2568976,0.754,0.997,2.98394e+09
