eic_p,eic_g,eprtr_facilityID,WRI_id,GEO_id,fresna_id
15WMATRA-----PPK,15WMATRAG8---PVV,5791,,,449
15WMATRA-----PPK,15WMATRAG6---GT2,5791,WRI1020248,42668,449
15WMATRA-----PPK,15WMATRAG7---GTW,5791,WRI1020248,42668,449
15WMATRA-----PPK,15WMATRAG4---STH,5791,WRI1020248,42668,449
15WMATRA-----PPK,15WMATRAG1---ST1,5791,WRI1020248,42668,449
15WMATRA-----PPK,15WMATRAG5---STA,5791,WRI1020248,42668,449
15WTISZA-----PPN,15WTISZAG1---ST4,5688,WRI1020247,42673,392
15WTISZA-----PPN,15WTISZAG2---STY,5688,WRI1020247,42673,392
15WTISZA-----PPN,15WTISZAG3---STR,5688,WRI1020247,42673,392
15WTISZA-----PPN,15WTISZAG4---STK,5688,WRI1020247,42673,392
15WLORINC----PPF,15WLORINCG---GTQ,39919,WRI1020254,42664,2828
15WUJPEST----PPO,15WUJPESTG1--GTN,770,,42679,2469
15WUJPEST----PPO,15WUJPESTG2--STI,770,,42679,2469
15WPANNON----PPS,15WPECSG6----STK,,,42683,6441
15WAJKA------PPT,15WAJKA2345--STU,281,,,6326
15WKELENF----PP8,15WKFGT------GT5,766,WRI1020253,,1328
15WKELENF----PP8,15WKFST------STM,766,WRI1020253,,1328
47W000000000157G,47W0000000001788,,,,2516
47W000000000157G,47W000000000177A,,,,2516
47W000000000158E,47W0000000001040,7964,WRI1002844,43928,854
47W000000000159C,47W000000000086D,9486,WRI1002822,43936,2809
47W000000000239E,47W000000000217O,9486,WRI1002820,43935,2489
47W000000000239E,47W000000000216Q,9486,WRI1002820,43935,2489
47W000000000234O,47W0000000001958,,WRI1002829,,1292
47W000000000234O,47W0000000001966,,,,1292
47W000000000234O,47W0000000001974,,,,1292
47W000000000230W,47W000000000185B,,WRI1002815,43939,387
47W000000000230W,47W000000000184D,,WRI1002815,43939,387
47W000000000230W,47W000000000183F,,WRI1002815,43939,387
47W000000000230W,47W000000000182H,,WRI1002815,43939,387
47W000000000232S,47W000000000190I,9675,,43931,6420
47W000000000233Q,47W000000000191G,,,,6424
47W000000000233Q,47W000000000192E,,,,6424
47W000000000233Q,47W000000000193C,,,,6424
47W000000000233Q,47W000000000194A,,,,6424
47W0000000001699,47W0000000001982,,WRI1002841,43943,466
47W0000000001699,47W0000000001990,,WRI1002841,43943,466
47W0000000001699,47W0000000002012,,WRI1002841,43943,466
47W0000000001699,47W0000000002004,,WRI1002841,43943,466
47W000000000165H,47W000000000152Q,7934,,43930,
47W000000000166F,47W0000000000897,8025,WRI1002834,4346,851
47W000000000166F,47W000000000090M,8025,WRI1002834,4346,851
47W000000000166F,47W0000000000889,8025,WRI1002834,4346,851
47W000000000167D,47W000000000091K,8271,,43927,1254
47W000000000167D,47W000000000092I,8271,,,1254
47W000000000168B,47W000000000093G,8353,,43924,842
47W000000000160R,47W0000000002101,7729,WRI1002824,,1320
47W000000000160R,47W0000000001024,7729,WRI1002824,,1320
47W000000000160R,47W000000000085F,7729,WRI1002824,,1320
47W000000000160R,47W000000000209N,7729,WRI1002824,,1320
47W000000000161P,47W000000000213W,19168,WRI1002837,43938,6458
47W000000000161P,47W000000000212Y,19168,WRI1002837,43938,6458
47W000000000162N,47W0000000001008,7997,WRI1002839,43940,820
47W000000000162N,47W000000000208P,7997,WRI1002839,43940,820
47W000000000162N,47W000000000207R,7997,WRI1002839,43940,820
47W000000000162N,47W0000000000994,7997,WRI1002839,43940,820
47W000000000163L,47W000000000215S,19133,WRI1002840,43937,6481
47W000000000163L,47W000000000214U,19133,WRI1002840,43937,6481
47W000000000164J,47W0000000001796,7932,WRI1002813,43925,1280
47W000000000164J,47W0000000001032,7932,WRI1002813,43925,1280
47W000000000164J,47W000000000181J,7932,WRI1002813,43925,1280
47W000000000164J,47W000000000180L,7932,WRI1002813,43925,1280
47W000000000164J,47W000000000087B,7932,WRI1002813,43925,1280
47W000000000173I,47W000000000095C,9506,WRI1002825,43933,1322
47W000000000173I,47W0000000000986,9506,WRI1002825,43933,1322
47W000000000170O,47W000000000094E,8061,WRI1002843,,826
47W000000000171M,47W000000000096A,9512,WRI1002821,43926,1261
47W000000000172K,47W0000000000978,19169,WRI1002842,43934,874
26WIMPI-S05LROES,26WUUUUUULOREO1I,,,,6426
26WIMPI-S03GRGNY,26WUUUGARGNANO18,,WRI1002888,,613
26WIMPI-S09NMVNC,26WUUNUOVA-MON1N,,,,2059
26WIMPI-S08CB2NJ,26WUCLFRRRCSSN1P,,,,6345
26WIMPI-S05SNRV3,26WUUSORIO-NUO2A,,,,809
26WIMPI-S04PRDZ5,26WUUUPREDAZZO1H,,,,754
26WIMPI-S09LPRTA,26WUUULE-PRATA13,,,,2025
26WIMPI-S15BSSN0,26WUUUBUSSENTO1A,,,,1368
26WIMPI-S09NMVLG,26WUUNUOVA-MOL1T,,,,2043
26WIMPI-S04SPNCE,26WUUS-PANCRAZ14,,,,2777
26WIMPI-S07GTNV2,26WUUUGENOVA-T68,4864,,43723,1316
26WIMPI-S16ETNPN,26WUNPWRTRANTO2O,,,,6381
26WIMPI-S12PNTCO,26WUUPONTECORV18,,,,751
26WIMPI-S15GFGLU,26WUGUGLIANOFV5D,,,,6396
26WIMPI-S04CRZNS,26WUUUUCARZANO1M,,,,6351
26WIMPI-S15ACRRR,26WUUUUUACERRA1W,,,,2723
26WIMPI-S01CHMNE,26WUUCHIOMONTE14,,,,779
26WIMPISIMERI-15,26WUUUUUSIMERI1O,,,,535
26WIMPI-S05FDZRI,26WUUUFORNO-DI1O,,,,1395
26WIMPI-S06BRCS6,26WUUUUUBARCIS1H,,,,1358
26WIMPI-S03ASMTU,26WUUAEM-STAZZ1F,,,,806
26WIMPI-0225833G,26WUMPNTFTVLTC1H,,,,6395
26WIMPI-S08LGNCO,26WULGNCHOZOLA21,,,,1274
26WIMPI-S08LGNCO,26WUUUS08LGNC013,,,,1274
26WIMPI-S18CSTR3,26WUUCASTROCUC13,,,,541
26WIMPI-S07ARLIZ,26WUUUUUAIROLE1D,,,,4247
26WIMPI-S06SLNRP,26WUUS-LEONARD1I,,,,1332
26WIMPI-S03SCNDX,26WUUSND-CAMPO1A,,,,1335
26WIMPI-S09AGPP4,26WUNPWRLVORNO77,5155,WRI1002906,44104,2826
26WIMPI-S09AGPP4,26WUNPWRLVORNO69,5155,,,2826
26WIMPI-S01SMNRE,26WUUUSANMAURO1P,,,,2801
26WIMPI-S20T2LRD,26WUUBADUOZZAN1S,,,,2729
26WIMPI-S05BMSSL,26WUUBUSSOL--M1K,,,,1369
26WIMPI-S19EPRGR,26WUUUUUIMPSUD2Q,7362,WRI1021869,,
26WIMPI-S08PCRTB,26WUUPORTO-COR3N,5039,WRI1002924,43997,1255
26WIMPI-S08PCRTB,26WUUPORTO-COR4L,5039,WRI1002924,43997,1255
26WIMPI-S15SGTL1,26WUPZGLNDARCO14,27861,WRI1021322,44102,2781
26WIMPI-S15PACND,26WUUPONTE-ANN1B,,,,1141
26WIMPI-S01MNCLB,26WUMONCALIERI36,67,WRI1002910,44003,852
26WIMPI-S01MNCLB,26WUUMONCALRPW2S,67,WRI1002910,44003,852
26WIMPI-S11VNMRS,26WUUVENAMARTE1U,,,,791
26WIMPI-S04CSTL9,26WUUCASTELB-E1D,,,,542
26WIMPI-S15SCPRH,26WUUSPARANISE1Q,27071,WRI1002958,43697,819
26WIMPI-S15SCPRH,26WUUSPARANISE2O,27071,WRI1002958,43697,819
26WIMPI-S04RPST7,26WUURIO-PUSTE14,,,,752
26WIMPI-S08ERNPQ,26WUNPWRRVENNA3F,5038,WRI1002880,,6380
26WIMPI-S08ERNPQ,26WUNPWRRVENNA93,5038,WRI1002880,43702,6380
26WIMPI-S08ERNPQ,26WNPWRRVENNA10P,5038,WRI1002880,43702,6380
26WIMPI-S08ERNPQ,26WNPWRRVENNA11N,5038,WRI1002880,43702,6380
26WIMPI-R01ENTRX,26WUETQ-ROVINA1Y,,WRI1002881,45433,54
26WIMPI-S01CHVSE,26WUUUCHIVASSO2T,74,WRI1002871,,1253
26WIMPI-S01CHVSE,26WUUUCHIVASSO1V,74,WRI1002871,43682,1253
26WIMPI-0394269C,26WUUUULANUVIO1P,,,,6421
26WIMPI-S09T4RVD,26WUUUTRAVALE42L,,,,2038
26WIMPI-S05GRDNV,26WUUUUGARDONA1G,,,,6393
26WIMPI-S03AFYPH,26WUMPNTDPRSLZ1D,,,,6412
26WIMPI-S19IESBL,26WUISABENERGY3L,7362,WRI1002894,44108,2823
26WIMPI-S19IESBL,26WUISABENERGY2N,7362,WRI1002894,44108,2823
26WIMPI-S03UWTHS,26WUPWHIRLPOOL10,,,,6491
26WIMPI-S01PLLNA,26WUPALLANZENO2L,,,,765
26WIMPI-S08TDMR6,26WUCLHRMDNCVZ1Z,,,,6348
26WIMPIMONICA-1D,26WVALCAMONICA1Y,,WRI1002863,,620
26WIMPI-S01CDRS5,26WUUUCADARESE1K,,,,561
26WIMPI-S13ASCNS,26WUUS--ANGELO19,,,,1140
26WIMPI-S01FNDVN,26WUUFONDOVALL11,,,,1396
26WIMPI-S03SDPTS,26WUSPTROORZIO1D,,,,2779
26WIMPI-S12ACCSE,26WUUACEA-CAST10,,,,1342
26WIMPI-S05N7V1T,26WUUUUUUU371969,,,,804
26WIMPI-S05CABMG,26WUUUCADELBUE3V,,,,6349
26WIMPII-NOCE-1C,26WUUUUUUUNOCE1E,,WRI1002960,,627
26WIMPI-S15NLPLI,26WUUUUNAPOLIL48,,WRI1002916,43712,829
26WIMPI-S12PNTM4,26WUUPONTEFIUM1Z,,,,6449
26WIMPI-S08SLSM8,26WUUSALSOMINO14,,,,801
26WIMPI-S03LDRG9,26WULUDRIGNO-S15,,,,6427
26WIMPI-S19SDMCS,26WUUUS-F--DEL24,7349,WRI1002947,43691,1291
26WIMPI-S19SDMCS,26WUUUS-F--DEL16,7349,WRI1002947,43691,1291
26WIMPI-S19SDMCS,26WUUUS-F--DEL5Z,7349,WRI1002947,43691,1291
26WIMPI-S19SDMCS,26WUUUS-F--DEL6X,7349,WRI1002947,43691,1291
26WIMPI-S09B3GN8,26WUUUBAGNORE31V,,,,2045
26WIMPI-S01SASMK,26WUUUUUUUSUSA1D,,,,2789
26WIMPI-0077109F,26WUBLVNBMASSA1G,,,,6336
26WIMPI-S01TRNVI,26WUUZORNAVENT17,,,,784
26WIMPI-S03OSTG2,26WUUUOSTIGLIA33,455,WRI1002917,43694,837
26WIMPI-S03OSTG2,26WUUOSTIGLIA12K,455,,,837
26WIMPI-S08CCVRV,26WUFNZCNVRTTE1J,,,,6386
26WIMPI-S11ACPNS,26WUPNRGIAIGCC1R,6056,,43995,459
26WIMPI-0364390Z,26WUALFONSINE22M,,,,2158
26WIMPI-S01ACCGE,26WUUUACCEGLIO16,,,,552
26WIMPI-S01FCNU2,26WUUUUUFUCINE11,,,,1378
26WIMPI-S16BSCRY,26WUBRNDSSUDCE1N,7027,WRI1002855,3078,6343
26WIMPI-S16BSCRY,26WUBRNDSSUDCE2L,7027,WRI1002855,3078,6343
26WIMPI-S16BSCRY,26WUBRNDSSUDCE3J,7027,WRI1002855,3078,6343
26WIMPI-S16BSCRY,26WUBRNDSSUDCE4H,7027,WRI1002855,3078,6343
26WIMPI-S04RDGLX,26WUUUURIVADEL38,,WRI1002934,,635
26WIMPI-S04CMRNZ,26WUUUCURON-ME1C,,,,1407
26WIMPI-S18S1TRV,26WUUUSATRIANO1A,,,,798
26WIMPI-S05SVRZ0,26WUUSOVERZENE1M,,WRI1002957,,628
26WIMPI-S05SVRZ0,26WUUSOVERZENE2K,,,,628
26WIMPI-S03UDTRA,26WUUUUUUDARFO16,,,,1408
26WIMPI-S13BLSRW,26WUUBALSORANO1G,,,,1334
26WIMPI-0361630J,26WUTRMCCLLFRR1M,,,,6484
26WIMPIALENCO-1B,26WUVALMALENCO17,,,,652
26WIMPI-S18EADS0,26WUUALTOMONTE1Z,26665,WRI1002845,43985,1282
26WIMPI-S13P1SCZ,26WUUUPESCARA11G,,,,771
26WIMPI-0848721W,26WUCHPPUGUSTA14,,,,2727
26WIMPI-S08SBMRJ,26WUCZTRLBMSSB1F,,,,2730
26WIMPI-S08SBMRJ,26WUCNTRLBMSSB2Y,,,,2730
26WIMPI-S01SDMNO,26WUUS-DAMIANO11,,,,2806
26WIMPI-S15MTDD6,26WUUMADDALONI4F,117512,,,2057
26WIMPI-S15MTDD6,26WUUMADDALONI3H,117512,,,2057
26WIMPI-S15MTDD6,26WUUMADDALONI2J,117512,,,2057
26WIMPI-S15MTDD6,26WUUMADDALONI1L,117512,,,2057
26WIMPI-S03CRNAM,26WUUUUUCARONA1K,,,,1339
26WIMPI-S01CRTOP,26WUUUUUUUCROT19,,,,6366
26WIMPI-S09S2SST,26WUUUUUSASSO21Y,,,,2032
26WIMPI-S03SNDOY,26WUUUUSONDRIO19,,WRI1002955,,
26WIMPI-S10GLLT5,26WUUUUGALLETO2T,,WRI1002886,,162
26WIMPI-S04PRCMY,26WUUPRACOMUNE1R,,,,756
26WIMPI-S03RCSL7,26WUUUUUURESIO1F,,,,746
26WIMPI-S01VTZZU,26WUUVIZZOLA-T1L,,,,886
26WIMPI-S12CMNC0,26WUUCOMUNACQU1K,,,,1399
26WIMPI-S01CEMPM,26WCNTRLDRLTT512,,,,6406
26WIMPI-S12GFRR3,26WUUUUMANDELA1B,,,,857
26WIMPI-S08PLCNW,26WUUUPIACENZA4O,4991,WRI1002918,43692,841
26WIMPI-S03TRBGZ,26WUUUUTURBIGO3M,318,WRI1002973,43685,873
26WIMPI-S03TRBGZ,26WUUUUTURBIGO4K,318,WRI1002973,43685,873
26WIMPI-S09SBRBU,26WUUUSBARBARA3W,5176,WRI1002940,43999,1285
26WIMPI-S03DSSO7,26WUUUUUUDOSSI1V,,,,1410
26WIMPI-0420910Z,26WULVTRNTCET31X,7022,,,6409
26WIMPI-S02SGNYI,26WUUUSIGNAYES1M,,,,808
26WIMPI-S05SCTIU,26WUUUUUUSICET1S,,,,6472
26WIMPI-S13CTTM2,26WUCTTAMARETE11,159044,WRI1002875,,
26WIMPI-S04CTNB6,26WUUUURIORIVA1A,,,,776
26WIMPI-S03XMCMK,26WUUUUUUUMESE16,,WRI1002908,,649
26WIMPI-S09P5NC5,26WUUPIANCASTA8L,,,,2022
26WIMPI-S07CERNC,26WUUUUUUCAIRO1A,,,,2734
26WIMPI-S03BRDG8,26WUUUBORDOGNA1X,,,,1364
26WIMPIOVESCA-1G,26WUUUUROVESCA1H,,,,770
26WIMZI-S01BVRG0,26WUUUVERZUOLO2R,115,WRI1002982,44021,884
26WIMPI-S02ISLLF,26WUUUUISOLLAZ14,,,,1390
26WIMPI-S20SCLC8,26WUSULCIS-CEN2C,7514,WRI1002959,42710,6480
26WIMPI-S20SCLC8,26WUUSULCIS-CE3T,7514,WRI1002959,42710,6480
26WIMPI-N09SLMRD,26WUUN-SMARTIN15,,,,2058
26WIMPIGROSIO-11,26WPREM-GROSIO10,,WRI1002891,,159
26WIMPI-S01RIQTM,26WCNTRLDCGNR45M,,,,6361
26WIMPI-S20F1LMN,26WUUFLUMENDOS4Y,,,,1398
26WIMPI-S08PRDRY,26WUUUUPREDARE16,,,,2782
26WIMPI-S01ENTRP,26WUETQCHIOTAS1O,,,45432,6383
26WIMPI-0300653B,26WUCCGTPRILIA15,191881,WRI1002862,43990,2518
26WIMPI-S03SSSN8,26WUSSTSNGVNN216,,,,2785
26WIMPI-S03SSSN8,26WUSSTSNGVNNI1W,,,,2785
26WIMPI-S03CRNOV,26WUUUUCORENNO18,,,,1401
26WIMPI-S12G1VIS,26WUUUUUCOLARI1P,,,,6362
26WIMPI-0091868Q,26WUUSUSCIOFFU12,,,,3127
26WIMPI-S01ECLF6,26WUNCTLVRNFRR1D,117453,WRI1002876,43684,1311
26WIMPI-S01DCRNE,26WUUDRONERO-C16,,,,2807
26WIMPI-S02HN2OH,26WUUUUUUHONE21L,,,,1388
26WIMPI-S12MCNTU,26WUUUMONTALTO1L,6258,WRI1002912,43996,
26WIMPI-S12MCNTU,26WUUUMONTALTO3H,6258,WRI1002912,43996,
26WIMPI-S12MCNTU,26WUUUMONTALTO2J,6258,WRI1002912,43996,
26WIMPI-S12MCNTU,26WUUUMONTALTO4F,6258,WRI1002912,43996,
26WIMPI-S05PMAR7,26WUUUULEVANTE35,644,WRI1002905,43986,1296
26WIMPI-S05PMAR7,26WUUUULEVANTE43,644,WRI1002905,43986,1296
26WIMPI-S15STTV3,26WUCNTRLDTVRL1D,27068,WRI1002866,43989,1252
26WIMPI-0137768T,26WUSNTNDRNRGP1M,,,,6469
26WIMPI-S02CHVNI,26WUUUCHAVONNE1C,,,,6355
26WIMPI-M03IMSLN,26WUUMANTELERA1I,,,,858
26WIMPI-S01CSTD6,26WUUCASTELDEL1X,,,,1343
26WIMPI-S09CRFNL,26WUUUUCORFINO1R,,,,1402
26WIMPI-S08LCCS4,26WUULA-CASELL1P,4989,WRI1002897,43771,1251
26WIMPI-S08LCCS4,26WUULA-CASELL2N,4989,WRI1002897,43771,1251
26WIMPI-S08LCCS4,26WUULA-CASELL3L,4989,WRI1002897,43771,1251
26WIMPI-S08LCCS4,26WUULA-CASELL4J,4989,WRI1002897,43771,1251
26WIMPI-S13SMSZ1,26WUUUUSAGITTA1H,,,,778
26WIMPI-S13SMSZ1,26WUUUUSAGITTA2F,,,,778
26WIMPI-S01KMBRG,26WUUUUUUUUCHP1G,,,,6416
26WIMPI-S09R2NC7,26WUUUURANCIA21K,,,,2028
26WIMPI-S19TCRMT,26WUUTERMINI-I6D,7342,WRI1002964,,2037
26WIMPI-S19TCRMT,26WUUTERMINI-I5F,7342,WRI1002964,,2037
26WIMPI-S19TCRMT,26WUUTERMINI-I4H,7342,WRI1002964,,2037
26WIMPI-S19TCRMT,26WUTERMINI-I42G,7342,WRI1002964,,2037
26WIMPII-LIRO-1L,26WUUUUUUULIRO13,,,,6414
26WIMPI-S12ASCL1,26WUUUSALISANO21,,,,799
26WIMYI-S04BZZOB,26WUUUUUBOAZZO1Z,,,,536
26WIMPI-S09C2RBZ,26WUUUCARBOLI21Y,,,,2049
26WIMPI-S01PTRRQ,26WUUPIETRAPOR1F,,,,775
26WIMPI-S03ACMNW,26WUUUUCASSANO2I,312,WRI1002861,2583,461
26WIMPI-S18SCMR8,26WUSMRICRICHI16,117532,WRI1002953,43979,818
26WIMPI-S18S2TRR,26WUUUSATRIANO28,,,,798
26WIMPI-S18MRCR8,26WUUUUMERCURE1Q,,,,2770
26WIMPI-06840776,26WUSGTBOMASSA12,,,,6461
26WIMPI-S07RCNTJ,26WCNTRLDRLTT49Q,,,,6405
26WIMPI-S04GRGNS,26WUUUUUGRIGNO1W,,,,1387
26WIMPI-S02GRSSV,26WUUGRESSONEY17,,,,1386
26WIMZI-S13SCNDR,,6544,,,
26WIMPI-S05AGRD9,26WUUUUUAGORDO1W,,,,1134
26WIMPI-S16CDMNU,26WUSRGNPGLCNT1P,159035,WRI1002956,43993,876
26WIMPI-S12FIRFK,26WUUUUFARFA-I17,,,,1412
26WIMPI-S03GCRD7,26WUUUUGORDONA1F,,,,1384
26WIMPIAMENTO-1T,26WTAGLIAMENTO1J,,,,629
26WIMPI-S07CRSBI,26WUCRSBRZNSCA1S,,,,4249
26WIMPI-S01LMEIK,26WUUUUUULEMIE16,,,,6423
26WIMPI-S08EFNP0,26WUSCTNPWPFRR28,5031,,43699,6463
26WIMPI-S08EFNP0,26WUSCTNPWPFRR36,5031,,43699,6463
26WIMPI-S01VRZAE,26WUUUUUUVARZO1M,,,,790
26WIMPI-S04MRLNK,26WUUMARLENG-M1Q,,,,853
26WIMPI-S03CLTCO,26WUULAMARMORA16,117430,WRI1002898,,6419
26WIMPI-0580565K,26WUFRRRRANOVA1E,,,,6387
26WIMPI-S04ALAAF,26WUUUUUUUUALA1I,,,,1136
26WIMPI-S12FIRAU,26WUUUFARFA-II1B,,,,1412
26WIMPI-S20BSPWE,26WUBPWRSRDGNA12,,,,2731
26WIMPI-01417304,26WUPRCDSTALLA1E,,,,6477
26WIMPI-S12SCLLM,26WUUUSCALELLE18,,,,6470
26WIMPI-S05BTRGK,26WUUBORGO-TRE15,,,,2799
26WIMPI-0043227A,26WULLSVTTRDLL2Y,,,,6372
26WIMPI-0043227A,26WULLSVTTRDLL3W,,,,6372
26WIMPI-0043227A,26WULZSVTTRDLL1U,,,,6372
26WIMPI-S02CHMP4,26WUUCHAMPAGNE3P,,,,1349
26WIMPI-0364301N,26WUSNTLBERTO212,,,,3119
26WIMPI-0817510V,26WUCSSINOMETA1Y,,,,6352
26WIMPI-S03MSNA5,26WUUUUUMASINO1X,,,,860
26WIMPI-0206435Z,26WUFRRRFCMRT218,,,,6388
26WIMPI-S05STNGL,26WUUUUUSTANGA15,,,,812
26WIMPI-S19PCRLE,26WUUUPRIOLO-C13,7367,WRI1002930,43998,6452
26WIMPI-S19PCRLE,26WUUUPRIOLO-C21,7367,WRI1002930,43998,6452
26WIMPI-S09PNCC3,26WUUUPIANACCE11,,,,2041
26WIMPI-S11PRRTN,26WUUPORTA-ROM1S,,,,1248
26WIMPINAGRTT-1O,26WUTROINAGRTT14,,,,6401
26WIMPI-S01MNRFF,26WUUMIRAFIORI1S,,,,6434
26WIMPI-S05MCPLT,26WUUM--CIAPEL11,,,,1277
26WIMPI-0460320W,26WUCNTRLLTTRC7J,,,,6375
26WIMPI-S09RSNOR,26WUUUUUUROSEN1B,5160,,45405,6459
26WIMPI-S03VEGHN,26WUUUUVOGHERA14,27656,WRI1002983,45406,869
26WIMPI-S18M1CN9,26WUUZMUCONE1S1I,,WRI1002915,,646
26WIMPI-S03EMC43,26WUNPWRMNTOVA2N,452,,43703,6379
26WIMPI-S03EMC43,26WUNPWRMNTOVA1P,452,,,6379
26WIMPI-S03EMC43,26WUNPWRMNTOVA3L,452,,43703,6379
26WIMPI-S12PFNT3,26WUUPONTE-FEL1S,,,,2814
26WIMPI-S04SRNT9,26WUUSARENTINO1R,,,,777
26WIMPI-S02CHMGM,26WUUCHAMPAGNE4N,,,,1349
26WIMPI-S12TRRLD,26WUUTORREVALN2K,6262,WRI1002969,43714,
26WIMPI-S12TRRLD,26WUUTORREVALN4G,6262,WRI1002969,43714,
26WIMPI-S12TRRLD,26WUUTORREVALN3I,6262,WRI1002969,43714,
26WIMPI-S01SNFRY,26WUUUSANFRONT13,,,,803
26WIMPI-S19TCRPN,26WUUTRAPANI-C2K,7341,WRI1002972,,2795
26WIMPI-S19TCRPN,26WUUTRAPANI-C1M,7341,WRI1002972,,2795
26WIMPI-S09NSVSF,26WUUNUOVA-SAS1Y,,,,2775
26WIMPI-S03ACMSM,26WUUCTE-DEL-M2E,437,WRI1002873,43709,6367
26WIMPI-S19CCNT1,26WUUCONTRASTO1S,,,,1400
26WIMPI-S19APGPP,26WUCTNUCENORD3P,159137,,,
26WIMPI-S19APGPP,26WUCTNUCENORD2R,159137,,,
26WIMPI-S19APGPP,26WUCTNUCENORD1T,159137,WRI1021869,,
26WIMPI-S08DCSTV,26WUDSTRCGNRZN1F,,,,6369
26WIMPI-S01TLSSX,26WUUUTELESSIO1Q,,,,789
26WIMPI-S03RDLMM,26WUUREA-DALMI1I,,,,6456
26WIMPI-S03GCRV8,26WUUGRAVEDONA1T,,,,1385
26WIMPI-0693963H,26WUUGIRIFALCO1O,,,,6395
26WIMPI-S03CRVER,26WUUUUUUCREVA1S,,,,2743
26WIMPITOADDA-1T,26WUUUALTOADDA15,,,,683
26WIMPI-S03PSCI7,26WUUUUUPAISCO1Q,,,,763
26WIMPI-S05FTSNK,26WUUUFUSINA-T26,640,WRI1002885,3079,6392
26WIMPI-S05FTSNK,26WUUUFUSINA-T34,640,WRI1002885,3079,6392
26WIMPI-S05FTSNK,26WUUUFUSINA-T42,640,WRI1002885,3079,6392
26WIMPI-S05FTSNK,26WUUUUFUSINAT63,640,,,6392
26WIMPI-S05FTSNK,26WUUUFUSINA-T18,640,WRI1002885,3079,6392
26WIMPI-S15CLRAF,26WUUUUUCALORE1S,,,,1356
26WIMPI-S09AMBNQ,26WUUUAMBIENTE1W,,,,6329
26WIMPI-0430053A,26WUMPNTDGNRZN1B,,,,2804
26WIMPI-S01QNCNO,26WUUQUINCINET1Y,,,,748
26WIMPI-S09PNCNI,26WUUPIANCASTA6P,,,,2022
26WIMPI-S06CNVAX,26WUUUUUCANEVA2N,,,,1353
26WIMPI-S06TRVC2,26WUTORVISCOSA1F,26668,WRI1002971,43978,872
26WIMPI-S04FBNTR,26WUUFONTANA-B1Q,,,,2817
26WIMPI-S11FRLUF,26WUUUUUUFURLO1X,,,,1379
26WIMPI-S02MNTJW,26WUUMONTJOVET1V,,,,865
26WIMPI-S18ETAEZ,26WUUUUUETASRL1F,,,,6385
26WIMPI-S08MSCHV,26WUUMUSCHIOSO1W,,,,867
26WIMPI-S05QRUEM,26WUUUUUUQUERO1Y,,,,749
26WIMPI-S01NNVLN,26WUUUUUUNOVEL1U,,,,828
26WIMPI-S05FDLTJ,26WUUUUFADALTO1G,,WRI1002883,,616
26WIMPI-S09PNCT6,26WUUPIANCASTA7N,,,,2022
26WIMPI-S01PDMCO,26WUUPIEDIMULE1C,,,,774
26WIMYI-S15MNTNB,26WUUMONTELUNG1I,,,,864
26WIMPI-S12CTLOS,26WUUUUCOTILIA15,,,,6364
26WIMPI-S02H1NO5,26WUUUUUUHONE11O,,,,1388
26WIMPI-S12TRRVU,26WUUTORREVALD49,6269,WRI1002970,43713,870
26WIMPI-S12TRRVU,26WUTRRVLDLIGA55,6269,WRI1002970,43713,870
26WIMPI-S12TRRVU,26WUTRRVLDLIGA63,6269,WRI1002970,43713,870
26WIMPI-S14LTRNT,26WUULARINO-TG1C,117510,WRI1002903,,2824
26WIMPI-S14LTRNT,26WUULARINO-TG2A,117510,WRI1002903,,2824
26WIMPI-S20CGHNP,26WUUUCOGHINAS18,,,,1375
26WIMPI-S20CTNTH,26WUUUUTIRSO1S11,,,,783
26WIMPI-S03BFFTO,26WUUUBOFFETTO17,,,,1362
26WIMPI-S08IPSL7,26WUUISOLA-PAL13,,,,1389
26WIMPI-S04NATRE,26WCNTRLNTRNO118,,WRI1002868,,642
26WIMPI-S04PGRDE,26WUUP-GARD-ME1H,,,,1381
26WIMPI-S18SCNDX,26WUCNTRLDSCND24,159056,CAN0008429,43696,832
26WIMPI-S18SCNDX,26WUCNTRLDSCND16,159056,CAN0008429,43696,832
26WIMPI-S03IMSLC,26WUUUUUUISOLA17,,,,6414
26WIMPI-S03IMSLC,26WUUUS03IMSL014,,,,6414
26WIMPI-0602190V,26WUUUBAGNORE41S,,,,2045
26WIMPI-0393807F,26WUTRCANCARRO1J,,,,6490
26WIMPI-S02AVSIS,26WUUUUUUAVISE1Z,,WRI1002850,,595
26WIMPI-S17COVDA,26WUUCENTRO-OL1X,,,,6353
26WIMPI-S20FOMSR,26WUUFIUMESANT3F,7490,WRI1002884,42715,6391
26WIMPI-S20FOMSR,26WUUFIUMESANT4D,7490,WRI1002884,42715,6391
26WIMPI-S04SCLMF,26WUCNTRLSCLMB5S,,,,2739
26WIMPI-S04CMGI4,26WUUUUUCIMEGO1U,,WRI1002872,,619
26WIMPI-S08ISSLW,26WUUISOLA-SER1S,,,,528
26WIMPI-S03SGNCJ,26WUSANGIACOMO1K,,WRI1002944,,4251
26WIMPI-S04LMSAD,26WUUUULASA-ME1P,,,,1376
26WIMPI-S03ISLIF,26WUUUIIISALTO1E,,,,6468
26WIMPI-S05ARSIQ,26WUUUUUUARSIE1C,,,,1142
26WIMPI-S07SCPZX,26WUUSPEZIA-CE3T,4870,WRI1002900,43724,6475
