eic_p,eic_g,name_p,name_g,capacity_p,capacity_g,type_g,lat,lon,country,NUTS2,status_g,year_commissioned,year_decommissioned,water_type,cooling_type,water_withdrawal,water_consumption
54W-KOMAN0000066,54W-KOMAN-G2008E,KOMANG,KOMANG2,600,150,"Hydro Water Reservoir",42.103,19.822,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-KOMAN0000066,54W-KOMAN-G1007L,KOMANG,KOMANG1,600,150,"Hydro Water Reservoir",42.103,19.822,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-KOMAN0000066,54W-KOMAN-G30097,KOMANG,KOMANG3,600,150,"Hydro Water Reservoir",42.103,19.822,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-KOMAN0000066,54W-KOMAN-G4010H,KOMANG,KOMANG4,600,150,"Hydro Water Reservoir",42.103,19.822,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-FIERZ000001A,54W-FIERZ-G1002P,FIERZAG,FIERZAG1,500,125,"Hydro Water Reservoir",42.251,20.043,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-FIERZ000001A,54W-FIERZ-G2003I,FIERZAG,FIERZAG2,500,125,"Hydro Water Reservoir",42.251,20.043,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-FIERZ000001A,54W-FIERZ-G3004B,FIERZAG,FIERZAG3,500,125,"Hydro Water Reservoir",42.251,20.043,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-FIERZ000001A,54W-FIERZ-G40054,FIERZAG,FIERZAG4,500,125,"Hydro Water Reservoir",42.251,20.043,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-BANJA002308X,54W-BANJA-G2018R,BANJAG,AL-BANJAG2,72,71,"Hydro Water Reservoir",40.965,20.067,Albania,AL02,COMMISSIONED,,,Freshwater,,,
54W-VAUDEJES011D,54W-VADEJ-G5016Y,VAUDEJG,VAUDEJG5,250,50,"Hydro Water Reservoir",42.014,19.636,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-VAUDEJES011D,54W-VADEJ-G1012P,VAUDEJG,VAUDEJG1,250,50,"Hydro Water Reservoir",42.014,19.636,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-VAUDEJES011D,54W-VADEJ-G2013I,VAUDEJG,VAUDEJG2,250,50,"Hydro Water Reservoir",42.014,19.636,Albania,AL01,COMMISSIONED,,,Freshwater,,,
