eic_p,eic_g,min_load,ramp_up,ramp_down,minimum_up_time,minimum_down_time,eff,best_source
54W-KOMAN0000066,54W-KOMAN-G2008E,0.211,0.014,-0.014,60,60,,
54W-KOMAN0000066,54W-KOMAN-G1007L,0.211,0.014,-0.014,60,60,,
54W-KOMAN0000066,54W-KOMAN-G30097,0.211,0.014,-0.014,60,60,,
54W-KOMAN0000066,54W-KOMAN-G4010H,0.211,0.014,-0.014,60,60,,
54W-FIERZ000001A,54W-FIERZ-G1002P,0.211,0.014,-0.014,60,60,,
54W-FIERZ000001A,54W-FIERZ-G2003I,0.211,0.014,-0.014,60,60,,
54W-FIERZ000001A,54W-FIERZ-G3004B,0.211,0.014,-0.014,60,60,,
54W-FIERZ000001A,54W-FIERZ-G40054,0.211,0.014,-0.014,60,60,,
54W-BANJA002308X,54W-BANJA-G2018R,0.211,0.014,-0.014,60,60,,
54W-VAUDEJES011D,54W-VADEJ-G5016Y,0.211,0.014,-0.014,60,60,,
54W-VAUDEJES011D,54W-VADEJ-G1012P,0.211,0.014,-0.014,60,60,,
54W-VAUDEJES011D,54W-VADEJ-G2013I,0.211,0.014,-0.014,60,60,,
54W-VAUDEJES011D,54W-VADEJ-G3014B,0.211,0.014,-0.014,60,60,,
54W-VAUDEJES011D,54W-VADEJ-G40154,0.211,0.014,-0.014,60,60,,
14W-WGM-KW-----J,14W-WGM1-M1----5,0.308,0.012,-0.014,152,76,0.540,OEM_derived
14W-WGM-KW-----J,14W-WGM2-M1----X,0.308,0.012,-0.014,152,76,0.540,OEM_derived
14W-BOW-KW-----9,14W-BOW-TU-----P,0.185,0.013,-0.013,36,37,,
14WLSG-MITTE---U,,0.335,0.011,-0.013,77,71,0.480,Class_derived
14W-KW-THE-EVN-7,14W-KW-THE-KO--3,0.308,0.012,-0.014,152,76,0.460,emissions_16_derived
14W-KW-THE-EVN-7,14W-KW-THE-M2--7,0.383,0.008,-0.008,474,112,0.330,emissions_16_derived
14W-KW-THE-EVN-7,14W-KW-THE--M5-O,0.268,0.008,-0.009,60,132,0.330,emissions_16_derived
14W-KW-THE-EVN-7,14W-KW-THE--M3-U,0.268,0.008,-0.009,60,132,0.330,emissions_16_derived
14W-KW-DU2-EVN-K,14W-KW-DUE-EVN-A,0.479,0.009,-0.013,221,134,0.400,emissions_16_derived
14WLSG-1SUED---5,,0.335,0.011,-0.013,77,71,0.480,Class_derived
14W-E110349----M,,0.121,0.015,-0.015,60,60,,
14W-KW-KO2-EVN-5,14W-KW-KOR-EVN-F,0.286,0.011,-0.012,69,89,0.480,Class_derived
14W-KW-KO2-EVN-5,14W-KW-KOR--M2-4,0.286,0.011,-0.012,69,89,0.480,Class_derived
14W-BAW-KW-----F,14W-BAW-TU-----V,0.185,0.013,-0.013,36,37,,
14W-BYP-KW-----6,14W-BYP-TU-----M,0.185,0.013,-0.013,36,37,,
14W-TKO-KW-----S,14W-TKO-TU-----7,0.121,0.015,-0.015,60,60,,
14W-DMO-KW-----D,14W-DMO-TU-----T,0.121,0.015,-0.015,60,60,,
14W-WDR-KW-----2,14W-WDR-M1-----I,0.479,0.009,-0.013,221,134,0.400,emissions_15_derived
14W-BAA-KW-----D,14W-BAA-TU-----T,0.185,0.013,-0.013,36,37,,
14W-KW-HMUHR---R,,0.121,0.015,-0.015,60,60,,
14W-BFR-KW-----A,14W-BFR-TU-----Q,0.185,0.013,-0.013,36,37,,
14W-E110354----8,,0.211,0.014,-0.014,60,60,,
14W-BAS-KW-----I,14W-BAS-TU-----Y,0.185,0.013,-0.013,36,37,,
14W-TZG-KW-----H,14W-TZG-TU-----X,0.124,0.014,-0.014,60,60,,
14W-TZR-KW-----I,14W-TZR-TU-----Y,0.078,0.015,-0.015,60,57,,
14WENERGIE--WT02,14WENERGIEAGWT4S,0.335,0.011,-0.013,77,71,0.540,OEM_derived
14W-TKH-KW-----O,14W-TKH-TU-----3,0.124,0.014,-0.014,60,60,,
14W-DMH-KW-----9,14W-DMH-TU-----P,0.057,0.014,-0.013,60,60,,
14W-WNW-KW-----R,14W-WNW-M1-----6,0.182,0.013,-0.014,60,85,0.350,Class_derived
14W-PROD-LAU---8,14W-GEN-LAU----Z,0.286,0.011,-0.012,69,89,0.380,Class_derived
14W-VOEST-KW---0,14W-BLOCK07-L--J,0.268,0.008,-0.009,60,132,0.390,emissions_16_derived
14W-BWM-KW-----L,14W-BWM-TU-----0,0.185,0.013,-0.013,36,37,,
14W-WML-KW-----0,14W-WML-M1-----G,0.479,0.009,-0.013,221,134,0.320,Class_derived
14W-TKP-KW-----I,14W-TKP-TU-----Y,0.057,0.014,-0.013,60,60,,
14W-TKS-KW-----P,14W-TKS-TU-----4,0.211,0.014,-0.014,60,60,,
14W-PROD-DO----O,14W-GEN-DO3----F,0.335,0.011,-0.013,77,71,0.540,OEM_derived
14W-PROD-SIM---P,14W-GEN-SIM3---P,0.308,0.012,-0.014,152,76,0.380,Class_derived
14W-PROD-SIM---P,14W-GEN-SIM1---Z,0.308,0.012,-0.014,152,76,0.540,OEM_derived
14W-PROD-SIM---P,14W-GEN-SIMBIO-J,0.383,0.008,-0.008,474,112,0.230,Class_derived
14W-DRP-KW-----M,14W-DRP-TU-----1,0.057,0.014,-0.013,60,60,,
14W-E110352----K,,0.121,0.015,-0.015,60,60,,
14WENERGIEAGWR05,14WENERGIEAGWR21,0.485,0.009,-0.012,151,83,0.360,emissions_15_derived
14W-TZMA-KW----N,14W-TZM-TU-----A,0.124,0.014,-0.014,60,60,,
14W-TZH-KW-----7,14W-TZH-TU-----N,0.078,0.015,-0.015,60,57,,
14W-BME-KW-----Q,14W-BME-TU-----5,0.185,0.013,-0.013,36,37,,
14W-BGS-KW-----Q,14W-BGS-TU-----5,0.185,0.013,-0.013,36,37,,
36W-TE-TUZLA---K,36W-TE-TUZLA4--0,0.479,0.009,-0.013,221,134,0.320,Class_derived
36W-TE-TUZLA---K,36W-TE-TUZLA6--T,0.479,0.009,-0.013,221,134,0.320,Class_derived
36W-TE-TUZLA---K,36W-TE-TUZLA3--4,0.485,0.009,-0.012,151,83,0.270,Class_derived
36W-TE-TUZLA---K,36W-TE-TUZLA5--X,0.479,0.009,-0.013,221,134,0.320,Class_derived
36W-TE-UGLJEVIKN,36W-TE-UGLJEV1-5,0.479,0.009,-0.013,221,134,0.320,Class_derived
36W-TE-GACKO---O,36W-TE-GACKO1--G,0.479,0.009,-0.013,221,134,0.320,Class_derived
36W-HE-VISEGRADJ,36W-H-VISEG-G1-N,0.211,0.014,-0.014,60,60,,
36W-HE-VISEGRADJ,36W-H-VISEG-G2-K,0.211,0.014,-0.014,60,60,,
36W-HE-VISEGRADJ,36W-H-VISEG-G3-H,0.211,0.014,-0.014,60,60,,
