dukes_name,gppd_idnr,repd_name,capacity_mw,latitude,longitude,fuel1,owner,source,url,geolocation_source
14 Tullywiggan Road,GBR0005673,,1,54.6221,-6.7398,Biomass,PAR Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
289 Finvoy Road,GBR0004884,,5.9,54.9638,-6.493,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
30 Acres,GBR1000168,,4.965,,,Solar,Greencoat Solar,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
A C Shropshire (Farm AD),GBR0000233,,2.5,52.586,-1.2375,Biomass,PROjEN,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
A'Chruach,GBR1000193,,42.6,,,Wind,Infinis,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
A'Chruach (Phase 1),GBR0004331,,48.3,56.1528,-5.3102,Wind,Infinis (formerly Novera Energy),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
ABP Ellesmere Abbatoir,GBR0006488,,1.1,52.8543,-2.8986,Biomass,ABP Ellesmere,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
AMBLESTON SOLAR PANELS,GBR0001623,,6,51.8992,-4.8665,Solar,Arqiva Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
ANP Newport Wind Turbine,GBR0005555,,2.3,51.5559,-2.9738,Wind,Associated British Ports,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Abbey Farm,GBR0001737,,9,52.4193,-0.2366,Solar,Anesco,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Abbey Fields Farm,GBR0005394,,5.3,51.3187,0.9029,Solar,FR Solar Kent PV,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Abbots Ann,GBR0004874,,7,51.1636,-1.5123,Solar,British Solar Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Abbots Ripton Solar Farm,GBR0001766,,24.7,52.3787,-0.1982,Solar,Octopus Investment,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Abbots Ripton Solar Farm (ext.),GBR0004997,,3.9,52.3726,-0.1943,Solar,Rectory Lane Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Abbots moor Farm Anaerobic Digester (Farm AD),GBR0000247,,1,52.839,-2.93,Biomass,Ms Catherine Suckley,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Abergelli Glas Solar Farm,GBR0001953,,9.3,51.7007,-3.9476,Solar,Anesco,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aberporth Solar Farm,GBR0005256,,1.5,52.1234,-4.5632,Solar,JBM Solutions,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Aberthaw B,GBR1000374,,1586,51.3873,-3.4049,Coal,RWE Npower Plc,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB
Aberthaw GT,GBR1000375,,51,51.3875,-3.4068,Gas,RWE Npower Plc,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,CARMA
