gppd_id,name,dukes_name,repd_name,capacity,fuel,repd_id,geo_id,carma_id,repd_id2,owner,year_of_data,source,url,latitude,longitude,geolocation_source
GBR0000795,Whitehead Landfill,,Whitehead Landfill,5.3,Waste,795,,,,Biridor Limited,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.4918,-2.4491,UK Renewable Energy Planning Database
GBR0000794,Dunbar,,Dunbar,2.2,Waste,794,,,,Viridor,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,55.9725,-2.4566,UK Renewable Energy Planning Database
GBR0000793,Dunbar Power Plant,,Dunbar Power Plant,14.0,Waste,793,,,,Viridor,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,55.9747,-2.4604,UK Renewable Energy Planning Database
GBR0000792,Kirkless Power,,Kirkless Power,2.1,Waste,792,,,,FCC Environment,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.5474,-2.5901,UK Renewable Energy Planning Database
GBR0000791,Roxwell Landfill Scheme,,Roxwell Landfill Scheme,1.3,Waste,791,,,,Redland Aggregates Ltd (Lafarge Redland),2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.7631,0.4055,UK Renewable Energy Planning Database
GBR0000790,Norlands Lane Landfill Site (Extension),,Norlands Lane Landfill Site (Extension),4.0,Waste,790,,,,Thames Waste Management Ltd,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.4115,-0.5139,UK Renewable Energy Planning Database
GBR0004272,Point Wind / Beinn Ghrideag Farm,,Point Wind / Beinn Ghrideag Farm,9.0,Wind,4272,,,,Point Power & Energy Ltd / SgurrEnergy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,58.2079,-6.4807,UK Renewable Energy Planning Database
GBR0000799,Drummond Moor Landfill,,Drummond Moor Landfill,2.0,Waste,799,,,,Waste Recycling Group,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,55.8822,-3.0774,UK Renewable Energy Planning Database
GBR0000798,Dorket Head,,Dorket Head,2.8,Waste,798,,,,Waste Recycling Group,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.0215,-1.1144,UK Renewable Energy Planning Database
GBR0000150,Brigg Renewable Energy Plant (Re-submission),,Brigg Renewable Energy Plant (Re-submission),40.0,Biomass,150,,,,Eco2,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.5423,-0.5096,UK Renewable Energy Planning Database
GBR0005305,Ld NW Of Ratcliffe House Farm,,Ld NW Of Ratcliffe House Farm,3.5,Solar,5305,,,,Lightsource Renewable Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.5946,-1.5079,UK Renewable Energy Planning Database
GBR0000155,Markinch CHP,Markinch CHP,Markinch Biomass CHP Plant,65.0,Cogeneration,155,,27286,,RWE,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,56.2012,-3.1623,UK Renewable Energy Planning Database
GBR0005302,Land East Of Honeysome Road,,Land East Of Honeysome Road,4.6,Solar,5302,,,,Honeysome Road Solar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.4569,0.0393,UK Renewable Energy Planning Database
GBR0005301,Land West Of Hunger Hill Farm,,Land West Of Hunger Hill Farm,5.0,Solar,5301,,,,Greencoat Capital,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,54.5069,-1.4851,UK Renewable Energy Planning Database
GBR2000345,Northsteads,Northsteads,,18.5,Wind,,,,,,None,,,None,None,
GBR0005309,Land at Woodhouse Farm,,Land at Woodhouse Farm,5.0,Solar,5309,,,,Lightsource Renewable Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,54.535,-1.0758,UK Renewable Energy Planning Database
GBR0000779,Hitchin,,Hitchin,1.5,Waste,779,,,,Biffa,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.9769,-0.298,UK Renewable Energy Planning Database
