wri_id,wri_name,country,geo_id,geo_name,carmav3_id,carmav3_name,osm_id,osm_name
1000003,Ankerlig,South Africa,42528,Ankerlig OCGT Power Station SA,1612,ANKERLIG,,
1000004,Arnot,South Africa,2166,Arnot Coal Power Station South Africa,2089,ARNOT,418832508,Arnot Power Station
1000005,Camden,South Africa,2539,Camden Coal Power Station South Africa,6796,CAMDEN,186840903,Camden May Power Plant
1000006,Duvha,South Africa,2994,Duvha Coal Power Station South Africa,11555,DUVHA,185171511,Duvha Power Station
1000007,Drakensberg,South Africa,2974,Drakensberg Pumped Storage Hydroelectric Power Plant SA,11282,DRAKENSBERG,4190987374,Drakensberg Pumped Storage Scheme
1000009,Gourikwa,South Africa,42529,Gourikwa OCGT Power Station SA,15604,GOURIKWA,169789533,Gourikwa Power Station
1000010,Grootvlei,South Africa,3415,Grootvlei Coal Power Station South Africa,54237,GROOTVLEI,418832515,Grootvlei Power Station
1000011,Hendrina,South Africa,3521,Hendrina Coal Power Station South Africa,17469,HENDRINA,185341297,Hendrina Power Station
1000012,Kendal,South Africa,3819,Kendal Coal Power Station South Africa,69185,KENDAL SOLAR,185497476,Kendal Power Station
1000013,Komati,South Africa,3884,Komati Coal Power Station South Africa,22714,KOMATI MILL,,
1000014,Kriel,South Africa,3911,Kriel Coal Power Station South Africa,23096,KRIEL,344955759,Kriel Power Station
1000015,Lethabo,South Africa,4035,Lethabo Coal Power Station,25054,LETHABO,418842089,Lethabo Power Station
1000016,Majuba,South Africa,4145,Majuba Coal Power Station South Africa,26695,MAJUBA,183775937,Majuba Power Station
1000017,Matimba,South Africa,4203,Matimba Coal Power Station South Africa,27542,MATIMBA,418842090,Matimba Power Station
1000018,Matla,South Africa,4204,Matla Coal Power Station South Africa,27549,MATLA,418842091,Matla Power Station
1000022,Tutuka,South Africa,5813,Tutuka Coal Power Station South Africa,46691,TUTUKA,209365701,Tutuka Power Station
1000025,Cahora Bassa,Mozambique,40382,Cahora Bassa Hydroelectric Power Plant Mozambique,6607,CAHORA BASSA,,
1000031,Inga 1,Democratic Republic of Congo,,,,,222627235,Inga 1
