"plant_name","latitude","longitude","fuel_used","OutputMWh","elec_capacity_MW"
"Eg Puerto Padre Powerplant",21.195,-76.6028,,69529.0,
"Eg Punta Gorda Powerplant",19.9844,-75.8733,,440220.0,
"Eg Regla Powerplant",23.125,-82.3319,,94015.0,
"Eg Rente Powerplant",0.0,0.0,,274240.0,
"Eg Research Center Powerplant",48.24,11.65,,98.0,
"Eg San Luis Powerplant",20.1875,-75.8508,,70255.0,
"Eg Santiago Oeste Powerplant",0.0,0.0,,70255.0,
"Eg Yaguaramas Powerplant",22.255,-80.7208,,38053.0,
"Egan Mountain Powerplant",39.2474,-114.889,,0.0,
"Egansville Powerplant",45.5334,-77.0995,,7871.6,
"Egat Ic Powerplant",0.0,0.0,,553.0,
"Egat Thailand Powerplant",15.87,100.993,,4051.0,
"Egbema Powerplant",4.9319,6.5467,,0.0,
"Ege-v Powerplant",0.0,0.0,,0.0,
"Ege Hybrid Powerplant",0.0,0.0,,0.0,
"Ege I-iii Powerplant",41.8089,33.2314,,0.0,
"Egebjerghaven Powerplant",55.7508,12.3761,,311.0,
"Egebjergskole Powerplant",56.2639,9.50178,,2117.0,
"Egegik Powerplant",58.2174,-157.367,,266.0,
"Egelantierstraat Powerplant",53.2192,6.56667,,1265.0,
"Egeln-1 Powerplant",51.9438416097,11.432647705078,"Wind",13047,
"Egeln-2 Powerplant",51.9438416097,11.432647705078,"Wind",46968,
"Egelovparken Powerplant",55.0576,9.32154,,937.0,
"Egemen-i Powerplant",0.0,0.0,,0.0,
"Egemen-ii Powerplant",0.0,0.0,,0.0,
"Eger Nursing Home Powerplant",40.5509,-74.1507,,1923.0,
"Eget Powerplant",42.791318996907,0.26191513517756,"Hydro",69179,32.6
"Egg Harbor Powerplant",0.0,0.0,,0.0,
"Egg Powerplant",53.2192,6.56667,,708.0,
"Eggborough Powerplant",53.71375,-1.130246,"Hard Coal",7136645,1960
"Eggen Powerplant",47.05,8.383333,"Hydro",743,
"Eggenbach Powerplant",50.1022,10.8992,,5811.5,
"Eggenfelden Beisl Powerplant",48.4054,12.7626,,1498.0,
"Eggenfelden Powerplant",48.41,12.76,,1820.0,
"Eggertshofen Biogas Powerplant",48.3667,12.3,,7494.0,
"Eggesin Biomass Powerplant",53.6833,14.0833,,135.0,
"Egglfing-obernberg Powerplant",48.337581818182,13.303745454546,"Hydro",154723,40.4
"Eggstedt Powerplant",54.05,9.26667,,1282.2,
"Eggum Powerplant",68.3103,13.695,,861.0,
"Egham Wwtp Powerplant",55.378051,-3.435973,"Biogas",883,
"Egiwa Kashiwagi Powerplant",43.0646,141.347,,87.0,
"Egiyn River Powerplant",50.2204,100.321,,0.0,
"Eglence-i Powerplant",37.2567,35.0589,,0.0,
"Eglence-ii Powerplant",37.2567,35.0589,,0.0,
"Eglin Afb Biomass Powerplant",30.4416,-86.5652,,0.0,
"Egling Powerplant",47.7,11.2167,,293.0,
"Egling Solar Powerplant",48.1833333,10.9833333,"Solar Radiation",0,
"Eglisau Powerplant",47.51667,8.783333,"Hydro",0,
"Egmond Sports Center Powerplant",51.6531,5.94007,,377.0,
"Ego-echi Powerplant",0.0,0.0,,1879.7,
"Egtved Powerplant",55.61,9.3,,7176.0,
"Eguillor Powerplant",42.8671082,-1.8588768,"Hydro",1564,4
"Eguzon Powerplant",46.454767251382,1.6126283705671,"Hydro",69262,71
"Egvekinot Des Powerplant",66.31667,-179.1667,"Diesel Oil",2196,
"Egvekinot Gres Powerplant",66.401523443574,-179.13414001465,"Brown Coal",107552,34
"Ehc Powerplant",43.1919,-71.7486,,2791.0,
"Ehc West Hopkinton Powerplant",43.1897,-71.7483,,2792.8,
"Ehikoyama Yu-yuu-republic Powerplant",33.6064,130.418,,715.0,
"Ehime Daifuji Powerplant",33.8416,132.766,,216.0,
"Ehime Matsushita Powerplant",33.8416,132.766,,7346.0,
"Ehime Miura Powerplant",33.8416,132.766,,638.0,
"Ehime Ohtaka Seishi Powerplant",33.8416,132.766,,1040.0,
"Ehime Powerplant",33.8416,132.766,,5047.0,
"Ehime Pulp Powerplant",33.98,133.55,,2875.0,
"Ehime Research Center Powerplant",33.8416,132.766,,1561.0,
"Ehime Ryugu Powerplant",33.8416,132.766,,1311.0,
"Ehime Saiseki Powerplant",33.8416,132.766,,4468.0,
"Ehime Sanshu Powerplant",33.8416,132.766,,2141.0,
"Ehime Shikoku Pulp Powerplant",33.8416,132.766,,541.0,
"Ehime Sunnitary Powerplant",33.8416,132.766,,1118.0,
"Ehime Works Powerplant",33.8416,132.766,,1056.0,
"Ehime Yamamoto Powerplant",33.8416,132.766,,2289.0,
"Ehingen Mill Powerplant",48.29,9.72,,112799.0,
"Ehl Powerplant",46.516,6.63282,,246.0,
"Ehra-lessein Powerplant",52.5707181,10.7566193,"Wind",17396,
"Ehrang Powerplant",49.8167,6.68333,,1137.0,
"Ehreshoven Powerplant",50.9756,7.34496,,4360.0,
"Ehresti Powerplant",47.83333,25.35,"Hydro",1854,
"Ei Town-2 Powerplant",0.0,0.0,,0.0,
"Ei Town Powerplant",31.2667,130.467,,3445.0,
"Eiasa Diesel Powerplant",42.1401,-0.408898,,25141.0,
"Eib Cogen Powerplant",49.6117,6.13,,5272.0,
"Eibele Powerplant",47.5333,9.96667,,1232.0,
"Eibenstock Dam Powerplant",50.51667,12.6,"Hydro",6635,
"Eibergen Powerplant",52.1,6.65,,857.0,
"Eich Powerplant",49.6289,6.13194,,2718.0,
"Eiche Powerplant",0.0,0.0,,0.0,
"Eichede Powerplant",53.7167,10.4,,15076.0,
"Eichenbarleben Powerplant",52.1667,11.4,,22535.0,
"Eichetmuhle Powerplant",47.7994,13.044,,432.0,
"Eichgut Powerplant",47.5,8.75,"Solar Radiation",279,
"Eichholz Powerplant",53.8511,10.7358,,948.0,
"Eichi Powerplant",0.0,0.0,,10998.0,
"Eichicht Powerplant",50.61666,11.43333,"Hydro",3981,
"Eichow Powerplant",51.7667,14.1333,,25886.0,
"Eicklingen Powerplant",52.622643223929,10.080471038818,"Wind",4929,
"Eid Powerplant",60.6167,10.5,,74157.0,
"Eidefossen Powerplant",60.472024,8.468946,"Hydro",59799,
"Eidet Powerplant",59.33333,8.5,"Hydro",2870,
"Eidisvirkid (faroe) Powerplant",62.2231,-6.84356,,37380.0,
"Eidsdal Powerplant",62.0833,5.83333,,59537.0,
"Eidsetelva Powerplant",62.1476,6.07408,,0.0,
"Eidsfoss Powerplant",63.2333,9.03333,,71759.0,
"Eidsfoss Sfe Powerplant",61.8167,6.15,,52481.0,
"Eidsfossen Powerplant",63.2905734,9.0890918,"Hydro",1579,
"Eielson Afb Powerplant",64.6711,-147.0719,"Coal",66866,33.5
"Eifel Bbwp Powerplant",50.25,6.6666667,"Wind",78280,
"Eigen Bedrijf Powerplant",52.02,4.7,,715.0,
"Eigenhuis Powerplant",52.2592,4.75972,,1205.0,
"Eigenji Powerplant",36.2048,138.253,,7940.0,
"Eigg-1 Powerplant",57.8333,-5.61667,,42.997,
"Eigg-2 Powerplant",57.8333,-5.61667,,75.446,
"Eigg Diesel Powerplant",57.8333,-5.61667,,12.247,
"Eigg Solar Powerplant",57.8333333,-5.6166667,"Solar Radiation",75.254,
"Eign Stw Powerplant",0.0,0.0,,0.0,
"Eilat Biomass Powerplant",29.558,34.9482,,0.0,
"Eilat Powerplant",29.5611111,34.9516667,"Natural Gas",47582,58
"Eildon Pondage Powerplant",-37.4713077,144.7851531,"Hydro",8761,
"Eildon Powerplant",-37.23333,145.9167,"Hydro",233620,
"Eilenburg Mill Powerplant",51.46667,12.61667,"Natural Gas",193683,
"Eilsleben-ovelgunne Powerplant",52.2317,11.4556,,48998.0,
"Eilvese Powerplant",52.5333,9.41667,,1740.0,
"Eime Powerplant",52.08333,9.716667,"Wind",1885,
"Eimersleben Powerplant",52.21667,11.2,"Wind",11597,
"Ein Evrona Powerplant",0.0,0.0,,0.0,
"Ein Sultan Irrigation Powerplant",31.8667,35.45,,0.0,
"Einbeck Plant Powerplant",51.8167,9.86667,,17320.0,
"Eindhoven Phillips Powerplant",51.44946181612,5.4533529285982,"Natural Gas",192125,55
"Einhausen Rebuild Powerplant",50.5333,10.4667,,303.0,
"Einsal Powerplant",51.3167,7.65,,758.0,
"Einsiedel Powerplant",50.7667,12.9667,,2464.0,
"Einsleben Powerplant",52.15,11.2167,,17396.0,
"Einstein Hospital Powerplant",40.034,-75.1197,,4227.0,
"Einunna Powerplant",62.13246,9.9968,"Hydro",30282,
"Einzelanlagen Powerplant",52.4084,12.5625,,5074.0,
"Einzelbetreiber Powerplant",51.4332,7.66159,,3682.0,
"Eiriksdal Powerplant",61.2204,6.07494,,0.0,
"Eisai Tsukuba Res Inst Powerplant",36.3418,140.447,,1595.0,
"Eisehower Medical Center Powerplant",33.7825,-116.414,,4008.0,
"Eisenach Vortex Powerplant",50.9833,10.3167,,0.0,
"Eisenach Works Powerplant",50.989654545455,10.300145454546,"Natural Gas",41173,9
"Eisenbahnerwehr Powerplant",48.3594,10.9451,,4929.0,
"Eisenbahnstrasse Powerplant",48.1678,8.62719,,78.0,
"Eisenfurt Powerplant",47.93333,9.683333,"Hydro",373,
"Eisenhower High School Powerplant",34.1109,-117.377,,325.0,
"Eisenhower Ms Powerplant",41.6437,-83.4869,,0.0,
"Eisenhuttenstadt Cc Powerplant",52.15,14.65,,0.0,
"Eisenhuttenstadt Eko Powerplant",52.15,14.65,,500165.0,
"Eisenhuttenstadt Powerplant",52.15,14.65,,144524.0,
"Eisenhuttenstadt Progroup Powerplant",52.1436615,14.6419022,"Biomass",0,32
"Eisenhuttenstadt Works Powerplant",52.15,14.65,,370084.0,
"Eisenkappel Powerplant",46.4864,14.5961,,86.0,
"Eisenstadt Powerplant",47.85,16.5167,,19777.0,
"Eisgein Estate Powerplant",56.4907,-4.20265,,0.0,
"Eisk Powerplant",56.0013,92.8856,,0.0,
"Eisser Hohe Powerplant",51.5833333,9.1666667,"Wind",6523,
"Eissporthalle St Moritz Powerplant",46.4984,9.83909,,110.0,
"Eiterfeld Farm Powerplant",50.7667,9.8,,2348.4,
"Eiterfeld Powerplant",50.7667,9.8,,4929.0,
"Eiterfeld School Powerplant",50.7667,9.8,,926.48,
"Eiterfeld Village Powerplant",50.7667,9.8,,1429.0,
"Eitting Rebuild Powerplant",51.165691,10.451526,"Hydro",75826,
"Eitting Schweiger Powerplant",47.7167,7.6,,341.0,
"Eiu Renewable Energy Cent Powerplant",39.4961,-88.1762,,0.0,
"Eixendorf Powerplant",48.4167,11.8167,,1801.0,
"Ej Stoneman-2 Powerplant",42.708333,-90.984722,"Coal",0,
"Ej West Powerplant",43.3192,-73.9203,,55815.0,
"Ejby Powerplant",55.4301,9.92973,,5446.0,
"Ejby Renseanleg Powerplant",55.43,9.95,,541.0,
"Ejs Wind Farm Powerplant",41.8356821,-4.3976357,"Wind",97312,
"Ejstrupholm Powerplant",55.98,9.28,,9486.0,
"Ekeby Powerplant",59.1709,15.27,,3611.0,
"Ekenas (tammisaari) Powerplant",59.9736,23.4339,,9983.4,
"Ekeren-merksem Powerplant",51.2813,4.44076,,0.0,
"Ekibastuz-1 Powerplant",51.885605,75.376954,"Coal",19000000,4000
"Ekibastuz-2 Powerplant",51.99,74.91,"Coal",4386208,
"Ekibastuz Tps Powerplant",51.6667,75.3667,,45155.0,
"Ekincik Powerplant",39.7936,38.4063,,0.0,
"Ekiti Powerplant",7.66558,5.31025,,0.0,
"Ekkjestolen Powerplant",60.0691,6.54565,,0.0,
"Eklutna Powerplant",61.605,-149.1192,"Hydro",174561,44.4
"Ekoplyta Powerplant",52.9,16.5667,,6428.0,
"Eks Landfill 1 Powerplant",44.7806,-93.3094,,9279.0,
"Eks Landfill 2 Powerplant",44.7677,-93.2777,,0.0,
"Ekseko Biogas Powerplant",58.2821746,25.5752233,"Biogas",0,
"Eksjo Powerplant",57.66,14.95,,12187.0,
"Eksjoberget Powerplant",61.8,12.5833,,0.0,
"Eksperimentalnaya Powerplant",47.871705863864,40.019116401672,"Hard Coal",1073203,105
"El-abiodh Powerplant",32.8833,0.5667,,1838.0,
"El-ameriya Refinery Powerplant",31.2,29.9,,699196.0,
"El-amerya Ftz Powerplant",31.2,29.92,,471615.0,
"El-dabaa Powerplant",31.1667,29.8833,,0.0,
"El-feel Field Powerplant",0.0,0.0,,0.0,
"El-golea Powerplant",30.608399887521,2.9009002447128,"Natural Gas",32136,60
"El-hadjar Complex Powerplant",36.7945,7.69994,,291118.0,159.0
"El-hasa Mine Powerplant",0.0,0.0,,23323.0,
"El-kousir Powerplant",25.6833,32.65,,2906.0,
"El-kureimat Powerplant",29.2733162788,31.2267852061,"Natural Gas",6971718,2754
"El-kureimat Solar Powerplant",29.274879,31.22263,"Natural Gas",0,140
"El-nubaria Powerplant",30.6973,30.66713,"Natural Gas",3412850,2250
"El-oued Powerplant",33.35,6.9,,11981.0,
"El-salloum Powerplant",30.0,28.0,,3877.0,
"El-siuf Powerplant",31.21635,29.99731,"Natural Gas",999218,200
"El Abra/punta Lucero Powerplant",43.2627,-2.92528,,29473.0,
"El Acebo Powerplant",43.2155,-6.8757,,0.0,
"El Aguila Edp Powerplant",41.791,-1.21357,,68746.0,
"El Aguila Powerplant",42.31667,-3.016667,"Hydro",525,0.48
"El Alambrado Powerplant",-36.2797,-69.8661,,41.0,
"El Alamo Powerplant",-3.7396,-73.2564,,1.0,
"El Algarrobo Powerplant",37.6261,-6.1723,,0.0,
"El Almendro Powerplant",37.5076,-7.27038,,97037.0,
"El Alto Powerplant",8.73333,-82.8167,,0.0,
"El Ambi Powerplant",0.367159,-78.3842,,31416.0,
"El Angel Mill Powerplant",13.5833,-89.5333,,34257.0,
"El Angel Powerplant",10.168,-84.1582,,17673.0,
"El Angosto Powerplant",-22.6633,-66.2367,,1.0,
"El Arenal Powerplant",37.8833,-4.76667,,0.0,
"El Arish Powerplant",31.11573,33.68269,"Heavy Fuel Oil",715599,66
"El Aroussia Powerplant",36.8133,9.7964,,11641.0,
"El Arrayan Powerplant",-29.9533,-71.3436,,0.0,
"El Atazar Powerplant",40.9333,-3.46667,,10715.0,
"El Balsal Powerplant",8.46667,-78.0,,11.0,
"El Barco Powerplant",42.4673,-2.56153,,0.0,
"El Batan Powerplant",-1.16667,-79.9167,,15563.0,
"El Berbegal Powerplant",40.4637,-3.74922,,2263.0,
"El Berbel Powerplant",42.0325,-1.52591,,20960.0,
"El Biban Powerplant",33.504,11.1122,,148540.0,
"El Boleo Mine Powerplant",27.3167,-112.283,,0.0,
"El Bolson Powerplant",-41.9667,-71.5167,,17932.0,
"El Bonillo Powerplant",38.9505,-2.54048,,0.0,
"El Borj Powerplant",35.71,-5.7,,0.0,
"El Borma Powerplant",31.6667,9.1333,,125766.0,
"El Borma Solar Powerplant",31.691721,9.206198,"Solar Radiation",0,
"El Bosque Epa Powerplant",6.15639,-75.7872,,9949.0,
"El Bosque Powerplant",39.25,-1.333333,"Hydro",8747,8
"El Cabezuelo Powerplant",39.2333,-1.75,,61331.0,
"El Cabildo Powerplant",41.655181,-4.72372,"Hydro",1367,1.25
"El Cabo Powerplant",35.5156,-107.517,,0.0,
"El Cadillal Powerplant",-26.61667,-65.2,"Hydro",36176,
"El Cain Powerplant",-41.6333,-68.3167,,118.0,
"El Cairo Powerplant",4.66667,-76.0167,,25089.0,
"El Cajon (f Moran) Powerplant",15.079904875346,-87.559103965759,"Hydro",1125163,600
"El Cajon Cfe Powerplant",21.5,-104.9,"Hydro",1862406,750
"El Cajon Chubut Powerplant",-43.6846,-69.2746,,410.0,
"El Cajon Energy Powerplant",32.7948,-116.963,,0.0,
"El Cajon Laundromat Powerplant",32.7179,-117.124,,32.0,
"El Cajon Library Powerplant",32.7948,-116.962,,44.0,
"El Cajon Powerplant",32.7817,-117.046,,845.0,
"El Cajon Sdct Powerplant",32.7817,-117.0458,"Natural Gas",2230,16
"El Cajon Windowmaster Powerplant",32.7817,-117.046,,2624.0,16.0
"El Calafate Powerplant",-50.3333,-72.3,,4844.0,
"El Camalote Powerplant",14.21667,-90.3,"Hydro",0,
"El Camino Tower Powerplant",32.6754,-117.179,,195.0,
"El Canada Powerplant",14.7167,-91.5333,,186277.0,
"El Canarico Powerplant",0.0,0.0,,5858.1,
"El Candal Powerplant",43.5278,-7.03048,,0.0,
"El Cano Powerplant",-10.7333,-75.5167,,0.0,
"El Canto Powerplant",41.0845,-3.85992,,41460.0,
"El Carche Powerplant",38.4545,-1.21395,,2484.7,
"El Carmen Emaap Powerplant",-0.366667,-78.3833,,32987.0,
"El Carmen Enel Powerplant",0.0,0.0,,0.0,
"El Carmen Matamoros Powerplant",10.4428,-84.3661,,5225.0,
"El Carmen Mill Powerplant",13.4884,-89.0502,,9516.0,
"El Carmen Powerplant",-10.3617,-76.185,,0.0,
"El Carpio Buenavista Powerplant",37.9408,-4.49696,,12868.0,
"El Carpio Powerplant",37.9333,-4.5,,9184.0,
"El Carpio Quintanilla Powerplant",37.9408,-4.49696,,38524.0,
"El Carrizal Powerplant",-33.3,-68.720833,"Hydro",47308,17
"El Castellar Powerplant",39.9122,-2.35651,,547.0,
"El Castillejo Powerplant",40.121928,-5.5373317,"Hydro",2624,3
"El Castillo Powerplant",-35.6667,-71.5667,,0.0,
"El Cayo Cetasa Powerplant",41.764,-2.46883,,53971.0,
"El Cedro Powerplant",8.71531,-82.7063,,158.0,
"El Centenar Powerplant",36.539,-5.38682,,84447.0,
"El Centro Powerplant",32.8022,-115.54,"Natural Gas",367489,256
"El Cerro Powerplant",41.8804,-4.36243,,40478.0,
"El Chaco Powerplant",-0.333333,-77.8167,,110.0,
"El Chalten Powerplant",-49.3286,-72.93,,683.0,
"El Chaparral Powerplant",13.81667,-88.35,"Hydro",0,
"El Chenke Powerplant",-45.4,-72.7,,175.0,
"El Chino Powerplant",19.6833,-100.567,,0.0,
"El Chocon Powerplant",-39.265784513375,-68.75609225026,"Hydro",3339356,1328
"El Chorrin Powerplant",0.0,0.0,,0.0,
"El Chorro Ec Powerplant",-2.96332,-79.1097,,103.0,
"El Chorro Irhe Powerplant",8.45,-80.4333,,444.0,
"El Chorro Powerplant",-23.1833,-62.3,,159.0,
"El Ciego Powerplant",41.5976,-0.905662,,3499.0,
"El Cimarron Powerplant",14.2225685,-89.2930342,"Hydro",0,
"El Cobano Powerplant",19.15,-102.0333,"Hydro",129176,52
"El Colemar Ii Powerplant",37.171,-2.84068,,0.0,
"El Condor Powerplant",-23.6747,-66.7541,,84.0,
"El Conjuro Powerplant",36.7507,-3.5179,,34754.0,
"El Conquistador Powerplant",36.7783,-119.418,,220.0,
"El Corchado Powerplant",36.5167,-5.31667,,12639.0,
"El Corcovado Powerplant",-42.7,-65.8,,546.0,
"El Coronil-ii Powerplant",37.0795,-5.6341,,47179.0,
"El Cortaderal Powerplant",-32.8902,-68.844,,27.0,
"El Corte Egehid Powerplant",19.105152,-71.69498,"Hydro",0,
"El Corte Ingles Powerplant",40.4165,-3.70256,,9813.0,
"El Cortijo I Y Ii Powerplant",42.4667,-2.45,,8517.0,
"El Coterejon Powerplant",40.4532,-4.46471,,61345.0,
"El Coyolar Powerplant",14.4542,-87.643,,6304.0,
"El Cura Powerplant",37.7329,-2.6147,,0.0,
"El Cuy Powerplant",-39.9333,-68.3333,,209.0,
"El Derramadero Powerplant",38.4475948,-2.0483426,"Solar Radiation",0,
"El Descanso Powerplant",-2.83333,-78.7833,,46038.0,
"El Diquis Dam Powerplant",9.171894,-83.334173,"Hydro",0,
"El Dorado (ca) Powerplant",38.7936,-120.618,,61397.0,
"El Dorado Energy Powerplant",35.7867,-114.9928,"Natural Gas",2083235,598
"El Dorado Energy Solar Expansion Powerplant",35.7881,-114.9933,"Solar Radiation",21661,
"El Dorado Grayson Powerplant",37.8136,-88.4381,,3122.0,
"El Dorado High School Powerplant",33.8848,-117.858,,196.0,
"El Dorado Hydro Elk Creek Powerplant",45.1836,-116.298,,3544.2,
"El Dorado Main 2 Prs-1 Powerplant",38.7296,-120.799,,0.0,
"El Dorado Ref Powerplant",37.8952,-96.7688,,192716.0,
"El Duque Powerplant",36.9402,-3.36096,,13995.0,
"El Duranzo Powerplant",19.4780425,-99.2049856,"Hydro",44698,
"El Ejido Powerplant",36.7763,-2.81456,,1070.0,
"El Embalse Powerplant",10.3333,-84.4333,,0.0,
"El Encanto Eea Powerplant",-1.76667,-73.2,,5.0,
"El Encanto Powerplant",10.1,-84.7333,,40080.0,
"El Encino Powerplant",28.190134905189,-105.47012329101,"Natural Gas",2257553,
"El Escepar Acciona Powerplant",40.3465,-2.63902,,0.0,
"El Escepar Gamesa Powerplant",40.3465,-2.63902,,0.0,
"El Escorial Powerplant",-43.0804,-68.511,,41.0,
"El Escudo Powerplant",0.0,0.0,,0.0,
"El Eslabon Powerplant",-7.03333,-76.7667,,152.0,
"El Espartal Powerplant",42.2166,-2.00525,,2811.2,
"El Espinar Powerplant",37.7188,-1.15549,,0.0,
"El Estado Powerplant",-0.813967,-78.9288,,6676.0,
"El Estero Wwtp Powerplant",34.4208,-119.698,,0.0,
"El Fasher Powerplant",13.6333,25.35,,7189.0,
"El Fikrya Wwtp Powerplant",27.9347,30.8197,"Biogas",1109,
"El Fouladh Works Powerplant",37.1558,9.7936,,26280.0,
"El Fraile Powerplant",8.58333,-80.6,,0.0,
"El Fuerte Bolivia Powerplant",-17.8,-63.1667,,373.0,
"El Fulla Powerplant",11.586,34.1532,,249.0,
"El Gaili Powerplant",13.4549,23.9001,,1.79931e+06,
"El Gallego Powerplant",36.1848,-5.75645,,49065.0,
"El Gallo Burgos Powerplant",0.0,0.0,,0.0,
"El Gallo Powerplant",18.46667,-100.5667,"Hydro",77476,14
"El General Powerplant",10.4833,-84.0167,,186086.0,
"El Gimina Powerplant",13.0,25.0,,5125.0,
"El Gramal Powerplant",39.65,-1.5,,19115.0,
"El Granado Powerplant",37.5198,-7.41605,,0.0,
"El Guanillo Powerplant",19.86,-71.65,"Wind",0,
"El Guarda Powerplant",37.7688,-1.50229,,742.0,
"El Guavio Powerplant",4.7252015582782,-73.483200071496,"Hydro",4974595,
"El Haouaria Powerplant",0.0,0.0,,0.0,
"El Hierro Powerplant",27.7255,-18.0243,,0.0,
"El Hoyo-monte Galan Powerplant",0.0,0.0,,0.0,
"El Hoyo Powerplant",38.4085,-3.92016,,2952.0,
"El Huemul Powerplant",-48.7737,-69.1917,,0.0,
"El Indio Powerplant",-29.9078,-71.2542,,13302.0,
"El Jebel Powerplant",39.395,-107.09,,0.0,
"El Jengibre Powerplant",19.3325,-71.4927,,0.0,
"El Jobo/angostura Powerplant",13.5333,-88.25,,0.0,
"El Jocote Powerplant",14.3061111,-90.965,"Hydro",17911,
"El Kenko Powerplant",-16.5667,-68.2,,55744.0,
"El Kharga Powerplant",25.4333,30.55,,13162.0,
"El Leon Powerplant",-44.230179,-71.839333,"Hydro",142,
"El Limon Mine Powerplant",7.5,-74.86,,216.0,
"El Maiten Powerplant",-43.6846,-69.2746,,3664.0,
"El Manzanal Powerplant",42.6,-6.36667,,68997.0,
"El Manzano Epen Powerplant",-38.9493,-68.0658,,557.0,
"El Manzano Malargue Powerplant",-36.1167,-69.75,,27.0,
"El Manzano Powerplant",-38.85,-71.7,,37466.0,
"El Max Powerplant",31.2156,29.9553,,144638.0,
"El Mazorral Powerplant",40.0167,-0.683333,,0.0,
"El Menju Powerplant",38.24,-1.41987,,262.0,
"El Menzel Powerplant",34.61,-4.18,,0.0,
"El Mercadillo Powerplant",43.3424,-3.74329,,4338.6,
"El Merengue Powerplant",0.0,0.0,,0.0,
"El Milagro (est 7) Powerplant",-5.75626,-78.4546,,2371.0,
"El Mirasol Powerplant",-43.3667,-67.7,,70.0,
"El Mocho Powerplant",-53.2667,-69.4833,,0.0,
"El Modena High School Powerplant",33.8151,-117.829,,246.0,
"El Molar Powerplant",37.9991,-2.21048,,0.0,
"El Moral Powerplant",38.8299,-3.57813,,81775.0,
"El Moralejo Powerplant",38.9667,-1.21667,,55071.0,
"El Moreno Powerplant",-23.8667,-65.8,,84.0,
"El Morro Limestone Powerplant",35.0444,-108.32,,0.0,
"El Morro Powerplant",0.0,0.0,,0.0,
"El Motarro Powerplant",41.1167,1.25,,5397.0,
"El Mulato Powerplant",28.2916,-16.6291,,875.0,
"El Muyo Powerplant",-5.39,-78.44,,43600.0,
"El Nahud Powerplant",12.7049,28.438,,2265.0,
"El Najanja Powerplant",12.9127,-85.8118,,0.0,
"El Negredo Powerplant",41.3268,-3.31436,,57801.0,
"El Nido Neo Powerplant",37.3748,-120.522,,24076.0,
"El Nido Powerplant",11.1858,119.396,,3705.0,
"El Nihuil I Powerplant",-34.6177,-68.3301,,205927.0,
"El Nihuil Ii Powerplant",-34.6177,-68.3301,,370112.0,
"El Nihuil Iii Powerplant",-34.6177,-68.3301,,144705.0,
"El Nihuil Iv Powerplant",-34.6177,-68.3301,,69570.0,
"El Nispero Powerplant",14.7667,-88.7833,,83442.0,
"El Obeid Powerplant",13.1833,30.2167,,24794.0,
"El Olivillo Powerplant",36.6865,-6.13606,,0.0,
"El Oregano Powerplant",14.96,-89.53,,0.0,
"El Ossero Powerplant",38.7503,-2.87138,,109.0,
"El Pacifico Powerplant",-30.5983,-71.2003,,0.0,
"El Pajarito Powerplant",-43.8,-69.25,,14.0,
"El Palau Powerplant",41.65,0.883333,,2772.5,
"El Palito Refinery Powerplant",0.0,0.0,,0.0,
"El Palmar Inde Powerplant",14.7924,-91.715,,0.0,
"El Palmar Riberalta Powerplant",-10.9833,-66.1,,0.0,
"El Palmar Sugar Factory Powerplant",9.733334,-84.26667,"Biomass",118363,
"El Paramo Powerplant",42.6487,-3.59043,,60912.0,
"El Paso Asarco Powerplant",31.7691,-106.427,,41435.0,
"El Paso Bingham Powerplant",31.8027,-106.377,,367.0,
"El Paso Bruce Powerplant",31.8393,-106.563,,719.0,
"El Paso Chile Powerplant",0.0,0.0,,0.0,
"El Paso County Powerplant",39.5501,-105.782,,0.0,
"El Paso Navitas Powerplant",40.7392,-89.0164,,0.0,
"El Paso Phelps Powerplant",31.7691,-106.427,,23813.0,
"El Pedregoso Powerplant",36.0139,-5.60695,,99356.0,
"El Pelgo Powerplant",42.5833,-6.75,,831.0,
"El Penon Powerplant",-26.4713,-67.2643,,102.0,
"El Peralejo Powerplant",40.3465,-2.63902,,0.0,
"El Perdon Powerplant",42.75,-1.71667,,41501.0,
"El Perul Powerplant",42.5999,-5.57175,,101401.0,
"El Picazo Powerplant",39.45,-2.08333,,19681.0,
"El Pilar Copper Powerplant",27.0833,-109.217,,0.0,
"El Pilar Powerplant",41.5801,-1.11719,,30666.0,
"El Pino Powerplant",36.1848,-5.49213,,61071.0,
"El Pinoso Plant Powerplant",38.4011,-1.04158,,10031.0,
"El Plantanal Powerplant",21.4383,-99.8514,,14775.0,
"El Platanal Powerplant",-12.8333,-75.9833,,0.0,
"El Poal Powerplant",41.6833,0.866667,,0.0,
"El Pollo Tucson Powerplant",32.0916,-110.858,,65.0,
"El Popal Powerplant",6.0573,-75.1852,,0.0,
"El Portal Admin Powerplant",37.6883,-119.85,,46.0,
"El Portal Yosemite Powerplant",37.4849,-119.966,,0.0,
"El Portichuelo Powerplant",39.8,-0.7,,6795.6,
"El Portillo Powerplant",40.4167,-3.70035,,0.0,
"El Porton Powerplant",-41.8167,-72.0667,,0.0,
"El Porvenir Loreto Powerplant",-3.98472,-77.2197,,1.0,
"El Porvenir San Marcos Powerplant",14.93333,-92,"Hydro",8956,
"El Potrillo Powerplant",-26.1852,-58.1754,,173.0,
"El Prat Seda Powerplant",41.3333,2.1,,45832.0,
"El Progreso Powerplant",14.8539,-90.0647,,1075.0,
"El Puente Setar Powerplant",-21.2833,-65.2833,,0.0,
