"plant_name","latitude","longitude","fuel_used","OutputMWh","elec_capacity_MW"
"Abad Santos Powerplant",5.91333,125.645,,244.0,
"Abadan City-1 Powerplant",38.0482,58.1955,,492137.0,
"Abadan City-2 Powerplant",38.0482,58.1955,,339754.0,
"Abadan Kzrec Powerplant",30.3525,48.2958,,1.12687e+06,
"Abadan Refinery Powerplant",30.3392,48.3043,,104090.0,
"Abadeh Powerplant",31.1608,52.6506,,13339.0,
"Abakan Mine Powerplant",53.7156,91.4292,,75319.0,
"Abakan Powerplant",53.720072970115,91.321384906769,"Brown Coal",1667770,220
"Abancay Powerplant",-13.6339,-72.8814,,2459.0,
"Abanico Ec-1 Powerplant",-2.3166667,-78.1166667,"Hydro",62832,
"Abanico Ec-2 Powerplant",-2.3166667,-78.1166667,"Hydro",0,
"Abanico Powerplant",-37.3333,-71.5167,,642947.0,
"Abanilla Powerplant",38.2054,-1.04153,,4151.9,
"Abanilla Solar Powerplant",38.205375,-1.041525,"Solar Radiation",13709,
"Abaran Powerplant",38.205507,-1.399072,"Hydro",886,0.81
"Abasha Powerplant",42.414365,42.379235,"Hydro",2559,
"Abauna Powerplant",-27.86667,-52.08333,"Hydro",3090,
"Abbadia Di Naro Powerplant",43.5457,12.6527,,1791.3,
"Abbey Mills Pumping Powerplant",51.687,-0.0042057,,3443.0,
"Abbiategrasso Powerplant",45.3982,8.91678,,0.0,
"Abbotsford Powerplant",49.058,-122.253,,0.0,
"Abbott Power Plant Powerplant",40.1119,-88.2425,,193368.0,85.0
"Abbott Puerto Rico Powerplant",18.4548,-66.5389,,13128.0,
"Abbott Tp3 Powerplant",29.594064,-98.040655,"Hydro",7814,
"Abbotts Mills Powerplant",44.5488,-70.6285,,1116.0,
"Abc Coke Cogen Powerplant",33.5879,-86.7701,,2688.0,
"Abc Coke Powerplant",33.5823,-86.787,,399.0,
"Abc Medical Phoenix Powerplant",33.4484,-112.074,,0.0,
"Abdalan Powerplant",38.6333,40.2,,0.0,
"Abdelmoumen Powerplant",0.0,0.0,,0.0,
"Abderdeen Proving Powerplant",39.5095,-76.1644,,1974.0,
"Abdon Castro Tolay Powerplant",-23.3667,-66.0667,,109.0,
"Abe Kalan Powerplant",35.8481,52.0453,,340955.0,
"Abeche Powerplant",13.81,20.81,,195.0,
"Abed Alaal Powerplant",33.3402,36.2197,,148322.0,
"Abekawa Seishi Plant Powerplant",36.2048,138.253,,2060.0,
"Abel Substation Powerplant",0.0,0.0,,0.0,
"Abelvattnet Powerplant",65.0959,17.1173,,0.0,
"Abenakis Powerplant",56.130366,-106.346771,"Hydro",1201,0.4
"Abenaquis Powerplant",45.400083013,-71.899077839,"Hydro",12268,2.8
"Abengoa Ceara Powerplant",0.0,0.0,,0.0,
"Abengoa Hq Powerplant",37.3824,-5.97613,,0.0,
"Abeokuta Powerplant",7.15,3.35,,1488.0,
"Abercrombie Point Powerplant",45.5834,-62.6486,,141053.0,
"Aberdare Powerplant",51.715,-3.454167,"Natural Gas",0,10
"Aberdeen Foresterhill Powerplant",57.1437,-2.09814,,0.0,
"Aberdeen Mill Powerplant",47.1445,-123.772,,119582.0,
"Aberdeen Powerplant",45.591,-98.3547,"Oil",52,28.8
"Aberdulais Falls Powerplant",51.8571,-3.92934,,27.0,
"Aberfeldie Powerplant",49.61666,-115.6333,"Hydro",25559,5
"Aberfoyle Estates Powerplant",-19.6667,29.9,"Hydro",164,25
"Abergavenny Leisure Cent Powerplant",51.8333,-3.01667,,139.0,
"Abertay Plant Powerplant",57.1785,-2.18679,,53661.0,
"Aberthaw B Powerplant",51.387477,-3.406751,"Hard Coal",6023769,1635
"Abertura Fv Powerplant",39.2435,-5.81394,,81033.0,
"Abfaltersbach Powerplant",46.7603,12.5419,,6535.0,
"Abgp Plant Powerplant",19.7515,75.7139,,385.0,
"Abha Powerplant",18.2164,42.5053,,2868.0,
"Abhainn Cuileig Powerplant",57.898715474907,-5.1603853587007,"Hydro",3292,
"Abhapani Powerplant",0.0,0.0,,2133.0,
"Abhaypur Powerplant",28.5565,77.1909,,0.0,
"Abi Addi Powerplant",13.4347,39.0025,,217.0,
"Abidjan Feltrin Powerplant",5.31,-4.03,,1716.0,
"Abidjan Refinery Powerplant",5.30943,-4.01972,,420480.0,
"Abilene (ks) Powerplant",38.8831,-97.2014,"Natural Gas",1453,77
"Abilio Bornia Powerplant",-25.5167,-51.1333,,113650.0,
"Abiquiu Powerplant",36.2072,-106.318,,37675.0,
"Abitagua Powerplant",-1.6332,-77.0104,,0.0,
"Abitibi Canyon Powerplant",49.882192154488,-81.566705703735,"Hydro",1679245,349
"Abjora Powerplant",60.93333,9.4,"Hydro",351620,
"Ablainzevelle Powerplant",50.1527,2.73319,,0.0,
"Ablass Powerplant",51.23333,12.95,"Wind",52187,
"Ablitas Powerplant",41.9745,-1.64053,,0.0,
"Abo-mosa Powerplant",25.875,55.03,,8887.0,
"Aboda Kvarn Powerplant",57.166,16.0256,,0.0,
"Abogalheira Powerplant",41.174405,-8.088533,"Wind",11632,
"Abono Powerplant",43.5528,-5.72276,"Coal",6077931,921.7
"Aboshi Plant Powerplant",34.7833,134.583,,341996.0,
"Abqaiq Field Powerplant",25.9371,49.6776,,984981.0,
"Abqaiq Ngl Plant Powerplant",25.9371,49.6776,,382204.0,
"Abra De Ilog Powerplant",13.4437,120.729,,0.0,
"Abrabeta Powerplant",45.8439,10.1511,,993.0,
"Abralaite Powerplant",-23.2,-65.7833,,59.0,
"Abrantes Powerplant",39.4833,-8.16667,,496.11,
"Abrantes Works Powerplant",-12.8167,-38.2667,,36313.0,
"Abri Powerplant",20.7858,30.3367,,249.0,
"Abrinken Powerplant",55.5512,8.83371,,937.0,
"Abruzzo Powerplant",40.665312,15.105851,"Wind",157996,5
"Abruzzo Sunflower Powerplant",40.6653,15.1059,,0.0,
"Absa Towers West Powerplant",-26.2023,28.0436,,0.0,
"Absberg Powerplant",49.1444,10.881,,0.0,
"Abswoude Elderly Home Powerplant",52.0067,4.35556,,699.0,
"Abtenau Powerplant",47.5637,13.346,,3377.0,
"Abtenau Schnitzhofer Powerplant",47.5637,13.346,,826.0,
"Abtswind Powerplant",49.7667,10.3667,,0.0,
"Abu-samra Powerplant",25.2167,50.9664,,10503.0,
"Abu Dhabi Central Hosp Powerplant",24.4667,54.3667,,4695.0,
"Abu Dhabi Hydrogen Powerplant",24.1651,52.642,,0.0,
"Abu Dhabi Powerplant",23.6307,53.7299,,809172.0,
"Abu Dhabi Sheikh's Palace Powerplant",0.0,0.0,,0.0,
"Abu Dhabi Wwtp Powerplant",24.4666667,54.3666667,"Biogas",10967,
"Abu Dis Landfill Powerplant",0.0,0.0,,0.0,
