id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BRA0002038,1226611.68,2837588.88,2760576.0,2859192.0,3076080.0,2467080.0,3084648.0,2983512.0,2103864.0,1439424.0,757344.0,1693305.6
BRA0027872,20549.76,217516.32,186480.0,235536.0,226968.0,188160.0,219072.0,166488.0,219912.0,246792.0,198408.0,261038.4
BRA0030373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68964.0
BRA0002591,3138381.12,3105118.8,5618760.0,6157368.0,5911584.0,6145944.0,7874664.0,5323080.0,7670040.0,7585032.0,7757568.0,8131317.6
BRA0000908,0.0,70116.48,242256.0,15792.0,114408.0,154392.0,243432.0,195552.0,221424.0,215544.0,241752.0,240962.4
BRA0027974,0.0,0.0,0.0,32592.0,25872.0,0.0,0.0,0.0,0.0,0.0,0.0,14532.0
BRA0027975,603407.28,437653.44,315672.0,250152.0,3864.0,394296.0,49560.0,1249416.0,2156395.92,2045630.16,2547182.4,1152883.2
BRA0031750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631444.8
BRA0000657,1493061.36,2783812.08,3178560.0,3456768.0,3781848.0,3028032.0,3898272.0,3391584.0,3680376.0,3407376.0,3802848.0,4107784.8
BRA0030662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486242.4
BRA0000718,0.0,0.0,0.0,0.0,418152.0,505344.0,667800.0,359520.0,618576.0,752640.0,737688.0,578692.8
BRA0031616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0
BRA0031482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510434.4
BRA0030666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82538.4
BRA0002553,156797.76,323400.0,262080.0,231000.0,315336.0,253848.0,251496.0,222096.0,253512.0,182112.0,94752.0,136029.6
BRA0002889,10735075.68,35475936.72,29591856.0,36279432.0,40982088.0,32749248.0,41376720.0,33380592.0,37710456.0,39613392.0,35200032.0,25852948.8
BRA0030285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53424.0,84295.68,80048.64,78335.04,88636.8
BRA0029634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109569.6
BRA0002127,4200774.48,10731747.6,10085208.0,10400712.0,9980040.0,8065008.0,10544688.0,9697296.0,9549960.0,8410080.0,7983360.0,9438105.6
BRA0029597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754219.2
BRA0028360,0.0,149346.96,585984.0,580104.0,531552.0,593880.0,694344.0,472248.0,700056.0,749448.0,788256.0,768381.6
BRA0000923,211742.16,454503.84,478296.0,516096.0,596400.0,387744.0,496608.0,367080.0,493584.0,211512.0,255192.0,358646.4
BRA0000608,80923.92,151504.08,159432.0,187320.0,249648.0,168168.0,174552.0,115080.0,204288.0,54600.0,91224.0,144765.6
BRA0028712,0.0,0.0,0.0,0.0,0.0,0.0,116592.0,201432.0,190218.0,221692.8,204156.96,225036.0
BRA0028770,0.0,0.0,0.0,0.0,0.0,0.0,61152.0,124320.0,91138.32,114722.16,121138.08,112795.2
BRA0029268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375076.8
BRA0027448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377512.8
BRA0002176,289064.16,707022.96,518952.0,409080.0,653184.0,417144.0,561456.0,464352.0,402024.0,448392.0,298200.0,177424.8
BRA0029062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60379.2
BRA0027447,86136.96,248102.4,225960.0,141120.0,205800.0,333816.0,305424.0,255024.0,189504.0,244440.0,77784.0,53995.2
BRA0000973,258355.44,946715.28,898800.0,1027656.0,1032528.0,783720.0,1034712.0,658728.0,948024.0,758520.0,598584.0,708607.2
BRA0028825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109922.4
BRA0027120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA0027122,173105.52,406232.4,403200.0,257040.0,377664.0,540120.0,475104.0,412440.0,343056.0,401184.0,149352.0,97490.4
BRA0028793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197416.8
BRA0002704,4630167.36,12190888.08,11995536.0,12549600.0,10619616.0,9156000.0,12421416.0,11766384.0,10090752.0,9884280.0,8451576.0,8797572.0
BRA0028140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15825.6
BRA0002672,3486280.56,3712254.0,6381312.0,7343448.0,6709416.0,7735728.0,9585576.0,6742680.0,8314992.0,7966056.0,6998208.0,8329154.4
BRA0001544,1758414.0,4561954.32,3530352.0,5945184.0,2705976.0,4759881.84,3604776.0,5689152.0,6370215.6,6740302.8,6534358.32,6135964.8
BRA0000625,0.0,0.0,3771936.0,4085592.0,3564960.0,3576552.0,5247816.0,2333352.0,3824688.0,4660152.0,5407416.0,4636598.4
BRA0028801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89040.0
BRA0030769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964442.48,3474623.04,2151609.6
BRA0028887,0.0,0.0,0.0,0.0,0.0,110712.0,133896.0,205800.0,147411.6,186149.04,190508.64,180129.6
BRA0001417,2597012.88,6807166.8,7188384.0,6736800.0,8273664.0,6372744.0,7752024.0,6877920.0,5743248.0,2800728.0,2174928.0,6320059.2
BRA0001328,61513.2,130793.04,124992.0,127848.0,172704.0,108864.0,137928.0,88536.0,135576.0,53256.0,69048.0,153098.4
BRA0001175,262637.76,1204222.32,1452024.0,1224216.0,1566600.0,840504.0,1412376.0,1012368.0,781536.0,967008.0,382368.0,522530.4
BRA0028562,0.0,0.0,0.0,0.0,200760.0,347256.0,476280.0,273168.0,319032.0,535752.0,559776.0,494995.2
BRA0000641,222803.28,503581.68,500808.0,502488.0,694848.0,346416.0,561792.0,471744.0,456456.0,240576.0,184128.0,0.0
BRA0027113,1092873.6,2226502.32,1898904.0,2315712.0,2931936.0,1572312.0,2436504.0,1986432.0,1561392.0,701064.0,831768.0,708019.2
