NOTE: The Global Power Plant Database is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,geolocation_source,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
CAALA,CARMA0059240,,,AGO,,CARMA,http://carma.org/,-12.8525,15.5606,CARMA,,,,,,,,
CABINDA,CARMA0006518,,,AGO,,CARMA,http://carma.org/,-5.5500,12.2000,CARMA,,,,,,,,
CACONGO,CARMA0006571,,,AGO,,CARMA,http://carma.org/,-5.2333,12.1333,CARMA,,,,,,,,
CAMBAMBE,CARMA0006780,,,AGO,,CARMA,http://carma.org/,-11.0018,14.5591,CARMA,,,,,,,,
CAPANDA,CARMA0007009,,,AGO,,CARMA,http://carma.org/,-9.5402,16.3410,CARMA,,,,,,,,
CAVACO,CARMA0059239,,,AGO,,CARMA,http://carma.org/,-12.5644,13.4425,CARMA,,,,,,,,
CAXITO,CARMA0007478,,,AGO,,CARMA,http://carma.org/,-8.5785,13.6642,CARMA,,,,,,,,
CAZENGA,CARMA0007495,,,AGO,,CARMA,http://carma.org/,-8.8249,13.3132,CARMA,,,,,,,,
CHICAPA,CARMA0008306,,,AGO,,CARMA,http://carma.org/,-8.8117,13.2161,CARMA,,,,,,,,
CONGOLENSES,CARMA0059236,,,AGO,,CARMA,http://carma.org/,-8.8368,13.2343,CARMA,,,,,,,,
CUANDO-I,CARMA0023191,,,AGO,,CARMA,http://carma.org/,-12.7761,15.7392,CARMA,,,,,,,,
CUANDO-II,CARMA0023192,,,AGO,,CARMA,http://carma.org/,-12.7761,15.7392,CARMA,,,,,,,,
CUBAL CHIMBASSI,CARMA0009790,,,AGO,,CARMA,http://carma.org/,-13.0333,14.2500,CARMA,,,,,,,,
CUCHI MISSION,CARMA0009794,,,AGO,,CARMA,http://carma.org/,-14.6536,16.8942,CARMA,,,,,,,,
CUEMBA,CARMA0009806,,,AGO,,CARMA,http://carma.org/,-12.1500,18.0833,CARMA,,,,,,,,
FAZENDA DA BONGA,CARMA0012989,,,AGO,,CARMA,http://carma.org/,-12.2667,15.6333,CARMA,,,,,,,,
GABELA,CARMA0014423,,,AGO,,CARMA,http://carma.org/,-10.8515,14.3799,CARMA,,,,,,,,
GANDA BENGUELA,CARMA0059234,,,AGO,,CARMA,http://carma.org/,-13.0167,14.6333,CARMA,,,,,,,,
GANGEASL DAM,CARMA0014566,,,AGO,,CARMA,http://carma.org/,-15.1833,13.7000,CARMA,,,,,,,,
GOMES DA GRACA,CARMA0015440,,,AGO,,CARMA,http://carma.org/,-8.8368,13.2343,CARMA,,,,,,,,
KUITO,CARMA0023245,,,AGO,,CARMA,http://carma.org/,-12.3833,16.9333,CARMA,,,,,,,,
LOBITO,CARMA0025551,,,AGO,,CARMA,http://carma.org/,-12.3481,13.5456,CARMA,,,,,,,,
LOBITO AURORA,CARMA0025552,,,AGO,,CARMA,http://carma.org/,-12.3481,13.5456,CARMA,,,,,,,,
LOBITO ISABEL,CARMA0025553,,,AGO,,CARMA,http://carma.org/,-12.3481,13.5456,CARMA,,,,,,,,
LUANDA REFINERY,CARMA0026045,,,AGO,,CARMA,http://carma.org/,-8.8368,13.2343,CARMA,,,,,,,,
LUBANGO,CARMA0026054,,,AGO,,CARMA,http://carma.org/,-14.9172,13.4925,CARMA,,,,,,,,
LUENA,CARMA0026126,,,AGO,,CARMA,http://carma.org/,-11.7833,19.9167,CARMA,,,,,,,,
LUQUIXE,CARMA0026253,,,AGO,,CARMA,http://carma.org/,-7.7500,15.0000,CARMA,,,,,,,,
MALANJE,CARMA0026763,,,AGO,,CARMA,http://carma.org/,-9.5402,16.3410,CARMA,,,,,,,,
MALONGO TERMINAL,CARMA0026830,,,AGO,,CARMA,http://carma.org/,-5.5500,12.2000,CARMA,,,,,,,,
MALONGO WAKESHA,CARMA0026829,,,AGO,,CARMA,http://carma.org/,-5.5500,12.2000,CARMA,,,,,,,,
MATALA,CARMA0027506,,,AGO,,CARMA,http://carma.org/,-14.7369,15.0314,CARMA,,,,,,,,
MATOS VAZ,CARMA0027605,,,AGO,,CARMA,http://carma.org/,-8.4667,15.2167,CARMA,,,,,,,,
