country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
AUS,Australia,Somerton,AUS0000096,160.0,-37.6318,144.9531,Gas,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,South Cardup (Shale Road Landfill),AUS0000359,3.3,-32.2664,116.0193,Waste,,,,,Western Australian Landfill Services,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,South East Water Hallam Plant,AUS0000337,0.25,-38.0232,145.2781,Hydro,,,,,South East Water,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,South Johnstone,AUS0000374,20.0,-17.6057,145.9910,Biomass,,,,,MSF Sugar,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Springvale,AUS0000071,4.12,-37.9733,145.1396,Waste,,,,,Energy Developments LFG (Victoria) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,St George Leagues Club,AUS0000318,1.5,-33.9748,151.1294,Oil,,,,,St George Leagues Club,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Stadium Australia,AUS0000442,0.14,-33.8452,151.0640,Solar,,,,,,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Stanwell,AUS0000168,1460.0,-23.5097,150.3195,Coal,,,,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Stapylton Green Energy,AUS0000347,4.8,-27.7334,153.2463,Biomass,,,,,Stapylton Green Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Starfish Hill Wind Farm,AUS0000052,34.5,-35.5678,138.1432,Wind,,,,,RATCH-Australia,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Studland Bay (Woolnorth) Wind Farm,AUS0000010,75.0,-40.7788,144.7362,Wind,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
