country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
YEM,Yemen,Al Hali,YEM0000011,9.0,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Al kornish,YEM0000014,2.0,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Hizeaz ( 3 ),YEM0000004,10.0,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Jear,YEM0000020,6.2,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,KHULF,YEM0000027,6.4,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Monawrh,YEM0000030,6.0,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Ryan,YEM0000024,10.0,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Sana'a,YEM0000017,11.0,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Shehr,YEM0000033,5.2,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Syaon1,YEM0000036,13.0,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Syaon2,YEM0000039,12.4,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
YEM,Yemen,Taiz,YEM0000007,7.5,,,Oil,,,,,,http://www.auptde.org/Article_Files/Manual%20Of%20Power%20Stations2016.xls,,,,,,,,
