country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ALB,Albania,Devoll Hydropower (DHP)  Albania,CDMDB0005577,272.0,,,Hydro,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ALB,Albania,HPP Ashta,CDMDB0005662,52.9,42.0260,19.5244,Hydro,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ALB,Albania,Hydropower station Murdhari 1&2 (Hydroelectric Power Station Murdhari in Albania),CDMDB0010086,4.8,41.2320,19.9293,Hydro,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
AGO,Angola,Gove Hydroelectric Power Plant CDM Project - Angola,CDMDB0010007,61.86,13.4500,15.8700,Hydro,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Antonio Moran Wind Power Plant Project in Patagonia Region  Argentina,CDMDB0000130,10.56,-45.8667,-67.5000,Wind,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Bio energy in General Deheza -Electricity  generation based on peanut hull and sunflower husk,CDMDB0000950,10.0,-32.4455,-63.4700,Biomass,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Chimbera 1  2 and 3 Solar Photovoltaic Power Plant Project,CDMDB0009338,10.0,,,Solar,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Diadema Wind Farm project,CDMDB0005899,6.3,-45.7408,-67.6987,Wind,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Installation of a high-pressure/high-efficiency bagasse boiler to cogenerate heat and power,CDMDB0005292,87.2,-64.7892,-23.8275,Biomass,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Loma Blanca I Wind Farm CDM Project Activity.,CDMDB0008997,51.0,,,Wind,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Loma Blanca II Wind Farm CDM Project Activity.,CDMDB0008998,48.0,,,Wind,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Loma Blanca III Wind Farm CDM Project Activity.,CDMDB0008999,51.0,,,Wind,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Loma Blanca IV Wind Farm CDM Project Activity.,CDMDB0009002,51.0,,,Wind,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Los Caracoles Hydroelectric Project,CDMDB0004780,125.2,-31.5199,-68.9843,Hydro,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Norte III.C landfill - Methane recovery and power generation project,CDMDB0005861,11.796,,,,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,PEM 1 - Wind Power Plant Project,CDMDB0008127,97.2,-42.7158,-65.2364,Wind,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,PEM SUR - Wind Power plant project,CDMDB0008228,117.0,-42.7010,-65.2163,Wind,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,PER 1 and PER 2 Wind Power Plants (Umbrella Project),CDMDB0008583,77.4,,,Wind,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Papel Misionero Cogeneration Project Activity with Biomass,CDMDB0009822,15.0,,,Biomass,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Proyecto Multiambiente del Plata Norte IIIa,CDMDB0002785,14.0,-34.5333,-58.6167,,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Punta Negra Hydroelectric Project,CDMDB0010225,61.2,-31.5177,-68.8204,Hydro,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARG,Argentina,Timbues cogeneration project,CDMDB0003988,10.948,-32.6068,-60.7727,Biomass,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
ARM,Armenia,Argichi Small Hydroelectric CDM Project,CDMDB0001459,8.5,40.1247,45.2581,Hydro,,,,,,Clean Development Mechanism,https://cdm.unfccc.int,Clean Development Mechanism,,,,,,
