country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_data_source,estimated_generation_gwh
IND,India,ACME Solar Tower,WRI1020239,2.5,28.1839,73.2407,Solar,,,,2011.0,Solar Paces,National Renewable Energy Laboratory,http://www.nrel.gov/csp/solarpaces/project_detail.cfm/projectID=262,National Renewable Energy Laboratory,,,,,,,,,
IND,India,ADITYA CEMENT WORKS,WRI1019881,98.0,24.7663,74.6090,Coal,,,,,Ultratech Cement ltd,Ultratech Cement ltd,http://www.ultratechcement.com/,WRI,,,,,,,,,
IND,India,AES Saurashtra Windfarms,WRI1026669,39.2,21.9038,69.3732,Wind,,,,,AES,CDM,https://cdm.unfccc.int/Projects/DB/DNV-CUK1328700673.83/view,WRI,,,,,,,,,
IND,India,AGARTALA GT,IND0000001,135.0,23.8712,91.3602,Gas,,,,2004,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2018,631.777928,617.789264,843.747,886.004428,663.7745,Central Electricity Authority,
IND,India,AKALTARA TPP,IND0000002,1800.0,21.9603,82.4091,Coal,Oil,,,2015,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2018,1668.29,3035.55,5916.37,6243.0,5385.5797364327955,Central Electricity Authority,
IND,India,AKRIMOTA LIG,IND0000003,250.0,23.7689,68.6447,Coal,Oil,,,2005,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2018,821.798,1153.421,1208.852,1175.765,1147.913,Central Electricity Authority,
IND,India,ALIYAR,IND0000004,60.0,10.4547,77.0078,Hydro,,,,1970,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2018,147.56845,157.55825,152.1952,61.42135,89.6296,Central Electricity Authority,
IND,India,ALLAIN DUHANGAN,IND0000005,192.0,32.2258,77.2070,Hydro,,,,2010,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2018,696.7388,674.3910999999999,721.3352,675.7244,679.5949499999999,Central Electricity Authority,
IND,India,ALMATTI DAM,IND0000006,290.0,16.3300,75.8863,Hydro,,,,2004,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2018,504.81325000000004,480.59495,144.4342,402.02975000000004,439.3721,Central Electricity Authority,
IND,India,AMAR KANTAK,IND0000007,210.0,23.1642,81.6373,Coal,Oil,,,2008,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2018,2642.322,1887.904,1643.046,1338.093,1563.457,Central Electricity Authority,
