country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
AFG,Afghanistan,Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538,33.0,32.3220,65.1190,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AFG,Afghanistan,Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541,66.0,34.5560,69.4787,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AFG,Afghanistan,Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,100.0,34.6410,69.7170,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AFG,Afghanistan,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,11.55,34.4847,70.3633,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AFG,Afghanistan,Northwest Kabul Power Plant Afghanistan,GEODB0040540,42.0,34.5638,69.1134,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AFG,Afghanistan,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537,6.0,35.9416,68.7100,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AFG,Afghanistan,Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535,22.0,34.5865,69.7757,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,Ashta Hydroelectric Power Plant Albania,GEODB0045871,53.0,42.0021,19.6007,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,Bistrice I Hydroelectric Power Station Albania,GEODB0042692,22.5,39.9168,20.1375,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,Bistrice II Hydroelectric Power Station Albania,GEODB0042693,5.0,39.9116,20.1047,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,Fierza Hydroelectric Power Station Albania,GEODB0042688,500.0,42.2514,20.0431,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,Koman Hydroelectric Power Station Albania,GEODB0042689,600.0,42.1033,19.8224,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,Lanabregas Hydroelectric Power Station Albania,GEODB0042691,5.0,41.3428,19.8964,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,Shkopet Hydroelectric Power Station Albania,GEODB0042694,24.0,41.6796,19.8305,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,TEC Vlora CCGT Power Plant Albania,GEODB0042697,97.0,40.4874,19.4340,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,Ulez Hydroelectric Power Station Albania,GEODB0042695,25.2,41.6796,19.8936,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ALB,Albania,Vau I Dejes Hydroelectric Power Plant Albania,GEODB0042690,250.0,42.0137,19.6359,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Adrar OCGT Power Plant Algeria,GEODB0045347,100.0,27.8945,-0.2952,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Ain Djasser I & II Gas Power Plant Algeria,GEODB0045340,520.0,35.8678,6.0256,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Annaba OCGT Power Plant Algeria,GEODB0045348,80.0,36.8924,7.7634,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Bab Ezzouar OCGT Power Plant Algeria,GEODB0041723,108.0,36.7297,3.1849,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Bou Tlelis Power Plant Algeria,GEODB0044784,445.0,35.5658,-0.9386,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Boufarik OCGT Power Plant Algeria,GEODB0041736,96.0,36.5914,2.9223,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,F'Kirina OCGT Power Plant Algeria,GEODB0041721,300.0,35.7666,7.3619,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Hadjret En-Nouss CCGT Power PLant Algeria,GEODB0041728,1227.0,36.5767,2.0797,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Hamma II Power Plant Algeria,GEODB0045343,418.0,36.7489,3.0823,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Hassi Messaoud Nord I OCGT Power Plant Algeria,GEODB0041724,120.0,31.7881,6.0497,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Hassi Messaoud Nord II OCGT Power Plant Algeria,GEODB0041725,200.0,31.7877,6.0517,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Hassi Messaoud Ouest OCGT Power Plant Algeria,GEODB0041727,492.0,31.7609,6.0230,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Hassi Messaoud Sud OCGT Power Plant Algeria,GEODB0041726,72.0,31.6745,6.0605,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Hassi R'mel integrated solar CC Power Plant Algeria,GEODB0003497,,32.9475,3.2380,Solar,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Ighil Emda Dam Hydroelectric Power Plant Algeria,GEODB0003630,24.0,36.4739,5.2719,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Jijel Thermal Power Plant Algeria,GEODB0041734,588.0,36.8139,5.8760,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Kahrama OCGT Power Plant Algeria,GEODB0045345,318.0,35.8064,-0.2476,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Koudiet Eddraouch CCGT Power Plant Algeria,GEODB0045342,1200.0,36.8850,8.0778,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Larbaa OCGT Power Plant Algeria,GEODB0045402,500.0,36.5988,3.1375,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Marsat El Hadjadj Thermal Power Plant Algeria,GEODB0045344,200.0,35.8000,-0.1924,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Marsat Thermal Power Plant Algeria,GEODB0041733,840.0,35.8000,-0.1924,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Msila CCGT Power Plant Algeria,GEODB0044786,500.0,35.7089,4.4768,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Msila OCGT Power Plant Algeria,GEODB0041737,730.0,35.7078,4.4776,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Ras Djinet Thermal Power Plant Algeria,GEODB0041732,672.0,36.8509,3.6983,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Ravin Blanc Thermal Power Plant Algeria,GEODB0041735,133.0,35.7095,-0.6319,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Relizane OCGT Power Plant Algeria,GEODB0045341,465.0,35.7835,0.5407,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,SKS Skikda CCGT Power Plant Algeria,GEODB0041722,880.0,36.8789,6.9366,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Sharikat Kahraba Berrouaghia (SKB) OCGT Power Plant Algeria,GEODB0041730,500.0,36.1399,2.9296,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Skikda Steam Power Plant Algeria,GEODB0041729,262.0,36.8800,6.9350,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Terga CCGT Power Plant Algeria,GEODB0044783,1200.0,35.4608,-1.2295,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Tiaret I and II OCGT Power Plant Algeria,GEODB0041731,420.0,35.3396,1.3562,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
DZA,Algeria,Tilghemt OCGT Power Plant Algeria,GEODB0045346,200.0,33.1318,3.3459,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Biopio Dam Hydroelectric Power Plant Angola,GEODB0002349,14.4,-12.4708,13.7319,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Cambambe Dam Hydroelectric Power Plant Angola,GEODB0002551,180.0,-9.7525,14.4808,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Capanda Dam Hydroelectric Power Plant Angola,GEODB0002537,520.0,-9.7953,15.4669,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Chicapa-1 Dam Hydroelectric Power Plant Angola,GEODB0002658,16.0,-9.5066,20.1795,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Cunje II Dam Hydroelectric Power Plant Angola,GEODB0000429,,-11.8167,17.4833,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Gove Dam Hydroelectric Power Plant Angola,GEODB0003601,320.0,-13.4517,15.8694,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Lomaum Dam Hydroelectric Power Plant Angola,GEODB0004066,35.0,-12.7333,14.4500,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Luanda OCGT Power Plant Angola,GEODB0042580,148.0,-8.8148,13.3077,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Mabubas Dam Hydroelectric Power Plant Angola,GEODB0004118,17.8,-8.5352,13.7001,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Matala Dam Hydroelectric Power Plant Angola,GEODB0004201,40.8,-14.7442,15.0418,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
AGO,Angola,Tundavala Dam Hydroelectric Power Plant Angola,GEODB0005804,,-14.4792,13.6921,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,AES Cabra Corral Hydroelectric Power Plant Argentina,GEODB0042226,102.0,-25.2697,-65.3308,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,AES Central Dique Power Plant Argentina,GEODB0042222,68.0,-34.8905,-57.9323,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,AES Central Termical de Ciclo (Termoandes) CCGT Power Plant Argentina,GEODB0042264,643.0,-24.7440,-65.0519,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,AES Central Thermal San Nicolas Power Plant Argentina,GEODB0042220,650.0,-33.3559,-60.1734,Coal,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,AES Parana (San Nicolas) CCGT Power Plant Argentina,GEODB0042221,845.0,-33.3549,-60.1718,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,Agua del Cajon CCGT Power Plant Argentina,GEODB0042231,555.0,-38.9362,-68.3570,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,Agua del Toro Hydroelectric Power Plant Argentina,GEODB0042310,260.0,-34.5840,-69.0362,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,Alicura Hydroelectric Power Plant Argentina,GEODB0042214,100.0,-40.5861,-70.7525,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,Aluar (Puerto Madryn) CCGT Power Plant Argentina,GEODB0042250,755.0,-42.7368,-65.0550,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
ARG,Argentina,Arroyito Hydroelectric Power Plant Argentina,GEODB0042218,120.0,-39.1076,-68.5854,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,
