country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
AUT,Austria,Cogeneration-Kraftwerke Management O….,EPRTR0001921,,47.9667,13.8167,,,,,,,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,Cogeneration-Kraftwerke Management O….,EPRTR0010705,,47.9667,13.8167,,,,,,,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,Dampfkraftwerk DŸrnrohr  Block 1,EPRTR0001954,,48.3000,15.8833,,,,,,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,Dampfkraftwerk DŸrnrohr  Block 1,EPRTR0010739,,48.3000,15.8833,,,,,,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,Dampfkraftwerk Neudorf/Werndorf II,EPRTR0010708,,46.9167,15.4833,,,,,,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,Dampfkraftwerk Neudorf/Werndorf II,EPRTR0001924,,46.9167,15.4833,,,,,,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,Dampfkraftwerk St. AndrŠ,EPRTR0001953,,46.7500,14.8167,,,,,,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,Dampfkraftwerk Voitsberg,EPRTR0001955,,47.0333,15.1500,,,,,,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,Dampfkraftwerk Voitsberg,EPRTR0010740,,47.0333,15.1500,,,,,,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,EEVG,EPRTR0001931,,47.9833,13.8167,,,,,,UPM Kymmene Austria GmbH/SCA- Graphic-Laakirchen,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
AUT,Austria,EEVG,EPRTR0010716,,47.9833,13.8167,,,,,,UPM Kymmene Austria GmbH/SCA- Graphic-Laakirchen,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,,,,,,,
