NOTE: The Global Power Plant Database is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,geolocation_source,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
Adolfo López Mateos (Tuxpan),MEX0001766,2100.0,2016,Mexico,CFE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,21.0151,-97.3334,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Oil,,,,,,
Aguamilpa Solidaridad,MEX0001856,960.0,2016,Mexico,CFE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,21.8395,-104.8038,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Hydro,,,,,,
Alameda,MEX0006565,7.0,2016,Mexico,,CFE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,18.8452,-99.4619,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Hydro,,,,,,
Alfredo Elías Ayub (La Yesca),MEX0001859,750.0,2016,Mexico,CFE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,21.1979,-104.1047,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Hydro,,,,,,
Altamira,MEX0001776,500.0,2016,Mexico,CFE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,22.4351,-98.0081,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Oil,,,,,,
Altamira II,MEX0001794,495.0,2016,Mexico,CFE/PIE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,22.4978,-97.9017,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Gas,,,,,,
Altamira III y IV,MEX0001774,1036.0,2016,Mexico,CFE/PIE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,22.4939,-97.9014,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Gas,,,,,,
Altamira V,MEX0001773,1121.0,2016,Mexico,CFE/PIE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,22.4997,-97.9053,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Gas,,,,,,
Altos Hornos de México,MEX0001834,180.3,2016,Mexico,Altos Hornos De México  S. A. De C. V.,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,28.4658,-100.7001,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Gas,,,,,,
Aszuremex,MEX0006643,2.5,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,17.4559,-91.4200,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Atlatec,MEX0006644,1.1,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,20.5959,-100.4716,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Atlatec  Planta El Ahogado,MEX0006645,2.9,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,20.5055,-103.2596,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Autoabastecimiento Renovable,MEX0006702,3.8,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,21.9083,-102.2709,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Solar,,,,,,
Azucarera Independencia,MEX0006647,9.6,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,20.0592,-97.0476,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Azucarera La Concepción,MEX0006654,4.2,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,19.6062,-96.8993,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Azucarera La Fé,MEX0006648,13.1,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,16.2767,-92.4541,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Azucarera Los Mochis,MEX0006649,14.0,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,25.7854,-109.0018,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Azucarera del Rio Guayalejo,MEX0006646,7.5,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,22.9390,-99.0170,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Bacurato,MEX0006592,92.0,2016,Mexico,,CFE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,25.8537,-107.9021,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Hydro,,,,,,
Baja California Sur I,MEX0001845,162.7,2016,Mexico,CFE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,32.6024,-115.6276,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Oil,,,,,,
Bajío (El Sáuz),MEX0001795,495.0,2016,Mexico,CFE/PIE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,20.4584,-100.1208,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Gas,,,,,,
Belisario Domínguez (Angostura),MEX0001857,900.0,2016,Mexico,CFE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,16.4018,-92.7784,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Hydro,,,,,,
Benito Juárez (Samalayuca),MEX0001818,316.0,2016,Mexico,CFE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,31.3314,-106.4860,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Oil,,,,,,
Bii Nee Stipa I,MEX0006704,26.4,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,16.4842,-94.9945,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Wind,,,,,,
Bio Pappel  Atenquique,MEX0006650,15.5,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,19.5268,-103.4368,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Bioenergía de Nuevo León,MEX0006651,17.0,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,25.8520,-100.2956,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Bombana,MEX0006563,5.2,2016,Mexico,,CFE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,16.9575,-93.0258,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Hydro,,,,,,
Boquilla,MEX0006578,25.0,2016,Mexico,,CFE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,27.5445,-105.4141,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Hydro,,,,,,
Botello,MEX0006574,18.0,2016,Mexico,,CFE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,19.9266,-101.6704,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Hydro,,,,,,
Bsm Energía de Veracruz,MEX0006652,12.8,2016,Mexico,,INERE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,18.6063,-96.6858,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Biomass,,,,,,
Camilo Arriaga (El Salto),MEX0006575,18.0,2016,Mexico,,CFE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsRenewGE1MW_NorthAmerica_201606.xlsx,22.5881,-99.3810,North American Cooperation on Energy Information and Comisión Reguladora de Energía,,Hydro,,,,,,
