country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
USA,United States of America,12 Applegate Solar LLC,USA0059371,1.9,40.2003,-74.5761,Solar,,,,2012.0,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,2.41461,2.35,2.43,2.492,2.2760000000000002,
USA,United States of America,126 Grove Solar LLC,USA0060858,2.0,42.0761,-71.4227,Solar,,,,2012.0,126 Grove Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,,,,2.416,2.251,
USA,United States of America,1420 Coil Av #C,USA0057310,1.3,33.7943,-118.2414,Solar,,,,2011.0,Konoike Pacific,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,1.528,2.149,1.5150000000000001,1.592,1.6600000000000001,
USA,United States of America,145 Talmadge Solar,USA0057458,3.8,40.5358,-74.3913,Solar,,,,2011.0,Avidan Energy Solutions,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,5.0360000000000005,4.524,4.8020000000000005,5.051,4.819,
USA,United States of America,1515 S Caron Road,USA0007770,4.2,41.9084,-89.0466,Gas,,,,2000.0,Rochelle Municipal Utilities,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,0.215,0.178,0.271,0.306,0.264,
USA,United States of America,158th Fighter Wing Solar Farm,USA0060542,1.3,44.4777,-73.1534,Solar,,,,2011.0,158th Fighter Wing,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,,,,1.655,1.616,
USA,United States of America,1634 Solar,USA0061935,0.0,34.3368,-80.0815,,,,,,1634 Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,,,,,,
USA,United States of America,180 Raritan Solar,USA0058187,1.9,40.5161,-74.3400,Solar,,,,2012.0,180 Raritan Energy Solutions  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,2.741,2.584,2.5260000000000002,2.6590000000000003,2.547,
USA,United States of America,191 Peachtree Tower,USA0054818,2.4,33.7583,-84.3869,Oil,,,,1991.0,Banyan St./GAP 191 Peachtree Owner  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,0.0,0.0,0.0,0.0,0.0,
USA,United States of America,2 AC Station,USA0010211,0.0,41.6628,-87.4444,,,,,,ArcelorMittal USA Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,,,,,,
USA,United States of America,201 Sturbridge B,USA0059822,2.0,42.1091,-72.1712,Solar,,,,2014.0,SE Solarne2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,,2.969,2.979,2.835,2.722,
USA,United States of America,205 Sturbridge A,USA0059821,3.0,42.1093,-72.1705,Solar,,,,2014.0,SH Solarne2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017,,2.969,5.3260000000000005,5.319,5.041,
