name,gppd_idnr,latitude,longitude,commissioning_year,source,unit01_MW,unit01_year,unit02_MW,unit02_year,unit03_MW,unit03_year,unit04_MW,unit04_year,unit05_MW,unit05_year,unit06_MW,unit06_year,unit07_MW,unit07_year,unit08_MW,unit08_year,unit09_MW,unit09_year,unit10_MW,unit10_year,unit11_MW,unit11_year,unit12_MW,unit12_year,unit13_MW,unit13_year,unit14_MW,unit14_year,unit15_MW,unit15_year,unit16_MW,unit16_year,unit17_MW,unit17_year,unit18_MW,unit18_year,unit19_MW,unit19_year,unit20_MW,unit20_year
ANTOFAGASTA DE LA SIERRA,ARG0000358,-26.059483,-67.407936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBOL SOLO,ARG0000172,-36.63638889,-66.47722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,ARG0000359,-29.5345,-62.26702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARROYITO,ARG0000254,-39.100923,-68.598238,1977,http://globalenergyobservatory.org/geoid/42218,40,1977,40,1977,40,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARROYO VERDE,ARG0000360,-42.01197,-65.30648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATUCHA I,ARG0000029,-33.96704,-59.205859,1974,http://globalenergyobservatory.org/geoid/2194,319,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATUCHA II,ARG0000030,-33.967385,-59.204455,2014,http://globalenergyobservatory.org/geoid/2194,692,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJO  CARACOLES,ARG0000361,-47.442176,-70.926158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALNEARIO RETA,ARG0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDERA,ARG0000328,-23.82194444,-64.78472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARDAS BLANCAS,ARG0000205,-35.86805556,-69.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARILOCHE (EMILIO FREY),ARG0000263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARILOCHE (HOSPITAL ZONAL),ARG0000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARILOCHE (ING° PECHON),ARG0000265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARILOCHE (PUERTO  MORENO),ARG0000266,-41.116667,-71.416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJAMIN REOLIN,ARG0000085,-32.188329,-64.323305,1966,http://globalenergyobservatory.org/geoid/42294,13,1966,13,1966,13,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERNARDO  DE IRIGOYEN,ARG0000220,-26.25449,-53.64695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERON DE ASTRADA,ARG0000115,-27.550536,-57.52708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLANCUNTRE,ARG0000362,-42.5683892,-68.9190916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUEN PASTO,ARG0000363,-45.08042,-69.44978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTA RANQUIL,ARG0000244,-37.050171,-69.877743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTACO,ARG0000245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. PELLEGRINI,ARG0000364,-28.538205,-57.175316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.T. RUFINO,ARG0000310,-34.260525,-62.710696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.T. SAN VICENTE,ARG0000159,-35.02414,-58.423693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA CATI,ARG0000116,-27.753376,-57.620466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABRA CORRAL,ARG0000275,-25.271162,-65.32977,1978,http://globalenergyobservatory.org/geoid/42226,34,1978,34,1978,34,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
