name,gppd_idnr,latitude,longitude,commissioning_year,source,unit01_MW,unit01_year,unit02_MW,unit02_year,unit03_MW,unit03_year,unit04_MW,unit04_year,unit05_MW,unit05_year,unit06_MW,unit06_year,unit07_MW,unit07_year,unit08_MW,unit08_year,unit09_MW,unit09_year,unit10_MW,unit10_year,unit11_MW,unit11_year,unit12_MW,unit12_year,unit13_MW,unit13_year,unit14_MW,unit14_year,unit15_MW,unit15_year,unit16_MW,unit16_year,unit17_MW,unit17_year,unit18_MW,unit18_year,unit19_MW,unit19_year,unit20_MW,unit20_year
CT CAVIAHUE,ARG0000257,-38.05277778,-70.61361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT CERES,ARG0000314,-29.88833333,-61.92972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT CHARATA,ARG0000065,-27.23694444,-61.19388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT CHILECITO,ARG0000189,-29.158117,-67.507222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT CIPOLLETTI,ARG0000260,-38.91333333,-67.94138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT COLON BUENOS AIRES,ARG0000039,-33.92222222,-61.07694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT CONCEPCION DEL URUGUAY,ARG0000147,-32.47666667,-58.26722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT CORRIENTES,ARG0000114,-27.47083333,-58.80416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ECOENERGIA (PETROBRAS),ARG0000032,-38.687137,-62.396075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ENSENADA DE BARRAGAN,ARG0000160,-34.859721,-57.95574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ESQUINA,ARG0000139,-30.055,-59.52944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT FORMOSA II,ARG0000149,-26.17638889,-58.20944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT GENERAL VILLEGAS,ARG0000004,-35.03472222,-62.99805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT GOYA,ARG0000138,-29.15833333,-59.27277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT INDEPENDENCIA,ARG0000336,-26.866551,-65.224728,1995,http://www.industryabout.com/country-territories-3/1230-argentina/fossil-fuels-energy/17320-independencia-nueva-gas-power-plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT INGENIERO JUAREZ,ARG0000152,-23.90777778,-61.83416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT INTA CATAMARCA,ARG0000055,-28.47333333,-65.7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ISLA VERDE,ARG0000083,-33.2425,-62.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ITATI,ARG0000140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT JUAN JOSE CASTELLI,ARG0000059,-25.956421,-60.620363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT JUNIN,ARG0000035,-34.57083333,-60.91611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LA PLATA,ARG0000040,-34.934389,-58.016005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LA RIOJA DELIVERY,ARG0000190,-29.38111111,-66.8325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LA RIOJA SUR,ARG0000191,-29.38083333,-66.83194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LAGUNA BLANCA,ARG0000153,-25.12861111,-58.25972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LAS ARMAS,ARG0000024,-37.07805556,-57.81805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LAS ARMAS II,ARG0000025,-37.07805556,-57.81805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LAS PALMAS,ARG0000066,-27.02888889,-58.69972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LIBERTADOR GENERAL SAN MARTIN,ARG0000170,-40.842122,-68.086914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LINCOLN,ARG0000036,-34.85777778,-61.52055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT LOBOS,ARG0000041,-35.19166667,-59.08083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT MAGDALENA,ARG0000005,-35.100081,-57.483894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT MATHEU,ARG0000163,-34.39305556,-58.83722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT MEDANITOS (RINCON DE LOS SAUCES),ARG0000258,-37.41021,-68.90005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT MIRAMAR I,ARG0000022,-38.24722222,-57.82416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT OLAVARRIA,ARG0000026,-36.94388889,-60.23611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ORAN,ARG0000286,-23.12583333,-64.30694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT PARANA,ARG0000148,-31.77638889,-60.45527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT PARQUE INDUSTRIAL CATAMARCA,ARG0000056,-28.53388889,-65.79972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT PASO DE LA PATRIA,ARG0000141,-27.32361111,-58.56666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT PEHUAJO,ARG0000037,-35.83361111,-61.87583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT PINAMAR,ARG0000027,-37.09528,-56.87889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT PIRANE,ARG0000154,-25.67861,-59.07556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT PLUSPETROL NORTE,ARG0000337,-26.995455,-65.165993,2002.5,http://globalenergyobservatory.org/geoid/42277,116,2002,116,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT RAFAELA,ARG0000315,-31.25667,-61.52028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT REALICO,ARG0000184,-35.055,-64.24056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT RIO TURBIO,ARG0000306,-51.5385166,-72.27133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ROCA,ARG0000262,-31.89194,-60.01056,1995,http://globalenergyobservatory.org/geoid/42280,125,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT SAENZ PEÑA  I,ARG0000062,-26.81555556,-60.41138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT SAENZ PEÑA  II,ARG0000060,-26.81527778,-60.4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT SALTA,ARG0000285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT SALTO,ARG0000038,-27.4596536,-65.6055236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT SAN MARTIN NORTE III,ARG0000161,-34.52522,-58.620595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT SAN MIGUEL DE TUCUMAN,ARG0000341,-26.995455,-65.165993,1999.5,http://globalenergyobservatory.org/geoid/42279,123,1995,123,2001,150,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT SAN MIGUEL NORTE III,ARG0000162,-34.52522,-58.620595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT SANTA ROSA,ARG0000142,-28.26278,-58.00056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT TARTAGAL,ARG0000288,-22.54056,-63.80556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT TEREVINTOS,ARG0000057,-28.42888889,-65.78777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT TINOGASTA,ARG0000058,-28.04861111,-67.56666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT TUCUMAN,ARG0000342,-26.995455,-65.165993,1998.3,http://globalenergyobservatory.org/geoid/42278,144,1998,144,1998,150,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT VENADO TUERTO,ARG0000316,-33.77361111,-61.95638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT VIALE,ARG0000143,-31.89194,-60.01056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT VILLA ANGELA,ARG0000061,-27.58083333,-60.70944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT VILLA REGINA,ARG0000261,-39.08722222,-67.08805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUESTA DEL VIENTO,ARG0000297,-30.183333,-69.066667,1997,https://es.wikipedia.org/wiki/Embalse_Cuesta_del_Viento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURUZU CUATIA,ARG0000118,-29.797385,-58.057142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSHAMEN,ARG0000388,-42.17666,-70.66263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUTRAL CO  (COPELCO) - MEULEN,ARG0000234,-38.9778854,-69.2310011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUYO MOVIL ENARSA,ARG0000344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARREGUEIRA,ARG0000013,-37.6781748,-63.1976831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN FUNES,ARG0000088,-31.393439,-64.205912,1967,http://globalenergyobservatory.org/geoid/42269,17,1964,17,1964,33,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIQUE,ARG0000157,-34.890219,-57.93304,1969,http://globalenergyobservatory.org/geoid/42222,17,1969,17,1969,17,1969,17,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCK SUD,ARG0000158,-34.653258,-58.342005,1999.1,http://globalenergyobservatory.org/geoid/42219,38,1990,38,1990,260,2000,260,2000,260,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL ALAMBRADO,ARG0000389,-36.27,-69.85805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL ANGOSTO,ARG0000390,-21.876096,-66.185476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL BOLSON,ARG0000391,-41.958286,-71.543644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CADILLAL,ARG0000338,-26.6156,-65.1929,1966,http://globalenergyobservatory.org/geoid/42303,7,1966,7,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CAIN,ARG0000392,-41.832486,-68.351181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CALAFATE,ARG0000393,-50.35633,-72.26815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CARRIZAL,ARG0000196,-33.29932,-68.71987,1971,http://globalenergyobservatory.org/geoid/45231,17,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CHALTEN,ARG0000394,-49.330833,-72.882778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CHOCON,ARG0000255,-39.257691,-68.74827,1975.5,http://globalenergyobservatory.org/geoid/42217,200,1973,200,1974,200,1975,200,1976,200,1977,200,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CHURCAL,ARG0000395,-23.4368925,-61.591046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CORCOVADO,ARG0000396,-43.538,-71.46597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CORTADERAL,ARG0000397,-36.58527778,-68.53777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CUY,ARG0000398,-39.92515,-68.343136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL ESCORIAL,ARG0000399,-43.09807,-68.5596033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL MAITEN,ARG0000400,-42.05428,-71.16731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL MIRASOL,ARG0000401,-43.2852933,-67.7603114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL MORENO,ARG0000402,-23.854658,-65.832355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL QUEMADO,ARG0000403,-23.999897,-60.9855603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SOLITARIO,ARG0000404,-23.4613347,-61.4709325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL TIGRE,ARG0000211,-34.61,-68.61357,1989,http://globalenergyobservatory.org/geoid/42312,7.2,1989,7.2,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL TORO,ARG0000405,-23.083586,-66.701347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL TUNAL,ARG0000276,-25.2323,-64.4762,1972,"http://globalenergyobservatory.org/geoid/42313, https://es.wikipedia.org/wiki/Embalse_El_Tunal",5.5,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL TURBIO,ARG0000406,-42.2528405,-71.7003594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBALSE,ARG0000112,-32.231626,-64.442239,1984,http://globalenergyobservatory.org/geoid/3064,600,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCABA,ARG0000339,-27.6589,-65.7633,1956,http://globalenergyobservatory.org/geoid/42304,8,1956,8,1956,8,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCUELA CARAPACHO,ARG0000407,-35.81361111,-69.19083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESQUINA,ARG0000119,-30.010247,-59.532146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTACION TORRENT,ARG0000120,-28.82784,-56.470101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX CENTRAL BUENOS AIRES,ARG0000047,-34.62701,-58.33824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACUNDO,ARG0000408,-69.97211,-69.97211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILO MORADO,ARG0000240,-37.274169,-69.651963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FITZ SIMON,ARG0000089,-32.1784,-64.4207,1943,http://globalenergyobservatory.org/geoid/42296,3.5,1943,3.5,1943,3.5,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORENTINO AMEGHINO,ARG0000079,-43.699617,-66.481466,1963,https://es.wikipedia.org/wiki/Dique_Florentino_Ameghino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOFO CAHUEL,ARG0000409,-42.391062,-70.5780784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA (ELECTROPATAGONIA SA),ARG0000150,-26.097369,-58.249068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTIN NUEVO PILCOMAYO,ARG0000410,-23.882562,-60.913382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTIN SOLEDAD,ARG0000411,-24.14924,-60.694186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUENTES DEL COYLE,ARG0000412,-51.131872,-71.930483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUTALEUFU,ARG0000080,-43.12878,-71.62998,1978,http://globalenergyobservatory.org/geoid/42236,118,1978,118,1978,118,1978,118,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.D.II (ENARSA),ARG0000413,-54.795107,-68.260201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAN GAN,ARG0000414,-42.52323,-68.28285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTRE,ARG0000415,-42.26561,-69.2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERACION FRIAS SA,ARG0000329,-28.607242,-65.122765,2015,http://www.albanesi.com.ar/en_generacion_frias.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL  ROCA,ARG0000268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL ACHA,ARG0000182,-37.4308671,-64.7160494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL LEVALLE,ARG0000090,-34.036426,-63.921689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL SAN MARTIN,ARG0000208,-33.044944,-68.921889,1950,https://es.wikipedia.org/wiki/Central_hidroel%C3%A9ctrica_General_San_Mart%C3%ADn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBERNADOR COSTA,ARG0000416,-44.05298,-70.59792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBERNADOR DUVAL,ARG0000176,-38.74027778,-66.43638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBERNADOR GREGORES,ARG0000417,-48.748889,-70.246667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOYA,ARG0000121,-29.13876,-59.22767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOYA (ELECTROPATAGONIA SA),ARG0000137,-29.13876,-59.22767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAN BUENOS AIRES MOVIL ENARSA,ARG0000345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUACHIPAS,ARG0000280,-25.5235485,-65.5187645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUADALCAZAR,ARG0000418,-23.6823939,-61.1611089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUALJAINA,ARG0000419,-42.72627,-70.53549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILLERMO CESPEDES,ARG0000269,-39.560028,-65.681667,1963,https://es.wikipedia.org/wiki/Central_hidroel%C3%A9ctrica_Guillermo_C%C3%A9spedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. PICHI PICUN LEUFU,ARG0000272,-40.011965,-69.991782,1999,http://globalenergyobservatory.org/geoid/42216,87,1999,87,1999,87,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUANCAR,ARG0000420,-23.564829,-66.409683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIO RICO,ARG0000014,-38.329842,-60.890129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERIOR MOVIL,ARG0000346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRUYA,ARG0000421,-22.7928,-65.21856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLA APIPE,ARG0000122,-27.510057,-56.743638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLA VERDE,ARG0000091,-33.242214,-62.394555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA IBATE,ARG0000123,-27.42516,-57.334051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITUZAINGO,ARG0000124,-27.578544,-56.67255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAGUEL DEL MONTE,ARG0000177,-36.68111111,-65.78361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMA,ARG0000422,-23.2401,-67.019647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARAMILLO,ARG0000423,-47.183119,-67.143178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULIAN  ROMERO,ARG0000270,-38.836722,-68.038,,https://es.wikipedia.org/wiki/Central_hidroel%C3%A9ctrica_Juli%C3%A1n_Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM 503 - NRB,ARG0000424,-25.3858544,-60.3039218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CALERA,ARG0000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CARLOTA,ARG0000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CARRERA,ARG0000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CRUZ,ARG0000125,-29.176238,-56.639376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA ESPERANZA,ARG0000425,-23.5413003,-61.4202262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA HUMADA,ARG0000178,-36.34944444,-68.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA JAULA - PAREDITAS,ARG0000426,-34.664716,-69.3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA LIBERTAD,ARG0000427,-23.982064,-60.6117724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA MOSCA,ARG0000428,-41.574864,-71.5013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA PAZ,ARG0000145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA PLATA COGENERACION,ARG0000164,-34.88898,-57.92063,1997,http://globalenergyobservatory.org/geoid/42248,127,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA QUIACA,ARG0000429,-22.106513,-65.593914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA RINCONADA,ARG0000430,-23.4942752,-61.5763889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA RIOJA,ARG0000188,-29.382326,-66.832511,,http://www.industryabout.com/country-territories-3/1230-argentina/fossil-fuels-energy/17323-la-rioja-gas-power-plant,14,,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA RIOJA PRECARIA (EDELAR),ARG0000186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA TABLADA,ARG0000222,-27.41839,-55.90967,1969,http://globalenergyobservatory.org/geoid/42322,22.15,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA UNION,ARG0000431,-23.891111,-63.201666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA VIÑA,ARG0000094,-31.8708,-65.0349,1958,http://globalenergyobservatory.org/geoid/42273,8,1958,8,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGO BLANCO,ARG0000432,-45.94686,-71.26411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGO POSADAS,ARG0000433,-47.568036,-71.741592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGO PUELO,ARG0000434,-42.06729,-71.06729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGUNA SALADA,ARG0000435,-42.716779,-69.188472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGUNILLAS DEL FARALLON,ARG0000436,-22.461824,-66.627502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMADRID,ARG0000437,-23.897795,-60.754733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS COLORADAS,ARG0000438,-39.557398,-70.596456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS CUEVAS,ARG0000439,-32.81333333,-70.04555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS DELICIAS,ARG0000440,-26.67972,-64.00713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS MADERAS,ARG0000169,-24.44381,-65.220309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS OVEJAS,ARG0000247,-36.987988,-70.749123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS PLUMAS,ARG0000441,-43.722398,-67.2869957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS VARILLAS,ARG0000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVIARA,ARG0000442,-22.520786,-66.338225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOMA BLANCA,ARG0000443,-22.520786,-66.338225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
