name,latitude,longitude
CT ISLA VERDE,-33.2425,-62.395
CT JUAN JOSE CASTELLI,-25.956421,-60.620363
CT JUNIN,-34.57083333,-60.91611111
CT LA PLATA,-34.934389,-58.016005
CT LA RIOJA DELIVERY,-29.38111111,-66.8325
CT LA RIOJA SUR,-29.38083333,-66.83194444
CT LAGUNA BLANCA,-25.12861111,-58.25972222
CT LAS ARMAS,-37.07805556,-57.81805556
CT LAS ARMAS II,-37.07805556,-57.81805556
CT LAS PALMAS,-27.02888889,-58.69972222
CT LIBERTADOR GENERAL SAN MARTIN,-40.842122,-68.086914
CT LINCOLN,-34.85777778,-61.52055556
CT LOBOS,-35.19166667,-59.08083333
CT MAGDALENA,-35.100081,-57.483894
CT MATHEU,-34.39305556,-58.83722222
CT MEDANITOS (RINCON DE LOS SAUCES),-37.41021,-68.90005
CT MIRAMAR I,-38.24722222,-57.82416667
CT OLAVARRIA,-36.94388889,-60.23611111
CT ORAN,-23.12583333,-64.30694444
CT PARANA,-31.77638889,-60.45527778
CT PARQUE INDUSTRIAL CATAMARCA,-28.53388889,-65.79972222
CT PASO DE LA PATRIA,-27.32361111,-58.56666667
CT PEHUAJO,-35.83361111,-61.87583333
CT PINAMAR,-37.09528,-56.87889
CT PIRANE,-25.67861,-59.07556
CT PLUSPETROL NORTE,-26.995455,-65.165993
CT RAFAELA,-31.25667,-61.52028
CT REALICO,-35.055,-64.24056
CT RIO TURBIO,-51.5385166,-72.27133
CT ROCA,-31.89194,-60.01056
CT SAENZ PEÑA  I,-26.81555556,-60.41138889
CT SAENZ PEÑA  II,-26.81527778,-60.4125
CT SALTO,-27.4596536,-65.6055236
CT SAN MARTIN NORTE III,-34.52522,-58.620595
CT SAN MIGUEL DE TUCUMAN,-26.995455,-65.165993
CT SAN MIGUEL NORTE III,-34.52522,-58.620595
CT SANTA ROSA,-28.26278,-58.00056
CT TARTAGAL,-22.54056,-63.80556
CT TEREVINTOS,-28.42888889,-65.78777778
CT TINOGASTA,-28.04861111,-67.56666667
CT TUCUMAN,-26.995455,-65.165993
CT VENADO TUERTO,-33.77361111,-61.95638889
CT VIALE,-31.89194,-60.01056
CT VILLA ANGELA,-27.58083333,-60.70944444
CT VILLA REGINA,-39.08722222,-67.08805556
CUESTA DEL VIENTO,-30.183333,-69.066667
CURUZU CUATIA,-29.797385,-58.057142
CUSHAMEN,-42.17666,-70.66263
CUTRAL CO  (COPELCO) - MEULEN,-38.9778854,-69.2310011
DARREGUEIRA,-37.6781748,-63.1976831
DEAN FUNES,-31.393439,-64.205912
DIQUE,-34.890219,-57.93304
DOCK SUD,-34.653258,-58.342005
EL ALAMBRADO,-36.27,-69.85805556
EL ANGOSTO,-21.876096,-66.185476
EL BOLSON,-41.958286,-71.543644
EL CADILLAL,-26.6156,-65.1929
EL CAIN,-41.832486,-68.351181
EL CALAFATE,-50.35633,-72.26815
EL CARRIZAL,-33.29932,-68.71987
EL CHALTEN,-49.330833,-72.882778
EL CHOCON,-39.257691,-68.74827
EL CHURCAL,-23.4368925,-61.591046
EL CORCOVADO,-43.538,-71.46597
EL CORTADERAL,-36.58527778,-68.53777778
EL CUY,-39.92515,-68.343136
EL ESCORIAL,-43.09807,-68.5596033
EL MAITEN,-42.05428,-71.16731
EL MIRASOL,-43.2852933,-67.7603114
EL MORENO,-23.854658,-65.832355
EL QUEMADO,-23.999897,-60.9855603
EL SOLITARIO,-23.4613347,-61.4709325
EL TIGRE,-34.61,-68.61357
EL TORO,-23.083586,-66.701347
EL TUNAL,-25.2323,-64.4762
EL TURBIO,-42.2528405,-71.7003594
EMBALSE,-32.231626,-64.442239
ESCABA,-27.6589,-65.7633
ESCUELA CARAPACHO,-35.81361111,-69.19083333
ESQUINA,-30.010247,-59.532146
ESTACION TORRENT,-28.82784,-56.470101
EX CENTRAL BUENOS AIRES,-34.62701,-58.33824
FACUNDO,-69.97211,-69.97211
FILO MORADO,-37.274169,-69.651963
FITZ SIMON,-32.1784,-64.4207
FLORENTINO AMEGHINO,-43.699617,-66.481466
FOFO CAHUEL,-42.391062,-70.5780784
FORMOSA (ELECTROPATAGONIA SA),-26.097369,-58.249068
FORTIN NUEVO PILCOMAYO,-23.882562,-60.913382
FORTIN SOLEDAD,-24.14924,-60.694186
FUENTES DEL COYLE,-51.131872,-71.930483
FUTALEUFU,-43.12878,-71.62998
G.D.II (ENARSA),-54.795107,-68.260201
GAN GAN,-42.52323,-68.28285
GASTRE,-42.26561,-69.2211
GENERACION FRIAS SA,-28.607242,-65.122765
GENERAL ACHA,-37.4308671,-64.7160494
GENERAL LEVALLE,-34.036426,-63.921689
GENERAL SAN MARTIN,-33.044944,-68.921889
GOBERNADOR COSTA,-44.05298,-70.59792
GOBERNADOR DUVAL,-38.74027778,-66.43638889
GOBERNADOR GREGORES,-48.748889,-70.246667
GOYA,-29.13876,-59.22767
GOYA (ELECTROPATAGONIA SA),-29.13876,-59.22767
GUACHIPAS,-25.5235485,-65.5187645
GUADALCAZAR,-23.6823939,-61.1611089
GUALJAINA,-42.72627,-70.53549
GUILLERMO CESPEDES,-39.560028,-65.681667
H. PICHI PICUN LEUFU,-40.011965,-69.991782
HUANCAR,-23.564829,-66.409683
INDIO RICO,-38.329842,-60.890129
IRUYA,-22.7928,-65.21856
ISLA APIPE,-27.510057,-56.743638
ISLA VERDE,-33.242214,-62.394555
ITA IBATE,-27.42516,-57.334051
ITUZAINGO,-27.578544,-56.67255
JAGUEL DEL MONTE,-36.68111111,-65.78361111
JAMA,-23.2401,-67.019647
JARAMILLO,-47.183119,-67.143178
JULIAN  ROMERO,-38.836722,-68.038
KM 503 - NRB,-25.3858544,-60.3039218
LA CRUZ,-29.176238,-56.639376
LA ESPERANZA,-23.5413003,-61.4202262
LA HUMADA,-36.34944444,-68.015
LA JAULA - PAREDITAS,-34.664716,-69.3179
LA LIBERTAD,-23.982064,-60.6117724
LA MOSCA,-41.574864,-71.5013
LA PLATA COGENERACION,-34.88898,-57.92063
LA QUIACA,-22.106513,-65.593914
LA RINCONADA,-23.4942752,-61.5763889
LA RIOJA,-29.382326,-66.832511
LA TABLADA,-27.41839,-55.90967
LA UNION,-23.891111,-63.201666
LA VIÑA,-31.8708,-65.0349
LAGO BLANCO,-45.94686,-71.26411
LAGO POSADAS,-47.568036,-71.741592
LAGO PUELO,-42.06729,-71.06729
LAGUNA SALADA,-42.716779,-69.188472
LAGUNILLAS DEL FARALLON,-22.461824,-66.627502
LAMADRID,-23.897795,-60.754733
LAS COLORADAS,-39.557398,-70.596456
LAS CUEVAS,-32.81333333,-70.04555556
LAS DELICIAS,-26.67972,-64.00713
LAS MADERAS,-24.44381,-65.220309
LAS OVEJAS,-36.987988,-70.749123
LAS PLUMAS,-43.722398,-67.2869957
LIVIARA,-22.520786,-66.338225
LOMA BLANCA,-22.520786,-66.338225
LOMAS DE VALLEJOS,-27.739251,-57.921483
LOS ALTARES,-43.871193,-68.4301169
LOS ANTIGUOS,-46.551397,-71.624217
