Plant Code,Country,Plant Name,Owner,Latitude,Longitude,Primary Fuel,Total Capacity (MW),Net Generation (MWh),Operating Year,,,Total cap. (MW),Total gen. (MWh),
30,USA,Madelia,City of Madelia - (MN),44.0525,-94.4153,Gas,11.8,-140,2001,,,,,
34,USA,Rollins,Nevada Irrigation District,39.134259,-120.953341,Hydro,12.1,27008,1980,,,,,
38,USA,Millers Ferry,USCE-Mobile District,32.100881,-87.399767,Hydro,101.1,356205,1970,,,,,
46,USA,Browns Ferry,Tennessee Valley Authority,34.7042,-87.1189,Nuclear,3494,26738300,1974,,,,,
47,USA,Colbert,Tennessee Valley Authority,34.7439,-87.8486,Coal,1826,3594781,1955,,,,,
48,USA,Guntersville,Tennessee Valley Authority,34.421272,-86.393931,Hydro,115.2,713367,1939,,,,,
49,USA,Wheeler Dam,Tennessee Valley Authority,34.8069,-87.3819,Hydro,404,1247298,1936,,,,,
50,USA,Widows Creek,Tennessee Valley Authority,34.883022,-85.755253,Coal,1125,3705848,1961,,,,,
51,USA,Dolet Hills,Cleco Power LLC,32.030556,-93.569167,Coal,720.7,2899537,1986,,,,,
53,USA,Gantt,PowerSouth Energy Cooperative,31.4033,-86.479469,Hydro,3,6932,1926,,,,,
54,USA,J K Smith,"East Kentucky Power Coop, Inc",37.8833,-84.1017,Gas,1055,472049,1999,,,,,
55,USA,Point A,PowerSouth Energy Cooperative,31.361146,-86.518307,Hydro,5.2,7764,1925,,,,,
56,USA,Charles R Lowman,PowerSouth Energy Cooperative,31.488019,-87.910747,Coal,538,1876861,1969,,,,,
59,USA,Platte,City of Grand Island - (NE),40.854765,-98.348222,Coal,109.8,517873,1982,,,,,
60,USA,Whelan Energy Center,City of Hastings - (NE),40.580872,-98.312437,Coal,324.3,1673671,1981,,,,,
62,USA,Annex Creek,Alaska Electric Light&Power Co,58.3176,-134.101,Hydro,4,27380,1915,,,,,
63,USA,Gold Creek,Alaska Electric Light&Power Co,58.3107,-134.4174,Oil,9.7,5652,1951,,,,,
64,USA,Lemon Creek,Alaska Electric Light&Power Co,58.3536,-134.4953,Oil,61.7,181,1969,,,,,
65,USA,Salmon Creek 1,Alaska Electric Light&Power Co,58.3269,-134.4631,Hydro,8.5,22116,1984,,,,,
66,USA,Skagway,Alaska Power and Telephone Co,59.4545,-135.3131,Oil,4.4,3002,1957,,,,,
69,USA,Haines,Alaska Power and Telephone Co,59.2358,-135.445,Oil,6.2,-122,1991,,,,,
70,USA,Swan Lake,Ketchikan Public Utilities,55.613892,-131.35417,Hydro,22.4,66187,1984,,,,,
71,USA,Terror Lake,Kodiak Electric Assn Inc,57.6861,-152.895,Hydro,33.6,134031,1984,,,,,
72,USA,Venice Hydro,Metropolitan Water District of S CA,34.01135,-118.4168,Hydro,10.1,0,1982,,,,,
75,USA,Anchorage 1,Anchorage Municipal Light and Power,61.2221,-149.8661,Gas,102.9,33642,1962,,,,,
77,USA,Eklutna Hydro Project,Anchorage Municipal Light and Power,61.475211,-149.15009,Hydro,44.4,83110,1955,,,,,
78,USA,Snettisham,Alaska Electric Light&Power Co,58.1415,-133.737,Hydro,78.2,285599,1973,,,,,
79,USA,Aurora Energy LLC Chena,Aurora Energy LLC,64.847743,-147.735063,Coal,27.5,191062,1952,,,,,
84,USA,Ketchikan,Ketchikan Public Utilities,55.344641,-131.633425,Hydro,4.2,24429,1952,,,,,
85,USA,S W Bailey,Ketchikan Public Utilities,55.3633,-131.6778,Oil,25.9,-262902,1969,,,,,
87,USA,Escalante,"Tri-State G & T Assn, Inc",35.4159,-108.082,Coal,257,1389687,1984,,,,,
88,USA,Ashokan,New York Power Authority,41.949,-74.2063,Hydro,4.6,7924,1982,,,,,
90,USA,Snake River,Nome Joint Utility Systems,64.505924,-165.429384,Oil,20.2,30342,1991,,,,,
91,USA,Petersburg,Petersburg Borough - (AK),56.81104,-132.957091,Oil,14.8,13840,1954,,,,,
92,USA,Seward (AK),City of Seward - (AK),60.1083,-149.4417,Oil,15.6,49,1975,,,,,
93,USA,Riley#03a,City & Borough of Sitka - (AK),57.0516,-135.2297,Hydro,15.9,40707,2014,,,,,
95,USA,Wrangell,City of Wrangell - (AK),56.4522,-132.3683,Oil,8.5,673,2000,,,,,
96,USA,Beluga,Chugach Electric Assn Inc,61.1861,-151.0356,Gas,374.4,1216481,1968,,,,,
99,USA,Frederickson,Puget Sound Energy Inc,47.079722,-122.365,Gas,177.8,14220,1981,,,,,
100,USA,South Consolidated,Salt River Project,33.466477,-111.781064,Hydro,1.4,0,1981,,,,,
104,USA,J S Eastwood,Southern California Edison Co,37.147926,-119.2567,Hydro,199.8,78290,1987,,,,,
108,USA,Holcomb,Sunflower Electric Power Corp,37.9308,-100.9725,Coal,348.7,1981862,1983,,,,,
109,USA,Dillingham,"Nushagak Electric Coop, Inc",59.6708,-157.89,Oil,6.6,18459,1988,,,,,
113,USA,Cholla,Arizona Public Service Co,34.9394,-110.3033,Coal,1128.8,6630105,1962,,,,,
114,USA,Douglas,Arizona Public Service Co,31.364122,-109.5538,Oil,26.1,289,1972,,,,,
116,USA,Ocotillo,Arizona Public Service Co,33.4225,-111.9122,Gas,334.6,76289,1960,,,,,
117,USA,West Phoenix,Arizona Public Service Co,33.4417,-112.1583,Gas,1207.4,1605461,1976,,,,,
118,USA,Saguaro,Arizona Public Service Co,32.5517,-111.3,Gas,184.5,10972,2002,,,,,
120,USA,Yucca,Arizona Public Service Co,32.7214,-114.7106,Gas,425,347466,1971,,,,,
124,USA,Demoss Petrie,Tucson Electric Power Co,32.252273,-110.992148,Gas,85,5566,2001,,,,,
126,USA,H Wilson Sundt Generating Station,Tucson Electric Power Co,32.16,-110.9047,Coal,558.5,842819,1967,,,,,
127,USA,Oklaunion,Public Service Co of Oklahoma,34.0825,-99.1753,Coal,720,3216641,1986,,,,,
130,USA,Cross,South Carolina Public Service Authority,33.371389,-80.113333,Coal,2390.1,11892580,1995,,,,,
136,USA,Seminole (FL),Seminole Electric Cooperative Inc,29.733056,-81.632778,Coal,1471.8,8210875,1984,,,,,
141,USA,Agua Fria,Salt River Project,33.5561,-112.2153,Gas,613.7,12617,1958,,,,,
143,USA,Crosscut,Salt River Project,33.439375,-111.946052,Gas,33,0,1942,,,,,
145,USA,Horse Mesa,Salt River Project,33.5907,-111.344,Hydro,129.5,15396,1927,,,,,
147,USA,Kyrene,Salt River Project,33.3556,-111.9353,Gas,573.7,702189,1952,,,,,
148,USA,Mormon Flat,Salt River Project,33.5536,-111.4431,Hydro,63.5,5195,1926,,,,,
149,USA,Roosevelt,Salt River Project,33.671104,-111.161786,Hydro,36,37940,1973,,,,,
150,USA,Stewart Mountain,Salt River Project,33.5661,-111.536,Hydro,13,18341,1930,,,,,
151,USA,McClure,Modesto Irrigation District,37.62936,-120.93139,Oil,142.4,3400,1980,,,,,
152,USA,Davis Dam,U S Bureau of Reclamation,35.197044,-114.570669,Hydro,254.8,1162920,1951,,,,,
153,USA,Glen Canyon Dam,U S Bureau of Reclamation,36.936614,-111.483872,Hydro,1312,3344619,1964,,,,,
154,USA,Hoover Dam (NV),U S Bureau of Reclamation,36.01551,-114.738006,Hydro,1039.4,2352308,1936,,,,,
159,USA,Lake Creek Dam,Heber Light & Power Company,40.493631,-111.312506,Hydro,1.5,3744,1981,,,,,
160,USA,Apache Station,Arizona Electric Pwr Coop Inc,32.0603,-109.8931,Coal,660.7,2638027,1963,,,,,
161,USA,Turlock Lake,Turlock Irrigation District,37.611461,-120.594678,Hydro,3.3,-59,1980,,,,,
162,USA,Hickman,Turlock Irrigation District,37.621536,-120.746247,Hydro,1,2857,1979,,,,,
165,USA,GREC,Grand River Dam Authority,36.190278,-95.2894,Coal,1134,4674600,1981,,,,,
166,USA,Carpenter,Entergy Arkansas Inc,34.4425,-93.0262,Hydro,56,106981,1932,,,,,
170,USA,Lake Catherine,Entergy Arkansas Inc,34.4341,-92.9049,Gas,552.5,90653,1970,,,,,
171,USA,Mabelvale,Entergy Arkansas Inc,34.635997,-92.409602,Gas,39,397,1970,,,,,
172,USA,Osceola (AR),City of Osceola - (AR),35.6975,-90.0053,Oil,4.8,0,1999,,,,,
174,USA,Remmel,Entergy Arkansas Inc,34.4272,-92.8941,Hydro,9,35577,1925,,,,,
180,USA,Volta 2,Pacific Gas & Electric Co,40.45193,-121.86215,Hydro,1,3363,1981,,,,,
182,USA,Beaver Dam,USCE-Little Rock District,36.421507,-93.847373,Hydro,112,126245,1965,,,,,
187,USA,Degray,USCE -Vickburg District,34.211913,-93.110963,Hydro,68,75645,1972,,,,,
188,USA,Greers Ferry Lake,USCE-Little Rock District,35.5207,-91.9953,Hydro,96,149328,1964,,,,,
193,USA,Municipal Light,City of Piggott - (AR),36.3858,-90.1867,Oil,7.2,0,1963,,,,,
195,USA,Narrows (AR),USCE -Vickburg District,34.148427,-93.715168,Hydro,25.5,38533,1950,,,,,
196,USA,Norfork,USCE-Little Rock District,36.2491,-92.2401,Hydro,80.4,135669,1950,,,,,
197,USA,Blakely Mountain,USCE -Vickburg District,34.570984,-93.194425,Hydro,75,168451,1955,,,,,
198,USA,Bull Shoals,USCE-Little Rock District,36.3635,-92.5763,Hydro,340,513677,1952,,,,,
199,USA,Dardanelle,USCE-Little Rock District,35.2503,-93.1686,Hydro,160.8,484586,1965,,,,,
201,USA,Thomas Fitzhugh,Arkansas Electric Coop Corp,35.462382,-93.804926,Gas,185,26085,1963,,,,,
202,USA,Carl Bailey,Arkansas Electric Coop Corp,35.260102,-91.363426,Gas,120,3132,1966,,,,,
203,USA,McClellan (AR),Arkansas Electric Coop Corp,33.5648,-92.7917,Gas,136,117552,1972,,,,,
204,USA,Clinton Power Station,Exelon Nuclear,40.1719,-88.8339,Nuclear,1138.3,9071711,1987,,,,,
207,USA,St Johns River Power Park,JEA,30.4308,-81.5508,Coal,1358,7144487,1987,,,,,
210,USA,Wolf Creek Generating Station,Wolf Creek Nuclear Optg Corp,38.23926,-95.68978,Nuclear,1267.7,8558384,1985,,,,,
214,USA,Alta Powerhouse,Pacific Gas & Electric Co,39.215979,-120.80355,Hydro,1,3545,1902,,,,,
215,USA,Angels,Utica Water & Power Authority,38.071944,-120.539444,Hydro,1.4,4285,1940,,,,,
217,USA,Balch 1,Pacific Gas & Electric Co,36.909137,-119.087712,Hydro,31,44325,1927,,,,,
218,USA,Balch 2,Pacific Gas & Electric Co,36.908907,-119.087556,Hydro,97.2,158988,1958,,,,,
219,USA,Belden,Pacific Gas & Electric Co,40.007445,-121.249438,Hydro,117.9,161634,1969,,,,,
220,USA,Bucks Creek,Pacific Gas & Electric Co,39.91062,-121.327692,Hydro,66,70387,1928,,,,,
221,USA,Butt Valley,Pacific Gas & Electric Co,40.175656,-121.190663,Hydro,40,88042,1958,,,,,
222,USA,Caribou 1,Pacific Gas & Electric Co,40.085476,-121.148241,Hydro,73.8,71782,1921,,,,,
223,USA,Caribou 2,Pacific Gas & Electric Co,40.085997,-121.149373,Hydro,117.9,289603,1958,,,,,
224,USA,Centerville PH,Pacific Gas & Electric Co,39.788877,-121.657383,Hydro,6.4,0,1900,,,,,
225,USA,Chili Bar,Pacific Gas & Electric Co,38.771764,-120.813239,Hydro,7,1702,1965,,,,,
227,USA,Coleman PH,Pacific Gas & Electric Co,40.404645,-122.121904,Hydro,12.1,35544,1979,,,,,
229,USA,Cow Creek,Pacific Gas & Electric Co,40.570817,-122.02093,Hydro,1.4,4082,1907,,,,,
231,USA,Cresta,Pacific Gas & Electric Co,39.825907,-121.409687,Hydro,73.8,148108,1949,,,,,
232,USA,De Sabla,Pacific Gas & Electric Co,39.869265,-121.631819,Hydro,18.4,43650,1963,,,,,
233,USA,Deer Creek PH,Pacific Gas & Electric Co,39.29807,-120.8443,Hydro,5.5,17756,1908,,,,,
235,USA,Drum 1,Pacific Gas & Electric Co,39.256873,-120.767437,Hydro,49.2,19894,1913,,,,,
236,USA,Drum 2,Pacific Gas & Electric Co,39.257388,-120.767046,Hydro,53.1,170814,1965,,,,,
237,USA,Dutch Flat,Pacific Gas & Electric Co,39.216985,-120.835587,Hydro,22,60196,1943,,,,,
238,USA,El Dorado,El Dorado Irrigation District,38.793574,-120.619152,Hydro,20,44779,1924,,,,,
239,USA,Electra,Pacific Gas & Electric Co,38.330985,-120.669901,Hydro,102.5,220266,1948,,,,,
240,USA,Haas,Pacific Gas & Electric Co,36.927424,-119.02025,Hydro,135,138226,1958,,,,,
241,USA,Halsey,Pacific Gas & Electric Co,38.956985,-121.041932,Hydro,13.6,24258,1916,,,,,
242,USA,Hamilton Branch,Pacific Gas & Electric Co,40.268712,-121.089479,Hydro,5.3,4101,1921,,,,,
243,USA,Hat Creek 1,Pacific Gas & Electric Co,40.929297,-121.544462,Hydro,10,20956,1921,,,,,
244,USA,Hat Creek 2,Pacific Gas & Electric Co,40.960675,-121.548657,Hydro,10,32216,1921,,,,,
246,USA,Humboldt Bay,Pacific Gas & Electric Co,40.7415,-124.2103,Gas,167,346417,2010,,,,,
248,USA,Inskip,Pacific Gas & Electric Co,40.400988,-121.965502,Hydro,7.6,27483,1979,,,,,
249,USA,James B Black,Pacific Gas & Electric Co,40.992295,-121.975182,Hydro,168.6,434190,1966,,,,,
250,USA,Kerckhoff,Pacific Gas & Electric Co,37.092486,-119.552826,Hydro,22.6,0,1920,,,,,
253,USA,Kilarc,Pacific Gas & Electric Co,40.677827,-121.873253,Hydro,3,9982,1904,,,,,
254,USA,Kings River PH,Pacific Gas & Electric Co,36.888166,-119.158777,Hydro,48.6,41283,1962,,,,,
255,USA,Lime Saddle,Pacific Gas & Electric Co,39.698755,-121.57096,Hydro,2,4223,1906,,,,,
258,USA,Merced Falls,Pacific Gas & Electric Co,37.52301,-120.329905,Hydro,3.4,4334,1930,,,,,
260,USA,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,36.804837,-121.782241,Gas,2802,4152565,1967,,,,,
261,USA,Murphys,Utica Water & Power Authority,38.147093,-120.446396,Hydro,3.6,11545,1954,,,,,
262,USA,Narrows PH,Pacific Gas & Electric Co,39.2364,-121.271741,Hydro,10.2,25183,1942,,,,,
264,USA,Phoenix,Pacific Gas & Electric Co,38.032103,-120.326537,Hydro,1.6,5091,1940,,,,,
265,USA,Pit 1,Pacific Gas & Electric Co,40.99084,-121.498243,Hydro,69.2,177903,1922,,,,,
266,USA,Pit 3,Pacific Gas & Electric Co,40.997448,-121.748139,Hydro,80.1,214655,1925,,,,,
267,USA,Pit 4,Pacific Gas & Electric Co,40.986361,-121.84944,Hydro,103.4,305937,1955,,,,,
268,USA,Pit 5,Pacific Gas & Electric Co,40.986197,-121.977594,Hydro,141.6,517330,1944,,,,,
269,USA,Pit 6,Pacific Gas & Electric Co,40.922568,-121.992906,Hydro,79.2,278465,1965,,,,,
270,USA,Pit 7,Pacific Gas & Electric Co,40.847462,-121.990798,Hydro,109.8,303928,1965,,,,,
271,USA,Pittsburg Power,NRG Delta LLC,38.039168,-121.894469,Gas,1403.9,75895,1960,,,,,
272,USA,Poe,Pacific Gas & Electric Co,39.722892,-121.469814,Hydro,142.8,312983,1958,,,,,
274,USA,Potter Valley,Pacific Gas & Electric Co,39.361786,-123.127934,Hydro,9.4,11286,1939,,,,,
275,USA,Rock Creek,Pacific Gas & Electric Co,39.90521,-121.345226,Hydro,125.3,236934,1950,,,,,
276,USA,San Joaquin 2,Pacific Gas & Electric Co,37.203233,-119.497508,Hydro,2.8,913,1917,,,,,
277,USA,San Joaquin 3,Pacific Gas & Electric Co,37.253718,-119.519352,Hydro,4,1185,1923,,,,,
279,USA,Salt Springs,Pacific Gas & Electric Co,38.497914,-120.21811,Hydro,42,106540,1931,,,,,
280,USA,South,Pacific Gas & Electric Co,40.395396,-121.879186,Hydro,6.7,30054,1979,,,,,
281,USA,Spaulding 1,Pacific Gas & Electric Co,39.324613,-120.644807,Hydro,7,25046,1928,,,,,
282,USA,Spaulding 2,Pacific Gas & Electric Co,39.324592,-120.645375,Hydro,3.7,1861,1928,,,,,
283,USA,Spaulding 3,Pacific Gas & Electric Co,39.337679,-120.635467,Hydro,6.6,3449,1929,,,,,
284,USA,Spring Gap,Pacific Gas & Electric Co,38.18653,-120.11168,Hydro,6,15316,1921,,,,,
285,USA,Stanislaus,Pacific Gas & Electric Co,38.139048,-120.370325,Hydro,81.9,146457,1963,,,,,
286,USA,Geysers Unit 5-20,Geysers Power Co LLC,38.777,-122.745,Geothermal,1273,4591707,1973,,,,,
287,USA,Tiger Creek,Pacific Gas & Electric Co,38.449291,-120.492645,Hydro,52.2,191952,1931,,,,,
289,USA,Tule River,Pacific Gas & Electric Co,36.163076,-118.707104,Hydro,8.4,1656,1914,,,,,
290,USA,Volta 1,Pacific Gas & Electric Co,40.459111,-121.86708,Hydro,8.5,25463,1980,,,,,
291,USA,West Point PH,Pacific Gas & Electric Co,38.420898,-120.549572,Hydro,13.6,52180,1948,,,,,
292,USA,Wise,Pacific Gas & Electric Co,38.889862,-121.098525,Hydro,16.4,40807,1917,,,,,
293,USA,A G Wishon,Pacific Gas & Electric Co,37.15105,-119.504724,Hydro,12.8,6571,1910,,,,,
294,USA,Copco 1,PacifiCorp,41.978914,-122.335317,Hydro,20,65390,1918,,,,,
295,USA,Copco 2,PacifiCorp,41.975716,-122.358127,Hydro,27,86439,1925,,,,,
296,USA,Fall Creek,PacifiCorp,41.985605,-122.360455,Hydro,2.1,7396,1903,,,,,
297,USA,Iron Gate,PacifiCorp,41.932981,-122.43678,Hydro,18,85550,1962,,,,,
298,USA,Limestone,NRG Texas Power LLC,31.4219,-96.2525,Coal,1849.8,11977246,1985,,,,,
299,USA,Blundell,PacifiCorp,38.4889,-112.8533,Geothermal,44.8,274996,1984,,,,,
301,USA,El Cajon,NRG Cabrillo Power Ops Inc,32.7958,-116.9722,Gas,18,977,1968,,,,,
302,USA,Encina,NRG Cabrillo Power Ops Inc,33.1361,-117.3364,Gas,999.6,540007,1956,,,,,
303,USA,Kearny,NRG Cabrillo Power Ops Inc,32.834,-117.1338,Gas,144,23880,1969,,,,,
305,USA,Miramar,NRG Cabrillo Power Ops Inc,32.8761,-117.1664,Gas,49,5308,1972,,,,,
313,USA,Green Lake,City & Borough of Sitka - (AK),56.986284,-135.12275,Hydro,18.6,70792,1982,,,,,
314,USA,Drop 5,Imperial Irrigation District,32.673097,-115.392026,Hydro,4,11793,1982,,,,,
315,USA,AES Alamitos LLC,AES Alamitos LLC,33.7688,-118.1009,Gas,1922,1369722,1956,,,,,
316,USA,Sepulveda Canyon,Metropolitan Water District of S CA,34.0969,-118.4795,Hydro,8.5,0,1982,,,,,
317,USA,Big Creek 1,Southern California Edison Co,37.2042,-119.2396,Hydro,88.3,151124,1913,,,,,
318,USA,Big Creek 2,Southern California Edison Co,37.2,-119.3069,Hydro,66.4,140967,1913,,,,,
319,USA,Big Creek 3,Southern California Edison Co,37.148517,-119.386623,Hydro,174.4,302929,1923,,,,,
320,USA,Big Creek 4,Southern California Edison Co,37.139,-119.4898,Hydro,100,133078,1951,,,,,
321,USA,Big Creek 8,Southern California Edison Co,37.2096,-119.3289,Hydro,75,105736,1921,,,,,
322,USA,Big Creek 2A,Southern California Edison Co,37.200062,-119.30681,Hydro,110,207249,1928,,,,,
323,USA,Bishop Creek 2,Southern California Edison Co,37.273581,-118.573339,Hydro,7.3,15118,1908,,,,,
324,USA,Bishop Creek 3,Southern California Edison Co,37.301962,-118.531957,Hydro,8.4,15001,1913,,,,,
325,USA,Bishop Creek 4,Southern California Edison Co,37.323035,-118.501714,Hydro,8.2,25145,1905,,,,,
326,USA,Bishop Creek 5,Southern California Edison Co,37.3344,-118.4797,Hydro,4.5,6091,1943,,,,,
327,USA,Bishop Creek 6,Southern California Edison Co,37.3499,-118.4628,Hydro,1.6,6753,1913,,,,,
328,USA,Borel,Southern California Edison Co,35.588069,-118.524804,Hydro,12,-209,1904,,,,,
330,USA,El Segundo Power,NRG El Segundo Operations Inc,33.909804,-118.424172,Gas,342,180713,1965,,,,,
331,USA,Etiwanda Generating Station,NRG California South LP,34.09118,-117.52663,Gas,666,212625,1963,,,,,
332,USA,Fontana,Southern California Edison Co,34.155162,-117.397119,Hydro,3,1916,1917,,,,,
335,USA,AES Huntington Beach LLC,AES Huntington Beach LLC,33.6439,-117.9792,Gas,436,912234,1958,,,,,
336,USA,Kaweah 2,Southern California Edison Co,36.461326,-118.87988,Hydro,2.3,4435,1929,,,,,
337,USA,Kaweah 1,Southern California Edison Co,36.465066,-118.862023,Hydro,2.3,3559,1929,,,,,
338,USA,Kaweah 3,Southern California Edison Co,36.486059,-118.835645,Hydro,4.8,6761,1913,,,,,
339,USA,Kern River 3,Southern California Edison Co,35.776185,-118.436233,Hydro,40.1,368,1921,,,,,
340,USA,Kern River 1,Southern California Edison Co,35.460303,-118.77959,Hydro,26.4,101689,1907,,,,,
341,USA,Long Beach Generation LLC,NRG El Segundo Operations Inc,33.7641,-118.2248,Gas,252,20383,1976,,,,,
342,USA,Lundy,Southern California Edison Co,38.042729,-119.172015,Hydro,3,4324,1911,,,,,
344,USA,Mammoth Pool,Southern California Edison Co,37.220302,-119.337983,Hydro,190,217263,1960,,,,,
345,USA,Mandalay,NRG California South LP,34.2067,-119.2511,Gas,574,146705,1970,,,,,
350,USA,Ormond Beach,NRG California South LP,34.1292,-119.1689,Gas,1612,228795,1971,,,,,
353,USA,Poole,Southern California Edison Co,37.944237,-119.2161,Hydro,11.3,21226,1924,,,,,
354,USA,Portal,Southern California Edison Co,37.257045,-119.158936,Hydro,10.8,22880,1956,,,,,
356,USA,AES Redondo Beach LLC,AES Redondo Beach LLC,33.8504,-118.395,Gas,1316.4,249851,1954,,,,,
357,USA,Rush Creek,Southern California Edison Co,37.766954,-119.123284,Hydro,13.1,22177,1916,,,,,
358,USA,Mountainview Generating Station,Southern California Edison Co,34.0818,-117.2418,Gas,1036.8,6172664,2005,,,,,
361,USA,Santa Ana 1,Southern California Edison Co,34.14522,-117.058481,Hydro,3.2,513,1899,,,,,
363,USA,Santa Ana 3,Southern California Edison Co,34.107245,-117.099091,Hydro,3.1,1777,1999,,,,,
365,USA,Lower Tule River,Southern California Edison Co,36.13568,-118.788868,Hydro,2.6,6693,1909,,,,,
371,USA,Columbia Generating Station,Energy Northwest,46.4711,-119.3339,Nuclear,1200,9497321,1984,,,,,
376,USA,Pardee,East Bay Municipal Util Dist,38.2569,-120.8507,Hydro,23.6,25634,1930,,,,,
377,USA,Grayson,City of Glendale - (CA),34.1556,-118.2782,Gas,300.9,159274,1977,,,,,
378,USA,Prairie River,"ALLETE, Inc.",47.287206,-93.498266,Hydro,1,2524,1920,,,,,
380,USA,Dion R Holm,City & County of San Francisco,37.896649,-119.9675,Hydro,156.8,428782,1960,,,,,
381,USA,Moccasin,City & County of San Francisco,37.809388,-120.299254,Hydro,100,287852,1969,,,,,
382,USA,R C Kirkwood,City & County of San Francisco,37.877667,-119.953233,Hydro,115.5,312936,1967,,,,,
384,USA,Joliet 29,Midwest Generations EME LLC,41.494636,-88.123827,Coal,1320,5061426,1965,,,,,
385,USA,Drop 2 (CA),Imperial Irrigation District,32.705435,-115.030975,Hydro,10,45567,1953,,,,,
386,USA,Drop 3 (CA),Imperial Irrigation District,32.705428,-115.126103,Hydro,9.2,41178,1941,,,,,
387,USA,Drop 4,Imperial Irrigation District,32.705341,-115.219067,Hydro,19.6,96166,1950,,,,,
388,USA,Pilot Knob,Imperial Irrigation District,32.736642,-114.713858,Hydro,33,22206,1957,,,,,
389,USA,El Centro,Imperial Irrigation District,32.802222,-115.54,Gas,358.3,1165974,1952,,,,,
390,USA,Solomon Gulch,"Copper Valley Elec Assn, Inc",61.0828,-146.3033,Hydro,12,54955,1982,,,,,
391,USA,Big Pine Creek,Los Angeles Department of Water & Power,37.142795,-118.324075,Hydro,3.2,9526,1925,,,,,
392,USA,Castaic,Los Angeles Department of Water & Power,34.587237,-118.656638,Hydro,1682,183638,1973,,,,,
393,USA,Control Gorge,Los Angeles Department of Water & Power,37.437921,-118.556988,Hydro,37.5,2831,1952,,,,,
394,USA,Cottonwood,Los Angeles Department of Water & Power,36.443421,-118.04389,Hydro,1.6,1563,1908,,,,,
396,USA,Foothill,Los Angeles Department of Water & Power,34.318248,-118.494449,Hydro,11,19917,1971,,,,,
397,USA,Franklin (CA),Los Angeles Department of Water & Power,34.103931,-118.413377,Hydro,2,-4,1921,,,,,
398,USA,Haiwee,Los Angeles Department of Water & Power,36.109722,-117.956667,Hydro,5.6,3536,1927,,,,,
399,USA,Harbor,Los Angeles Department of Water & Power,33.7856,-118.2644,Gas,548.1,106510,1994,,,,,
400,USA,Haynes,Los Angeles Department of Water & Power,33.764741,-118.09913,Gas,1739.1,2941084,1962,,,,,
401,USA,Middle Gorge,Los Angeles Department of Water & Power,37.51,-118.569167,Hydro,37.5,22082,1952,,,,,
402,USA,Pleasant Valley Hydro,Los Angeles Department of Water & Power,37.41416,-118.523889,Hydro,3.2,2018,1958,,,,,
403,USA,San Fernando,Los Angeles Department of Water & Power,34.260527,-118.385531,Hydro,5.6,-28,1922,,,,,
