Plant Code,Country,Plant Name,Owner,Latitude,Longitude,Primary Fuel,Total Capacity (MW),Net Generation (MWh),Operating Year,,,Total cap. (MW),Total gen. (MWh),
2,USA,Bankhead Dam,Alabama Power Co,33.458665,-87.356823,Hydro,53.9,47391,1963,,USA," 1,248,315.20 "," 4,079,788,236.00 ",
3,USA,Barry,Alabama Power Co,31.0069,-88.0103,Coal,2841.5,12981029,1954,,Argentina," 27,416.62 "," 118,330,459.46 ",
4,USA,Walter Bouldin Dam,Alabama Power Co,32.583889,-86.283056,Hydro,225,590121,1967,,Egypt," 34,224.00 "," 160,612,540.00 ",
7,USA,Gadsden,Alabama Power Co,34.0128,-85.9708,Coal,138,216750,1949,,Brazil," 282,598.45 "," 1,055,870,526.48 ",
8,USA,Gorgas,Alabama Power Co,33.644344,-87.196486,Coal,1416.7,5247433,1972,,India," 235,751.18 "," 972,041,541.46 ",
9,USA,Copper,El Paso Electric Co,31.7569,-106.375,Gas,80.5,39856,1980,,,,,
10,USA,Greene County,Alabama Power Co,32.6017,-87.7811,Coal,1288.4,2857924,1965,,,,,
11,USA,H Neely Henry Dam,Alabama Power Co,33.7845,-86.0524,Hydro,72.9,198568,1966,,Brazil,,,IEA
12,USA,Holt Dam,Alabama Power Co,33.2553,-87.4495,Hydro,46.9,72223,1968,,Hydro,," 841,805,798 "," 373,439,000 "
13,USA,Jordan Dam,Alabama Power Co,32.6189,-86.2548,Hydro,100,294067,1929,,Coal,," 9,544,890 "," 26,754,000 "
14,USA,Logan Martin Dam,Alabama Power Co,33.425878,-86.337547,Hydro,128.1,346035,1964,,Gas,," 143,937,153 "," 81,075,000 "
15,USA,Lay Dam,Alabama Power Co,32.9633,-86.5187,Hydro,177,561938,1968,,Nuclear,, -   ,
16,USA,Martin Dam,Alabama Power Co,32.680394,-85.911442,Hydro,210.6,348048,1927,,Wind,," 11,206,022 "," 12,208,000 "
17,USA,Mitchell Dam,Alabama Power Co,32.806025,-86.444892,Hydro,170,466344,1949,,Solar,, -   ,
18,USA,Lewis Smith Dam,Alabama Power Co,33.9406,-87.1077,Hydro,181,243605,1961,,Oil,," 45,489,397 "," 35,423,000 "
19,USA,Thurlow Dam,Alabama Power Co,32.535436,-85.887614,Hydro,91,228345,1931,,Biomass,," 4,505,056 "," 45,994 "
20,USA,Weiss Dam,Alabama Power Co,34.172142,-85.753806,Hydro,87.6,209892,1962,,,,,
21,USA,Yates Dam,Alabama Power Co,32.5743,-85.8901,Hydro,50.5,138401,1928,,,,,
26,USA,E C Gaston,Alabama Power Co,33.244211,-86.458056,Coal,2034,6432761,1960,,,,,
