Plant Code,Plant Name,Owner,NERC Region,Latitude,Longitude,Weighted Year.Month,Primary Fuel,Total Capacity(MW),Net Generation (MWh),Elec Fuel Consumption (MMBtu),Total Fuel Consumption (MMBtu),Nameplate Capacity (MW),Power Factor,Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Year.Month,Main Fuel
2,Bankhead Dam,Alabama Power Co,SERC,33.458665,-87.356823,1964.0,Hydro,53.9,47391.0,450688.0,450688.0,53.9,0.92,56.0,52.0,7,1963,1963.58,Hydro
3,Barry,Alabama Power Co,SERC,31.0069,-88.0103,1980.0,Coal,2841.4999999999995,12981029.0,108997771.0,108997771.0,153.1,0.85,138.0,138.0,2,1954,1954.17,Coal,153.1,0.85,137.0,137.0,7,1954,1954.58,Coal,272.0,0.85,249.0,249.0,7,1959,1959.58,Coal,403.7,0.85,362.0,362.0,12,1969,1970.0,Coal,788.8,0.85,726.5,726.5,10,1971,1971.83,Coal,170.1,0.85,154.0,170.0,5,2000,2000.42,Gas,170.1,0.85,154.0,170.0,5,2000,2000.42,Gas,195.2,0.85,173.0,192.0,5,2000,2000.42,Gas,170.1,0.85,154.0,170.0,5,2000,2000.42,Gas,170.1,0.85,154.0,170.0,5,2000,2000.42,Gas,195.2,0.85,173.0,192.0,5,2000,2000.42,Gas
4,Walter Bouldin Dam,Alabama Power Co,SERC,32.583889,-86.283056,1968.0,Hydro,225.0,590121.0,5612051.0,5612051.0,75.0,0.857,75.3,76.0,7,1967,1967.58,Hydro,75.0,0.857,75.3,76.0,8,1967,1967.67,Hydro,75.0,0.857,75.3,76.0,8,1967,1967.67,Hydro
7,Gadsden,Alabama Power Co,SERC,34.0128,-85.9708,1950.0,Coal,138.0,216750.0,2798568.0,3574344.0,69.0,0.85,64.0,64.0,4,1949,1949.33,Coal,69.0,0.85,66.0,66.0,7,1949,1949.58,Coal
8,Gorgas,Alabama Power Co,SERC,33.644344,-87.196486,1966.0,Coal,1416.7,5247433.0,52241323.0,52241323.0,788.8,0.85,703.0,703.0,10,1972,1972.83,Coal,125.0,0.85,103.0,103.0,4,1951,1951.33,Coal,125.0,0.85,104.0,104.0,7,1952,1952.58,Coal,187.5,0.85,161.0,161.0,5,1956,1956.42,Coal,190.4,0.85,170.0,170.0,6,1958,1958.5,Coal
9,Copper,El Paso Electric Co,WECC,31.7569,-106.375,1981.0,Gas,80.5,39856.0,651213.0,651213.0,80.5,0.9,62.0,62.0,7,1980,1980.58,Gas
10,Greene County,Alabama Power Co,SERC,32.6017,-87.7811,1983.0,Coal,1288.4,2857924.0,28973415.0,28973415.0,299.2,0.85,254.0,254.0,6,1965,1965.5,Coal,269.2,0.85,243.0,243.0,7,1966,1966.58,Coal,80.0,0.85,85.0,101.0,5,1996,1996.42,Gas,80.0,0.85,84.0,100.0,5,1996,1996.42,Gas,80.0,0.85,82.0,98.0,5,1995,1995.42,Gas,80.0,0.85,81.0,97.0,5,1995,1995.42,Gas,80.0,0.85,82.0,98.0,5,1995,1995.42,Gas,80.0,0.85,81.0,97.0,5,1995,1995.42,Gas,80.0,0.85,80.0,96.0,5,1995,1995.42,Gas,80.0,0.85,83.0,99.0,5,1996,1996.42,Gas,80.0,0.85,82.0,98.0,5,1996,1996.42,Gas
11,H Neely Henry Dam,Alabama Power Co,SERC,33.7845,-86.0524,1967.0,Hydro,72.9,198568.0,1888383.0,1888383.0,24.3,0.9,23.3,22.3,6,1966,1966.5,Hydro,24.3,0.9,23.3,22.3,6,1966,1966.5,Hydro,24.3,0.9,23.4,22.4,6,1966,1966.5,Hydro
12,Holt Dam,Alabama Power Co,SERC,33.2553,-87.4495,1969.0,Hydro,46.9,72223.0,686840.0,686840.0,46.9,0.89,45.0,45.0,8,1968,1968.67,Hydro
13,Jordan Dam,Alabama Power Co,SERC,32.6189,-86.2548,1930.0,Hydro,100.0,294067.0,2796576.0,2796576.0,25.0,0.862,25.0,25.0,1,1929,1929.08,Hydro,25.0,0.862,25.0,25.0,1,1929,1929.08,Hydro,25.0,0.862,25.0,25.0,1,1929,1929.08,Hydro,25.0,0.862,25.0,25.0,1,1929,1929.08,Hydro
