country,id,name,lat,lon,loc_type,capacity,capacity_type,area,structure
AFG,70144,Kandahar DOG,31.67, 65.795,inexact,10.0,AC,,
AFG,71196,Kandahar JOL,31.623,65.792,inexact,10.0,AC,,
ARE,65024,MBRSP} II,24.759,55.383,exact,220.0,AC,451.6,Fixed tilt (N-S)
ARE,69243,MBRSP} IIIA,24.747,55.385,exact,200.0,AC,452.0,1-axis horizontal
ARE,69244,MBRSP} IIIB,24.765,55.37,exact,300.0,AC,,
ARG,71212,Cafayate,-26.04,-65.93,inexact,80.0,AC,,
ARG,72494,Caldenes del Oeste,-33.61,-65.445,inexact,30.0,DC,,
ARG,72502,Iglesia-Guañizuil,-30.34,-69.27,inexact,80.0,AC,,
ARG,71209,Saujil,-28.165,-66.225,inexact,22.5,AC,,
ARG,68701,Cauchari,-23.8, -66.8,inexact,300.0,AC,,
AUS,69929,Bannerton,-34.66,142.785,inexact,88.0,AC,,
AUS,65252,Barcaldine KDB,-23.549,145.318,exact,20.0,AC,89.7,1-axis horizontal
AUS,69521,Barcaldine YD,-23.5388,145.2732,exact,10.9,DC,8.9,Horizontal
AUS,69215,Beryl AU,-32.353,149.468,inexact,87.0,AC,,1-axis horizontal
AUS,70137,Brisbane BNE,-27.404,153.11,inexact,6.0,DC,,
AUS,66021,Bungala I,-32.427,137.838,exact,110.0,AC,277.5,1-axis horizontal
AUS,70392,Bungala II,-32.408,137.841,exact,110.0,AC,292.0,1-axis horizontal
AUS,68499,Childers,-25.28,152.38,inexact,75.0,AC,180.0,
AUS,66602,Clare,-19.838,147.206,exact,100.0,AC,317.1,1-axis horizontal
AUS,72176,Clermont,-22.84,147.58,inexact,89.0,DC,,
AUS,62502,Collinsville,-20.54,147.8,inexact,42.5,AC,,1-axis horizontal
AUS,67791,Darling Downs,-27.1, 150.9,inexact,200.0,DC,,
AUS,68285,Darwin DRW,-12.4157,130.8908,exact,4.0,DC,6.6,Fixed tilt (offset)
AUS,65085,DeGrussa,-25.55,119.317,exact,10.6,DC,24.0,1-axis horizontal
AUS,64626,Dubbo,-32.273,148.658,exact,30.0,DC,54.3,1-axis horizontal
AUS,69477,Emerald,-23.495,148.135,inexact,68.0,AC,160.0,
AUS,68582,Emu Downs,-30.489,115.416,exact,20.0,DC,67.5,1-axis horizontal
AUS,65077,Gannawarra,-35.732,143.784,exact,50.0,AC,135.7,1-axis horizontal
AUS,69520,Goondiwindi,-28.325, 150.375,inexact,4.5,DC,,Double-pitch (offset)
AUS,64627,Griffith,-34.317,146.119,exact,60.0,DC,99.5,1-axis horizontal
AUS,68350,Gullen,-34.61,149.476,exact,10.0,AC,20.3,Fixed tilt (offset)
AUS,69201,Hamilton QLD,-20.468,147.743,inexact,57.5,AC,,1-axis horizontal
AUS,69788,Hayman,-20.485,147.75,inexact,50.0,AC,,1-axis horizontal
AUS,69764,Hughendon,-20.875,144.17,inexact,20.0,DC,,
AUS,71710,Karadoc,-34.412,142.25,exact,112.0,AC,251.1,1-axis horizontal
AUS,66503,Kidston I,-18.89, 144.14,inexact,50.0,AC,,
AUS,71027,Lake Cargelligo CSP,-33.311,146.4092,exact,3.0,AC,5.5,
AUS,64540,Lakeland QLD,-15.869,144.862,exact,10.9,DC,18.2,Fixed tilt (N-S)
AUS,66286,Lilyvale,-23.08, 148.41,inexact,100.0,AC,400.0,1-axis horizontal
AUS,68288,Manildra,-33.173,148.718,exact,42.6,AC,115.3,1-axis horizontal
AUS,62559,Mugga Lane,-35.4,149.145,exact,13.0,AC,34.8,1-axis horizontal & Fixed tilt (N-S)
AUS,64625,Narromine,-32.224,148.256,inexact,15.0,DC,,
AUS,67635,Normanton,-17.681,141.05,exact,4.5,AC,10.9,Fixed tilt (N-S)
AUS,69241,Northam,-31.652,116.711,exact,10.0,AC,25.3,1-axis horizontal
AUS,69930,Numurkah,-36.12,145.45,inexact,100.0,AC,,
AUS,70607,Oakey 1,-27.406,151.647,exact,25.0,AC,62.8,1-axis horizontal
AUS,70608,Oakey 2,-27.412,151.655,exact,55.0,AC,137.3,1-axis horizontal
AUS,64628,Parkes,-33.114,148.078,exact,60.0,DC,213.2,1-axis horizontal
AUS,71194,Peterborough SA,-32.945,138.905,inexact,4.9,AC,,1-axis horizontal
AUS,68501,Rollingstone QLD,-19.030, 146.394,inexact,125.0,AC,,
AUS,68498,Ross River,-19.424,146.715,inexact,148.0,DC,202.0,1-axis horizontal
AUS,61321,Royalla,-35.49,149.143,exact,20.0,AC,46.7,Fixed tilt (N-S)
AUS,72701,Rugby Run 1,-22.14, 147.925,inexact,65.0,DC,,
AUS,69943,Summerhill,-32.891,151.65,inexact,5.0,AC,,
AUS,69205,Sunraysia,-34.804,143.491,inexact,200.0,AC,1000.0,1-axis horizontal
AUS,68500,Susan River,-25.32,152.405,inexact,98.0,AC,,1-axis horizontal
AUS,70787,Swan Hill,-35.342,143.518,exact,19.0,AC,38.8,1-axis horizontal
AUS,68869,Tailem Bend,-35.276,139.487,exact,95.0,AC,232.2,Fixed tilt (offset)
AUS,65425,Valdora,-26.56,153.025,exact,15.0,DC,23.7,Fixed tilt (N-S)
AUS,70112,Wemen,-34.795,142.537,inexact,81.0,AC,312.0,
AUS,68286,White Rock,-29.765,151.553,exact,20.0,AC,36.3,Fixed tilt (N-S)
AUS,69200,Whitsunday,-20.49,147.769,inexact,57.5,AC,,1-axis horizontal
AUS,71501,Whyalla SSE,-33.007,137.558,exact,6.0,DC,10.5,Fixed tilt (N-S)
AUS,62560,Williamsdale,-35.571,149.128,exact,7.0,AC,30.7,1-axis horizontal
AUS,72835,Yatpool,-34.407,142.179,inexact,81.0,AC,,
AUS,68755,Rugby Run,-22.14, 147.925,inexact,139.4,AC,600.0,1-axis horizontal
BDI,66495,Mubuga GWG,-3.42, 30.03,inexact,7.6,DC,17.0,
BEL,71360,Kristal,51.203,5.265,inexact,99.5,DC,,
BEL,60089,Loghidden City,51.273,4.288,exact,13.0,DC,57.9,Rooftop
BEL,62303,Wilmarsdonk,51.2709,4.3812,exact,3.7,DC,8.5,Rooftop
BES,70937,Sint Eustatius,17.505,-62.98,inexact,4.1,AC,,
