"Potencia MW","gid","gml_id","Propietario","Comuna","fuente_bas","Tipo","Combustible","Unidades","rca","Sistema Eléctrico","fech_crea","Datum","Uso","Región","Provincia","fech_act"
"7,20","9","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.9","ENERGIA BIOBIO LTDA.","SAN PEDRO DE LA PAZ","CNE","BIOMASA","BIOMASA","1,00","S/I","SIC","10-12-2014","WGS/84","19,00","BIOBIO","CONCEPCION","31-03-2016"
"15,60","10","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.10","ENERGIA PACIFICO S.A.","MOSTAZAL","CNE","BIOMASA","BIOMASA","1,00","140/2008","SIC","10-12-2015","WGS/84","19,00","O'HIGGINS","CACHAPOAL","31-03-2016"
"2,20","12","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.12","HBS ENERGIA S.A.","LOS ANGELES","CNE","BIOMASA","BIOGAS","1,00","NO APLICA","SIC","10-12-2014","WGS/84","19,00","BIOBIO","BIOBIO","31-03-2016"
"0,40","14","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.14","BIOENERGIA LAS PAMPAS SPA","PICHIDEGUA","CNE","BIOMASA","BIOGAS","1,00","NO APLICA","SIC","10-12-2014","WGS/84","19,00","O'HIGGINS","CACHAPOAL","31-03-2016"
"26,00","15","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.15","COMASA S.A.","LAUTARO","CNE","BIOMASA","BIOMASA","1,00","034/2010","SIC","10-12-2014","WGS/84","19,00","LA ARAUCANIA","CAUTIN","31-03-2016"
"22,00","16","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.16","COMASA S.A.","LAUTARO","CNE","BIOMASA","BIOMASA","1,00","082/2013","SIC","10-12-2014","WGS/84","19,00","LA ARAUCANIA","CAUTIN","31-03-2016"
"6,00","17","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.17","ARAUCO BIOENERGIA S.A.","LICANTEN","CNE","BIOMASA","BIOMASA-PETROLEO N°6","1,00","S/I","SIC","10-12-2014","WGS/84","19,00","MAULE","CURICO","31-03-2016"
"2,00","18","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.18","KDM ENERGIA S.A.","TIL TIL","CNE","BIOMASA","BIOGAS","2,00","391/2006","SIC","10-12-2014","WGS/84","19,00","METROPOLITANA","CHACABUCO","31-03-2016"
"18,20","19","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.19","KDM ENERGIA S.A.","TIL TIL","CNE","BIOMASA","BIOGAS","14,00","344/2010","SIC","10-12-2014","WGS/84","19,00","METROPOLITANA","CHACABUCO","31-03-2016"
"11,00","20","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.20","MASISA ECOENERGIA S.A.","CABRERO","CNE","BIOMASA","BIOMASA","1,00","185/2007","SIC","10-12-2014","WGS/84","19,00","BIOBIO","BIOBIO","31-03-2016"
"14,00","21","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.21","PANELES ARAUCO S.A.","RANQUIL","CNE","BIOMASA","BIOMASA","1,00","076/2005; 042/2010","SIC","10-12-2014","WGS/84","19,00","BIOBIO","NUBLE","31-03-2016"
"37,00","22","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.22","ARAUCO BIOENERGIA S.A.","RANQUIL","CNE","BIOMASA","BIOMASA","1,00","076/2005; 157/2006","SIC","10-12-2014","WGS/84","19,00","BIOBIO","NUBLE","31-03-2016"
"67,20","23","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.23","BIOENERGIA FORESTAL S.A.","NACIMIENTO","CNE","BIOMASA","BIOMASA","1,00","285/2009","SIC","10-12-2014","WGS/84","19,00","BIOBIO","BIOBIO","31-03-2016"
"0,40","24","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.24","BIOENERGIA SANTA IRENE SPA","PALMILLA","CNE","BIOMASA","BIOGAS","1,00","102/2000 / 21/2006 - 12/2008","SIC","10-12-2014","WGS/84","19,00","O'HIGGINS","COLCHAGUA","31-03-2016"
"13,80","25","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.25","CONSORCIO SANTA MARTA S.A.","TALAGANTE","CNE","BIOMASA","BIOGAS","7,00","529/2011","SIC","10-12-2014","WGS/84","19,00","METROPOLITANA","TALAGANTE","31-03-2016"
"0,19","26","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.26","ROBERTO TAMM Y CIA. LTDA.","CHIMBARONGO","CNE","BIOMASA","BIOGAS","1,00","NO APLICA","SIC","10-12-2014","WGS/84","19,00","O'HIGGINS","COLCHAGUA","31-03-2016"
"8,23","27","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.27","AGUAS ANDINAS","PADRE HURTADO","CNE","BIOMASA","BIOGAS","1,00","442/2011","SIC","10-12-2014","WGS/84","19,00","METROPOLITANA","TALAGANTE","31-03-2016"
"61,00","28","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.28","ARAUCO BIOENERGIA S.A.","MARIQUINA","CNE","BIOMASA","BIOMASA-PETROLEO N°6","1,00","279/1998","SIC","10-12-2014","WGS/84","19,00","LOS RIOS","VALDIVIA","31-03-2016"
"22,00","29","biomasa_1d78990f_2d5a_4506_befa_04a30c925640.29","ARAUCO BIOENERGIA S.A.","CONSTITUCION","CNE","BIOMASA","BIOMASA","1,00","080/2009","SIC","10-12-2014","WGS/84","19,00","MAULE","TALCA","31-03-2016"
