"gid","gml_id","nombre","Propietario","Combustible","Potencia MW","Unidades","rca","estado","Fecha Operación","Coordenada Este","Coordenada Norte","Provincia","fuente_bas","fech_crea"
"29","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.29","FUTALEUFU","EDELAYSEN","PETROLEO","0.480000000000000","2,00","S/I","EN OPERACION","2005","267061.337699999974575","5214874.065299999900162","PALENA","EDELAYSEN","10-12-2014"
"30","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.30","LAGO VERDE","EDELAYSEN","PETROLEO","0.150000000000000","1,00","S/I","EN OPERACION","2005","272460.427099999971688","5097549.059799999929965","COIHAIQUE","EDELAYSEN","10-12-2014"
"31","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.31","PUYUHUAPI","EDELAYSEN","PETROLEO","0.290000000000000","1,00","S/I","EN OPERACION","2008","216178.149399999994785","5086487.085799999535084","AYSEN","EDELAYSEN","10-12-2014"
"32","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.32","LA JUNTA","EDELAYSEN","PETROLEO","0.290000000000000","1,00","S/I","EN OPERACION","2010","228482.285800000012387","5125892.714200000278652","AYSEN","EDELAYSEN","10-12-2014"
"33","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.33","TRES PUENTES","EDELMAG","GAS NATURAL / PETROLEO","72.129999999999995","8,00","286-2002 / 52-2006 / 144-2007","EN OPERACION","1985","372989.000000000000000","4114757.000000000000000","MAGALLANES","EDELMAG","10-12-2014"
"34","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.34","PUNTA ARENAS","EDELMAG","GAS NATURAL / PETROLEO","8.779999999999999","4,00","S/I","EN OPERACION","1955","372494.000000000000000","4108766.000000000000000","MAGALLANES","EDELMAG","10-12-2014"
"35","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.35","PUERTO NATALES","EDELMAG","GAS NATURAL / PETROLEO","10.350000000000000","11,00","S/I","EN OPERACION","1942","259797.721599999989849","4263188.978900000452995","ULTIMA ESPERANZA","EDELMAG","10-12-2014"
"36","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.36","PORVENIR","EDELMAG","GAS NATURAL / PETROLEO","8.050000000000001","10,00","S/I","EN OPERACION","1965","407963.000000000000000","4094379.000000000000000","TIERRA DEL FUEGO","EDELMAG","10-12-2014"
"37","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.37","PUERTO WILLIAMS","EDELMAG","PETROLEO","2.380000000000000","6,00","S/I","EN OPERACION","1995","591089.000000000000000","3911720.000000000000000","ANTARTICA CHILENA","EDELMAG","10-12-2014"
"38","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.38","COCHAMO","SAGESA","PETROLEO DIESEL","2.400000000000000","3,00","S/I","EN OPERACION","2013","224106.554016000009142","5394703.883419999852777","CHILOE","EDELAYSEN","10-12-2014"
"39","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.39","HORNOPIREN","SAGESA","PETROLEO DIESEL","3.000000000000000","4,00","S/I","EN OPERACION","2011","211214.160000000003492","5348761.144999999552965","PALENA","EDELAYSEN","10-12-2014"
"40","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.40","SALMOFOOD I","SAGESA","PETROLEO DIESEL","1.600000000000000","1,00","S/I","EN OPERACION","2009","107865.177613000007113","5297698.748839999549091","CHILOE","EDELAYSEN","10-12-2014"
