"gid","gml_id","nombre","Propietario","Combustible","Potencia MW","Unidades","rca","estado","Fecha Operación","Coordenada Este","Coordenada Norte","Provincia","fuente_bas","fech_crea"
"97","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.97","LINARES NORTE","TECNORED","PETROLEO DIESEL","0.500000000000000","1,00","S/I","EN OPERACION","2009","261157.959999999991851","6032041.879999999888241","LINARES","CNE","10-12-2014"
"98","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.98","MAULE","ELEKTRAGEN","PETROLEO DIESEL","6.000000000000000","6,00","13-2007","EN OPERACION","2007","190453.679302000004100","6081687.306250000372529","TALCA","CNE","10-12-2014"
"99","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.99","PLANTA CURICO","CGI IANSA","CARBON","2.000000000000000","1,00","S/I","EN OPERACION","2009","295296.830000000016298","6122360.650000000372529","CURICO","CNE","10-12-2014"
"100","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.100","TENO","ENLASA","PETROLEO DIESEL","58.881999999999998","36,00","34-2008","EN OPERACION","2009","304217.150000000023283","6139440.690000000409782","CURICO","CNE","10-12-2014"
"101","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.101","ESTANCILLA","GENERADORA ESTANCILLA SPA","DIESEL","3.000000000000000","6,00","S/I","EN OPERACION","2013","341216.000000000000000","6274252.000000000000000","MAIPO","CNE","10-12-2014"
"102","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.102","NUEVA RENCA","SOC. ELECTRICA SANTIAGO S.A.","PETROLEO DIESEL","369.903999999999996","1,00","07-1996 / 123-2003 / 323-2005 / 173-2010","EN OPERACION","1997","343149.409999999974389","6301060.370000000111759","SANTIAGO","CNE","10-12-2014"
"103","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.103","RENCA","SOC. ELECTRICA SANTIAGO S.A.","PETROLEO DIESEL A-1","92.000000000000000","2,00","07-1996 / 123-2003 / 323-2005 / 173-2010","EN OPERACION","1962","342998.500000000000000","6301176.410000000149012","SANTIAGO","CNE","10-12-2014"
"104","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.104","CANDELARIA","COLBUN S.A.","GAS NATURAL","253.900000000000006","2,00","37-2003 / 355-2005","EN OPERACION","2005","351020.000000000000000","6232915.000000000000000","CACHAPOAL","CNE","10-12-2014"
"105","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.105","COLIHUES","MVC GENERACION","PETROLEO DIESEL","21.199999999999999","2,00","128-2008","EN OPERACION","2010","345809.000000000000000","6209686.000000000000000","CACHAPOAL","CNE","10-12-2014"
"106","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.106","PETROPOWER","PETROPOWER S.A.","PETCOKE","62.977499999999999","1,00","S/I","EN OPERACION","1998","132157.170634999987669","5920793.355010000057518","CONCEPCION","CNE","10-12-2014"
"107","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.107","BIO CRUZ","BIO CRUZ GENERACION","GAS NATURAL / PETROLEO","2.800000000000000","2,00","S/I","EN OPERACION","2011","291579.789999999979045","6362592.969999999739230","QUILLOTA","CNE","10-12-2014"
"108","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.108","CAMPICHE","EMPRESA ELECTRICA CAMPICHE S.A.","CARBON","248.988799999999998","1,00","499-2008","EN OPERACION","2013","267333.890000000013970","6373888.129999999888241","VALPARAISO","CNE","10-12-2014"
"109","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.109","CASABLANCA","TECNORED","PETROLEO DIESEL","2.500000000000000","4,00","S/I","EN OPERACION","2007","277324.500000000000000","6309988.389999999664724","VALPARAISO","CNE","10-12-2014"
"110","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.110","COLMITO","TERMOELECTRICA COLMITO","PETROLEO DIESEL","57.710000000000001","1,00","734-2008","EN OPERACION","2008","268676.000000000000000","6353716.299999999813735","VALPARAISO","CNE","10-12-2014"
"111","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.111","CONCON","TECNORED","PETROLEO DIESEL","2.300000000000000","3,00","S/I","EN OPERACION","2007","268664.010000000009313","6353411.150000000372529","VALPARAISO","CNE","10-12-2014"
"112","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.112","CURAUMA","TECNORED","PETROLEO DIESEL","2.500000000000000","3,00","S/I","EN OPERACION","2007","261455.899999999994179","6331486.259999999776483","VALPARAISO","CNE","10-12-2014"
"113","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.113","EL TOTORAL","TECNORED","PETROLEO DIESEL","3.000000000000000","3,00","S/I","EN OPERACION","2008","254834.109999999986030","6298218.290000000037253","SAN ANTONIO","CNE","10-12-2014"
"114","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.114","LAGUNA VERDE (U1, U2, TG)","AES GENER S.A.","PETROLEO DIESEL","65.000000000000000","3,00","07-2013","EN OPERACION","1939","250165.000000000000000","6334088.000000000000000","VALPARAISO","CNE","10-12-2014"
"115","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.115","LAS VEGAS","TECNORED","PETROLEO DIESEL","2.098950000000000","2,00","S/I","EN OPERACION","2007","311746.659999999974389","6364342.200000000186265","SAN FELIPE DE ACONCAGUA","CNE","10-12-2014"
"116","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.116","LOS VIENTOS","AES GENER S.A.","PETROLEO DIESEL","131.340000000000003","1,00","1372-2009 / 293-2005","EN OPERACION","2007","311621.679999999993015","6364227.389999999664724","SAN FELIPE DE ACONCAGUA","CNE","10-12-2014"
"117","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.117","NEHUENCO","COLBUN S.A.","GAS NATURAL","874.700000000000045","3,00","03-1997 / 164-2001 / 34-2002 / 104-2004 / 18-2006","EN OPERACION","1997","282806.000000000000000","6353344.000000000000000","QUILLOTA","CNE","10-12-2014"
"118","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.118","NUEVA VENTANAS","ELECTRICA VENTANAS","CARBON","248.988799999999998","1,00","1124-2006 / 1632-2006","EN OPERACION","2010","267351.510000000009313","6373720.299999999813735","VALPARAISO","CNE","10-12-2014"
"119","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.119","PLACILLA","TECNORED","PETROLEO DIESEL","3.000000000000000","3,00","S/I","EN OPERACION","2008","261203.859999999986030","6333774.809999999590218","VALPARAISO","CNE","10-12-2014"
"120","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.120","QUINTAY","TECNORED","PETROLEO DIESEL","3.000000000000000","3,00","S/I","EN OPERACION","2008","252117.720000000001164","6323307.830000000074506","VALPARAISO","CNE","10-12-2014"
"121","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.121","QUINTERO","ENDESA","PETROLEO DIESEL","255.199999999999989","2,00","922-2008","EN OPERACION","2009","267224.510000000009313","6369582.450000000186265","VALPARAISO","CNE","10-12-2014"
"122","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.122","SAN ISIDRO II","EMPRESA NACIONAL DE ELECTRICIDAD S.A.","GNL","406.350000000000023","1,00","164-2004 / 340-2005","EN OPERACION","2007","283629.000000000000000","6353440.679999999701977","QUILLOTA","CNE","10-12-2014"
"123","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.123","TAPIHUE","TECNORED","GAS NATURAL","6.400000000000000","2,00","58-2012","EN OPERACION","2009","277557.010000000009313","6309276.040000000037253","VALPARAISO","CNE","10-12-2014"
"124","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.124","TOMAVAL 2","TOMAVAL GENERACION","GAS NATURAL","1.600000000000000","1,00","S/I","EN OPERACION","2012","291768.369999999995343","6362885.240000000223517","QUILLOTA","CNE","10-12-2014"
"125","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.125","TOMAVAL 1","TOMAVAL GENERACION","PETROLEO DIESEL","1.000000000000000","1,00","S/I","EN OPERACION","2011","291579.789999999979045","6362592.969999999739230","QUILLOTA","CNE","10-12-2014"
"126","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.126","VENTANAS","AES GENER S.A.","CARBON","322.000000000000000","2,00","S/I","EN OPERACION","1977","267340.000000000000000","6373593.000000000000000","VALPARAISO","CNE","10-12-2014"
"128","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.128","NUEVA PUERTO IBANEZ","EDELAYSEN","DIESEL","0.160000000000000","1,00","S/I","EN OPERACION","2015","272292.070999999996275","4870736.517199999652803","GENERAL CARRERA","CNE","10-12-2014"
"129","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.129","LOS SAUCES II","SAGESA","PETROLEO DIESEL","1.500000000000000","2,00","S/I","EN OPERACION","2011","268231.090000000025611","6469913.410000000149012","MALLECO","CNE","10-12-2014"
"130","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.130","CMPC CORDILLERA","PAPELES CORDILLERA S.A.","PETROLEO / GAS NATURAL","24.739999999999998","1,00","206-2013","EN OPERACION","2013","355427.000000000000000","6280202.000000000000000","CORDILLERA","CNE","10-12-2014"
"131","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.131","ESPERANZA 1,2 Y 3","ENORCHILE S.A.","PETROLEO DIESEL","22.199999999999999","3,00","36-2007","EN OPERACION","2007","345773.627500000002328","6209914.045800000429153","CACHAPOAL","CNE","10-12-2014"
"132","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.132","SAN ISIDRO I","ENDESA","GAS NATURAL","379.000000000000000","1,00","36-2007","EN OPERACION","1998","283484.580000000016298","6353348.230000000447035","QUILLOTA","CNE","10-12-2014"
"133","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.133","NUEVA ALDEA II","ARAUCO BIOENERGIAS","PETROLEO DIESEL","10.000000000000000","1,00","76-2005","EN OPERACION","2006","188983.220200000010664","5937224.289699999615550","BIOBIO","CNE","10-12-2014"
"134","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.134","ANGOL (LOS SAUCES)","SAGESA","PETROLEO DIESEL","1.500000000000000","2,00","S/I","EN OPERACION","2007","164973.510723999992479","5811867.322390999644995","MALLECO","CNE","10-12-2014"
