"gid","gml_id","nombre","Propietario","Tipo ","combustibl","Potencia MW","Unidades","rca","Sistema Eléctrico ","estado","Fecha Operación","Provincia","fuente_bas","fech_crea","fech_act"
"1","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.1","ABANICO","ENDESA","HIDRAULICA PASADA","NO APLICA","136","6.000000000000000","S/I","SIC","EN OPERACION","1948 U1-U2-U3-U4; 1959 U5-U6","BIOBIO","CNE","10-12-2014","31-03-2016"
"8","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.8","AYSEN","EDELAYSEN","HIDRAULICA PASADA","NO APLICA","7","3.000000000000000","S/I","AYSEN","EN OPERACION","1960 (5116 3MW : 1970, 5117 0.9MW : 2001, 5118 2.7MW : 2001)","AYSEN","CNE","10-12-2014","31-03-2016"
"43","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.43","EL TRARO","EDELAYSEN","HIDRAULICA PASADA","NO APLICA","1","2.000000000000000","S/I","GENERAL CARRERA","EN OPERACION","1987 (5122 0.32MW : 1987, 5123 0.32MW : 1987)","CAPITAN PRAT","CNE","31-12-2014","31-03-2016"
"46","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.46","FLORIDA","ASOC. DE CANAL. SOCIEDAD CANALISTAS DEL MAIPO","HIDRAULICA PASADA","NO APLICA","28","6.000000000000000","S/I","SIC","EN OPERACION","1909 Florida I; 1993 Florida II; 1999 Florida III","SANTIAGO","CNE","01-04-2015","31-03-2016"
"51","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.51","ISLA","ENDESA","HIDRAULICA PASADA","NO APLICA","70","2.000000000000000","S/I","SIC","EN OPERACION","1963-U1; 1964-U2","TALCA","CNE","10-12-2014","31-03-2016"
"58","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.58","LAGO ATRAVESADO","EDELAYSEN","HIDRAULICA PASADA","NO APLICA","11","2.000000000000000","017/2000","AYSEN","EN OPERACION","2003 (5106 5.5MW : 2002, 5107 5.5MW : 2002)","COYHAIQUE","CNE","10-12-2014","31-03-2016"
"59","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.59","LAJA 1","EOLICA MONTE REDONDO S.A.","HIDRAULICA PASADA","NO APLICA","34","2.000000000000000","248/2008","SIC","EN OPERACION","En pruebas","BIOBIO","CNE","10-12-2014","31-03-2016"
"73","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.73","LOS MORROS","CIA. EMPRESA LOS MORROS S.A.","HIDRAULICA PASADA","NO APLICA","3","5.000000000000000","S/I","SIC","EN OPERACION","193-U1-U2-U3; 1994 U4-U5","MAIPO","CNE","10-12-2014","31-03-2016"
"75","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.75","LOS QUILOS","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","40","3.000000000000000","S/I","SIC","EN OPERACION","1943 U1-U2; 1989-U3","LOS ANDES","CNE","10-12-2014","31-03-2016"
"78","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.78","MAITENES","AES GENER S.A.","HIDRAULICA PASADA","NO APLICA","31","5.000000000000000","S/I","SIC","EN OPERACION","1923 U1-U2-U3; 1989 U4-U5","CORDILLERA","CNE","10-12-2014","31-03-2016"
"85","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.85","MONREAL","EDELAYSEN","HIDRAULICA PASADA","NO APLICA","3","1.000000000000000","S/I","AYSEN","EN OPERACION","2013 (5143 3MW : 2013)","COYHAIQUE","CNE","10-12-2014","31-03-2016"
"96","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.96","PILMAIQUEN","EMPRESA ELECTRICA PUYEHUE S.A.","HIDRAULICA PASADA","NO APLICA","41","5.000000000000000","S/I","SIC","EN OPERACION","1944 U1-U2-U3; 1945-U4; 1959-U5","RANCO","CNE","10-12-2014","31-03-2016"
"110","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.110","RIO AZUL","EDELAYSEN","HIDRAULICA PASADA","NO APLICA","1","4.000000000000000","S/I","AYSEN","EN OPERACION","1987 (5133 0.35 MW : 1987, 5134 0.35 MW : 1987, 5135 0.35 MW : 1987, 5136 0.35 MW : 1987)","PALENA","CNE","10-12-2014","31-03-2016"
"2","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.2","ALFALFAL","AES GENER S.A.","HIDRAULICA PASADA","NO APLICA","178","2.000000000000000","S/I","SIC","EN OPERACION","1991","CORDILLERA","CNE","10-12-2014","31-03-2016"
"3","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.3","ALLIPEN","HIDROELECTRICA ALLIPEN S.A.","HIDRAULICA PASADA","NO APLICA","3","2.000000000000000","031/2011","SIC","EN OPERACION","2012","CAUTIN","CNE","10-12-2014","31-03-2016"
