central,combustibleutilizado,potenciainsmw,potenciaredmw,geom,geojson
INGENIO SANTA BARBARA,BAGAZZO,28,8,0101000020E610000032BD0EE6C06650C0197DBBDBAB753BC0,"{""type"":""Point"",""coordinates"":[-65.6055236,-27.4596536]}"
INGENIO TABACAL,BAGAZZO,40,32,0101000020E6100000509209536F0F50C0642FCA22034137C0,"{""type"":""Point"",""coordinates"":[-64.2411697,-23.2539541]}"
AGD,CÁSCARA DE GIRASOL Y MANÍ,12,,0101000020E61000005B79C9FFE4E44FC05A7EE02A4F6040C0,"{""type"":""Point"",""coordinates"":[-63.7882385,-32.752416]}"
"ING. GIAI - ARCOR
",,11,,0101000020E6100000340F60915F6450C029594E42E9433BC0,"{""type"":""Point"",""coordinates"":[-65.568333,-27.265278]}"
PAPELERA ALTO PARANÁ,RESIDUOS FORESTOINDUSTRIALES,78,,0101000020E6100000B1097AB9995B4BC0E30EE555E77A3AC0,"{""type"":""Point"",""coordinates"":[-54.7156288,-26.4800924]}"
PAPELERA ALTO PARANÁ,RESIDUOS FORESTOINDUSTRIALES,78,,0101000020E6100000BF60376C5B504BC08481E7DEC3FD39C0,"{""type"":""Point"",""coordinates"":[-54.62779,-25.99127]}"
